GEOID,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty
36005000200,70867,110539,4453,0.7644,0.2277
36005000400,98090,139479,6000,0.7449,0.04
36005001600,40033,97560,6038,0.4449,0.1632
36005001901,55924,77647,2168,0.3051,0.2754
36005001902,60804,32212,1399,0.3564,0.2181
36005002001,20870,16059,4694,0.2626,0.4659
36005002300,22177,39861,4465,0.1444,0.4214
36005002500,25954,40228,5662,0.1334,0.4532
36005002701,18686,16445,2938,0.1886,0.5739
36005002702,14681,30703,4413,0.2592,0.5612
36005002800,54321,84197,5372,0.685,0.0287
36005003100,34276,31859,2165,0.2654,0.1718
36005003300,20129,38535,3339,0.3484,0.5281
36005003500,30793,27928,3880,0.4146,0.3856
36005003700,37321,57847,277,0.1203,0.3053
36005003800,83295,116146,1313,0.7638,0.1346
36005003900,20049,31075,6710,0.2761,0.3981
36005004001,64087,99334,1574,0.7324,0.1925
36005004100,20551,63182,5798,0.3132,0.4852
36005004200,57250,89758,7803,0.535,0.2366
36005004300,25534,68534,5527,0.2446,0.3553
36005004400,15750,15451,4551,0.31,0.5072
36005004600,29145,45174,1826,0.3663,0.5043
36005004800,33500,87969,4464,0.3098,0.2607
36005005001,28353,47727,4304,0.3389,0.5078
36005005002,34013,62969,6393,0.2271,0.3928
36005005100,19731,16250,6087,0.1391,0.5366
36005005200,21397,33165,1833,0.2097,0.4163
36005005300,20449,28114,5472,0.1887,0.5549
36005005400,45625,24427,5638,0.3209,0.27
36005005600,40341,58516,2168,0.3952,0.3196
36005005902,44917,72989,2730,0.314,0.1612
36005006000,34239,49526,1295,0.4211,0.332
36005006100,60685,88558,3955,0.3817,0.1166
36005006200,24769,38391,6710,0.2435,0.3727
36005006301,50273,26964,5521,0.2863,0.2907
36005006400,35144,54473,4061,0.4259,0.3493
36005006500,21962,34041,5681,0.1625,0.4806
36005006700,15957,34961,6993,0.1836,0.538
36005006800,38125,59093,2765,0.322,0.3157
36005006900,32887,42833,7255,0.281,0.3482
36005007000,53014,76176,4235,0.4928,0.2131
36005007100,43079,100729,2827,0.4198,0.2008
36005007200,54097,77283,6430,0.5269,0.1509
36005007300,25619,30282,4301,0.2198,0.4097
36005007400,37352,57895,3078,0.5704,0.2934
36005007500,30413,47140,6295,0.2669,0.363
36005007600,51625,107422,5293,0.4412,0.1856
36005007700,48333,37222,2165,0.5351,0.2416
36005007800,54615,103523,6301,0.5686,0.1726
36005007900,22534,34600,7157,0.14,0.4458
36005008300,42386,36290,6121,0.3176,0.2137
36005008400,66373,89861,3290,0.6044,0.0642
36005008500,33065,106181,5706,0.2778,0.297
36005008600,25608,38269,4134,0.2662,0.4184
36005008700,30357,33750,6328,0.3469,0.4029
36005008900,29599,78929,3197,0.2404,0.1898
36005009000,30953,31744,3693,0.4461,0.3287
36005009200,54924,48292,6122,0.5937,0.2272
