,GEOID,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL
0,36005000200,70867,110539,4453,0.7644,0.2277,107246.0,Bronx,3293.0,0
1,36005000400,98090,139479,6000,0.7449,0.04,107246.0,Bronx,32233.0,0
2,36005001600,40033,97560,6038,0.4449,0.1632,107246.0,Bronx,-9686.0,1
3,36005001901,55924,77647,2168,0.3051,0.2754,107246.0,Bronx,-29599.0,1
4,36005001902,60804,32212,1399,0.3564,0.2181,107246.0,Bronx,-75034.0,1
5,36005002001,20870,16059,4694,0.2626,0.4659,107246.0,Bronx,-91187.0,1
6,36005002300,22177,39861,4465,0.1444,0.4214,107246.0,Bronx,-67385.0,1
7,36005002500,25954,40228,5662,0.1334,0.4532,107246.0,Bronx,-67018.0,1
8,36005002701,18686,16445,2938,0.1886,0.5739,107246.0,Bronx,-90801.0,1
9,36005002702,14681,30703,4413,0.2592,0.5612,107246.0,Bronx,-76543.0,1
10,36005002800,54321,84197,5372,0.685,0.0287,107246.0,Bronx,-23049.0,1
11,36005003100,34276,31859,2165,0.2654,0.1718,107246.0,Bronx,-75387.0,1
12,36005003300,20129,38535,3339,0.3484,0.5281,107246.0,Bronx,-68711.0,1
13,36005003500,30793,27928,3880,0.4146,0.3856,107246.0,Bronx,-79318.0,1
14,36005003700,37321,57847,277,0.1203,0.3053,107246.0,Bronx,-49399.0,1
15,36005003800,83295,116146,1313,0.7638,0.1346,107246.0,Bronx,8900.0,0
16,36005003900,20049,31075,6710,0.2761,0.3981,107246.0,Bronx,-76171.0,1
17,36005004001,64087,99334,1574,0.7324,0.1925,107246.0,Bronx,-7912.0,1
18,36005004100,20551,63182,5798,0.3132,0.4852,107246.0,Bronx,-44064.0,1
19,36005004200,57250,89758,7803,0.535,0.2366,107246.0,Bronx,-17488.0,1
20,36005004300,25534,68534,5527,0.2446,0.3553,107246.0,Bronx,-38712.0,1
21,36005004400,15750,15451,4551,0.31,0.5072,107246.0,Bronx,-91795.0,1
22,36005004600,29145,45174,1826,0.3663,0.5043,107246.0,Bronx,-62072.0,1
23,36005004800,33500,87969,4464,0.3098,0.2607,107246.0,Bronx,-19277.0,1
24,36005005001,28353,47727,4304,0.3389,0.5078,107246.0,Bronx,-59519.0,1
25,36005005002,34013,62969,6393,0.2271,0.3928,107246.0,Bronx,-44277.0,1
26,36005005100,19731,16250,6087,0.1391,0.5366,107246.0,Bronx,-90996.0,1
27,36005005200,21397,33165,1833,0.2097,0.4163,107246.0,Bronx,-74081.0,1
28,36005005300,20449,28114,5472,0.1887,0.5549,107246.0,Bronx,-79132.0,1
29,36005005400,45625,24427,5638,0.3209,0.27,107246.0,Bronx,-82819.0,1
30,36005005600,40341,58516,2168,0.3952,0.3196,107246.0,Bronx,-48730.0,1
31,36005005902,44917,72989,2730,0.314,0.1612,107246.0,Bronx,-34257.0,1
32,36005006000,34239,49526,1295,0.4211,0.332,107246.0,Bronx,-57720.0,1
33,36005006100,60685,88558,3955,0.3817,0.1166,107246.0,Bronx,-18688.0,1
34,36005006200,24769,38391,6710,0.2435,0.3727,107246.0,Bronx,-68855.0,1
35,36005006301,50273,26964,5521,0.2863,0.2907,107246.0,Bronx,-80282.0,1
36,36005006400,35144,54473,4061,0.4259,0.3493,107246.0,Bronx,-52773.0,1
37,36005006500,21962,34041,5681,0.1625,0.4806,107246.0,Bronx,-73205.0,1
38,36005006700,15957,34961,6993,0.1836,0.538,107246.0,Bronx,-72285.0,1
39,36005006800,38125,59093,2765,0.322,0.3157,107246.0,Bronx,-48153.0,1
40,36005006900,32887,42833,7255,0.281,0.3482,107246.0,Bronx,-64413.0,1
41,36005007000,53014,76176,4235,0.4928,0.2131,107246.0,Bronx,-31070.0,1
42,36005007100,43079,100729,2827,0.4198,0.2008,107246.0,Bronx,-6517.0,1
43,36005007200,54097,77283,6430,0.5269,0.1509,107246.0,Bronx,-29963.0,1
44,36005007300,25619,30282,4301,0.2198,0.4097,107246.0,Bronx,-76964.0,1
45,36005007400,37352,57895,3078,0.5704,0.2934,107246.0,Bronx,-49351.0,1
46,36005007500,30413,47140,6295,0.2669,0.363,107246.0,Bronx,-60106.0,1
47,36005007600,51625,107422,5293,0.4412,0.1856,107246.0,Bronx,176.0,0
48,36005007700,48333,37222,2165,0.5351,0.2416,107246.0,Bronx,-70024.0,1
49,36005007800,54615,103523,6301,0.5686,0.1726,107246.0,Bronx,-3723.0,1
50,36005007900,22534,34600,7157,0.14,0.4458,107246.0,Bronx,-72646.0,1
51,36005008300,42386,36290,6121,0.3176,0.2137,107246.0,Bronx,-70956.0,1
52,36005008400,66373,89861,3290,0.6044,0.0642,107246.0,Bronx,-17385.0,1
53,36005008500,33065,106181,5706,0.2778,0.297,107246.0,Bronx,-1065.0,1
54,36005008600,25608,38269,4134,0.2662,0.4184,107246.0,Bronx,-68977.0,1
55,36005008700,30357,33750,6328,0.3469,0.4029,107246.0,Bronx,-73496.0,1
56,36005008900,29599,78929,3197,0.2404,0.1898,107246.0,Bronx,-28317.0,1
57,36005009000,30953,31744,3693,0.4461,0.3287,107246.0,Bronx,-75502.0,1
58,36005009200,54924,48292,6122,0.5937,0.2272,107246.0,Bronx,-58954.0,1
59,36005009301,39606,23090,4928,0.2566,0.3569,107246.0,Bronx,-84156.0,1
60,36005009600,49638,92917,2762,0.5064,0.1618,107246.0,Bronx,-14329.0,1
61,36005009800,73622,122526,4818,0.7704,0.1504,107246.0,Bronx,15280.0,0
62,36005011502,23791,26382,4210,0.2709,0.4241,107246.0,Bronx,-80864.0,1
63,36005011701,37781,11723,1608,0.2525,0.3999,107246.0,Bronx,-95523.0,1
64,36005011800,101875,142635,6041,0.8752,0.0889,,,,0
65,36005011900,32007,59393,6193,0.2111,0.3119,107246.0,Bronx,-47853.0,1
66,36005012101,48152,69479,3267,0.3793,0.2816,107246.0,Bronx,-37767.0,1
67,36005012102,27281,67632,1463,0.3328,0.2479,107246.0,Bronx,-39614.0,1
68,36005012300,39258,79821,4582,0.4354,0.1524,,,,0
69,36005012500,45966,62019,4014,0.5,0.3205,107246.0,Bronx,-45227.0,1
70,36005012701,34960,34450,2207,0.4101,0.2856,107246.0,Bronx,-72796.0,1
71,36005012901,34329,53486,4961,0.2353,0.3596,107246.0,Bronx,-53760.0,1
72,36005013000,55333,85766,1297,0.7105,0.2475,107246.0,Bronx,-21480.0,1
73,36005013100,25227,39101,5252,0.2889,0.3713,107246.0,Bronx,-68145.0,1
74,36005013200,122179,177532,7288,0.8381,0.0668,107246.0,Bronx,70286.0,0
75,36005013300,32326,68417,6236,0.3208,0.2386,107246.0,Bronx,-38829.0,1
76,36005013500,17385,26946,3492,0.2662,0.4668,107246.0,Bronx,-80300.0,1
77,36005013800,81164,74395,3077,0.7888,0.1176,107246.0,Bronx,-32851.0,1
78,36005014100,33064,36250,6384,0.2343,0.3278,107246.0,Bronx,-70996.0,1
79,36005014300,16196,25103,1579,0.1956,0.4174,107246.0,Bronx,-82143.0,1
80,36005014400,18906,29304,5781,0.3229,0.3257,107246.0,Bronx,-77942.0,1
81,36005014500,32074,36458,7002,0.1667,0.4486,107246.0,Bronx,-70788.0,1
82,36005014701,24279,33063,5864,0.0918,0.4606,107246.0,Bronx,-74183.0,1
83,36005014702,18033,27951,5157,0.2312,0.4892,107246.0,Bronx,-79295.0,1
84,36005014900,24375,39233,4708,0.242,0.4558,107246.0,Bronx,-68013.0,1
85,36005015100,27135,42059,5311,0.3211,0.3422,107246.0,Bronx,-65187.0,1
86,36005015200,78425,107500,2565,0.8258,0.1343,107246.0,Bronx,254.0,0
87,36005015300,32060,48224,4226,0.2832,0.2862,107246.0,Bronx,-59022.0,1
88,36005015500,35559,44605,3089,0.3315,0.2515,107246.0,Bronx,-62641.0,1
89,36005015700,37600,42254,5155,0.3085,0.3387,107246.0,Bronx,-64992.0,1
90,36005015800,59375,76576,1423,0.7038,0.2496,107246.0,Bronx,-30670.0,1
91,36005015900,28611,35417,2164,0.5711,0.3386,107246.0,Bronx,-71829.0,1
92,36005016000,86517,134101,3891,0.8727,0.1241,107246.0,Bronx,26855.0,0
93,36005016100,19599,37981,4787,0.2106,0.3996,107246.0,Bronx,-69265.0,1
94,36005016200,85909,133750,1712,0.8706,0.0709,107246.0,Bronx,26504.0,0
95,36005016400,66681,160750,1074,0.7544,0.2439,107246.0,Bronx,53504.0,0
96,36005016500,35156,54491,1074,0.2915,0.1853,107246.0,Bronx,-52755.0,1
97,36005016600,95372,124886,2397,0.8789,0.1313,107246.0,Bronx,17640.0,0
98,36005016700,46481,46691,3822,0.4809,0.3666,107246.0,Bronx,-60555.0,1
99,36005016900,45273,24500,1729,0.3899,0.3874,107246.0,Bronx,-82746.0,1
100,36005017300,29063,41031,6373,0.1254,0.4103,107246.0,Bronx,-66215.0,1
101,36005017500,25767,39938,6768,0.1374,0.3968,107246.0,Bronx,-67308.0,1
102,36005017701,33428,70893,4554,0.409,0.5014,107246.0,Bronx,-36353.0,1
103,36005017702,42262,45944,5412,0.4344,0.284,107246.0,Bronx,-61302.0,1
104,36005017901,42774,61604,4751,0.176,0.2825,107246.0,Bronx,-45642.0,1
105,36005017902,36614,75767,4138,0.2261,0.3188,107246.0,Bronx,-31479.0,1
106,36005018101,48464,48333,3502,0.3487,0.3065,107246.0,Bronx,-58913.0,1
107,36005018102,30063,46227,5695,0.1704,0.3615,107246.0,Bronx,-61019.0,1
108,36005018301,43350,69271,4657,0.3393,0.1535,107246.0,Bronx,-37975.0,1
109,36005018302,57180,92838,3546,0.2821,0.0871,107246.0,Bronx,-14408.0,1
110,36005018400,105052,112159,4057,0.814,0.0897,107246.0,Bronx,4913.0,0
111,36005018501,47826,74130,3069,0.1708,0.2134,107246.0,Bronx,-33116.0,1
112,36005018502,23508,50450,6503,0.159,0.453,107246.0,Bronx,-56796.0,1
113,36005018900,36087,30341,8311,0.28,0.3859,107246.0,Bronx,-76905.0,1
114,36005019300,35291,43255,7126,0.1644,0.3072,107246.0,Bronx,-63991.0,1
115,36005019400,63452,46417,2162,0.7055,0.1735,107246.0,Bronx,-60829.0,1
116,36005019500,44323,54028,7766,0.1494,0.3027,107246.0,Bronx,-53218.0,1
117,36005019700,31008,53701,7479,0.175,0.4621,107246.0,Bronx,-53545.0,1
118,36005019900,37080,100346,7899,0.2561,0.3412,107246.0,Bronx,-6900.0,1
119,36005020000,41250,49167,5147,0.4367,0.2413,107246.0,Bronx,-58079.0,1
120,36005020100,38235,39743,3772,0.229,0.3474,107246.0,Bronx,-67503.0,1
121,36005020200,48204,61500,2372,0.4376,0.1984,107246.0,Bronx,-45746.0,1
122,36005020400,57159,53967,3431,0.6079,0.202,107246.0,Bronx,-53279.0,1
123,36005020501,19147,26708,7267,0.1874,0.5514,107246.0,Bronx,-80538.0,1
124,36005020502,37946,58816,2515,0.2986,0.2186,107246.0,Bronx,-48430.0,1
125,36005020601,53750,83312,2425,0.4821,0.2791,107246.0,Bronx,-23934.0,1
126,36005020900,39489,44851,4997,0.1582,0.2481,107246.0,Bronx,-62395.0,1
127,36005021001,56258,87199,8111,0.3556,0.2252,107246.0,Bronx,-20047.0,1
128,36005021002,61940,83289,8192,0.3688,0.1969,107246.0,Bronx,-23957.0,1
129,36005021100,35855,38750,6036,0.2445,0.3051,107246.0,Bronx,-68496.0,1
130,36005021200,61146,74238,5157,0.2801,0.2004,107246.0,Bronx,-33008.0,1
131,36005021301,34773,53898,1397,0.3252,0.2198,107246.0,Bronx,-53348.0,1
132,36005021302,19660,41012,5865,0.1248,0.4839,107246.0,Bronx,-66234.0,1
133,36005021501,36607,61375,4445,0.3134,0.3309,107246.0,Bronx,-45871.0,1
134,36005021502,26176,59985,6772,0.43,0.3438,107246.0,Bronx,-47261.0,1
