,id,Name,Address,Hours FINAL,Hours FPC,Hours Plentiful,lat,lng,Additional Notes,BoroName,geometry,Mo_open,Mo_close,notes,Tu_open,Tu_close,We_open,We_close,Th_open,Th_close,Fr_open,Fr_close,Sa_open,Sa_close,Su_open,Su_close
424,01776d97-82e2-4625-b14d-9014e4fc1782,Vision Urbana,64 Essex St,"2023-07-17 09:00AM-11:00AM
2023-07-24 09:00AM-11:00AM
2023-07-31 09:00AM-11:00AM
2023-08-07 09:00AM-11:00AM
2023-08-14 09:00AM-11:00AM
2023-08-21 09:00AM-11:00AM
2023-08-28 09:00AM-11:00AM
2023-09-04 09:00AM-11:00AM
2023-09-11 09:00AM-11:00AM
2023-09-18 09:00AM-11:00AM
2023-09-25 09:00AM-11:00AM
2023-10-02 09:00AM-11:00AM
2023-10-09 09:00AM-11:00AM","Mo,Tu 09:00AM-12:00PM
","2023-07-17 09:00AM-11:00AM
2023-07-24 09:00AM-11:00AM
2023-07-31 09:00AM-11:00AM
2023-08-07 09:00AM-11:00AM
2023-08-14 09:00AM-11:00AM
2023-08-21 09:00AM-11:00AM
2023-08-28 09:00AM-11:00AM
2023-09-04 09:00AM-11:00AM
2023-09-11 09:00AM-11:00AM
2023-09-18 09:00AM-11:00AM
2023-09-25 09:00AM-11:00AM
2023-10-02 09:00AM-11:00AM
2023-10-09 09:00AM-11:00AM",40.7173399,-73.9884238,"- Monday open to the public
- Mostly door-to-door service and need to register to receive food",Manhattan,POINT (-73.9884238 40.7173399),,,,,,,,,,,,,,,
69,668e409f-e764-4514-8b2b-7f6745a1af53,"Momentum Project, St. Peter's Church",619 Lexington Ave,"mo,tu,we,th,fr,sa,su 08:30 AM-08:00 PM","mo,tu,we,th,fr,sa,su 08:30AM-08:00PM",,40.7585654,-73.9703834,- Temporarily closed until further notice due to a water main break,Manhattan,POINT (-73.9703834 40.7585654),,,,,,,,,,,,,,,
45,34a5da0a-e591-4dcd-93d6-4570d7da0343,Greater Bethel Community Development,95-26 Sutphin Blvd,Start from March 1st,Start from March 1st,,40.6978055,-73.80637732,"- The food pantry operates in the parking lot in the back of the building (95-15 Waltham St)
- One-time proof of identification and address to sign-up for food pantry services
- By January new information about food pantry ",Queens,POINT (-73.80637732 40.6978055),,,,,,,,,,,,,,,
107,c76a4106-1cd9-483c-abdc-1efb91f58d99,Blessed Sacrament Church - Soup Kitchen,152 W 71st St,Su 02:00PM,Su 02:00PM-03:00PM,,40.7774103,-73.9812423,- Soup kitchen ends when the line ends.,Manhattan,POINT (-73.9812423 40.7774103),,,,,,,,,,,,,,,
1141,01a9e3ab-f68b-463d-a9d8-8f731a842386,Church of God in Christ on the Hill - Soup Kitchen,137 Buffalo Ave,Fr 12:30PM,Fr 12:30PM-01:30PM,,40.6745463,-73.9246385,,Brooklyn,POINT (-73.9246385 40.6745463),,,,,,,,,,,,,,,
239,6c9f0d27-9460-4ac7-b984-f6552bd4f58f,St. Ignatius Episcopal Church,552 West End Ave,"Sa 04:00PM
Mo 07:00PM","Sa 04:00PM-5:00PM
Mo 07:00PM-8:00PM",,40.7892501,-73.97708,"- Please arrive 15 minutes early
- Serving to-go meals while supplies last",Manhattan,POINT (-73.97708 40.7892501),,,,,,,,,,,,,,,
323,61662bb7-dfa4-454a-ac6c-ba38eea72ea8,Missionaries of Charity - Harlem,406 W 127th St,"Su-We,Fr,Sa 09:30AM","Su-We,Fr,Sa 09:30AM-10:30AM",,40.8128,-73.95363,- Open to everyone,Manhattan,POINT (-73.95363 40.8128),,,,,,,,,,,,,,,
461,fd14be9b-afba-4bde-a11e-5aae055ee5d0,Community Impact - Soup Kitchen,601 W 114 St,"2023-07-17 11:00AM-02:00PM
2023-07-19 11:00AM-02:00PM
2023-07-20 11:00AM-02:00PM
2023-07-24 11:00AM-02:00PM
2023-07-26 11:00AM-02:00PM
2023-07-27 11:00AM-02:00PM
2023-07-31 11:00AM-02:00PM
2023-08-02 11:00AM-02:00PM
2023-08-03 11:00AM-02:00PM
2023-08-07 11:00AM-02:00PM
2023-08-09 11:00AM-02:00PM
2023-08-10 11:00AM-02:00PM
2023-08-14 11:00AM-02:00PM
2023-08-16 11:00AM-02:00PM
2023-08-17 11:00AM-02:00PM
2023-08-21 11:00AM-02:00PM
2023-08-23 11:00AM-02:00PM
2023-08-24 11:00AM-02:00PM
2023-08-28 11:00AM-02:00PM
2023-08-30 11:00AM-02:00PM
2023-08-31 11:00AM-02:00PM
2023-09-04 11:00AM-02:00PM
2023-09-06 11:00AM-02:00PM
2023-09-07 11:00AM-02:00PM
2023-09-11 11:00AM-02:00PM
2023-09-13 11:00AM-02:00PM
2023-09-14 11:00AM-02:00PM
2023-09-18 11:00AM-02:00PM
2023-09-20 11:00AM-02:00PM
2023-09-21 11:00AM-02:00PM
2023-09-25 11:00AM-02:00PM
2023-09-27 11:00AM-02:00PM
2023-09-28 11:00AM-02:00PM
2023-10-02 11:00AM-02:00PM
2023-10-04 11:00AM-02:00PM
2023-10-05 11:00AM-02:00PM
2023-10-09 11:00AM-02:00PM","Mo,We,Fr 10:00AM-11:00AM
","2023-07-17 11:00AM-02:00PM
2023-07-19 11:00AM-02:00PM
2023-07-20 11:00AM-02:00PM
2023-07-24 11:00AM-02:00PM
2023-07-26 11:00AM-02:00PM
2023-07-27 11:00AM-02:00PM
2023-07-31 11:00AM-02:00PM
2023-08-02 11:00AM-02:00PM
2023-08-03 11:00AM-02:00PM
2023-08-07 11:00AM-02:00PM
2023-08-09 11:00AM-02:00PM
2023-08-10 11:00AM-02:00PM
2023-08-14 11:00AM-02:00PM
2023-08-16 11:00AM-02:00PM
2023-08-17 11:00AM-02:00PM
2023-08-21 11:00AM-02:00PM
2023-08-23 11:00AM-02:00PM
2023-08-24 11:00AM-02:00PM
2023-08-28 11:00AM-02:00PM
2023-08-30 11:00AM-02:00PM
2023-08-31 11:00AM-02:00PM
2023-09-04 11:00AM-02:00PM
2023-09-06 11:00AM-02:00PM
2023-09-07 11:00AM-02:00PM
2023-09-11 11:00AM-02:00PM
2023-09-13 11:00AM-02:00PM
2023-09-14 11:00AM-02:00PM
2023-09-18 11:00AM-02:00PM
2023-09-20 11:00AM-02:00PM
2023-09-21 11:00AM-02:00PM
2023-09-25 11:00AM-02:00PM
2023-09-27 11:00AM-02:00PM
2023-09-28 11:00AM-02:00PM
2023-10-02 11:00AM-02:00PM
2023-10-04 11:00AM-02:00PM
2023-10-05 11:00AM-02:00PM
2023-10-09 11:00AM-02:00PM",40.807135,-73.965897,"- Located in the basement
- Dine in or grab & go options available
- Serving until food runs out",Manhattan,POINT (-73.965897 40.807135),,,,,,,,,,,,,,,
253,f7f5cfaf-698d-4f42-b589-7e391706651e,Richmond Hill SDA Community Service,114-08 Jamaica Ave,Saturdays 09:15AM- 01:00AM,Sa 09:15AM-01:00PM,,40.6983442,-73.8345059,- Pantry times vary. Call to confirm the next available time for food distribution.,Queens,POINT (-73.8345059 40.6983442),,,,,,,,,,,,,,,
534,d9dfbd3f-1e08-4917-9993-075c1e15df18,"Cienfuegos, Bronx",482 E 138th St,Tu 01:00PM,Tu 01:00PM-02:00PM,,40.7666578,-73.9300891,"- Home delivery available for COVID-19 patients
- Kosher and halal food sometimes available by request",Queens,POINT (-73.9300891 40.7666578),,,,,,,,,,,,,,,
