,Name,Address,Additional Notes,Source FINAL,Status FINAL,Status FPC,Status Plentiful,Last Updated FINAL,Last Updated FPC,Last Updated Plentiful,Hours FINAL,Hours FPC,Hours Plentiful,Website,ID Required,Zipcode,lat,lng,City,State,id
0,St. Albans Baptist Church,196-20 119th Ave,- Will not refuse anyone even if they don't have ID,FPC,open,open,unknown,2/2/2023 7:00 PM,2/3/2023,,"Sa 10:00AM-12:00PM ""every first and third Saturday of the month""","Sa 10:00AM-12:00PM ""every first and third Saturday of the month""",,https://www.sabcny.org/,yes,11412,40.690698,-73.753923,Queens,NY,03f3326e-7b52-4fdb-af71-5bece2b0a088
1,Love Gallery Our Food NYC,1254 Myrtle Ave,"- While supplies last
- Currently have mainly fruits and vegetables, cannot guarantee kosher and halal options though",FPC,closed,closed,,4/20/2023 8:00 PM,4/21/2023,,We 07:00AM-12:00PM,We 07:00AM-12:00PM,,https://paperboyprince.com/love-gallery/,no,11221,40.69789913,-73.92714824,Brooklyn,NY,76f34b7f-c166-4b76-831e-2a985ceb36d6
2,"Project Hospitality, SHINE Center",205 Canal St,"- Wednesday is only open for people with chronic illness (ex. HIV, Cancer, etc)",FPC,closed,closed,,5/3/2023 8:00 PM,5/4/2023,,"Tu,Th 09:00AM-12:00PM","Tu,Th 09:00AM-12:00PM",,http://www.projecthospitality.org/,unknown,10304,40.6251545,-74.079924,Staten Island,NY,23c93c1e-2500-43f5-ab0c-f71365866398
3,The Center for Family Life,443 39th St,"- Vouchers/tickets are only given out to the first 30 people on each day
- First come, first serve
- Please bring your own bags or carts",FPC,open,open,,5/9/2023 8:00 PM,5/10/2023,,"tu,we,th 01:00PM-04:00PM","tu,we,th 01:00PM-04:00PM",,https://centerforfamilylife.org/community-services/,yes,11232,40.6520088,-74.0047416,Brooklyn,NY,22a2afb1-308b-4083-be89-c7d5902a8b2f
4,Family Services Network of New York,1420 Bushwick Ave,"- Visitors will not be denied if they do not have ID on their first visit, but it is preferred for individuals to bring their ID for following visits",FPC,open,open,unknown,4/30/2023 8:00 PM,5/1/2023,,"Mo,We 09:00AM-01:00PM","Mo,We 09:00AM-01:00PM",,https://fsnny1.org,yes,11207,40.6841204,-73.9092348,Brooklyn,NY,369d7a47-7352-4544-b5d7-06197db37f14
5,Jamaica Hispanic SDA Church,88-28 161st St,"- Visitors will be required to identify how many people they are getting food for and whether they are adults, children, or senior citizens upon arrival so food quantities can be accurately determined
- Dietary/food donations: this food pantry does not serve pork or accept pork food donations. 
- Kosher and halal food is available when in stock 
- Come early to receive a ticket in time",FPC,open,open,unknown,2/2/2023 7:00 PM,2/3/2023,,Su 08:00AM-09:00AM,Su 08:00AM-09:00AM,,https://www.facebook.com/pages/category/Seventh-Day-Adventist-Church/Jamaica-Hispanic-7Day-Adventist-Church-689589401422794/,no,11432,40.707286,-73.80095,Queens,NY,b1d98238-9b1a-4ab4-9046-2cb06b9baa44
6,New York City Love Kitchen - Food Pantry,3816 9th Ave,"- Visitors need to call to register before arriving to pick up food
- They serve mostly canned goods, and fresh fruits and vegetables.
- Entrance is at the corner of 204th street and 9th avenue
- Visitors will be assigned a specific date to come collect the food",FPC,open,open,unknown,2/8/2023 7:00 PM,2/9/2023,,"We 11:00AM-12:00PM ""1st and 3rd Wednesday of the month""","We 11:00AM-12:00PM ""1st and 3rd Wednesday of the month""",,https://www.nyclovekitchen.com,no,10034,40.8622334,-73.9184841,New York,NY,c0a0e9c6-11ce-4094-98a1-e16e1a5f32c3
7,"Salvation Army, Bronx Tremont Corps.",2121 Washington Ave,"- Visitors must register the first time with ID and proof of address (ID with address is acceptable)
- more information on websites ",FPC,open,open,,4/20/2023 8:00 PM,4/21/2023,,Tu 12:00PM-01:00PM,Tu 12:00PM-01:00PM,,https://www.salvationarmyusa.org/usn/cure-hunger/,yes,10457,40.85217,-73.89558,Bronx,NY,0e97383c-cd10-4292-8ae4-393248ae4e13
8,Fellowship Covenant Church,720 Castle Hill Ave,"- Visitors must register and make an appointment to come once a month for food
- Serving grab-and-go bags",Plentiful,open,open,open,7/13/2023 1:00 AM,3/2/2023,7/13/2023 1:00 AM,"2023-07-19 09:00AM-11:30AM ""[plentiful appointment]""
2023-07-26 09:00AM-11:30AM ""[plentiful appointment]""
2023-08-02 09:00AM-11:30AM ""[plentiful appointment]""
2023-08-09 09:00AM-11:30AM ""[plentiful appointment]""
2023-08-16 09:00AM-11:30AM ""[plentiful appointment]""
2023-08-23 09:00AM-11:30AM ""[plentiful appointment]""
2023-08-30 09:00AM-11:30AM ""[plentiful appointment]""
2023-09-06 09:00AM-11:30AM ""[plentiful appointment]""
2023-09-13 09:00AM-11:30AM ""[plentiful appointment]""
2023-09-20 09:00AM-11:30AM ""[plentiful appointment]""
2023-09-27 09:00AM-11:30AM ""[plentiful appointment]""
2023-10-04 09:00AM-11:30AM ""[plentiful appointment]""","We 08:00AM-3:00PM
Su 9:30AM-12:30PM 
","2023-07-19 09:00AM-11:30AM ""[plentiful appointment]""
2023-07-26 09:00AM-11:30AM ""[plentiful appointment]""
2023-08-02 09:00AM-11:30AM ""[plentiful appointment]""
2023-08-09 09:00AM-11:30AM ""[plentiful appointment]""
2023-08-16 09:00AM-11:30AM ""[plentiful appointment]""
2023-08-23 09:00AM-11:30AM ""[plentiful appointment]""
2023-08-30 09:00AM-11:30AM ""[plentiful appointment]""
2023-09-06 09:00AM-11:30AM ""[plentiful appointment]""
2023-09-13 09:00AM-11:30AM ""[plentiful appointment]""
2023-09-20 09:00AM-11:30AM ""[plentiful appointment]""
2023-09-27 09:00AM-11:30AM ""[plentiful appointment]""
2023-10-04 09:00AM-11:30AM ""[plentiful appointment]""",http://fellowshipcovenant.church,yes,10473,40.821667,-73.848251,Bronx,NY,66788ff4-fb9f-462f-b593-d6eac52ef789
9,"Holy Cross, St. John the Baptist, Crossroads - Soup Kitchen",329 W 42nd St,"- Visitors must live within 15 blocks of the church
- Must have 2 forms of ID
- Everyone who wishes to receive food must be registered. Registration occurs during the hours of distribution only. You must bring identification, social benefits card(s), and proof of residence for all the members of your household.
- Soup kitchen serving grab-and-go meals",FPC,open,open,,6/21/2023 8:00 PM,6/22/2023,,Sa 11:00AM-01:00PM,"Sa 11:00AM-01:00PM
",,https://www.christinthecity.nyc/,yes,10036,40.7579652,-73.9910709,New York,NY,c1f7926d-0162-4b60-8ac0-a61003190d2d
