,GEOID,BoroName,NTA2020,lon,lat,centroid
0,36061000100,Manhattan,MN0191,-74.04233963651814,40.695673226880565,POINT (-74.04233991488555 40.69567298240604)
1,36061000201,Manhattan,MN0301,-73.98584800829612,40.71186874601334,POINT (-73.98584800028144 40.71186871871548)
2,36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424)
3,36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416)
4,36061001402,Manhattan,MN0302,-73.9858816314248,40.717513298621384,POINT (-73.98588163638996 40.71751329107455)
5,36061001800,Manhattan,MN0302,-73.99084216687712,40.719046119948565,POINT (-73.99084214553514 40.719046119924954)
6,36061002201,Manhattan,MN0302,-73.9818441595981,40.719115665463846,POINT (-73.98184414606295 40.71911565637374)
7,36061002601,Manhattan,MN0303,-73.97993015397462,40.722584851642466,POINT (-73.97993013644351 40.72258485381506)
8,36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674)
9,36061002800,Manhattan,MN0303,-73.97681304479435,40.726860955813045,POINT (-73.97681303615444 40.726860950834535)
10,36061003100,Manhattan,MN0102,-74.00381559584184,40.715310572008946,POINT (-74.00381569131154 40.71531053046602)
11,36061003200,Manhattan,MN0303,-73.98370701917263,40.725553285792685,POINT (-73.98370702842817 40.72555327845573)
12,36061003300,Manhattan,MN0102,-74.00614634416432,40.71886214043471,POINT (-74.00614634471161 40.718862096530124)
13,36061003400,Manhattan,MN0303,-73.98145767697616,40.72900590859083,POINT (-73.98145767533329 40.729005907658376)
14,36061003601,Manhattan,MN0302,-73.9911271645957,40.72231932780312,POINT (-73.99112716050642 40.72231932551375)
15,36061003602,Manhattan,MN0303,-73.99020046176118,40.72456037526056,POINT (-73.99020044930231 40.7245603764933)
16,36061003700,Manhattan,MN0201,-74.0074867941145,40.726278564944955,POINT (-74.0074867844917 40.726278558965056)
17,36061003900,Manhattan,MN0102,-74.0107807590449,40.72079553570638,POINT (-74.0107807731053 40.72079547237539)
18,36061004001,Manhattan,MN0303,-73.9849021192912,40.73026448525545,POINT (-73.98490213004057 40.730264478967435)
19,36061004002,Manhattan,MN0303,-73.98720895456378,40.73124230289812,POINT (-73.98720896594332 40.73124229637703)
20,36061004100,Manhattan,MN0201,-73.99669598277335,40.719163687384196,POINT (-73.99669600087324 40.71916366692359)
21,36061004300,Manhattan,MN0201,-73.99546720645796,40.72332440082427,POINT (-73.99546719978427 40.723324396693656)
22,36061004500,Manhattan,MN0201,-73.99939082189476,40.72057033019494,POINT (-73.99939084546835 40.72057031667378)
23,36061005200,Manhattan,MN0501,-73.99045862330036,40.73743473648013,POINT (-73.99045864282371 40.73743472095588)
24,36061005400,Manhattan,MN0501,-73.99367779133665,40.73881207743306,POINT (-73.99367780718457 40.738812069516676)
25,36061005501,Manhattan,MN0202,-73.99708180830041,40.727672610534896,POINT (-73.99708181650152 40.72767260351943)
26,36061005502,Manhattan,MN0202,-73.99387212712992,40.7262234966928,POINT (-73.99387212794875 40.72622349092178)
27,36061005800,Manhattan,MN0501,-73.99051618494464,40.74315158928294,POINT (-73.99051620582514 40.74315157654082)
28,36061006300,Manhattan,MN0202,-73.99686078482694,40.73442170185447,POINT (-73.99686080680512 40.734421687788746)
29,36061006500,Manhattan,MN0202,-73.99957850679242,40.729967219959214,POINT (-73.99957852694195 40.729967207054514)
30,36061006700,Manhattan,MN0203,-74.00412224839053,40.73045257093796,POINT (-74.0041222640263 40.730452565666816)
31,36061006800,Manhattan,MN0602,-73.98407917312461,40.74043732960199,POINT (-73.98407919747356 40.740437312260795)
32,36061006900,Manhattan,MN0203,-74.00999837601391,40.730378921729915,POINT (-74.0099984141012 40.73037892288804)
33,36061007001,Manhattan,MN0603,-73.97582432610801,40.74270836386233,POINT (-73.97582433797677 40.742708355759014)
34,36061007002,Manhattan,MN0603,-73.97813139634542,40.74367558303793,POINT (-73.97813140696958 40.74367557672451)
35,36061007100,Manhattan,MN0203,-73.99991361124717,40.73544661959126,POINT (-73.99991364404127 40.735446590951895)
36,36061007200,Manhattan,MN0603,-73.98085592085918,40.744861365602766,POINT (-73.980855944483 40.74486134912044)
37,36061007300,Manhattan,MN0203,-74.00410623322425,40.734115715469684,POINT (-74.00410625040703 40.73411570394857)
38,36061007500,Manhattan,MN0203,-74.0087382430871,40.73438603572763,POINT (-74.00873826293508 40.73438603135474)
39,36061007600,Manhattan,MN0501,-73.98729624839149,40.74756594153478,POINT (-73.98729626957324 40.747565928155815)
40,36061007700,Manhattan,MN0203,-74.00329385357644,40.738083085765915,POINT (-74.00329385087566 40.73808308035789)
41,36061007800,Manhattan,MN0603,-73.97467365973009,40.74632537305917,POINT (-73.97467365469602 40.746325367646286)
42,36061008000,Manhattan,MN0603,-73.9776523314043,40.74925841664874,POINT (-73.9776523544691 40.74925839999048)
43,36061008100,Manhattan,MN0401,-73.99877177141194,40.739805730412016,POINT (-73.99877174429504 40.739805736019015)
44,36061008200,Manhattan,MN0502,-73.98087259028385,40.75061378169349,POINT (-73.98087261356555 40.750613765291924)
45,36061008300,Manhattan,MN0401,-74.00445211268419,40.742198823137,POINT (-74.0044520874449 40.742198824573734)
46,36061008400,Manhattan,MN0502,-73.98409384539356,40.75196991080357,POINT (-73.9840938636639 40.75196990136375)
47,36061008700,Manhattan,MN0401,-73.99699453343844,40.742243358778175,POINT (-73.99699450431714 40.742243363041865)
48,36061008900,Manhattan,MN0401,-74.00267744792825,40.744637887176424,POINT (-74.00267742106115 40.74463789059923)
49,36061009100,Manhattan,MN0401,-73.99519664557965,40.74471843859997,POINT (-73.99519662121072 40.74471844171353)
50,36061009200,Manhattan,MN0604,-73.97474012129685,40.75364667729728,POINT (-73.97474014520769 40.75364666419461)
51,36061009300,Manhattan,MN0401,-74.00087528572323,40.747113531342414,POINT (-74.00087526397357 40.74711353235393)
