GEOID,Mo_period_1_tt,Mo_period_2_tt,Mo_period_3_tt,Mo_period_4_tt,Tu_period_1_tt,Tu_period_2_tt,Tu_period_3_tt,Tu_period_4_tt,We_period_1_tt,We_period_2_tt,We_period_3_tt,We_period_4_tt,Th_period_1_tt,Th_period_2_tt,Th_period_3_tt,Th_period_4_tt,Fr_period_1_tt,Fr_period_2_tt,Fr_period_3_tt,Fr_period_4_tt,Sa_period_1_tt,Sa_period_2_tt,Sa_period_3_tt,Sa_period_4_tt,Su_period_1_tt,Su_period_2_tt,Su_period_3_tt,Su_period_4_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,27.14,26.27,26.99,25.87,27.14,5.69,6.04,25.87,12.21,17.67,17.96,25.87,27.14,5.69,6.04,25.87,24.02,5.69,23.9,23.75,25.14,17.3,24.33,59.32,17.47,17.28,50.4,59.28,5.69,23.476428571428567,0.39285714285714285,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,31.24,30.5,30.81,29.82,31.24,9.91,10.09,29.82,16.18,19.32,19.6,29.82,31.24,9.91,10.09,29.82,26.2,9.91,26.31,25.78,29.18,18.91,28.25,63.68,19.06,18.92,54.6,63.61,9.91,26.922142857142855,0.39285714285714285,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,26.62,26.55,26.91,26.3,26.62,6.93,7.11,26.3,9.25,12.28,12.42,26.3,26.62,6.93,7.11,26.3,19.54,6.93,19.93,19.32,25.76,12.25,24.23,65.87,12.41,12.14,54.25,65.85,6.93,22.82250000000001,0.5,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,17.0,13.45,14.6,13.73,18.98,10.93,14.6,13.73,15.25,11.0,14.6,13.73,17.99,10.93,14.6,13.73,16.93,12.27,14.6,13.73,10.92,15.67,14.32,13.8,23.43,23.69,14.01,13.68,10.92,14.85357142857143,0.9285714285714286,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,22.94,15.43,16.14,20.37,14.99,15.26,16.73,20.37,21.12,7.43,16.73,19.86,13.1,15.68,16.29,20.37,22.94,4.69,15.54,20.37,12.65,14.2,20.38,20.64,29.89,28.96,20.58,20.73,4.69,18.013571428571428,0.5357142857142857,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,22.98,22.79,23.04,22.26,22.98,9.57,9.73,22.26,7.96,18.85,18.88,22.26,22.98,9.57,9.73,22.26,22.98,9.57,18.99,22.26,21.21,18.47,19.33,64.29,19.98,20.4,53.79,64.39,7.96,22.991428571428568,0.42857142857142855,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,14.62,10.41,14.45,16.94,17.23,7.51,13.36,16.94,16.3,7.55,14.3,14.38,15.3,7.51,13.95,16.94,14.62,9.98,12.35,16.94,7.25,13.47,17.34,17.33,27.69,26.62,17.3,17.42,7.25,14.857142857142858,0.9285714285714286,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,20.12,14.07,13.72,18.31,17.7,13.28,13.93,18.31,19.4,7.42,13.93,17.23,12.67,13.15,13.42,18.31,20.75,8.09,13.03,18.31,8.28,12.05,18.51,18.7,28.84,27.83,18.68,18.8,7.42,16.315714285714282,0.8571428571428571,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,22.85,15.02,15.54,21.47,15.68,15.12,15.6,21.47,22.45,6.03,15.6,19.4,12.34,15.15,15.11,21.47,23.18,4.61,14.88,21.47,11.89,13.41,21.59,21.83,31.66,30.71,21.7,21.93,4.61,18.18428571428571,0.5357142857142857,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,22.19,13.66,14.01,22.83,12.96,13.14,14.01,22.83,22.62,4.63,14.01,18.05,10.86,13.63,13.54,22.83,22.65,2.08,13.37,22.83,10.88,11.96,19.4,23.15,30.87,31.6,23.14,23.24,2.08,17.534642857142853,0.5714285714285714,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
