GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,33.76,28.53,31.82,43.39,31.43,19.79,21.86,48.17,19.05,22.49,23.09,39.74,32.1,21.44,21.74,42.26,28.28,17.72,24.7,36.26,35.09,21.92,32.44,71.45,42.1,32.62,59.53,84.84,17.72,34.55750000000001,0.10714285714285714,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,37.78,32.71,35.6,46.77,35.41,23.19,25.74,52.35,22.29,25.84,26.25,43.7,36.05,25.02,25.13,46.38,31.61,21.23,27.23,39.59,39.35,25.26,36.44,75.97,45.49,34.92,63.23,89.35,21.23,38.21,0.0,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,34.33,29.44,32.59,45.85,31.89,18.84,22.7,52.27,16.12,20.68,21.14,42.18,32.0,21.13,21.53,45.3,26.48,16.73,21.6,36.88,36.46,20.67,33.46,79.57,42.86,30.52,63.89,94.38,16.12,35.410357142857144,0.10714285714285714,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,18.74,16.08,16.64,39.07,19.92,14.04,16.64,31.58,16.99,13.58,17.14,27.01,19.24,13.6,17.09,32.69,19.09,14.2,15.41,39.96,16.59,16.79,19.13,40.59,28.28,29.12,25.84,44.92,13.58,22.856071428571425,0.6428571428571429,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,24.17,18.73,20.03,40.18,21.51,16.0,19.11,33.27,22.74,13.21,19.31,28.02,20.95,17.18,20.34,32.58,24.59,12.3,18.04,37.69,16.87,14.91,22.62,45.62,33.25,34.53,31.58,50.02,12.3,25.333928571428572,0.35714285714285715,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,30.9,25.24,29.79,46.07,27.92,20.21,20.68,49.88,17.22,20.57,21.05,39.78,28.63,20.63,20.68,42.31,25.66,17.21,22.44,36.75,32.84,20.29,29.23,80.1,44.8,37.59,65.42,94.62,17.21,34.58964285714286,0.07142857142857142,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,16.69,13.44,15.66,41.4,18.08,11.13,15.41,32.07,17.36,10.82,16.01,27.03,16.8,10.46,16.18,32.88,17.02,11.81,13.94,40.74,13.91,14.5,18.65,44.26,29.9,30.15,28.99,48.92,10.46,22.29321428571428,0.6428571428571429,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,21.8,16.85,17.61,41.99,20.81,14.52,16.68,33.94,21.14,11.55,17.05,28.57,19.06,14.33,17.69,33.93,22.35,12.37,15.76,40.92,15.79,14.16,21.94,46.06,32.64,33.54,30.45,50.27,11.55,24.420357142857146,0.4642857142857143,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,24.32,18.88,19.88,42.82,21.81,15.79,18.77,34.95,23.92,12.25,19.04,29.24,20.65,16.46,20.09,33.8,24.65,12.09,17.77,40.22,17.32,14.63,23.33,48.55,34.81,36.14,33.24,52.79,12.09,26.00749999999999,0.39285714285714285,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,23.48,16.94,19.47,42.04,20.42,13.9,17.77,33.97,23.42,10.86,17.31,28.01,19.51,14.95,19.5,32.66,23.71,10.26,16.97,38.23,14.88,12.71,22.29,49.01,34.4,36.01,34.55,53.35,10.26,25.020714285714284,0.4642857142857143,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
