GEOID,Mo_period_1_tt,Mo_period_2_tt,Mo_period_3_tt,Mo_period_4_tt,Tu_period_1_tt,Tu_period_2_tt,Tu_period_3_tt,Tu_period_4_tt,We_period_1_tt,We_period_2_tt,We_period_3_tt,We_period_4_tt,Th_period_1_tt,Th_period_2_tt,Th_period_3_tt,Th_period_4_tt,Fr_period_1_tt,Fr_period_2_tt,Fr_period_3_tt,Fr_period_4_tt,Sa_period_1_tt,Sa_period_2_tt,Sa_period_3_tt,Sa_period_4_tt,Su_period_1_tt,Su_period_2_tt,Su_period_3_tt,Su_period_4_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,30.37,30.37,30.37,38.84,25.38,6.26,6.26,38.84,16.23,20.16,20.16,38.84,25.38,6.26,6.26,38.84,25.38,6.26,31.8,35.57,37.13,20.64,31.8,86.75,20.16,20.16,79.74,86.75,6.26,30.74857142857142,0.21428571428571427,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,37.62,37.62,37.62,43.17,32.67,11.17,11.17,43.17,17.03,17.03,17.03,43.17,32.67,11.17,11.17,43.17,32.67,11.17,36.05,37.29,41.4,18.32,37.41,89.84,17.03,17.03,84.47,94.05,11.17,34.40642857142857,0.39285714285714285,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,29.76,29.76,29.76,29.76,29.76,6.71,6.71,29.76,8.2,11.77,11.77,29.76,29.76,6.71,6.71,29.76,23.87,6.71,23.87,23.87,27.98,10.99,25.47,90.19,11.77,11.77,71.11,90.19,6.71,26.578928571428566,0.39285714285714285,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,15.18,13.39,10.44,10.44,15.18,11.75,10.44,10.44,11.0,11.0,10.44,10.44,15.18,11.75,10.44,10.44,17.64,9.46,10.44,10.44,10.28,12.88,10.44,10.44,25.52,25.52,10.44,10.44,9.46,12.567499999999997,0.9285714285714286,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,26.49,17.06,17.06,22.18,18.32,16.0,17.06,22.18,22.44,7.29,17.06,21.11,15.06,16.0,17.06,22.18,26.49,3.85,17.06,22.18,12.63,15.16,22.18,22.18,32.27,32.27,22.18,22.18,3.85,19.470714285714283,0.5,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,19.65,19.65,19.65,25.55,19.65,8.98,8.98,25.55,5.92,17.74,17.74,25.55,19.65,8.98,8.98,25.55,19.65,8.98,17.74,25.55,23.94,17.74,17.74,79.01,22.9,22.9,65.89,79.01,5.92,24.243571428571432,0.6071428571428571,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,14.59,9.68,14.52,14.52,17.79,7.52,14.52,14.52,15.1,7.52,14.52,14.52,14.27,7.52,14.52,14.52,14.59,9.68,14.46,14.52,6.24,13.4,14.52,14.52,29.74,29.74,14.52,14.52,6.24,14.307142857142855,0.9285714285714286,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,19.44,13.69,13.69,17.77,17.33,9.56,13.69,17.77,18.2,4.9,13.69,16.91,12.2,9.56,13.69,17.77,19.44,6.1,13.69,17.77,6.32,11.75,17.77,17.77,30.91,30.91,17.77,17.77,4.9,15.636785714285711,0.9285714285714286,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,24.51,15.03,15.03,21.94,16.64,13.95,15.03,21.94,22.25,5.18,15.03,19.04,13.06,13.95,15.03,21.94,24.51,2.0,15.03,21.94,10.59,13.11,21.94,21.94,32.99,32.99,21.94,21.94,2.0,18.23107142857143,0.5357142857142857,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,24.23,13.04,13.04,25.17,13.63,13.04,13.04,25.17,23.78,4.77,13.04,17.29,10.96,13.04,13.04,25.17,24.23,1.98,13.04,25.17,10.86,11.28,22.88,25.17,36.52,36.52,25.17,25.17,1.98,18.55142857142857,0.5357142857142857,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
