GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,36.99,35.91,41.33,64.19,31.53,22.43,25.16,79.8,20.59,25.78,27.44,65.93,31.19,20.67,25.16,61.86,30.44,22.4,34.75,53.72,49.48,29.85,42.92,95.11,59.34,55.24,92.82,125.23,20.59,46.68785714285714,0.0,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,39.95,39.95,48.54,67.35,38.3,28.81,30.65,81.84,25.55,29.58,32.53,69.2,35.97,27.63,30.65,67.88,36.34,28.17,37.28,58.17,57.84,32.37,49.19,99.56,62.88,56.27,96.73,131.87,25.55,51.46607142857143,0.0,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,37.73,30.4,35.41,58.5,30.41,20.03,22.44,73.48,16.58,22.33,22.33,54.31,30.41,22.36,22.44,58.46,28.08,19.06,25.2,47.94,46.12,21.48,41.38,97.74,56.98,45.66,87.08,131.24,16.58,43.056428571428576,0.07142857142857142,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,16.93,15.4,14.42,47.15,19.54,13.01,14.9,37.0,14.01,11.8,14.9,38.89,16.45,13.01,14.9,42.5,20.35,13.5,12.29,55.47,17.37,15.89,17.77,48.07,30.47,30.47,24.48,58.3,11.8,24.615714285714287,0.6071428571428571,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,29.46,21.94,23.87,52.21,26.57,17.13,21.63,41.94,25.89,13.45,22.08,35.32,23.6,17.62,22.43,43.24,29.29,13.02,18.19,53.46,19.37,16.39,25.96,57.77,40.54,41.6,34.78,65.64,13.02,30.513928571428572,0.25,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,33.42,23.3,28.82,55.78,21.9,16.37,18.06,67.81,15.36,19.3,20.98,47.85,21.9,16.37,18.06,50.3,22.12,15.74,21.2,43.59,36.8,21.17,29.71,91.06,53.85,48.09,82.87,120.7,15.36,37.94571428571429,0.25,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,17.1,13.08,14.69,48.43,19.66,10.42,14.78,36.35,18.29,10.64,15.41,37.7,16.51,10.38,16.14,41.12,18.22,12.19,14.52,56.91,16.08,15.8,18.92,49.46,32.03,32.03,28.39,62.48,10.38,24.91892857142857,0.6428571428571429,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,21.95,15.64,16.97,49.86,22.91,12.32,15.56,38.36,21.17,9.5,16.12,32.74,19.54,12.32,18.32,41.23,23.62,11.31,15.28,52.87,15.16,13.84,21.48,53.06,36.6,36.46,31.34,64.16,9.5,26.417500000000008,0.4642857142857143,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,27.5,19.91,21.84,51.83,24.61,15.21,19.57,40.85,24.43,11.39,20.02,34.18,22.14,15.56,20.98,42.19,27.23,11.03,17.04,52.73,17.43,14.47,25.03,56.97,39.55,40.89,34.88,66.33,11.03,29.135357142857142,0.32142857142857145,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,26.06,18.77,20.67,52.87,22.58,13.55,17.82,40.88,25.74,10.74,18.19,33.51,22.52,14.41,20.81,41.17,26.06,9.81,17.22,51.46,16.24,12.21,24.49,58.6,40.14,43.13,38.21,69.72,9.81,28.842142857142857,0.35714285714285715,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
36005002800,20.78,14.82,20.37,51.09,16.64,15.12,15.12,51.68,14.82,11.24,12.19,38.09,16.64,16.64,16.23,40.41,16.64,10.17,12.19,38.07,26.17,14.3,18.05,86.4,48.81,46.45,69.02,114.3,10.17,31.15892857142857,0.5357142857142857,54321,84197,5372,0.685,0.0287,0.076,107246.0,Bronx,-23049.0,1,1
36005003100,23.47,16.59,20.15,56.32,18.75,13.93,16.61,42.13,23.99,11.63,13.86,33.44,19.15,15.6,20.81,39.02,22.99,13.05,17.07,48.05,14.28,13.07,23.03,64.31,43.31,54.9,49.36,79.71,11.63,29.592142857142854,0.42857142857142855,34276,31859,2165,0.2654,0.1718,0.134,107246.0,Bronx,-75387.0,1,1
36005003300,24.22,17.43,19.14,53.61,20.2,11.75,15.81,40.53,23.43,9.72,14.62,32.61,20.06,13.54,21.63,39.92,24.22,9.48,15.18,50.17,14.07,9.88,22.22,59.63,40.25,44.73,45.62,72.84,9.48,28.08964285714286,0.39285714285714285,20129,38535,3339,0.3484,0.5281,0.281,107246.0,Bronx,-68711.0,1,1
36005003500,22.2,14.18,18.2,55.03,17.35,10.52,14.25,40.46,20.63,9.53,11.82,31.84,16.83,12.48,18.61,38.15,21.37,10.28,13.62,48.2,11.89,8.1,19.38,61.74,40.91,52.67,47.49,78.07,8.1,27.349999999999998,0.5357142857142857,30793,27928,3880,0.4146,0.3856,0.228,107246.0,Bronx,-79318.0,1,1
36005003700,20.18,13.0,15.14,53.67,15.69,8.07,11.39,38.98,18.92,7.24,11.56,30.65,15.57,9.17,17.38,37.94,20.86,7.78,10.74,48.9,10.81,5.66,18.09,58.95,38.68,44.49,45.52,75.58,5.66,25.37892857142857,0.5714285714285714,37321,57847,277,0.1203,0.3053,,107246.0,Bronx,-49399.0,1,1
36005003800,34.28,24.85,30.05,55.31,25.66,18.52,19.51,70.73,14.43,20.2,20.2,48.84,25.66,20.05,19.51,52.87,24.24,16.4,21.05,43.58,40.56,19.15,35.62,94.73,55.14,44.65,83.12,127.16,14.43,39.5025,0.21428571428571427,83295,116146,1313,0.7638,0.1346,0.109,107246.0,Bronx,8900.0,0,0
36005003900,19.03,12.07,15.34,50.02,19.64,8.75,13.97,36.95,19.03,7.12,14.57,31.35,17.03,9.04,16.48,39.94,19.74,9.63,12.32,52.16,11.83,12.1,19.29,52.37,35.23,35.8,32.81,66.45,7.12,24.645000000000007,0.6428571428571429,20049,31075,6710,0.2761,0.3981,0.255,107246.0,Bronx,-76171.0,1,1
