GEOID,Mo_period_1_tt,Mo_period_2_tt,Mo_period_3_tt,Mo_period_4_tt,Tu_period_1_tt,Tu_period_2_tt,Tu_period_3_tt,Tu_period_4_tt,We_period_1_tt,We_period_2_tt,We_period_3_tt,We_period_4_tt,Th_period_1_tt,Th_period_2_tt,Th_period_3_tt,Th_period_4_tt,Fr_period_1_tt,Fr_period_2_tt,Fr_period_3_tt,Fr_period_4_tt,Sa_period_1_tt,Sa_period_2_tt,Sa_period_3_tt,Sa_period_4_tt,Su_period_1_tt,Su_period_2_tt,Su_period_3_tt,Su_period_4_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,12.44,11.93,12.44,12.44,12.44,2.06,2.06,12.44,4.76,7.32,7.32,12.44,12.44,2.06,2.06,12.44,11.13,2.06,10.24,11.13,12.36,7.91,10.24,27.27,7.32,7.32,25.78,27.27,2.06,10.682857142857143,0.8928571428571429,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,14.95,14.95,14.95,14.95,14.95,4.62,4.62,14.95,7.27,7.89,7.89,14.95,14.95,4.62,4.62,14.95,11.89,4.62,11.89,11.89,14.87,8.48,13.21,30.45,7.89,7.89,28.55,30.45,4.62,12.791428571428568,0.8928571428571429,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,11.06,11.06,11.06,11.06,11.06,2.16,2.16,11.06,3.39,4.64,4.64,11.06,11.06,2.16,2.16,11.06,8.03,2.16,8.03,8.03,10.98,5.22,9.33,29.15,4.64,4.64,24.69,29.15,2.16,9.460714285714285,0.8928571428571429,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,6.57,4.7,6.34,9.66,6.57,3.59,5.87,9.66,7.18,3.59,6.34,6.52,6.57,3.59,6.34,9.66,6.57,4.7,5.59,9.66,3.27,6.02,7.84,9.66,12.25,12.25,9.66,9.66,3.27,7.13857142857143,1.0,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,9.76,6.1,6.1,9.41,6.7,6.1,6.1,9.41,8.34,2.55,6.1,8.18,4.98,6.1,6.1,9.41,9.76,1.52,6.1,9.41,4.72,5.41,8.67,9.41,12.0,12.0,9.41,9.41,1.52,7.473571428571427,1.0,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,8.96,8.96,8.96,8.96,8.96,3.38,3.38,8.96,2.3,6.58,6.58,8.96,8.96,3.38,3.38,8.96,8.96,3.38,7.22,8.96,8.87,7.16,7.22,25.79,6.58,6.58,22.71,25.79,2.3,8.887142857142859,0.8928571428571429,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,5.36,3.49,5.13,8.45,5.36,2.38,4.66,8.45,5.97,2.38,5.13,5.31,5.36,2.38,5.13,8.45,5.36,3.49,4.38,8.45,2.06,4.81,6.63,8.45,11.04,11.04,8.45,8.45,2.06,5.928571428571428,1.0,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,7.4,5.42,5.67,7.93,6.47,4.22,5.53,7.93,6.86,2.07,5.67,6.18,4.55,4.22,5.67,7.93,7.4,3.17,5.0,7.93,2.46,4.97,7.93,7.93,10.52,10.52,7.93,7.93,2.07,6.3360714285714295,1.0,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,9.2,5.55,5.55,9.96,6.15,5.55,5.55,9.96,8.9,2.0,5.55,7.63,4.43,5.55,5.55,9.96,9.2,0.96,5.55,9.96,4.17,4.86,8.12,9.96,12.55,12.55,9.96,9.96,0.96,7.315714285714287,1.0,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,8.91,4.9,4.9,10.61,5.5,4.9,4.9,10.61,8.87,1.35,4.9,6.98,3.78,4.9,4.9,10.61,8.91,0.31,4.9,10.61,3.52,4.21,8.06,10.61,12.18,13.2,10.61,10.61,0.31,7.116071428571431,1.0,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
36005002800,8.13,6.39,8.13,8.36,7.53,7.02,7.02,8.36,5.23,4.69,4.69,8.36,8.13,7.33,7.33,8.36,8.13,4.69,4.69,8.36,8.28,4.69,4.69,21.72,10.29,10.29,20.23,21.72,4.69,8.672857142857142,0.8928571428571429,54321,84197,5372,0.685,0.0287,0.076,107246.0,Bronx,-23049.0,1,1
36005003100,7.79,4.51,4.51,13.46,3.33,3.33,4.51,13.46,7.79,3.24,4.08,6.58,4.58,4.51,4.51,11.55,7.01,3.8,4.51,13.46,3.33,3.33,4.85,13.46,11.78,16.05,13.46,13.46,3.24,7.508571428571431,1.0,34276,31859,2165,0.2654,0.1718,0.134,107246.0,Bronx,-75387.0,1,1
36005003300,8.84,4.83,4.83,11.92,4.11,4.11,4.83,11.92,8.84,2.09,4.83,6.91,3.71,4.83,4.83,11.92,8.84,1.69,4.83,11.92,3.7,4.11,6.85,11.92,12.11,14.51,11.92,11.92,1.69,7.416785714285713,1.0,20129,38535,3339,0.3484,0.5281,0.281,107246.0,Bronx,-68711.0,1,1
36005003500,7.03,3.02,3.02,14.05,1.84,1.84,3.02,13.7,7.03,3.02,3.02,5.09,3.09,3.02,3.02,10.92,6.9,3.02,3.02,14.05,1.84,1.84,4.58,14.05,10.3,14.82,14.05,14.05,1.84,6.7232142857142865,1.0,30793,27928,3880,0.4146,0.3856,0.228,107246.0,Bronx,-79318.0,1,1
36005003700,8.8,4.79,4.79,14.13,3.61,3.61,4.79,14.13,8.8,4.31,4.79,6.87,4.75,4.79,4.79,12.69,8.67,3.98,4.79,14.13,3.61,3.61,6.35,14.13,12.07,16.59,14.13,14.13,3.61,8.093928571428574,1.0,37321,57847,277,0.1203,0.3053,,107246.0,Bronx,-49399.0,1,1
36005003800,8.22,8.22,8.22,8.22,8.22,2.32,2.32,8.22,0.54,5.53,5.53,8.22,8.22,2.32,2.32,8.22,8.22,2.32,6.48,8.22,8.14,6.05,6.48,26.47,5.53,5.53,21.97,26.47,0.54,8.097857142857142,0.8928571428571429,83295,116146,1313,0.7638,0.1346,0.109,107246.0,Bronx,8900.0,0,0
36005003900,6.15,3.56,3.9,7.62,6.08,2.36,3.67,7.62,5.95,2.36,3.9,4.32,4.49,2.36,3.9,7.62,6.15,3.14,3.14,7.62,0.6,3.61,6.25,7.62,10.21,10.21,7.62,7.62,0.6,5.344642857142858,1.0,20049,31075,6710,0.2761,0.3981,0.255,107246.0,Bronx,-76171.0,1,1
36005004001,8.03,8.03,8.03,8.03,8.03,5.85,8.03,8.03,6.57,6.57,6.57,8.03,8.03,8.03,8.03,8.03,3.51,3.51,3.51,3.51,7.94,5.98,8.07,29.84,6.57,6.57,20.29,29.84,3.51,8.966428571428569,0.8928571428571429,64087,99334,1574,0.7324,0.1925,0.132,107246.0,Bronx,-7912.0,1,1
36005004100,6.45,3.85,4.19,10.28,6.38,2.66,3.97,10.28,6.25,2.66,4.19,4.62,4.79,2.66,4.19,10.28,6.45,3.44,3.44,10.28,2.06,3.91,6.55,10.28,10.85,12.87,10.28,10.28,2.06,6.371071428571428,1.0,20551,63182,5798,0.3132,0.4852,0.307,107246.0,Bronx,-44064.0,1,1
36005004200,8.33,8.33,8.33,8.33,8.33,3.92,3.92,8.33,3.32,5.35,5.35,8.33,8.33,3.92,3.92,8.33,5.64,3.92,5.64,5.64,8.25,4.76,6.59,26.98,5.35,5.35,22.08,26.98,3.32,8.28035714285714,0.8928571428571429,57250,89758,7803,0.535,0.2366,0.141,107246.0,Bronx,-17488.0,1,1
36005004300,6.51,4.16,4.16,11.45,5.0,2.93,3.93,11.45,6.51,2.93,4.16,4.58,3.08,2.93,4.16,11.45,6.51,3.41,3.41,11.45,3.23,3.5,6.51,11.45,10.81,14.04,11.45,11.45,2.93,6.664642857142857,1.0,25534,68534,5527,0.2446,0.3553,0.254,107246.0,Bronx,-38712.0,1,1
36005004400,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,4.59,4.13,4.13,5.87,5.87,5.87,5.87,5.87,4.64,4.13,4.13,4.64,5.79,4.13,4.13,25.97,8.5,8.5,19.21,25.97,4.13,7.460714285714287,0.9285714285714286,15750,15451,4551,0.31,0.5072,0.327,107246.0,Bronx,-91795.0,1,1
36005004600,7.15,7.15,7.15,7.15,7.15,4.47,4.47,7.15,2.37,5.42,5.42,7.15,7.15,4.47,4.47,7.15,7.15,4.47,5.42,7.15,7.07,5.42,5.42,24.59,7.43,7.43,20.9,24.59,2.37,7.945714285714287,0.8928571428571429,29145,45174,1826,0.3663,0.5043,0.279,107246.0,Bronx,-62072.0,1,1
36005004800,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,3.26,1.5,1.5,3.26,3.26,3.26,3.26,3.26,3.26,1.5,1.5,3.26,3.18,1.5,1.5,23.34,10.54,10.54,18.27,23.34,1.5,5.370357142857141,0.9285714285714286,33500,87969,4464,0.3098,0.2607,0.167,107246.0,Bronx,-19277.0,1,1
36005005001,5.94,4.05,5.94,5.94,5.94,5.94,5.94,5.94,5.94,1.88,1.88,5.94,5.94,5.94,5.94,5.94,5.94,1.88,1.88,5.94,5.85,1.88,1.88,21.9,13.93,13.93,19.47,21.9,1.88,7.1932142857142845,0.9285714285714286,28353,47727,4304,0.3389,0.5078,0.295,107246.0,Bronx,-59519.0,1,1
36005005002,2.7,1.38,2.7,2.7,2.7,2.7,2.7,2.7,2.7,1.36,1.36,2.7,2.7,2.7,2.7,2.7,2.7,1.36,1.36,2.7,2.62,1.36,1.36,22.53,11.95,12.81,16.8,22.53,1.36,4.974285714285714,0.9285714285714286,34013,62969,6393,0.2271,0.3928,0.255,107246.0,Bronx,-44277.0,1,1
36005005100,3.96,1.45,3.96,8.65,4.44,1.26,4.74,8.65,4.57,2.69,5.19,5.19,4.44,1.26,5.21,8.65,3.96,1.45,3.96,8.65,3.87,3.89,5.04,8.65,10.38,10.38,8.65,8.65,1.26,5.422857142857144,1.0,19731,16250,6087,0.1391,0.5366,0.337,107246.0,Bronx,-90996.0,1,1
36005005200,5.13,3.15,5.13,5.13,4.29,4.29,4.29,5.13,4.29,1.19,1.19,5.13,5.13,4.29,4.29,5.13,5.13,1.19,1.19,5.13,5.04,1.19,1.19,20.66,11.65,13.23,17.0,20.66,1.19,6.087142857142856,0.9285714285714286,21397,33165,1833,0.2097,0.4163,0.215,107246.0,Bronx,-74081.0,1,1
36005005300,6.91,6.91,6.91,21.44,6.91,6.36,6.91,15.13,6.91,6.91,5.13,11.14,6.91,5.54,2.99,16.58,6.91,6.91,6.58,21.44,8.22,6.36,8.34,11.14,16.17,8.34,8.34,25.54,2.99,9.781428571428574,0.8928571428571429,20449,28114,5472,0.1887,0.5549,0.259,107246.0,Bronx,-79132.0,1,1
36005005400,1.97,0.0,1.97,1.97,1.97,1.97,1.97,1.97,1.97,0.0,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.89,1.89,2.76,22.8,12.22,13.58,15.43,22.8,0.0,4.601071428571429,0.9285714285714286,45625,24427,5638,0.3209,0.27,0.181,107246.0,Bronx,-82819.0,1,1
36005005600,2.05,0.67,2.05,2.05,2.05,2.05,2.05,2.05,2.05,0.67,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,1.97,1.97,2.84,23.47,12.89,13.66,16.1,23.47,0.67,4.807499999999999,0.9285714285714286,40341,58516,2168,0.3952,0.3196,0.213,107246.0,Bronx,-48730.0,1,1
36005005902,2.71,2.71,2.71,13.67,1.27,1.27,2.71,7.18,1.42,1.42,2.71,4.05,2.71,2.71,2.71,9.54,1.27,1.27,2.71,13.67,1.42,1.42,2.71,13.67,7.03,11.05,13.67,13.67,1.27,5.180714285714285,1.0,44917,72989,2730,0.314,0.1612,0.118,107246.0,Bronx,-34257.0,1,1
