GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,14.39,12.68,14.33,21.21,13.06,9.02,9.02,22.27,8.17,9.83,10.0,18.93,13.57,9.19,9.19,19.2,12.41,7.81,10.98,16.94,15.42,10.17,12.65,35.98,19.19,16.45,27.63,40.68,7.81,15.727500000000001,0.8214285714285714,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,17.35,15.64,17.16,23.3,16.02,11.45,11.77,25.23,10.04,12.02,12.02,21.62,16.53,11.94,11.94,22.16,14.57,9.91,12.48,19.1,18.38,12.19,15.77,38.91,21.51,17.15,30.68,43.86,9.91,18.239285714285714,0.7142857142857143,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,15.19,12.7,14.14,20.46,13.77,8.05,9.22,23.07,6.36,8.34,8.34,18.61,14.16,8.61,8.61,19.91,11.32,6.51,8.61,16.08,16.01,8.51,13.51,36.75,19.47,13.49,28.31,42.56,6.36,15.381071428571428,0.8214285714285714,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,6.63,5.87,7.19,18.65,7.2,4.78,6.89,13.7,8.08,4.62,7.11,11.95,6.76,4.63,8.15,14.56,6.63,5.36,6.23,17.66,6.18,6.23,8.65,20.42,12.48,12.48,13.2,22.85,4.62,9.82642857142857,0.9285714285714286,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,9.76,7.85,8.43,17.79,8.74,6.43,7.14,13.44,9.19,5.05,7.05,11.18,8.16,6.71,8.54,13.19,9.82,4.76,7.27,15.1,7.17,6.14,9.4,21.36,13.51,14.33,13.5,22.82,4.76,10.493928571428569,0.9285714285714286,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,12.24,10.17,11.65,18.96,10.91,7.81,7.81,20.12,5.95,7.59,7.59,16.12,11.43,7.97,7.97,17.06,10.04,6.52,8.39,14.57,13.27,7.75,10.66,33.84,17.96,14.38,25.62,39.19,5.95,13.697857142857142,0.8571428571428571,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,5.42,4.66,5.98,17.7,5.99,3.57,5.68,12.75,6.87,3.49,5.9,11.0,5.56,3.42,6.94,13.62,5.42,4.23,5.02,16.97,4.97,5.02,7.44,19.21,11.27,11.27,11.99,21.64,3.42,8.67857142857143,0.9642857142857143,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,7.46,6.16,7.06,17.35,7.09,5.04,6.38,12.71,7.45,3.76,6.59,10.57,6.45,5.0,7.24,13.1,7.46,4.53,6.08,15.71,5.58,5.64,8.24,19.88,12.09,12.46,12.02,21.34,3.76,9.301428571428573,0.9642857142857143,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,9.2,7.29,8.05,17.97,8.18,5.88,6.59,13.25,9.33,4.49,6.5,10.99,7.61,6.15,8.36,13.0,9.26,4.21,7.02,14.91,6.61,5.59,9.21,21.92,13.51,14.34,14.05,23.37,4.21,10.244285714285713,0.9285714285714286,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,9.04,6.76,7.63,18.38,7.85,5.23,6.13,13.43,8.98,3.84,6.05,10.97,7.28,5.5,7.65,12.98,9.04,3.56,6.42,15.09,5.96,4.94,9.04,22.46,13.49,14.52,14.7,24.02,3.56,10.03357142857143,0.9285714285714286,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
36005002800,9.34,7.63,9.28,17.75,8.01,7.29,7.29,17.21,6.96,6.2,6.78,13.87,8.52,7.66,7.66,14.15,8.62,6.45,6.78,13.37,10.36,6.83,7.11,30.44,16.49,15.21,22.09,35.13,6.2,11.945714285714285,0.8928571428571429,54321,84197,5372,0.685,0.0287,0.076,107246.0,Bronx,-23049.0,1,1
36005003100,8.31,6.11,6.94,18.99,6.54,4.55,5.42,14.21,8.31,4.11,5.05,11.34,6.46,5.09,6.94,13.0,7.77,4.14,5.79,15.13,5.31,4.3,7.75,24.71,14.71,16.93,17.14,26.87,4.11,10.06857142857143,0.9285714285714286,34276,31859,2165,0.2654,0.1718,0.134,107246.0,Bronx,-75387.0,1,1
