GEOID,Mo_period_1_tt,Mo_period_2_tt,Mo_period_3_tt,Mo_period_4_tt,Tu_period_1_tt,Tu_period_2_tt,Tu_period_3_tt,Tu_period_4_tt,We_period_1_tt,We_period_2_tt,We_period_3_tt,We_period_4_tt,Th_period_1_tt,Th_period_2_tt,Th_period_3_tt,Th_period_4_tt,Fr_period_1_tt,Fr_period_2_tt,Fr_period_3_tt,Fr_period_4_tt,Sa_period_1_tt,Sa_period_2_tt,Sa_period_3_tt,Sa_period_4_tt,Su_period_1_tt,Su_period_2_tt,Su_period_3_tt,Su_period_4_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,11.71,10.4,11.97,11.25,11.71,3.07,3.98,11.25,6.14,7.42,8.12,11.25,11.71,3.07,3.98,11.25,11.71,3.07,11.97,11.25,10.4,7.27,11.97,17.33,7.74,6.84,18.62,17.33,3.07,9.777857142857144,1.0,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,13.31,12.39,12.98,12.73,13.31,5.24,5.87,12.73,7.74,7.9,8.56,12.73,13.31,5.24,5.87,12.73,13.23,5.24,12.52,12.49,12.0,7.75,13.35,18.8,8.21,7.32,20.0,18.8,5.24,11.155357142857143,0.9642857142857143,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,10.25,9.31,10.02,9.57,10.25,3.59,4.26,9.57,4.67,4.39,5.1,9.57,10.25,3.59,4.26,9.57,9.93,3.59,10.02,9.11,8.94,4.43,10.02,15.21,4.78,3.81,16.67,15.21,3.59,8.21214285714286,1.0,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,9.33,6.28,8.48,7.31,9.33,6.07,8.48,7.31,8.99,6.38,8.48,7.31,9.33,6.07,8.48,7.31,8.99,6.04,8.48,7.31,5.99,7.26,7.9,6.73,12.11,10.91,7.9,6.73,5.99,7.903214285714285,1.0,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,7.12,6.04,7.41,9.34,8.47,7.16,9.98,9.34,9.09,4.12,9.98,9.34,9.41,7.16,9.98,9.34,7.12,3.06,7.41,9.34,6.04,6.6,8.3,8.76,11.71,10.89,9.4,8.76,3.06,8.238214285714287,1.0,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,8.37,7.51,8.33,7.63,8.37,4.98,6.06,7.63,5.21,6.98,7.76,7.63,8.37,4.98,6.06,7.63,8.37,4.98,8.33,7.63,7.06,6.11,8.33,13.81,7.39,6.4,15.07,13.81,4.98,7.885357142857145,1.0,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,9.17,5.34,8.61,8.22,10.62,5.13,8.61,8.22,9.64,5.44,8.61,8.22,9.02,5.13,8.61,8.22,9.17,5.34,8.13,8.22,5.05,7.75,9.17,7.64,13.48,11.85,9.26,7.64,5.05,8.196785714285712,1.0,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,7.98,6.57,7.73,9.31,10.27,6.4,9.38,9.31,10.89,4.55,9.38,9.31,9.13,6.4,9.38,9.31,7.98,5.03,7.73,9.31,4.92,7.34,8.63,8.73,12.57,11.37,10.41,8.73,4.55,8.501785714285711,1.0,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,7.52,6.47,7.82,9.74,8.08,7.08,8.2,9.74,10.34,3.74,8.2,9.74,8.78,7.3,8.2,9.74,7.52,2.67,7.82,9.74,5.85,6.22,8.71,9.16,12.1,11.27,9.81,9.16,2.67,8.24,1.0,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,8.21,6.8,7.5,11.21,7.39,6.4,7.5,11.21,11.13,3.06,7.5,10.7,8.09,6.62,7.5,11.21,8.21,2.67,7.5,11.21,5.16,5.54,7.82,10.63,12.79,11.75,11.8,10.63,2.67,8.490714285714285,1.0,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
