GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,13.48,11.16,12.64,14.03,13.48,8.56,9.79,16.86,8.73,9.44,10.88,15.41,13.74,8.69,9.5,15.54,12.85,8.16,12.2,13.7,13.94,8.92,14.47,21.33,16.81,10.3,20.55,28.51,8.16,13.345357142857143,0.8928571428571429,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,14.7,12.99,13.39,15.2,14.7,10.11,11.02,18.33,9.95,10.92,11.92,16.57,14.86,10.3,10.73,17.01,14.07,10.0,13.08,14.86,15.84,10.4,15.84,22.92,18.03,11.78,21.93,29.98,9.95,14.693928571428568,0.8928571428571429,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,11.46,9.83,11.0,11.82,11.46,7.43,8.74,14.88,6.76,7.7,8.57,13.19,11.72,8.02,8.45,13.57,10.84,7.32,10.14,11.49,12.6,7.25,12.51,19.47,14.65,8.56,19.14,26.39,6.76,11.605714285714283,0.9642857142857143,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,9.63,7.84,9.16,13.36,10.02,6.99,9.16,11.86,9.09,7.05,9.16,10.64,9.72,6.72,9.16,13.56,9.52,6.9,8.74,13.24,8.31,8.06,9.7,13.62,12.93,11.81,12.78,19.21,6.72,10.28357142857143,1.0,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,8.65,6.83,9.33,12.53,9.1,7.37,10.6,10.92,9.77,6.53,10.37,11.32,9.69,8.06,10.61,13.91,8.65,5.06,9.17,12.41,7.48,6.96,9.31,14.35,12.86,11.71,14.25,19.66,5.06,10.266428571428571,1.0,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,10.41,8.16,10.33,10.78,10.54,7.32,8.34,13.31,7.18,7.38,8.33,12.15,9.89,7.45,8.34,11.99,9.57,6.88,9.29,10.72,10.39,6.86,10.85,18.13,14.57,7.97,17.03,24.99,6.86,10.68392857142857,0.9642857142857143,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,10.17,7.15,9.61,14.29,10.65,6.16,9.31,12.3,10.17,6.44,9.69,11.27,9.57,6.16,9.75,13.86,10.07,6.42,8.86,14.17,8.05,7.86,10.09,14.89,13.67,12.27,14.13,20.12,6.16,10.612499999999999,0.9642857142857143,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,9.5,7.22,9.37,13.76,10.4,7.2,10.22,11.7,11.69,6.42,10.6,11.57,9.51,7.2,10.78,14.17,9.5,6.07,8.67,13.65,8.27,7.84,10.56,14.82,14.04,12.44,15.68,20.28,6.07,10.826071428571428,0.9642857142857143,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,9.04,7.15,8.8,12.39,9.23,7.29,9.8,11.05,10.76,6.27,9.56,11.27,9.12,7.46,10.08,12.33,9.04,5.54,8.6,12.28,8.05,6.67,9.45,14.75,12.99,11.84,14.66,20.06,5.54,10.197500000000002,0.9642857142857143,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,10.73,6.93,10.22,12.88,9.94,6.61,9.35,11.78,11.47,5.6,9.39,11.52,9.06,6.78,10.19,14.12,10.25,5.43,9.48,12.76,6.94,6.0,10.09,16.51,13.99,12.46,17.18,21.02,5.43,10.667142857142855,0.9642857142857143,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
36005002800,9.96,7.26,9.55,10.42,9.06,7.66,8.59,14.06,8.06,6.76,8.05,11.79,9.49,7.66,8.62,11.34,8.81,7.11,8.05,10.16,10.14,6.09,8.8,17.77,14.37,7.97,17.11,25.11,6.09,10.350714285714288,0.9642857142857143,54321,84197,5372,0.685,0.0287,0.076,107246.0,Bronx,-23049.0,1,1
36005003100,10.5,6.63,10.28,13.7,8.86,6.46,8.82,13.19,9.49,5.83,8.16,11.93,8.14,6.15,8.96,11.9,8.98,5.05,8.67,13.59,6.84,4.56,8.99,16.6,13.22,13.58,16.61,22.08,4.56,10.2775,0.9642857142857143,34276,31859,2165,0.2654,0.1718,0.134,107246.0,Bronx,-75387.0,1,1
36005003300,10.26,6.87,10.16,14.4,9.48,6.32,8.48,13.13,10.92,5.43,8.38,12.05,8.3,6.74,9.32,12.72,9.85,5.28,8.93,14.28,6.39,5.19,9.89,17.37,13.08,13.06,16.9,21.73,5.19,10.532499999999999,0.9642857142857143,20129,38535,3339,0.3484,0.5281,0.281,107246.0,Bronx,-68711.0,1,1
36005003500,10.49,6.22,9.35,15.94,8.87,5.53,7.77,15.62,10.0,5.01,7.09,12.99,7.03,5.7,8.5,13.66,9.56,4.86,7.52,15.82,6.61,4.15,8.86,20.0,14.32,15.27,16.7,23.63,4.15,10.609642857142857,0.9285714285714286,30793,27928,3880,0.4146,0.3856,0.228,107246.0,Bronx,-79318.0,1,1
36005003700,11.53,7.26,10.39,15.49,9.91,6.57,8.81,15.17,11.04,5.74,8.13,12.54,8.07,6.74,9.54,13.21,10.6,5.59,8.66,15.37,6.71,5.19,9.9,18.39,14.57,15.18,17.41,22.84,5.19,11.091071428571428,0.9642857142857143,37321,57847,277,0.1203,0.3053,,107246.0,Bronx,-49399.0,1,1
36005003800,10.69,8.8,10.33,11.1,10.69,7.01,8.29,13.9,6.34,7.27,8.31,12.47,10.52,7.32,8.15,12.58,10.06,6.78,9.46,10.77,11.19,6.82,11.48,18.39,14.42,8.13,17.56,25.54,6.34,10.870357142857145,0.9642857142857143,83295,116146,1313,0.7638,0.1346,0.109,107246.0,Bronx,8900.0,0,0
36005003900,10.16,6.43,9.62,16.55,10.64,5.76,9.16,14.04,10.75,5.85,9.55,11.86,8.9,5.76,10.12,16.09,10.16,5.97,8.53,16.43,7.14,7.0,10.12,15.99,14.07,13.23,15.53,21.47,5.76,10.959999999999999,0.9642857142857143,20049,31075,6710,0.2761,0.3981,0.255,107246.0,Bronx,-76171.0,1,1
36005004001,11.06,9.36,11.01,11.37,11.06,7.37,10.85,13.52,9.6,8.53,10.09,12.33,11.45,9.36,10.36,13.04,8.99,7.11,6.66,9.82,10.51,7.89,11.94,17.91,14.88,9.92,17.59,25.63,6.66,11.400357142857143,0.9642857142857143,64087,99334,1574,0.7324,0.1925,0.132,107246.0,Bronx,-7912.0,1,1
36005004100,10.68,6.31,8.76,17.83,10.21,5.25,8.13,14.73,10.54,4.67,8.51,12.32,7.61,5.25,9.68,15.63,10.42,5.29,7.31,17.71,6.57,5.62,9.89,17.24,14.53,14.61,16.91,22.85,4.67,10.895000000000001,0.9642857142857143,20551,63182,5798,0.3132,0.4852,0.307,107246.0,Bronx,-44064.0,1,1
36005004200,9.96,8.49,9.27,10.32,9.96,6.82,8.2,13.53,7.14,7.38,8.37,11.69,10.21,7.55,7.91,12.21,9.34,6.7,8.41,9.98,11.1,6.62,11.06,17.96,14.5,8.24,17.55,25.17,6.62,10.55857142857143,0.9642857142857143,57250,89758,7803,0.535,0.2366,0.141,107246.0,Bronx,-17488.0,1,1
36005004300,12.02,7.75,9.87,18.12,10.98,6.13,8.84,15.93,11.84,5.45,9.22,13.76,8.39,6.2,10.75,16.36,11.79,6.29,8.37,18.0,7.85,5.61,10.66,18.74,15.86,16.03,19.13,23.82,5.45,11.920000000000002,0.9642857142857143,25534,68534,5527,0.2446,0.3553,0.254,107246.0,Bronx,-38712.0,1,1
36005004400,9.37,6.46,8.95,9.73,9.03,6.61,8.23,11.44,7.48,5.79,7.5,10.77,8.43,7.11,8.23,10.75,7.74,5.89,6.56,8.38,9.0,5.5,9.39,17.34,14.27,7.48,16.03,24.11,5.5,9.556071428571428,0.9642857142857143,15750,15451,4551,0.31,0.5072,0.327,107246.0,Bronx,-91795.0,1,1
36005004600,9.4,6.85,8.7,9.45,9.22,6.65,7.74,11.98,7.22,6.41,7.73,10.82,8.39,6.77,7.74,10.66,8.25,6.21,7.75,9.14,9.06,6.12,9.52,16.8,14.18,7.29,15.7,23.66,6.12,9.621785714285716,0.9642857142857143,29145,45174,1826,0.3663,0.5043,0.279,107246.0,Bronx,-62072.0,1,1
36005004800,8.52,5.61,8.1,8.93,7.81,6.64,7.49,10.95,7.28,4.61,6.42,10.22,7.68,6.74,7.67,9.77,7.37,5.38,6.23,8.09,8.44,4.8,7.79,16.72,13.48,7.17,15.05,22.9,4.61,8.852142857142855,0.9642857142857143,33500,87969,4464,0.3098,0.2607,0.167,107246.0,Bronx,-19277.0,1,1
36005005001,9.58,6.08,9.46,10.31,8.28,7.21,8.17,12.33,8.24,4.29,6.27,11.59,8.85,7.21,8.17,10.59,8.43,5.27,6.27,9.47,9.79,4.66,7.46,18.48,14.95,8.92,16.88,24.66,4.29,9.709642857142857,0.9642857142857143,28353,47727,4304,0.3389,0.5078,0.295,107246.0,Bronx,-59519.0,1,1
36005005002,8.81,5.14,8.43,9.99,7.31,5.95,7.14,13.63,6.81,3.6,5.58,11.37,7.87,6.26,7.14,9.95,7.3,4.78,5.58,8.69,8.63,4.03,7.01,18.45,14.44,8.34,18.03,25.62,3.6,9.13857142857143,0.9642857142857143,34013,62969,6393,0.2271,0.3928,0.255,107246.0,Bronx,-44277.0,1,1
36005005100,8.43,5.72,8.44,14.03,9.04,5.73,9.42,11.72,9.03,6.63,8.89,10.31,9.04,5.56,9.42,14.15,8.43,5.56,8.28,13.4,7.41,6.1,8.23,14.72,12.31,12.1,14.29,20.67,5.56,9.895,0.9642857142857143,19731,16250,6087,0.1391,0.5366,0.337,107246.0,Bronx,-90996.0,1,1
36005005200,8.97,5.59,8.6,9.92,7.47,6.44,7.31,13.55,7.36,4.53,6.21,11.29,8.04,6.44,7.31,9.99,8.07,5.35,6.21,9.35,9.22,4.67,6.92,17.87,14.21,9.95,17.41,24.3,4.53,9.376785714285713,0.9642857142857143,21397,33165,1833,0.2097,0.4163,0.215,107246.0,Bronx,-74081.0,1,1
36005005300,11.04,9.82,10.2,17.07,8.73,7.88,9.6,13.56,9.89,7.96,9.07,14.1,9.73,8.04,8.96,17.04,11.04,9.68,10.43,15.82,9.51,8.94,11.66,15.64,16.84,13.88,15.85,25.78,7.88,12.062857142857142,0.9642857142857143,20449,28114,5472,0.1887,0.5549,0.259,107246.0,Bronx,-79132.0,1,1
36005005400,8.7,4.83,7.75,10.15,7.46,6.29,7.32,11.41,6.99,3.42,5.88,11.27,7.88,6.42,7.32,10.1,7.51,5.07,5.88,8.91,8.41,4.32,7.58,18.18,15.02,8.85,18.08,26.01,3.42,9.17892857142857,0.9642857142857143,45625,24427,5638,0.3209,0.27,0.181,107246.0,Bronx,-82819.0,1,1
36005005600,8.4,4.75,7.4,9.17,7.68,5.96,7.13,10.43,6.69,3.5,5.58,10.29,7.14,6.09,7.13,9.56,7.21,4.7,5.49,7.93,7.91,4.73,7.52,17.17,14.55,7.95,17.04,24.75,3.5,8.70892857142857,0.9642857142857143,40341,58516,2168,0.3952,0.3196,0.213,107246.0,Bronx,-48730.0,1,1
36005005902,7.56,6.04,7.74,17.66,6.87,4.92,7.27,13.88,6.36,4.86,7.42,12.5,8.07,5.99,7.92,14.25,6.17,5.01,7.58,17.55,5.6,4.05,5.95,18.6,13.27,14.93,16.33,25.44,4.05,9.992500000000001,0.9642857142857143,44917,72989,2730,0.314,0.1612,0.118,107246.0,Bronx,-34257.0,1,1
36005006000,7.9,5.98,6.89,10.22,7.46,6.01,7.21,11.0,6.69,5.17,6.86,10.51,6.91,5.64,6.92,10.46,7.17,5.79,6.55,8.98,7.18,5.67,7.49,16.21,13.16,9.05,16.82,26.48,5.17,9.013571428571428,0.9642857142857143,34239,49526,1295,0.4211,0.332,0.23,107246.0,Bronx,-57720.0,1,1
36005006100,7.3,5.93,7.2,17.86,7.27,5.38,7.73,14.06,6.61,5.04,7.66,12.68,8.32,6.17,8.38,14.46,6.13,5.16,7.03,17.75,5.79,3.77,5.62,18.16,12.44,13.97,16.33,28.32,3.77,10.09,0.9642857142857143,60685,88558,3955,0.3817,0.1166,0.076,107246.0,Bronx,-18688.0,1,1
36005006200,7.94,4.77,7.16,8.7,7.17,5.57,6.89,9.96,6.47,3.86,5.78,9.81,7.1,5.87,6.89,9.24,6.75,4.71,5.52,7.45,7.56,4.67,7.76,16.73,14.26,7.64,16.59,23.99,3.86,8.457499999999998,0.9642857142857143,24769,38391,6710,0.2435,0.3727,0.26,107246.0,Bronx,-68855.0,1,1
36005006301,7.98,6.16,7.8,15.35,7.99,6.9,8.99,11.81,8.76,6.89,9.28,12.22,9.23,6.78,9.28,14.14,7.31,5.66,7.64,14.2,7.29,5.79,7.6,17.03,12.41,13.29,16.49,27.64,5.66,10.42535714285714,0.9642857142857143,50273,26964,5521,0.2863,0.2907,0.168,107246.0,Bronx,-80282.0,1,1
36005006400,8.98,5.33,8.24,9.39,8.24,6.1,7.88,10.79,7.22,4.07,6.5,10.11,8.2,6.93,7.88,10.0,7.54,5.02,5.77,8.03,8.1,4.88,8.41,17.34,14.77,8.5,16.27,24.61,4.07,9.110714285714286,0.9642857142857143,35144,54473,4061,0.4259,0.3493,0.222,107246.0,Bronx,-52773.0,1,1
36005006500,7.54,4.56,6.1,17.15,7.77,4.82,6.44,13.57,7.36,4.62,6.28,10.86,6.48,4.82,8.08,13.98,7.13,4.39,5.62,17.03,6.15,4.47,6.94,16.45,12.19,13.33,15.39,22.62,4.39,9.362142857142857,0.9642857142857143,21962,34041,5681,0.1625,0.4806,0.285,107246.0,Bronx,-73205.0,1,1
36005006700,6.99,5.22,6.57,17.41,7.81,5.57,6.17,14.7,6.01,4.65,5.79,11.79,6.96,5.15,7.76,14.38,6.99,4.97,6.41,17.29,5.37,4.37,6.45,18.31,13.03,15.19,16.46,24.48,4.37,9.723214285714286,0.9642857142857143,15957,34961,6993,0.1836,0.538,0.3,107246.0,Bronx,-72285.0,1,1
36005006800,9.27,5.6,8.74,9.86,8.22,6.23,7.99,11.23,7.5,4.93,7.09,10.56,7.85,7.01,7.99,10.22,7.42,5.44,6.24,8.12,8.77,5.34,8.85,17.71,14.45,7.53,16.28,24.39,4.93,9.315357142857142,0.9642857142857143,38125,59093,2765,0.322,0.3157,0.2,107246.0,Bronx,-48153.0,1,1
36005006900,7.13,4.39,6.92,17.61,8.11,5.67,5.82,15.34,6.16,4.58,5.44,12.61,7.04,4.03,6.92,14.2,6.87,3.97,6.58,17.49,5.34,4.21,6.08,21.05,13.5,16.11,18.8,28.46,3.97,10.015357142857145,0.9285714285714286,32887,42833,7255,0.281,0.3482,0.225,107246.0,Bronx,-64413.0,1,1
36005007000,10.17,7.03,9.54,10.53,9.57,6.36,9.05,11.93,8.27,6.36,8.31,10.95,9.22,7.58,8.54,11.57,7.94,6.09,6.17,8.59,9.13,6.3,9.83,17.54,14.76,8.51,16.76,25.14,6.09,10.062142857142856,0.9642857142857143,53014,76176,4235,0.4928,0.2131,0.118,107246.0,Bronx,-31070.0,1,1
36005007100,8.3,5.1,7.12,17.28,8.49,5.18,5.51,15.52,7.37,4.44,5.55,12.16,5.62,4.12,7.68,14.26,8.3,4.08,5.46,17.17,6.2,3.64,7.38,20.36,14.59,15.84,17.95,26.01,3.64,10.024285714285714,0.9285714285714286,43079,100729,2827,0.4198,0.2008,0.114,107246.0,Bronx,-6517.0,1,1
36005007200,10.39,8.49,9.65,10.7,10.38,5.92,10.12,12.62,9.24,7.72,9.43,10.79,10.36,8.43,8.97,12.68,7.56,5.66,5.23,8.98,9.11,7.78,11.02,17.08,14.11,8.84,17.37,26.13,5.23,10.527142857142854,0.9642857142857143,54097,77283,6430,0.5269,0.1509,0.155,107246.0,Bronx,-29963.0,1,1
36005007300,8.75,5.03,8.18,14.97,7.29,4.56,6.57,14.56,7.83,4.49,6.14,11.5,6.32,4.59,7.4,12.77,7.79,4.37,6.44,14.85,4.99,3.14,7.4,20.47,13.53,15.27,18.46,26.9,3.14,9.805714285714286,0.9285714285714286,25619,30282,4301,0.2198,0.4097,0.269,107246.0,Bronx,-76964.0,1,1
36005007400,11.7,10.04,10.37,12.03,11.7,7.48,9.18,15.79,6.87,8.1,8.49,14.09,11.7,7.97,8.59,14.47,11.26,7.35,10.31,12.39,12.79,7.62,13.72,19.92,14.72,8.96,19.05,27.12,6.87,11.920714285714286,0.9642857142857143,37352,57895,3078,0.5704,0.2934,0.164,107246.0,Bronx,-49351.0,1,1
36005007500,8.42,4.67,8.06,15.8,8.09,5.78,6.72,15.58,6.61,5.09,6.54,12.52,6.7,4.93,7.53,13.2,6.87,4.33,6.59,15.69,5.37,3.34,6.6,22.39,14.0,15.27,18.6,29.46,3.34,10.169642857142858,0.9285714285714286,30413,47140,6295,0.2669,0.363,0.223,107246.0,Bronx,-60106.0,1,1
36005007600,9.24,5.96,8.76,10.2,8.9,5.86,8.43,11.25,7.9,5.59,7.93,10.19,8.25,7.0,7.98,10.89,7.55,5.71,5.76,8.23,8.15,5.97,9.22,17.2,14.41,7.95,16.39,25.23,5.59,9.50357142857143,0.9642857142857143,51625,107422,5293,0.4412,0.1856,0.16,107246.0,Bronx,176.0,0,1
36005007700,8.83,4.57,9.16,14.91,8.53,6.33,7.85,14.76,7.39,4.97,6.8,12.28,6.64,4.64,7.97,12.01,7.15,3.7,7.82,14.79,5.47,2.48,6.77,20.86,13.71,14.62,16.93,25.22,2.48,9.898571428571428,0.9285714285714286,48333,37222,2165,0.5351,0.2416,0.156,107246.0,Bronx,-70024.0,1,1
36005007800,10.08,8.56,9.21,10.41,10.08,7.3,9.64,13.03,8.36,7.7,8.68,12.15,10.08,8.16,9.21,12.48,9.07,7.04,7.0,9.91,10.23,7.07,11.16,17.48,14.21,9.81,16.87,24.82,7.0,10.707142857142856,0.9642857142857143,54615,103523,6301,0.5686,0.1726,0.127,107246.0,Bronx,-3723.0,1,1
36005007900,9.3,5.41,8.98,13.51,8.14,6.31,8.14,14.01,8.29,5.12,6.83,11.24,7.16,4.95,7.78,11.1,7.86,4.07,7.66,13.4,5.81,3.2,6.97,17.95,13.6,14.19,16.59,23.43,3.2,9.678571428571429,0.9642857142857143,22534,34600,7157,0.14,0.4458,0.279,107246.0,Bronx,-72646.0,1,1
36005008300,9.74,6.37,9.41,13.1,9.03,6.89,8.58,14.36,9.22,5.86,7.38,11.74,8.31,6.08,8.76,11.25,8.79,4.98,8.77,12.98,6.96,3.9,7.87,16.98,13.23,13.24,16.18,22.46,3.9,10.08642857142857,0.9642857142857143,42386,36290,6121,0.3176,0.2137,0.175,107246.0,Bronx,-70956.0,1,1
36005008400,12.69,11.04,10.74,13.02,12.69,7.39,9.48,16.28,7.7,8.59,9.46,14.51,12.69,7.45,8.25,16.16,12.15,7.16,9.61,13.16,14.16,9.03,14.77,20.12,16.42,10.38,19.46,28.96,7.16,12.625714285714285,0.9285714285714286,66373,89861,3290,0.6044,0.0642,0.066,107246.0,Bronx,-17385.0,1,1
36005008500,9.29,7.13,9.61,12.84,9.09,7.51,8.62,14.32,8.74,6.51,6.95,11.36,7.85,5.58,8.67,11.55,8.37,4.74,9.01,12.73,7.08,3.77,7.44,17.17,12.99,12.74,16.35,22.65,3.77,10.02357142857143,0.9642857142857143,33065,106181,5706,0.2778,0.297,0.219,107246.0,Bronx,-1065.0,1,1
36005008600,12.39,10.58,10.42,12.66,12.39,7.76,9.57,16.3,6.81,8.61,8.54,14.75,12.39,8.39,8.51,15.57,11.62,7.36,10.03,13.17,13.26,8.13,14.57,19.72,15.07,9.47,19.43,27.75,6.81,12.329285714285716,0.9642857142857143,25608,38269,4134,0.2662,0.4184,0.241,107246.0,Bronx,-68977.0,1,1
36005008700,9.54,6.82,10.14,12.12,8.59,6.72,7.49,13.38,8.25,5.66,6.39,11.57,6.89,4.79,7.31,10.72,7.79,4.98,7.64,12.0,7.95,4.82,7.54,17.39,12.9,12.16,16.6,22.87,4.79,9.679285714285712,0.9642857142857143,30357,33750,6328,0.3469,0.4029,0.272,107246.0,Bronx,-73496.0,1,1
36005008900,9.56,7.13,9.33,10.93,7.88,5.49,6.23,13.62,7.87,6.06,6.3,11.08,7.66,6.13,7.13,10.15,8.43,5.87,7.14,10.82,8.6,5.76,7.35,16.28,12.76,10.32,15.54,21.77,5.49,9.399642857142855,0.9642857142857143,29599,78929,3197,0.2404,0.1898,0.224,107246.0,Bronx,-28317.0,1,1
36005009000,11.12,9.82,9.52,11.38,11.12,6.81,9.19,14.65,7.0,7.27,8.3,13.05,11.12,6.87,7.65,14.36,9.98,6.58,8.07,11.52,12.26,7.85,13.2,18.45,14.78,8.89,17.7,26.96,6.58,11.266785714285712,0.9642857142857143,30953,31744,3693,0.4461,0.3287,0.213,107246.0,Bronx,-75502.0,1,1
36005009200,10.77,8.6,9.64,11.36,10.16,5.84,10.71,13.17,9.23,8.16,9.55,11.67,9.69,8.44,9.64,13.24,7.24,5.74,5.48,10.05,9.2,8.35,11.7,17.84,13.79,9.63,18.63,28.19,5.48,10.918214285714285,0.9642857142857143,54924,48292,6122,0.5937,0.2272,0.171,107246.0,Bronx,-58954.0,1,1
