GEOID,Mo_period_1_tt,Mo_period_2_tt,Mo_period_3_tt,Mo_period_4_tt,Tu_period_1_tt,Tu_period_2_tt,Tu_period_3_tt,Tu_period_4_tt,We_period_1_tt,We_period_2_tt,We_period_3_tt,We_period_4_tt,Th_period_1_tt,Th_period_2_tt,Th_period_3_tt,Th_period_4_tt,Fr_period_1_tt,Fr_period_2_tt,Fr_period_3_tt,Fr_period_4_tt,Sa_period_1_tt,Sa_period_2_tt,Sa_period_3_tt,Sa_period_4_tt,Su_period_1_tt,Su_period_2_tt,Su_period_3_tt,Su_period_4_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,26.33,24.71,25.05,20.93,26.33,7.09,6.97,20.93,15.24,20.84,20.82,20.93,26.33,7.09,6.97,20.93,19.43,7.09,21.32,19.03,19.98,15.96,23.44,40.12,19.17,20.12,41.9,39.94,6.97,20.892500000000002,0.39285714285714285,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,27.35,25.53,25.87,21.55,27.35,8.16,7.8,21.55,16.26,21.98,22.04,21.55,27.35,8.16,7.8,21.55,20.56,8.16,22.54,19.99,20.8,16.93,24.26,40.94,20.05,21.17,42.72,40.56,7.8,21.804642857142863,0.2857142857142857,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,21.61,22.3,22.96,21.11,21.61,8.66,8.66,21.11,9.54,13.62,13.41,21.11,21.61,8.66,8.66,21.11,13.48,8.66,14.84,13.48,20.56,10.43,23.56,40.76,13.7,13.7,40.65,40.7,8.66,18.580714285714286,0.5,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,13.75,13.99,13.1,10.97,17.05,11.92,13.1,10.97,14.27,11.92,13.1,10.97,17.05,11.92,13.1,10.97,13.75,10.16,13.1,10.97,12.8,13.19,12.55,11.61,17.57,19.28,11.51,11.21,10.16,13.066071428571428,1.0,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,18.52,13.88,15.28,15.68,11.87,13.88,15.28,15.68,17.82,7.9,15.28,15.68,9.62,13.88,13.75,15.68,18.55,4.82,13.18,15.68,11.54,13.17,16.54,17.09,24.05,21.45,16.37,17.39,4.82,14.982500000000002,0.9285714285714286,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,19.46,19.35,19.68,17.54,19.46,9.33,9.19,17.54,8.64,17.19,16.82,17.54,19.46,9.33,9.19,17.54,19.46,9.33,16.82,17.54,14.94,16.46,17.93,36.07,19.89,21.87,36.71,36.41,8.64,18.23892857142857,0.8571428571428571,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,11.42,10.48,11.55,11.94,14.02,7.91,11.55,11.94,11.86,7.91,11.55,11.94,14.02,7.91,10.03,11.94,11.42,9.18,9.46,11.94,7.89,11.45,12.81,13.36,20.32,17.72,12.64,13.66,7.89,11.779285714285715,0.9642857142857143,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,16.7,15.07,13.55,13.95,13.66,14.07,13.55,13.95,16.0,8.61,13.55,13.95,11.42,13.68,12.03,13.95,18.61,7.31,11.46,13.95,8.84,12.72,14.81,15.35,22.32,19.72,14.63,15.65,7.31,14.037857142857145,0.9642857142857143,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,18.55,14.33,15.31,15.71,12.93,14.33,15.31,15.71,17.85,7.87,15.31,15.71,10.68,14.33,13.78,15.71,19.6,4.85,13.22,15.71,12.46,13.49,16.57,17.12,24.08,21.48,16.4,17.42,4.85,15.207857142857145,0.9285714285714286,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,17.04,13.08,13.8,14.21,11.89,13.08,13.8,14.21,16.35,5.45,13.8,14.21,9.64,13.08,12.28,14.21,18.56,3.35,11.71,14.21,11.61,12.24,15.07,15.61,22.58,19.98,14.89,15.91,3.35,13.780357142857145,0.9642857142857143,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
36005002800,13.88,13.72,13.46,18.5,13.88,13.72,13.46,18.5,9.44,8.25,8.25,18.5,13.88,13.72,13.46,18.5,13.88,8.25,8.25,17.93,15.91,8.25,8.25,28.73,15.07,16.93,27.33,27.93,8.25,14.993928571428572,0.8928571428571429,54321,84197,5372,0.685,0.0287,0.076,107246.0,Bronx,-23049.0,1,1
36005003100,17.3,12.67,12.65,16.81,10.34,10.99,12.65,16.81,17.73,9.88,12.65,14.56,11.08,12.67,12.65,16.81,17.27,10.31,12.65,16.81,10.62,11.03,15.84,18.2,24.52,22.56,17.48,18.49,9.88,14.786785714285713,0.9285714285714286,34276,31859,2165,0.2654,0.1718,0.134,107246.0,Bronx,-75387.0,1,1
36005003300,18.72,12.96,13.87,18.59,12.03,12.03,13.87,18.59,19.15,8.02,13.87,16.42,9.8,12.96,13.87,18.59,18.72,7.73,13.87,18.59,12.03,11.33,19.45,19.99,26.96,24.36,19.27,20.29,7.73,15.926071428571428,0.8928571428571429,20129,38535,3339,0.3484,0.5281,0.281,107246.0,Bronx,-68711.0,1,1
36005003500,13.67,8.88,8.84,19.92,6.41,6.41,8.84,19.92,14.09,8.32,8.84,10.98,7.57,8.88,8.84,17.2,13.67,8.88,8.84,19.92,6.41,6.41,14.42,21.31,20.95,25.67,20.59,21.61,6.41,13.081785714285713,0.8214285714285714,30793,27928,3880,0.4146,0.3856,0.228,107246.0,Bronx,-79318.0,1,1
36005003700,14.63,8.5,8.5,20.96,7.17,7.17,8.5,20.96,15.05,6.44,8.5,12.0,5.23,8.5,8.5,18.22,14.63,8.5,8.5,20.96,7.17,6.74,16.48,22.3,21.98,26.78,21.37,22.37,5.23,13.450357142857143,0.7142857142857143,37321,57847,277,0.1203,0.3053,,107246.0,Bronx,-49399.0,1,1
36005003800,19.16,19.08,19.4,17.61,19.16,9.83,9.83,17.61,1.4,16.16,15.93,17.61,19.16,9.83,9.83,17.61,16.27,9.83,16.53,16.11,14.89,12.05,17.53,36.02,15.28,15.83,35.1,35.3,1.4,17.14107142857143,0.8928571428571429,83295,116146,1313,0.7638,0.1346,0.109,107246.0,Bronx,8900.0,0,0
36005003900,15.09,11.7,14.82,13.65,15.02,7.38,11.91,13.65,13.71,7.38,13.98,13.1,12.77,7.38,13.3,13.65,15.09,10.01,10.9,13.65,2.14,10.79,16.08,14.68,19.46,20.85,14.56,13.87,2.14,12.8775,0.9642857142857143,20049,31075,6710,0.2761,0.3981,0.255,107246.0,Bronx,-76171.0,1,1
36005004001,17.68,17.34,17.67,17.18,17.68,15.44,16.84,17.18,15.72,16.48,16.72,17.18,17.68,16.63,16.84,17.18,10.37,10.46,11.08,10.26,19.28,13.42,21.45,37.96,16.2,16.72,37.79,38.22,10.26,18.380357142857143,0.8571428571428571,64087,99334,1574,0.7324,0.1925,0.132,107246.0,Bronx,-7912.0,1,1
36005004100,17.53,10.72,10.72,17.03,11.35,7.41,10.72,17.03,15.86,7.33,10.72,14.02,8.3,7.41,10.72,17.03,17.53,10.36,10.72,17.03,3.4,6.78,17.88,18.43,21.02,22.8,17.71,17.82,3.4,13.406428571428572,0.9285714285714286,20551,63182,5798,0.3132,0.4852,0.307,107246.0,Bronx,-44064.0,1,1
36005004200,19.18,19.18,20.12,18.59,19.18,12.49,12.58,18.59,7.68,10.99,11.75,18.59,19.18,12.49,12.58,18.59,11.04,11.4,12.0,10.96,16.53,6.75,18.34,36.02,8.11,10.05,35.04,34.98,6.75,16.535000000000004,0.8571428571428571,57250,89758,7803,0.535,0.2366,0.141,107246.0,Bronx,-17488.0,1,1
36005004300,12.43,7.24,7.24,18.93,10.49,5.46,6.59,18.93,12.75,5.46,7.24,8.66,4.81,5.46,7.24,14.39,12.43,5.59,5.59,18.93,6.47,3.3,14.94,20.37,15.66,25.18,20.24,19.15,3.3,11.470357142857143,0.8928571428571429,25534,68534,5527,0.2446,0.3553,0.254,107246.0,Bronx,-38712.0,1,1
36005004400,13.27,13.2,13.53,12.58,13.27,13.09,13.53,12.58,7.56,11.04,10.66,12.58,13.27,13.09,13.53,12.58,13.27,11.04,10.66,12.58,9.6,10.29,11.36,30.72,17.6,19.43,30.96,31.06,7.56,14.568928571428575,0.8928571428571429,15750,15451,4551,0.31,0.5072,0.327,107246.0,Bronx,-91795.0,1,1
36005004600,16.84,16.44,16.19,16.95,16.84,13.32,13.74,16.95,6.67,12.65,12.28,16.95,16.84,13.32,13.74,16.95,16.84,12.65,12.28,16.95,14.23,12.72,12.98,31.46,14.39,16.3,29.83,30.16,6.67,16.337857142857143,0.8928571428571429,29145,45174,1826,0.3663,0.5043,0.279,107246.0,Bronx,-62072.0,1,1
36005004800,9.77,9.7,10.03,10.02,9.77,10.41,10.03,10.02,7.47,5.13,5.13,10.02,9.77,10.41,10.03,10.02,9.77,5.13,5.13,10.02,6.73,5.13,5.13,27.84,16.11,18.46,27.76,28.18,5.13,11.182857142857141,0.8928571428571429,33500,87969,4464,0.3098,0.2607,0.167,107246.0,Bronx,-19277.0,1,1
