GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,31.17,26.42,29.85,31.74,29.55,19.38,20.17,34.88,20.4,22.7,22.68,30.16,29.23,20.34,20.17,29.87,25.44,16.77,21.94,25.56,29.01,20.12,30.69,49.5,29.92,28.26,46.42,48.04,16.77,28.227857142857143,0.07142857142857142,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,32.23,27.24,30.74,32.36,30.57,20.39,21.0,35.5,21.46,23.63,23.64,30.78,30.29,21.35,21.0,30.49,26.5,17.78,23.03,26.3,29.83,20.99,31.51,50.32,30.78,29.31,47.29,48.66,17.78,29.106071428571425,0.03571428571428571,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,26.99,25.36,26.99,30.95,26.94,16.64,20.03,35.11,14.86,18.77,19.61,30.38,24.33,17.77,18.84,30.09,20.07,15.12,17.72,23.86,26.78,18.45,30.1,48.96,26.33,22.22,43.74,48.8,14.86,25.92178571428571,0.32142857142857145,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,17.17,15.01,14.91,23.13,19.45,14.49,16.02,22.26,15.61,13.83,16.71,18.7,18.78,14.3,15.0,20.51,18.46,12.74,13.92,22.28,14.58,14.98,17.23,25.2,19.86,22.68,19.37,23.18,12.74,17.870000000000005,0.75,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,19.49,16.71,16.12,23.28,17.26,14.61,16.12,23.28,18.44,11.86,16.12,19.18,16.51,15.01,15.19,21.26,20.47,11.2,15.0,21.31,15.0,13.95,18.86,27.26,25.65,25.17,21.99,25.49,11.2,18.635357142857142,0.6428571428571429,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,24.65,21.05,24.55,28.35,22.68,17.69,17.34,31.49,16.67,18.86,19.84,26.77,23.34,17.71,17.34,26.48,21.07,15.52,19.35,23.41,23.97,17.45,25.18,45.45,29.79,31.07,42.32,44.51,15.52,24.782142857142862,0.35714285714285715,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,14.14,12.21,12.24,21.21,15.87,11.22,12.88,20.54,13.07,10.52,13.58,16.89,14.89,10.29,11.48,18.71,15.19,10.44,11.11,20.09,11.68,12.38,15.6,23.53,21.47,21.44,18.26,21.76,10.29,15.453214285714285,0.75,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,18.38,15.97,15.02,22.22,16.73,14.84,15.02,22.22,16.86,12.25,15.02,19.15,15.98,14.27,13.47,21.2,20.04,12.18,13.89,20.92,12.88,13.31,17.95,25.52,23.69,23.43,20.25,23.75,12.18,17.728928571428572,0.6428571428571429,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,19.88,16.88,16.11,23.31,17.65,14.92,16.11,23.31,18.73,12.02,16.11,19.41,16.91,15.18,15.17,21.48,20.93,11.51,14.98,21.34,15.32,14.27,18.89,27.29,25.84,25.2,22.02,25.52,11.51,18.796071428571427,0.6428571428571429,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,18.53,15.46,14.52,21.81,16.3,13.58,14.52,21.81,17.22,10.29,14.52,18.08,15.56,13.76,13.58,20.16,19.58,10.17,13.39,19.84,13.91,13.01,17.39,25.78,24.55,23.69,20.51,24.01,10.17,17.34035714285714,0.7142857142857143,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
36005002800,18.26,16.88,18.82,25.75,15.92,14.46,14.59,26.34,13.28,12.64,12.86,21.62,16.1,15.49,15.98,21.33,16.5,11.68,13.18,20.52,17.8,13.05,15.56,37.34,23.66,26.14,32.95,36.03,11.68,19.454642857142858,0.6428571428571429,54321,84197,5372,0.685,0.0287,0.076,107246.0,Bronx,-23049.0,1,1
36005003100,18.35,16.55,15.57,23.26,16.03,13.03,14.4,23.26,18.27,11.52,14.3,18.14,15.65,14.16,14.63,20.22,17.73,11.97,13.53,20.14,15.0,12.29,17.2,28.37,25.61,26.28,23.09,26.6,11.52,18.04107142857143,0.6785714285714286,34276,31859,2165,0.2654,0.1718,0.134,107246.0,Bronx,-75387.0,1,1
36005003300,20.57,18.01,17.17,25.98,18.34,13.44,16.08,25.98,20.43,11.65,16.86,20.89,17.6,14.56,16.24,22.96,20.81,11.55,14.95,23.8,15.08,11.9,20.96,30.16,27.62,28.07,24.89,28.39,11.55,19.819285714285712,0.5,20129,38535,3339,0.3484,0.5281,0.281,107246.0,Bronx,-68711.0,1,1
36005003500,15.75,13.3,14.9,25.76,14.37,9.43,12.59,23.97,15.89,8.55,11.44,18.68,13.17,10.41,15.2,20.75,15.21,10.14,11.92,22.56,11.69,8.17,17.24,29.82,25.58,28.53,25.68,29.52,8.17,17.150714285714283,0.6785714285714286,30793,27928,3880,0.4146,0.3856,0.228,107246.0,Bronx,-79318.0,1,1
36005003700,16.71,14.08,15.21,27.6,15.3,9.63,12.9,25.81,16.85,8.15,12.78,20.52,13.63,10.76,15.62,22.59,16.71,9.22,11.91,25.3,11.63,6.92,18.44,30.78,26.54,29.46,26.49,30.34,6.92,17.924285714285716,0.6428571428571429,37321,57847,277,0.1203,0.3053,,107246.0,Bronx,-49399.0,1,1
