GEOID,Mo_period_1_tt,Mo_period_2_tt,Mo_period_3_tt,Mo_period_4_tt,Tu_period_1_tt,Tu_period_2_tt,Tu_period_3_tt,Tu_period_4_tt,We_period_1_tt,We_period_2_tt,We_period_3_tt,We_period_4_tt,Th_period_1_tt,Th_period_2_tt,Th_period_3_tt,Th_period_4_tt,Fr_period_1_tt,Fr_period_2_tt,Fr_period_3_tt,Fr_period_4_tt,Sa_period_1_tt,Sa_period_2_tt,Sa_period_3_tt,Sa_period_4_tt,Su_period_1_tt,Su_period_2_tt,Su_period_3_tt,Su_period_4_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,44.44,44.44,44.44,44.44,44.44,7.82,7.82,44.44,17.27,27.22,27.22,44.44,44.44,7.82,7.82,44.44,39.88,7.82,38.3,39.88,43.95,28.97,38.3,115.26,27.22,27.22,89.6,115.26,7.82,39.807500000000005,0.21428571428571427,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,52.23,52.23,52.23,52.23,52.23,15.76,15.76,52.23,25.06,29.99,29.99,52.23,52.23,15.76,15.76,52.23,42.87,15.76,42.87,42.87,51.73,31.74,46.09,123.05,29.99,29.99,97.39,123.05,15.76,46.269642857142856,0.17857142857142858,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,39.05,39.05,39.05,39.05,39.05,7.88,7.88,39.05,11.76,16.12,16.12,39.05,39.05,7.88,7.88,39.05,28.64,7.88,28.64,28.64,38.56,17.87,32.92,109.88,16.12,16.12,84.01,109.88,7.88,33.79035714285714,0.39285714285714285,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,22.08,16.1,18.02,18.02,24.1,12.36,18.02,18.02,18.41,12.36,18.02,18.02,22.12,12.36,18.02,18.02,22.08,16.1,18.02,18.02,11.85,20.6,18.02,18.02,31.57,31.57,18.02,18.02,11.85,18.783571428571427,0.75,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,33.0,20.77,20.77,28.34,19.9,19.9,20.77,28.34,28.74,8.71,20.77,27.28,16.88,20.77,20.77,28.34,33.0,5.39,20.77,28.34,16.42,18.4,28.34,28.34,41.9,41.9,28.34,28.34,5.39,24.411785714285713,0.25,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,30.43,30.43,30.43,30.43,30.43,11.4,11.4,30.43,8.57,24.19,24.19,30.43,30.43,11.4,11.4,30.43,30.43,11.4,24.19,30.43,30.14,24.19,24.19,99.61,24.65,24.65,78.15,99.61,8.57,31.359285714285715,0.21428571428571427,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,17.91,11.6,17.64,22.11,20.81,7.85,15.62,22.11,20.63,7.85,17.37,17.37,17.61,7.85,17.64,22.11,17.91,11.6,15.14,22.11,7.4,16.1,22.1,22.11,35.66,35.66,22.11,22.11,7.4,18.360357142857143,0.5714285714285714,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,25.04,15.22,15.22,23.08,21.91,14.41,15.22,23.08,23.47,7.36,15.22,21.08,14.26,14.41,15.22,23.08,25.04,9.29,15.22,23.08,8.72,12.75,23.08,23.08,36.63,36.63,23.08,23.08,7.36,19.534285714285716,0.4642857142857143,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,29.86,17.91,17.91,28.33,19.53,17.91,17.91,28.33,28.72,5.57,17.91,24.42,14.37,17.91,17.91,28.33,29.86,5.02,17.91,28.33,13.28,15.44,28.33,28.33,41.89,41.89,28.33,28.33,5.02,22.848928571428576,0.5,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,30.33,16.49,16.49,32.18,15.62,15.62,16.49,32.18,30.52,4.71,16.49,23.0,12.6,16.49,16.49,32.18,30.33,1.11,16.49,32.18,12.51,14.12,26.18,32.18,42.37,45.73,32.18,32.18,1.11,23.05142857142857,0.5,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
