GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005000200,57.28,48.63,53.83,81.57,52.05,32.28,35.95,89.34,29.64,36.65,36.65,71.36,53.67,35.95,35.95,77.96,46.63,28.67,39.8,66.52,61.39,37.07,53.0,137.72,76.11,59.3,109.0,165.65,28.67,61.05785714285714,0.0,70867,110539,4453,0.7644,0.2277,0.144,107246.0,Bronx,3293.0,0,1
36005000400,65.07,56.41,61.62,87.69,59.84,38.49,43.79,97.13,35.76,42.77,42.77,79.15,61.45,42.51,42.51,85.75,52.82,34.91,44.39,72.71,69.18,43.19,60.79,145.5,82.23,62.3,115.23,173.44,34.91,67.8357142857143,0.0,98090,139479,6000,0.7449,0.04,0.042,107246.0,Bronx,32233.0,0,0
36005001600,51.9,43.24,48.42,74.28,46.67,26.76,32.38,83.96,22.31,29.36,29.36,65.9,48.25,30.71,30.71,72.57,39.3,23.15,30.52,59.19,55.95,29.78,47.62,132.26,68.82,48.11,101.6,160.27,22.31,54.76249999999998,0.0,40033,97560,6038,0.4449,0.1632,0.16,107246.0,Bronx,-9686.0,1,1
36005001901,23.42,20.11,20.75,59.11,24.28,16.69,20.1,45.23,21.06,16.13,20.68,38.69,23.44,16.02,21.6,47.8,23.42,18.08,19.04,61.46,21.2,21.47,24.14,60.83,39.59,40.07,35.06,68.41,16.02,30.995714285714293,0.17857142857142858,55924,77647,2168,0.3051,0.2754,0.116,107246.0,Bronx,-29599.0,1,1
36005001902,34.24,25.53,27.37,63.16,29.87,20.89,24.88,49.69,31.39,17.16,25.41,41.1,28.87,22.77,27.95,48.03,34.54,16.36,24.01,59.24,22.41,19.24,31.11,71.16,47.35,50.81,45.39,78.74,16.36,36.381071428571424,0.10714285714285714,60804,32212,1399,0.3564,0.2181,0.168,107246.0,Bronx,-75034.0,1,1
36005002001,42.14,33.99,40.04,69.56,37.41,26.43,27.2,74.24,21.22,26.42,26.42,57.65,38.65,27.2,27.2,62.86,34.29,22.01,29.09,54.23,46.36,26.9,38.38,123.47,64.83,52.33,96.91,150.01,21.22,49.19428571428572,0.0,20870,16059,4694,0.2626,0.4659,0.237,107246.0,Bronx,-91187.0,1,1
36005002300,19.84,15.72,19.22,60.33,21.24,12.29,18.45,43.92,21.74,12.08,19.04,37.05,19.74,11.62,20.61,46.16,19.84,13.97,16.9,59.82,16.71,17.41,22.6,64.06,39.01,39.82,39.15,72.5,11.62,29.31571428571429,0.5,22177,39861,4465,0.1444,0.4214,0.214,107246.0,Bronx,-67385.0,1,1
36005002500,26.77,19.64,21.11,60.66,25.73,16.03,19.21,46.3,25.96,12.33,19.79,38.29,23.18,16.03,21.88,46.32,26.77,13.96,18.55,59.5,19.33,16.15,27.04,65.9,42.45,44.65,40.13,73.47,12.33,31.683214285714286,0.35714285714285715,25954,40228,5662,0.1334,0.4532,0.253,107246.0,Bronx,-67018.0,1,1
36005002701,31.4,23.48,25.36,63.38,27.96,18.77,22.97,48.87,30.86,14.12,23.55,40.37,26.24,19.82,25.95,47.44,31.4,14.32,22.1,59.68,21.2,17.15,30.01,71.15,46.53,49.75,45.38,78.72,14.12,34.92607142857143,0.17857142857142858,18686,16445,2938,0.1886,0.5739,0.329,107246.0,Bronx,-90801.0,1,1
36005002702,31.06,21.45,25.78,64.68,26.67,16.74,22.76,49.26,31.45,13.1,21.85,39.92,25.66,18.62,26.4,46.84,31.06,12.07,21.82,58.44,18.33,14.96,29.63,74.65,47.67,51.89,49.22,82.57,12.07,34.80535714285715,0.21428571428571427,14681,30703,4413,0.2592,0.5612,0.257,107246.0,Bronx,-76543.0,1,1
