,GEOID,FP_nearest,FP_tt,FP_tt_3
0,36061000100,2deb2a36-f16b-4efc-aca7-415d48498205,33.97,36.39
1,36061000201,b9a50000-6b85-469b-a076-5464b4a69f49,3.76,5.79
2,36061000600,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,6.63
3,36061001401,87345a14-df30-490c-87af-1fca5bdda60e,2.01,2.98
4,36061001402,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,1.79,2.28
5,36061001800,fbacd514-b79b-43d4-a439-626639959398,2.53,3.77
6,36061002201,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,2.82
7,36061002601,db629eef-a57c-4b0c-a378-2f8490b03455,3.11,4.12
8,36061002602,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.69,3.6
9,36061002800,74e15d61-8005-496d-a8dc-4a3536b58964,3.72,4.11
10,36061003100,86f885e0-d3ef-4621-a596-4f7d20e0473a,2.04,8.4
11,36061003200,15c2f545-885e-46d8-8f8f-45743f91bd88,2.6,3.43
12,36061003300,86f885e0-d3ef-4621-a596-4f7d20e0473a,5.55,6.83
13,36061003400,74e15d61-8005-496d-a8dc-4a3536b58964,2.49,3.62
14,36061003601,398a722b-2e51-4b2a-910a-b1f2e77738f2,1.96,2.32
15,36061003602,a5cb0337-2d16-48dd-b5b8-cf6379e0daeb,0.72,3.03
16,36061003700,d2e71b9b-79a9-4609-af8c-4d1843d59330,3.85,7.46
17,36061003900,c01c3921-1212-4497-add9-617e93738af3,5.21,7.83
18,36061004001,8d52f220-c79d-40cc-b981-9a2777e36507,6.05,6.47
19,36061004002,8d52f220-c79d-40cc-b981-9a2777e36507,5.25,5.99
20,36061004100,dce566ac-e6ac-42fb-b965-e8c70b748862,5.33,5.79
21,36061004300,e70e16d0-3e39-461a-9643-43a65eed6b87,3.22,4.91
22,36061004500,86f885e0-d3ef-4621-a596-4f7d20e0473a,7.25,7.82
23,36061005200,3055d3f9-57b8-43c1-a2f8-0317ea76a381,2.43,4.27
24,36061005400,d39da186-0448-4b8f-a256-1da7b1c9585f,2.49,4.93
25,36061005501,f9b482e7-63d0-4435-992d-42b678128e64,3.14,6.37
26,36061005502,f9b482e7-63d0-4435-992d-42b678128e64,3.9,4.85
27,36061005800,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,2.14,4.62
28,36061006300,944c0a47-dd0e-4dfe-bde6-75ffb4ac5819,1.23,3.99
29,36061006500,f9b482e7-63d0-4435-992d-42b678128e64,5.75,7.15
30,36061006700,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,7.24,9.65
31,36061006800,e5d04297-3482-46bc-ab8b-5cc59270a833,1.45,5.23
32,36061006900,d2e71b9b-79a9-4609-af8c-4d1843d59330,10.06,12.13
33,36061007001,ba29ea31-1440-42ec-9059-49f8bb8fed9d,5.85,6.72
34,36061007002,4b597138-669c-480e-90ba-f522c4def636,3.31,5.45
35,36061007100,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,3.76,4.23
36,36061007200,5501c1e1-218e-4a4d-8d2f-0b0e127ca0b3,0.9,3.58
37,36061007300,3078f95b-f211-4b65-bebb-c700c680b03d,7.32,8.28
38,36061007500,3078f95b-f211-4b65-bebb-c700c680b03d,10.96,12.99
39,36061007600,048ff094-aeeb-41b0-b4f3-f74112f8f75a,3.25,3.61
40,36061007700,3078f95b-f211-4b65-bebb-c700c680b03d,3.35,5.4
41,36061007800,599c0cf3-5cfe-478f-992e-c33ccb29669b,5.36,6.96
42,36061008000,5501c1e1-218e-4a4d-8d2f-0b0e127ca0b3,7.24,8.23
43,36061008100,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,2.96,3.53
44,36061008200,0bf6eff9-b123-4edd-894c-20afdd20ab3c,4.92,6.47
45,36061008300,b8885943-a0a2-4034-85d5-0da5f16e5142,1.45,4.33
46,36061008400,0bf6eff9-b123-4edd-894c-20afdd20ab3c,1.37,3.37
47,36061008700,d39da186-0448-4b8f-a256-1da7b1c9585f,5.89,6.46
48,36061008900,cb574997-213a-4a41-92d3-46fd41d9caee,1.16,3.55
49,36061009100,16ee8a81-7d00-4c38-9a1d-ad1748875ec2,2.36,5.1
50,36061009200,affc419f-eadb-4d88-ad31-7a2378d66bd3,5.6,6.76
51,36061009300,b1fa1f11-dc8a-4947-9581-f90cd25caebd,2.17,3.61
52,36061009400,affc419f-eadb-4d88-ad31-7a2378d66bd3,5.98,6.76
53,36061009500,16ee8a81-7d00-4c38-9a1d-ad1748875ec2,3.4,3.54
54,36061009600,0bf6eff9-b123-4edd-894c-20afdd20ab3c,6.26,8.01
55,36061009700,07c5dbee-4882-4ac4-8541-96424576e145,0.64,2.66
56,36061009800,668e409f-e764-4514-8b2b-7f6745a1af53,5.05,6.05
57,36061009902,91686357-a186-426a-aa24-92a18a7539cc,6.61,7.53
58,36061009903,91686357-a186-426a-aa24-92a18a7539cc,5.7,7.47
59,36061010000,668e409f-e764-4514-8b2b-7f6745a1af53,1.21,1.89
60,36061010100,c842a1e1-129d-4eb7-8119-2d49a792b7f8,0.99,2.38
61,36061010200,90501805-4316-4d3b-9475-ace0ae0c2dd7,2.76,3.32
62,36061010300,91686357-a186-426a-aa24-92a18a7539cc,2.74,4.04
63,36061010400,90501805-4316-4d3b-9475-ace0ae0c2dd7,4.58,6.48
64,36061010801,86107cc6-1836-406c-b9ad-452831dfd920,4.8,5.29
65,36061010802,86107cc6-1836-406c-b9ad-452831dfd920,3.68,6.21
66,36061010803,86107cc6-1836-406c-b9ad-452831dfd920,2.38,4.17
67,36061010900,930a063f-952d-4002-8d97-31212ccb7fe8,4.55,4.62
68,36061011100,ede26137-27ac-42e6-97fe-dacf3753d2a1,2.59,3.83
69,36061011201,90501805-4316-4d3b-9475-ace0ae0c2dd7,4.57,6.29
70,36061011202,90501805-4316-4d3b-9475-ace0ae0c2dd7,2.69,3.41
71,36061011203,03d67891-9cee-417e-a2a1-22cefb5b6170,2.53,3.61
72,36061011300,930a063f-952d-4002-8d97-31212ccb7fe8,1.38,4.14
73,36061011402,6ad970d4-a5db-4f48-9178-c00fd2b2c51f,2.73,4.3
74,36061011800,105efa4e-f85b-4197-92ca-1106ef7a6bf1,4.64,5.62
75,36061011900,930a063f-952d-4002-8d97-31212ccb7fe8,4.31,5.34
76,36061012000,eeb664ae-b540-4be9-a111-920f52781da8,2.44,5.59
77,36061012101,4a476ddc-ed15-4a78-8b20-4898fddc78eb,1.92,2.02
78,36061012102,f6bd5c1c-640d-4fe2-9d1b-394298581a8f,2.56,3.34
79,36061012200,eeb664ae-b540-4be9-a111-920f52781da8,3.16,5.36
80,36061012500,84b53d6e-e608-4ffd-907c-3d99a63bb42c,3.24,4.94
81,36061012601,2d1dfdfa-569e-4013-a4f8-c8154602d92e,1.75,2.6
82,36061012602,105efa4e-f85b-4197-92ca-1106ef7a6bf1,0.26,3.09
83,36061012700,f6bd5c1c-640d-4fe2-9d1b-394298581a8f,2.18,3.23
84,36061013000,b6f4f3ae-df46-45a7-bb1b-4fd63f053aa1,3.02,5.76
85,36061013100,84b53d6e-e608-4ffd-907c-3d99a63bb42c,1.7,5.11
86,36061013201,26210921-fdb1-4b28-a977-716648eef422,1.09,3.86
87,36061013202,26210921-fdb1-4b28-a977-716648eef422,4.18,6.31
88,36061013300,3d8685fe-68fd-4959-9c2c-648443905930,1.92,4.74
89,36061013601,54dad5a8-9a1e-4849-b344-c7c69b64b14b,9.19,9.94
90,36061013602,26210921-fdb1-4b28-a977-716648eef422,7.07,8.27
91,36061014801,64e51557-8afb-490d-aaa4-815c5a7c2d08,2.11,3.9
92,36061014900,788ec471-011c-4cd8-a676-377052df4b82,3.56,4.4
93,36061015001,c9060f9f-18b5-4f9c-9b53-c0f3459d1e90,2.08,3.8
94,36061015002,c9060f9f-18b5-4f9c-9b53-c0f3459d1e90,1.98,4.86
95,36061015101,8b0c15d4-e489-47ee-abbc-03eee5f0844d,5.08,6.0
96,36061015301,a9487e60-a50c-487f-afcf-9ffbacc76a21,0.44,2.86
97,36061015302,014bd750-97d5-4734-8778-71b7940f3028,1.22,2.73
98,36061015401,5e9555ad-0da3-49f7-af66-0e317a9b76be,1.36,4.53
99,36061015402,5e9555ad-0da3-49f7-af66-0e317a9b76be,4.09,8.17
100,36061015403,5e9555ad-0da3-49f7-af66-0e317a9b76be,3.05,6.15
101,36061015501,b7e0e770-86ea-49fb-9221-40656b44ddbb,4.27,4.54
102,36061015601,5e9555ad-0da3-49f7-af66-0e317a9b76be,5.88,8.72
103,36061015602,5e9555ad-0da3-49f7-af66-0e317a9b76be,8.57,9.16
104,36061015700,b34ae6c9-b7f5-46bb-945e-52cc32816cab,2.59,2.97
105,36061015801,5e9555ad-0da3-49f7-af66-0e317a9b76be,5.58,7.62
106,36061015802,3b695278-45f0-4373-9bbc-53d3e24e4834,7.86,8.42
107,36061016001,c9060f9f-18b5-4f9c-9b53-c0f3459d1e90,7.27,8.65
108,36061016002,3b695278-45f0-4373-9bbc-53d3e24e4834,7.73,9.36
109,36061016100,b34ae6c9-b7f5-46bb-945e-52cc32816cab,3.21,5.06
110,36061016200,9ec408e0-58cf-4015-9fcf-2355c5bad8dd,2.93,4.99
111,36061016400,9ec408e0-58cf-4015-9fcf-2355c5bad8dd,4.87,6.56
112,36061016500,03056d4c-e622-48b4-a263-8756c14d83b4,5.27,6.53
113,36061016600,3b695278-45f0-4373-9bbc-53d3e24e4834,3.54,5.65
114,36061016900,03056d4c-e622-48b4-a263-8756c14d83b4,4.93,6.46
115,36061017000,9ec408e0-58cf-4015-9fcf-2355c5bad8dd,2.24,3.02
116,36061017100,ac4b2b32-1c42-471a-bd85-10bd9aa7efd7,2.51,2.78
117,36061017200,4f2dd518-7e0c-45c8-9eeb-dd82f5b37fd7,3.89,4.9
118,36061017300,30d7ffab-68bf-4c47-9539-7cd20b6faa22,6.49,6.96
119,36061017401,a33f0778-6a07-477f-a2e3-ab324e7247da,1.55,3.64
120,36061017402,a33f0778-6a07-477f-a2e3-ab324e7247da,2.75,4.82
121,36061017500,d3bd41a1-b437-4804-8b22-3fea1a5f5639,1.62,1.68
122,36061017700,30d7ffab-68bf-4c47-9539-7cd20b6faa22,5.12,6.65
123,36061018000,f63e5fa8-e3ef-4da4-b8e9-39b2ae8cf783,3.22,3.84
124,36061018100,673a097f-a550-4aa2-9bba-5952ac3f82e8,4.12,5.13
125,36061018400,623846a1-f373-4094-86c0-fc4a188571fe,2.77,4.1
126,36061018600,a79e6de5-115a-4794-9cec-ab2d19738878,2.63,3.45
127,36061018700,5acb41b2-7d5a-43fa-be57-86c29849672e,4.22,6.05
128,36061019200,499e8443-548f-444a-ba8e-406152dafa4d,2.33,4.91
129,36061019300,ebb39b6c-4de2-4796-9a39-b0edbe23f9b4,2.5,4.29
130,36061019400,4ec31af9-1527-4369-afa7-97c3403256dd,2.77,3.25
131,36061019500,b4c9296d-f3ef-4d60-b043-3a7322c0e391,2.97,4.99
132,36061019600,f98a1617-73c8-4a76-8496-7d533536f72b,1.39,2.16
