,GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
0,36061000100,873a924d-7237-4f65-a026-e9c4176f1932,36.16,40.63,873a924d-7237-4f65-a026-e9c4176f1932,36.16,47.26,873a924d-7237-4f65-a026-e9c4176f1932,36.16,47.26,873a924d-7237-4f65-a026-e9c4176f1932,36.16,63.52,873a924d-7237-4f65-a026-e9c4176f1932,36.16,40.63,873a924d-7237-4f65-a026-e9c4176f1932,36.16,47.26,873a924d-7237-4f65-a026-e9c4176f1932,36.16,47.26,873a924d-7237-4f65-a026-e9c4176f1932,36.16,63.52,873a924d-7237-4f65-a026-e9c4176f1932,36.16,40.63,873a924d-7237-4f65-a026-e9c4176f1932,36.16,41.35,873a924d-7237-4f65-a026-e9c4176f1932,36.16,47.26,873a924d-7237-4f65-a026-e9c4176f1932,36.16,63.52,873a924d-7237-4f65-a026-e9c4176f1932,36.16,40.63,873a924d-7237-4f65-a026-e9c4176f1932,36.16,44.64,873a924d-7237-4f65-a026-e9c4176f1932,36.16,47.26,873a924d-7237-4f65-a026-e9c4176f1932,36.16,63.52,317c3e0a-b224-4c6e-a102-bc75351b16ba,39.03,49.25,13276cde-2eeb-4ed3-bb0b-c2ba26c09fcb,41.2,48.94,c01c3921-1212-4497-add9-617e93738af3,46.7,55.88,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,62.0,72.0,944c0a47-dd0e-4dfe-bde6-75ffb4ac5819,70.9,74.37,317c3e0a-b224-4c6e-a102-bc75351b16ba,39.03,59.88,dce566ac-e6ac-42fb-b965-e8c70b748862,62.31,70.64,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,92.93,108.48,d2e71b9b-79a9-4609-af8c-4d1843d59330,58.93,76.56,f33a7626-2613-47a9-9cfe-c9c54980a6c5,47.95,56.29,d2e71b9b-79a9-4609-af8c-4d1843d59330,58.93,60.29,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,62.0,102.48
1,36061000201,01776d97-82e2-4625-b14d-9014e4fc1782,8.11,9.09,87345a14-df30-490c-87af-1fca5bdda60e,7.15,7.95,9c148d2f-6c8b-4a88-bd28-722a723c96cf,8.11,11.95,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.56,30.79,01776d97-82e2-4625-b14d-9014e4fc1782,8.11,9.09,b9a50000-6b85-469b-a076-5464b4a69f49,3.76,6.5,9c148d2f-6c8b-4a88-bd28-722a723c96cf,8.11,11.54,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.56,30.79,9c148d2f-6c8b-4a88-bd28-722a723c96cf,8.11,11.54,87345a14-df30-490c-87af-1fca5bdda60e,7.15,8.61,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,7.06,8.58,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.56,30.79,9c148d2f-6c8b-4a88-bd28-722a723c96cf,8.11,11.95,87345a14-df30-490c-87af-1fca5bdda60e,7.15,8.61,9c148d2f-6c8b-4a88-bd28-722a723c96cf,8.11,11.95,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.56,30.79,3b98244d-95d0-4112-9589-a971f5d15ee5,6.55,9.72,3b98244d-95d0-4112-9589-a971f5d15ee5,6.55,7.27,9c148d2f-6c8b-4a88-bd28-722a723c96cf,8.11,13.27,59e1983d-fb0a-42cf-99d3-1465f5d89673,27.72,34.98,66682907-6e8d-4b9b-b284-c36c6d482ab2,16.51,25.37,87345a14-df30-490c-87af-1fca5bdda60e,7.15,9.44,bf09bf8d-af3a-4384-b183-f8a33846d5da,10.42,23.3,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,48.73,57.13,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,28.48,42.07,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,28.48,32.71,ef7032d0-8660-4558-b258-033e06a9295f,28.48,29.87,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,28.48,59.63
2,36061000600,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,8.54,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,6.63,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,11.03,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,12.77,30.06,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,8.54,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,6.63,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,11.03,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,12.77,30.06,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,10.96,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,8.2,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,8.71,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,12.77,30.06,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,11.03,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,8.2,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,11.03,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,12.77,30.06,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,8.89,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,6.95,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.78,11.07,59e1983d-fb0a-42cf-99d3-1465f5d89673,25.69,33.6,66682907-6e8d-4b9b-b284-c36c6d482ab2,16.75,25.49,87345a14-df30-490c-87af-1fca5bdda60e,7.04,8.44,dce566ac-e6ac-42fb-b965-e8c70b748862,7.29,22.21,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,48.35,58.56,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,25.52,39.98,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,25.52,30.29,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,25.52,27.86,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,25.69,59.34
3,36061001401,01776d97-82e2-4625-b14d-9014e4fc1782,3.45,5.63,87345a14-df30-490c-87af-1fca5bdda60e,2.01,3.71,9c148d2f-6c8b-4a88-bd28-722a723c96cf,5.65,8.52,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.77,28.01,01776d97-82e2-4625-b14d-9014e4fc1782,3.45,5.63,87345a14-df30-490c-87af-1fca5bdda60e,2.01,3.71,9c148d2f-6c8b-4a88-bd28-722a723c96cf,5.65,8.52,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.77,28.01,9c148d2f-6c8b-4a88-bd28-722a723c96cf,5.65,8.08,87345a14-df30-490c-87af-1fca5bdda60e,2.01,5.15,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,3.47,5.63,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.77,28.01,9c148d2f-6c8b-4a88-bd28-722a723c96cf,5.65,8.52,87345a14-df30-490c-87af-1fca5bdda60e,2.01,5.15,9c148d2f-6c8b-4a88-bd28-722a723c96cf,5.65,8.52,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.77,28.01,3b98244d-95d0-4112-9589-a971f5d15ee5,4.64,6.6,87345a14-df30-490c-87af-1fca5bdda60e,2.01,4.1,9c148d2f-6c8b-4a88-bd28-722a723c96cf,5.65,9.09,59e1983d-fb0a-42cf-99d3-1465f5d89673,22.57,30.08,66682907-6e8d-4b9b-b284-c36c6d482ab2,11.68,20.7,87345a14-df30-490c-87af-1fca5bdda60e,2.01,4.97,bf09bf8d-af3a-4384-b183-f8a33846d5da,5.84,18.88,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,43.73,55.3,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.94,37.49,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.94,28.07,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.94,28.51,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.94,55.26
4,36061001402,01776d97-82e2-4625-b14d-9014e4fc1782,2.86,5.38,87345a14-df30-490c-87af-1fca5bdda60e,2.49,3.37,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.74,7.95,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.74,26.81,01776d97-82e2-4625-b14d-9014e4fc1782,2.86,5.63,87345a14-df30-490c-87af-1fca5bdda60e,2.49,3.37,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.74,7.76,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.74,26.81,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.74,7.13,87345a14-df30-490c-87af-1fca5bdda60e,2.49,5.11,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,1.79,5.02,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.74,26.81,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.74,8.07,87345a14-df30-490c-87af-1fca5bdda60e,2.49,5.25,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.74,7.95,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.74,26.81,3b98244d-95d0-4112-9589-a971f5d15ee5,3.81,6.88,87345a14-df30-490c-87af-1fca5bdda60e,2.49,4.87,fbacd514-b79b-43d4-a439-626639959398,8.3,9.13,59e1983d-fb0a-42cf-99d3-1465f5d89673,19.79,27.82,66682907-6e8d-4b9b-b284-c36c6d482ab2,8.16,17.36,bf09bf8d-af3a-4384-b183-f8a33846d5da,2.49,4.68,bf09bf8d-af3a-4384-b183-f8a33846d5da,2.55,17.33,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,40.43,53.1,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.24,36.07,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.24,26.91,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.24,29.41,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.24,52.5
5,36061001800,01776d97-82e2-4625-b14d-9014e4fc1782,3.71,5.32,01776d97-82e2-4625-b14d-9014e4fc1782,3.71,4.69,e70e16d0-3e39-461a-9643-43a65eed6b87,5.17,7.49,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.22,26.43,01776d97-82e2-4625-b14d-9014e4fc1782,3.71,5.32,01776d97-82e2-4625-b14d-9014e4fc1782,3.71,4.69,e70e16d0-3e39-461a-9643-43a65eed6b87,5.17,7.49,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.22,26.43,398a722b-2e51-4b2a-910a-b1f2e77738f2,5.09,5.78,398a722b-2e51-4b2a-910a-b1f2e77738f2,5.09,5.16,e70e16d0-3e39-461a-9643-43a65eed6b87,5.17,6.63,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.22,26.43,e70e16d0-3e39-461a-9643-43a65eed6b87,5.17,6.58,e70e16d0-3e39-461a-9643-43a65eed6b87,5.17,5.82,e70e16d0-3e39-461a-9643-43a65eed6b87,5.17,7.49,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.22,26.43,fbacd514-b79b-43d4-a439-626639959398,2.53,4.92,fbacd514-b79b-43d4-a439-626639959398,2.53,4.3,fbacd514-b79b-43d4-a439-626639959398,2.53,4.92,59e1983d-fb0a-42cf-99d3-1465f5d89673,16.16,23.77,66682907-6e8d-4b9b-b284-c36c6d482ab2,7.72,16.3,bf09bf8d-af3a-4384-b183-f8a33846d5da,4.53,5.15,bf09bf8d-af3a-4384-b183-f8a33846d5da,4.53,16.03,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,37.83,54.08,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,17.32,31.22,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,17.32,21.55,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,17.32,26.13,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,17.32,50.23
6,36061002201,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,5.99,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,5.54,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,7.92,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,28.64,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,5.43,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,5.93,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,6.58,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,28.64,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,7.65,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,6.46,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,3.72,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,28.64,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,8.96,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,6.46,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,9.4,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.2,24.6,3b98244d-95d0-4112-9589-a971f5d15ee5,4.43,7.2,3b98244d-95d0-4112-9589-a971f5d15ee5,4.43,5.71,fbacd514-b79b-43d4-a439-626639959398,11.81,12.94,59e1983d-fb0a-42cf-99d3-1465f5d89673,19.98,28.4,66682907-6e8d-4b9b-b284-c36c6d482ab2,7.69,16.06,bf09bf8d-af3a-4384-b183-f8a33846d5da,5.57,8.74,bf09bf8d-af3a-4384-b183-f8a33846d5da,5.57,19.52,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,38.95,50.74,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,26.28,37.68,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,26.28,29.15,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,26.28,32.58,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,26.28,51.26
7,36061002601,05aad5be-2987-4935-91b1-86cf9978d362,4.14,7.7,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,4.14,5.35,05aad5be-2987-4935-91b1-86cf9978d362,4.14,8.54,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.67,27.46,17fd80c7-262b-45b8-96d7-61127e6e9c97,5.09,5.94,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.09,5.47,db629eef-a57c-4b0c-a378-2f8490b03455,3.11,8.2,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.67,27.46,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.67,9.73,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.24,7.51,db629eef-a57c-4b0c-a378-2f8490b03455,3.11,6.75,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.67,27.46,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.67,11.13,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.24,8.14,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.67,13.29,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.67,23.67,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.99,8.86,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.99,6.63,fbacd514-b79b-43d4-a439-626639959398,14.18,15.61,59e1983d-fb0a-42cf-99d3-1465f5d89673,17.84,26.5,74e15d61-8005-496d-a8dc-4a3536b58964,7.26,13.29,74e15d61-8005-496d-a8dc-4a3536b58964,7.75,9.85,bf09bf8d-af3a-4384-b183-f8a33846d5da,9.29,20.76,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,34.67,48.11,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,26.99,36.74,5501c1e1-218e-4a4d-8d2f-0b0e127ca0b3,26.99,30.49,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,26.99,32.48,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,26.99,47.85
8,36061002602,05aad5be-2987-4935-91b1-86cf9978d362,2.69,8.52,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.69,5.12,05aad5be-2987-4935-91b1-86cf9978d362,2.69,10.81,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.69,27.07,17fd80c7-262b-45b8-96d7-61127e6e9c97,4.63,6.91,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.99,4.68,db629eef-a57c-4b0c-a378-2f8490b03455,5.13,11.63,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.69,27.07,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.69,11.78,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.99,8.39,db629eef-a57c-4b0c-a378-2f8490b03455,5.13,9.45,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.69,27.07,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.69,13.16,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.99,8.62,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.69,16.66,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.69,23.3,0cda860a-feae-4cb4-bb5a-a421e09a0145,6.17,11.01,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.99,7.62,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,16.39,18.9,59e1983d-fb0a-42cf-99d3-1465f5d89673,17.66,26.18,74e15d61-8005-496d-a8dc-4a3536b58964,5.28,12.82,74e15d61-8005-496d-a8dc-4a3536b58964,5.28,10.94,bf09bf8d-af3a-4384-b183-f8a33846d5da,12.09,21.97,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,32.74,46.8,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,28.15,36.62,5501c1e1-218e-4a4d-8d2f-0b0e127ca0b3,28.15,29.76,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,28.15,32.56,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,28.15,46.31
9,36061002800,05aad5be-2987-4935-91b1-86cf9978d362,4.88,11.49,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.72,7.48,05aad5be-2987-4935-91b1-86cf9978d362,4.88,11.68,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.84,26.69,17fd80c7-262b-45b8-96d7-61127e6e9c97,5.53,9.65,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.72,6.28,db629eef-a57c-4b0c-a378-2f8490b03455,8.91,13.02,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.84,26.69,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.84,15.07,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.72,11.29,db629eef-a57c-4b0c-a378-2f8490b03455,8.91,13.02,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.84,26.69,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.84,16.64,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.72,11.29,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.84,15.53,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.84,23.0,0cda860a-feae-4cb4-bb5a-a421e09a0145,9.93,14.51,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.72,9.99,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,16.31,17.7,59e1983d-fb0a-42cf-99d3-1465f5d89673,18.25,28.16,74e15d61-8005-496d-a8dc-4a3536b58964,3.73,13.29,74e15d61-8005-496d-a8dc-4a3536b58964,3.73,13.13,bf09bf8d-af3a-4384-b183-f8a33846d5da,16.07,23.81,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,30.4,45.2,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,30.18,36.74,5501c1e1-218e-4a4d-8d2f-0b0e127ca0b3,27.77,31.15,0abbb27b-9ea5-41a4-9f6b-337631d74806,30.18,33.0,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,30.18,44.36
