,GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
0,36085000300,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,3.59,15.8,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,3.59,5.07,,21.67,24.53,,21.67,21.67,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,5.72,8.58,dba9890f-cb15-498b-ae53-dce4f4ef7642,3.64,5.51,1aebac20-1b0c-44b1-ae1f-cd31fc844459,2.01,5.02,3f567964-bab8-4c2f-96d6-642d30d22ae6,18.01,19.23,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,3.59,15.91,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,3.59,5.09,d2069db2-2a82-40fb-b08c-87b8e38c1889,13.66,17.23,,21.67,21.67,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,3.59,10.33,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,3.59,5.49,775595ad-bf2c-49bb-b95a-a96ec8a28f97,3.0,13.68,,21.67,27.51,ee7c1113-ef78-4bc6-bf7e-7069e918785e,21.67,22.39,0f19fe4d-9cd5-4246-adce-52d494d9f608,6.19,16.79,0f19fe4d-9cd5-4246-adce-52d494d9f608,6.19,16.83,,21.67,21.67,,6.99,12.98,c028bd09-1238-4c03-b527-822bfa9eb2d3,6.02,7.76,,21.67,22.09,,21.67,21.67,,21.67,21.67,0f19fe4d-9cd5-4246-adce-52d494d9f608,6.19,14.62,0f19fe4d-9cd5-4246-adce-52d494d9f608,6.19,10.1,c55f2efc-31b1-44ea-a89f-9ed598932171,12.05,12.05
1,36085000600,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,10.04,10.61,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,10.04,10.61,,10.91,21.55,,27.28,27.28,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,7.58,8.2,d6c62644-c501-4431-b976-c6d869858290,6.42,6.92,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,6.78,9.98,3f567964-bab8-4c2f-96d6-642d30d22ae6,12.24,17.25,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,10.04,10.61,d6c62644-c501-4431-b976-c6d869858290,6.42,9.11,d2069db2-2a82-40fb-b08c-87b8e38c1889,9.16,14.29,,27.28,27.28,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,7.87,9.6,d6c62644-c501-4431-b976-c6d869858290,6.42,7.39,93e07152-1802-4f6d-b623-381e853babf5,10.91,16.43,,27.28,33.59,a22828c6-3832-4aac-815d-3400c4b79505,10.89,16.09,0f19fe4d-9cd5-4246-adce-52d494d9f608,8.13,9.98,0f19fe4d-9cd5-4246-adce-52d494d9f608,8.13,10.22,,27.28,27.28,,7.58,15.69,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,7.58,9.71,,27.28,27.59,,27.28,27.28,,27.28,27.28,0f19fe4d-9cd5-4246-adce-52d494d9f608,8.13,19.61,c55f2efc-31b1-44ea-a89f-9ed598932171,7.89,7.97,c55f2efc-31b1-44ea-a89f-9ed598932171,7.89,7.89
2,36085000700,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,6.7,15.28,8b577e52-bebc-4b5b-b1c9-390d6a3fb1eb,3.32,5.13,,18.77,25.3,,18.77,18.77,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,8.82,11.69,dba9890f-cb15-498b-ae53-dce4f4ef7642,6.39,8.5,775595ad-bf2c-49bb-b95a-a96ec8a28f97,2.85,6.71,ee7c1113-ef78-4bc6-bf7e-7069e918785e,18.77,19.99,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,6.7,15.13,27188928-d1ee-4427-8733-f4045d10a15d,1.47,6.15,3374cda0-2ed3-4037-928b-486bf17d8f36,14.79,16.77,,18.77,18.77,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,6.7,11.43,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,6.7,8.6,775595ad-bf2c-49bb-b95a-a96ec8a28f97,2.85,12.14,,18.77,24.57,ee7c1113-ef78-4bc6-bf7e-7069e918785e,18.77,23.49,0f19fe4d-9cd5-4246-adce-52d494d9f608,9.29,15.91,0f19fe4d-9cd5-4246-adce-52d494d9f608,9.29,15.91,,18.77,18.77,,9.11,13.76,23220034-c5af-4fd6-b657-c19a3f143791,9.11,10.54,,18.77,19.38,,18.77,18.77,,18.77,18.77,0f19fe4d-9cd5-4246-adce-52d494d9f608,9.29,14.16,0f19fe4d-9cd5-4246-adce-52d494d9f608,9.29,13.2,c55f2efc-31b1-44ea-a89f-9ed598932171,15.16,15.16
3,36085000800,a22828c6-3832-4aac-815d-3400c4b79505,9.69,10.23,a22828c6-3832-4aac-815d-3400c4b79505,9.69,10.23,,9.71,20.64,,26.94,26.94,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,6.79,8.2,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,6.43,6.73,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,6.43,9.06,3f567964-bab8-4c2f-96d6-642d30d22ae6,11.04,16.34,a22828c6-3832-4aac-815d-3400c4b79505,9.69,10.23,d6c62644-c501-4431-b976-c6d869858290,7.67,9.02,d2069db2-2a82-40fb-b08c-87b8e38c1889,8.09,13.81,,26.94,26.94,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,9.13,9.51,c55f2efc-31b1-44ea-a89f-9ed598932171,6.81,7.1,93e07152-1802-4f6d-b623-381e853babf5,9.71,16.72,,26.94,33.21,a22828c6-3832-4aac-815d-3400c4b79505,9.69,14.89,0f19fe4d-9cd5-4246-adce-52d494d9f608,9.39,9.6,0f19fe4d-9cd5-4246-adce-52d494d9f608,9.39,9.84,,26.94,26.94,,6.79,15.51,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,6.79,10.14,,26.71,26.82,,26.94,26.94,,26.94,26.94,0f19fe4d-9cd5-4246-adce-52d494d9f608,9.39,20.19,c55f2efc-31b1-44ea-a89f-9ed598932171,6.81,7.67,c55f2efc-31b1-44ea-a89f-9ed598932171,6.81,6.81
4,36085000900,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.82,15.1,af5b9025-9b40-4cf4-9e49-60aa3040137b,3.58,4.43,,20.01,24.13,,20.01,20.01,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,6.95,9.61,dba9890f-cb15-498b-ae53-dce4f4ef7642,3.25,6.2,1aebac20-1b0c-44b1-ae1f-cd31fc844459,1.91,5.19,3f567964-bab8-4c2f-96d6-642d30d22ae6,18.4,18.94,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.82,15.22,27188928-d1ee-4427-8733-f4045d10a15d,4.04,5.76,3374cda0-2ed3-4037-928b-486bf17d8f36,14.65,16.47,,20.01,20.01,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.82,10.6,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.82,6.73,775595ad-bf2c-49bb-b95a-a96ec8a28f97,2.36,12.34,,20.01,25.82,ee7c1113-ef78-4bc6-bf7e-7069e918785e,20.01,22.66,0f19fe4d-9cd5-4246-adce-52d494d9f608,7.42,16.09,0f19fe4d-9cd5-4246-adce-52d494d9f608,7.42,16.12,,20.01,20.01,,6.21,12.58,23220034-c5af-4fd6-b657-c19a3f143791,6.21,8.04,,20.01,20.43,,20.01,20.01,,20.01,20.01,0f19fe4d-9cd5-4246-adce-52d494d9f608,7.42,13.91,0f19fe4d-9cd5-4246-adce-52d494d9f608,7.42,11.33,c55f2efc-31b1-44ea-a89f-9ed598932171,13.29,13.29
5,36085001100,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.27,13.32,af5b9025-9b40-4cf4-9e49-60aa3040137b,2.36,3.83,,17.62,21.93,,17.62,17.62,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,6.4,8.14,dba9890f-cb15-498b-ae53-dce4f4ef7642,1.35,4.97,1aebac20-1b0c-44b1-ae1f-cd31fc844459,2.92,5.57,3f567964-bab8-4c2f-96d6-642d30d22ae6,16.16,16.65,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.27,13.44,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.27,5.38,d2069db2-2a82-40fb-b08c-87b8e38c1889,12.51,14.42,,17.62,17.62,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.27,9.43,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.27,5.94,775595ad-bf2c-49bb-b95a-a96ec8a28f97,4.16,11.64,,17.62,23.93,ee7c1113-ef78-4bc6-bf7e-7069e918785e,17.62,20.74,0f19fe4d-9cd5-4246-adce-52d494d9f608,6.86,14.31,0f19fe4d-9cd5-4246-adce-52d494d9f608,6.86,14.75,,17.62,17.62,,3.69,10.4,23220034-c5af-4fd6-b657-c19a3f143791,3.69,5.91,,17.62,18.03,,17.62,17.62,,17.62,17.62,0f19fe4d-9cd5-4246-adce-52d494d9f608,6.86,12.65,0f19fe4d-9cd5-4246-adce-52d494d9f608,6.86,9.77,c55f2efc-31b1-44ea-a89f-9ed598932171,11.23,11.23
6,36085001700,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.72,13.54,af5b9025-9b40-4cf4-9e49-60aa3040137b,4.02,5.25,,17.72,20.99,,17.72,17.72,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,4.58,6.11,dba9890f-cb15-498b-ae53-dce4f4ef7642,1.8,3.8,1aebac20-1b0c-44b1-ae1f-cd31fc844459,5.0,6.27,3f567964-bab8-4c2f-96d6-642d30d22ae6,14.02,15.25,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.72,13.66,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,4.72,5.53,d2069db2-2a82-40fb-b08c-87b8e38c1889,10.37,13.78,,17.72,17.72,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,4.58,9.01,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,4.58,4.77,775595ad-bf2c-49bb-b95a-a96ec8a28f97,6.3,12.42,,17.72,24.03,ee7c1113-ef78-4bc6-bf7e-7069e918785e,17.72,19.34,0f19fe4d-9cd5-4246-adce-52d494d9f608,4.85,13.71,0f19fe4d-9cd5-4246-adce-52d494d9f608,4.85,14.0,,17.72,17.72,,2.92,9.46,c028bd09-1238-4c03-b527-822bfa9eb2d3,2.02,4.22,,17.72,18.13,,17.72,17.72,,17.72,17.72,0f19fe4d-9cd5-4246-adce-52d494d9f608,4.85,12.14,0f19fe4d-9cd5-4246-adce-52d494d9f608,4.85,7.67,c55f2efc-31b1-44ea-a89f-9ed598932171,9.09,9.09
7,36085002001,a22828c6-3832-4aac-815d-3400c4b79505,7.56,9.47,a22828c6-3832-4aac-815d-3400c4b79505,7.56,9.47,,7.59,18.55,,24.86,24.86,a22828c6-3832-4aac-815d-3400c4b79505,7.56,7.73,a22828c6-3832-4aac-815d-3400c4b79505,7.56,7.62,93e07152-1802-4f6d-b623-381e853babf5,7.59,8.08,3f567964-bab8-4c2f-96d6-642d30d22ae6,8.97,14.27,a22828c6-3832-4aac-815d-3400c4b79505,7.56,9.47,a22828c6-3832-4aac-815d-3400c4b79505,7.56,8.26,93e07152-1802-4f6d-b623-381e853babf5,7.59,12.59,,24.86,24.86,a22828c6-3832-4aac-815d-3400c4b79505,7.56,8.74,a22828c6-3832-4aac-815d-3400c4b79505,7.56,7.74,93e07152-1802-4f6d-b623-381e853babf5,7.59,16.09,,24.86,31.13,a22828c6-3832-4aac-815d-3400c4b79505,7.56,12.78,a22828c6-3832-4aac-815d-3400c4b79505,7.56,8.83,93e07152-1802-4f6d-b623-381e853babf5,7.59,9.07,,24.86,24.86,,8.05,15.67,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,8.05,11.43,,24.64,24.75,,24.86,24.86,,24.86,24.86,0f19fe4d-9cd5-4246-adce-52d494d9f608,11.35,19.57,c55f2efc-31b1-44ea-a89f-9ed598932171,8.08,9.17,c55f2efc-31b1-44ea-a89f-9ed598932171,8.08,8.08
8,36085002100,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,2.16,12.53,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,2.16,6.87,,17.73,22.41,,21.46,21.46,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,0.69,3.56,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,0.69,2.19,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,5.03,6.35,3f567964-bab8-4c2f-96d6-642d30d22ae6,13.84,16.38,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,2.16,12.53,d6c62644-c501-4431-b976-c6d869858290,2.14,4.56,d2069db2-2a82-40fb-b08c-87b8e38c1889,8.63,14.45,,21.46,21.46,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,0.69,6.85,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,0.69,1.66,775595ad-bf2c-49bb-b95a-a96ec8a28f97,7.69,14.14,,21.46,27.77,a22828c6-3832-4aac-815d-3400c4b79505,17.71,18.97,0f19fe4d-9cd5-4246-adce-52d494d9f608,1.16,12.2,0f19fe4d-9cd5-4246-adce-52d494d9f608,1.16,12.32,,21.46,21.46,,5.26,11.04,c028bd09-1238-4c03-b527-822bfa9eb2d3,3.52,5.06,,21.46,21.88,,21.46,21.46,,21.46,21.46,0f19fe4d-9cd5-4246-adce-52d494d9f608,1.16,13.41,0f19fe4d-9cd5-4246-adce-52d494d9f608,1.16,5.07,c55f2efc-31b1-44ea-a89f-9ed598932171,7.03,7.03
9,36085002700,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,7.43,12.25,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,7.43,10.77,,14.67,21.1,,23.45,23.45,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,2.12,3.8,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,1.32,1.91,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,1.32,7.74,3f567964-bab8-4c2f-96d6-642d30d22ae6,10.95,15.12,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,7.43,12.25,d6c62644-c501-4431-b976-c6d869858290,3.8,8.59,d2069db2-2a82-40fb-b08c-87b8e38c1889,5.36,13.0,,23.45,23.45,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,5.26,9.11,c55f2efc-31b1-44ea-a89f-9ed598932171,3.75,3.77,775595ad-bf2c-49bb-b95a-a96ec8a28f97,12.85,15.49,,23.45,29.76,a22828c6-3832-4aac-815d-3400c4b79505,14.64,17.58,0f19fe4d-9cd5-4246-adce-52d494d9f608,5.52,11.61,0f19fe4d-9cd5-4246-adce-52d494d9f608,5.52,11.77,,23.45,23.45,,2.12,11.31,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,2.12,5.5,,23.45,23.86,,23.45,23.45,,23.45,23.45,0f19fe4d-9cd5-4246-adce-52d494d9f608,5.52,16.18,c55f2efc-31b1-44ea-a89f-9ed598932171,3.75,4.34,c55f2efc-31b1-44ea-a89f-9ed598932171,3.75,3.75
