,GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
0,36061000100,873a924d-7237-4f65-a026-e9c4176f1932,0.84,1.59,873a924d-7237-4f65-a026-e9c4176f1932,0.82,2.96,873a924d-7237-4f65-a026-e9c4176f1932,0.84,2.95,873a924d-7237-4f65-a026-e9c4176f1932,0.81,6.12,873a924d-7237-4f65-a026-e9c4176f1932,0.84,1.59,873a924d-7237-4f65-a026-e9c4176f1932,0.82,2.96,873a924d-7237-4f65-a026-e9c4176f1932,0.84,2.95,873a924d-7237-4f65-a026-e9c4176f1932,0.81,6.12,873a924d-7237-4f65-a026-e9c4176f1932,0.84,1.59,873a924d-7237-4f65-a026-e9c4176f1932,0.82,2.96,873a924d-7237-4f65-a026-e9c4176f1932,0.84,2.95,873a924d-7237-4f65-a026-e9c4176f1932,0.81,6.12,873a924d-7237-4f65-a026-e9c4176f1932,0.84,1.59,873a924d-7237-4f65-a026-e9c4176f1932,0.82,2.96,873a924d-7237-4f65-a026-e9c4176f1932,0.84,2.95,873a924d-7237-4f65-a026-e9c4176f1932,0.81,6.12,317c3e0a-b224-4c6e-a102-bc75351b16ba,1.49,3.05,c01c3921-1212-4497-add9-617e93738af3,2.63,4.53,c01c3921-1212-4497-add9-617e93738af3,2.55,4.54,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.31,8.07,66682907-6e8d-4b9b-b284-c36c6d482ab2,7.65,7.98,317c3e0a-b224-4c6e-a102-bc75351b16ba,1.97,4.87,dce566ac-e6ac-42fb-b965-e8c70b748862,5.84,7.85,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,9.89,12.69,d2e71b9b-79a9-4609-af8c-4d1843d59330,4.96,7.33,d2e71b9b-79a9-4609-af8c-4d1843d59330,5.43,5.95,d2e71b9b-79a9-4609-af8c-4d1843d59330,5.45,6.35,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.31,10.95
1,36061000201,01776d97-82e2-4625-b14d-9014e4fc1782,1.93,2.14,87345a14-df30-490c-87af-1fca5bdda60e,1.45,1.84,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.11,2.77,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.07,5.47,01776d97-82e2-4625-b14d-9014e4fc1782,1.93,2.14,b9a50000-6b85-469b-a076-5464b4a69f49,0.55,1.34,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.11,2.44,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.07,5.47,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.03,2.67,87345a14-df30-490c-87af-1fca5bdda60e,1.45,2.03,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,1.95,2.22,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.07,5.47,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.03,2.72,87345a14-df30-490c-87af-1fca5bdda60e,1.45,2.03,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.11,2.91,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.07,5.47,3b98244d-95d0-4112-9589-a971f5d15ee5,1.27,2.11,3b98244d-95d0-4112-9589-a971f5d15ee5,1.32,1.78,9c148d2f-6c8b-4a88-bd28-722a723c96cf,2.64,3.27,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,6.17,7.27,66682907-6e8d-4b9b-b284-c36c6d482ab2,3.35,5.08,87345a14-df30-490c-87af-1fca5bdda60e,1.45,2.22,dce566ac-e6ac-42fb-b965-e8c70b748862,2.43,4.8,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,8.78,9.32,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.76,6.98,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,6.11,6.35,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,6.22,6.9,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,6.17,8.71
2,36061000600,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.5,1.93,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.56,1.79,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.68,2.68,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.65,5.81,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.5,1.93,b9a50000-6b85-469b-a076-5464b4a69f49,1.04,1.49,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.68,2.68,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.65,5.81,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.5,2.38,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.56,2.02,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.68,2.36,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.65,5.81,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.5,2.43,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.56,2.02,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.68,2.68,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.65,5.81,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.5,1.93,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.56,1.77,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.68,2.68,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.6,7.03,66682907-6e8d-4b9b-b284-c36c6d482ab2,3.12,4.98,dce566ac-e6ac-42fb-b965-e8c70b748862,1.5,2.07,dce566ac-e6ac-42fb-b965-e8c70b748862,1.68,4.67,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,9.08,10.02,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.3,7.06,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.5,6.31,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.81,6.5,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.6,9.33
3,36061001401,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.4,1.57,87345a14-df30-490c-87af-1fca5bdda60e,1.15,1.45,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.48,2.29,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.76,5.66,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.4,1.57,b9a50000-6b85-469b-a076-5464b4a69f49,0.94,1.2,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.48,2.22,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.76,5.66,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.4,2.07,87345a14-df30-490c-87af-1fca5bdda60e,1.15,1.47,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.48,1.67,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.76,5.66,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.4,2.12,87345a14-df30-490c-87af-1fca5bdda60e,1.15,1.47,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.48,2.29,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.76,5.62,3b98244d-95d0-4112-9589-a971f5d15ee5,0.95,1.62,3b98244d-95d0-4112-9589-a971f5d15ee5,1.02,1.22,9c148d2f-6c8b-4a88-bd28-722a723c96cf,1.48,2.59,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.64,7.04,66682907-6e8d-4b9b-b284-c36c6d482ab2,3.01,4.76,87345a14-df30-490c-87af-1fca5bdda60e,1.15,1.79,dce566ac-e6ac-42fb-b965-e8c70b748862,1.64,4.51,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,9.03,9.6,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.33,7.01,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.62,6.36,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.77,6.63,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.64,9.2
4,36061001402,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.92,2.0,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.91,1.51,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.93,2.46,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.91,5.22,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.92,1.94,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.91,1.43,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.93,1.95,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.91,5.22,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.92,2.34,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.91,1.83,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,0.32,1.24,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.91,5.08,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.92,2.39,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.91,1.84,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.93,2.83,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,0.91,5.0,3b98244d-95d0-4112-9589-a971f5d15ee5,0.44,1.71,3b98244d-95d0-4112-9589-a971f5d15ee5,0.44,1.46,fbacd514-b79b-43d4-a439-626639959398,3.34,3.63,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,6.06,6.85,66682907-6e8d-4b9b-b284-c36c6d482ab2,2.49,4.22,87345a14-df30-490c-87af-1fca5bdda60e,1.53,2.46,bf09bf8d-af3a-4384-b183-f8a33846d5da,2.65,4.87,879eab66-b34f-4caa-acca-3141e44bd29e,7.94,9.03,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.74,7.29,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.96,6.6,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,6.14,7.06,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,6.06,9.44
5,36061001800,01776d97-82e2-4625-b14d-9014e4fc1782,0.55,1.02,01776d97-82e2-4625-b14d-9014e4fc1782,0.68,1.02,e70e16d0-3e39-461a-9643-43a65eed6b87,1.23,1.63,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.12,5.1,01776d97-82e2-4625-b14d-9014e4fc1782,0.55,1.02,01776d97-82e2-4625-b14d-9014e4fc1782,0.68,1.02,e70e16d0-3e39-461a-9643-43a65eed6b87,1.23,1.63,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.12,5.1,398a722b-2e51-4b2a-910a-b1f2e77738f2,0.99,1.17,398a722b-2e51-4b2a-910a-b1f2e77738f2,1.03,1.14,e70e16d0-3e39-461a-9643-43a65eed6b87,1.23,1.43,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.12,5.1,e70e16d0-3e39-461a-9643-43a65eed6b87,1.14,1.33,87345a14-df30-490c-87af-1fca5bdda60e,1.17,1.27,e70e16d0-3e39-461a-9643-43a65eed6b87,1.23,1.63,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.12,5.1,fbacd514-b79b-43d4-a439-626639959398,0.38,0.93,fbacd514-b79b-43d4-a439-626639959398,0.41,0.93,fbacd514-b79b-43d4-a439-626639959398,0.41,1.04,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,3.42,4.85,66682907-6e8d-4b9b-b284-c36c6d482ab2,1.51,3.22,dce566ac-e6ac-42fb-b965-e8c70b748862,1.12,1.19,dce566ac-e6ac-42fb-b965-e8c70b748862,1.11,3.17,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,6.9,8.87,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,3.22,5.51,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,3.39,4.33,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,3.45,5.08,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,3.42,8.43
6,36061002201,05aad5be-2987-4935-91b1-86cf9978d362,1.7,1.89,05aad5be-2987-4935-91b1-86cf9978d362,1.73,1.82,05aad5be-2987-4935-91b1-86cf9978d362,1.73,2.41,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.56,5.51,15c2f545-885e-46d8-8f8f-45743f91bd88,1.52,1.66,15c2f545-885e-46d8-8f8f-45743f91bd88,1.61,1.69,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.15,1.64,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.56,5.51,398a722b-2e51-4b2a-910a-b1f2e77738f2,1.67,1.99,398a722b-2e51-4b2a-910a-b1f2e77738f2,1.78,1.84,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.15,1.55,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.56,5.51,a5cb0337-2d16-48dd-b5b8-cf6379e0daeb,1.82,2.32,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.81,2.09,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.63,3.07,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.56,5.51,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.04,1.3,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.12,1.35,fbacd514-b79b-43d4-a439-626639959398,2.49,3.02,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,4.77,5.56,66682907-6e8d-4b9b-b284-c36c6d482ab2,1.18,2.91,bf09bf8d-af3a-4384-b183-f8a33846d5da,1.95,2.27,bf09bf8d-af3a-4384-b183-f8a33846d5da,2.15,4.2,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,7.08,9.08,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,4.43,5.98,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,4.68,5.33,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,4.83,6.22,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,4.77,8.16
7,36061002601,05aad5be-2987-4935-91b1-86cf9978d362,0.89,1.81,05aad5be-2987-4935-91b1-86cf9978d362,0.91,1.54,05aad5be-2987-4935-91b1-86cf9978d362,0.91,2.29,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.74,5.53,17fd80c7-262b-45b8-96d7-61127e6e9c97,1.27,1.66,17fd80c7-262b-45b8-96d7-61127e6e9c97,1.35,1.51,0cda860a-feae-4cb4-bb5a-a421e09a0145,0.77,1.46,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.74,5.53,398a722b-2e51-4b2a-910a-b1f2e77738f2,1.95,2.26,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.49,1.92,0cda860a-feae-4cb4-bb5a-a421e09a0145,0.77,1.4,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.74,5.53,a5cb0337-2d16-48dd-b5b8-cf6379e0daeb,2.09,2.59,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.49,2.15,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.82,3.32,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.74,5.53,0cda860a-feae-4cb4-bb5a-a421e09a0145,0.76,1.21,0cda860a-feae-4cb4-bb5a-a421e09a0145,0.78,1.01,fbacd514-b79b-43d4-a439-626639959398,2.76,3.3,59e1983d-fb0a-42cf-99d3-1465f5d89673,4.65,5.49,66682907-6e8d-4b9b-b284-c36c6d482ab2,1.28,2.79,74e15d61-8005-496d-a8dc-4a3536b58964,1.69,2.33,bf09bf8d-af3a-4384-b183-f8a33846d5da,2.42,4.26,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,6.77,9.06,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,4.7,6.22,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,4.96,5.54,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.1,6.28,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.05,8.24
8,36061002602,05aad5be-2987-4935-91b1-86cf9978d362,0.43,1.96,05aad5be-2987-4935-91b1-86cf9978d362,0.43,1.38,05aad5be-2987-4935-91b1-86cf9978d362,0.43,2.45,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.23,5.72,17fd80c7-262b-45b8-96d7-61127e6e9c97,1.11,1.85,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.01,1.4,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.26,1.94,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.23,5.72,398a722b-2e51-4b2a-910a-b1f2e77738f2,2.42,2.73,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.01,2.08,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.26,1.88,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.23,5.72,a5cb0337-2d16-48dd-b5b8-cf6379e0daeb,2.56,3.05,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.01,2.31,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.3,3.64,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.23,5.72,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.23,1.67,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.01,1.18,fbacd514-b79b-43d4-a439-626639959398,3.24,3.62,59e1983d-fb0a-42cf-99d3-1465f5d89673,4.51,5.56,74e15d61-8005-496d-a8dc-4a3536b58964,1.13,2.75,74e15d61-8005-496d-a8dc-4a3536b58964,1.2,2.49,bf09bf8d-af3a-4384-b183-f8a33846d5da,2.91,4.54,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,6.63,9.01,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.17,6.38,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.45,5.71,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.59,6.56,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.54,8.07
9,36061002800,05aad5be-2987-4935-91b1-86cf9978d362,1.02,2.55,05aad5be-2987-4935-91b1-86cf9978d362,1.03,1.83,05aad5be-2987-4935-91b1-86cf9978d362,1.03,2.6,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.84,5.81,17fd80c7-262b-45b8-96d7-61127e6e9c97,1.26,2.24,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.18,1.65,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.86,2.37,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.84,5.81,398a722b-2e51-4b2a-910a-b1f2e77738f2,3.01,3.31,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.18,2.54,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.86,2.37,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.84,5.81,a5cb0337-2d16-48dd-b5b8-cf6379e0daeb,3.15,3.58,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.18,2.6,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,3.39,3.56,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.84,5.81,0cda860a-feae-4cb4-bb5a-a421e09a0145,1.82,2.27,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,1.18,1.64,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,3.39,3.54,59e1983d-fb0a-42cf-99d3-1465f5d89673,4.83,5.69,74e15d61-8005-496d-a8dc-4a3536b58964,0.97,2.72,74e15d61-8005-496d-a8dc-4a3536b58964,1.09,2.85,bf09bf8d-af3a-4384-b183-f8a33846d5da,3.51,4.76,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,6.08,8.83,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,5.76,6.58,5501c1e1-218e-4a4d-8d2f-0b0e127ca0b3,5.53,5.83,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,6.19,6.78,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,6.15,7.87
