,GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
0,36061000100,873a924d-7237-4f65-a026-e9c4176f1932,3.04,4.77,873a924d-7237-4f65-a026-e9c4176f1932,2.06,6.02,873a924d-7237-4f65-a026-e9c4176f1932,2.74,6.67,873a924d-7237-4f65-a026-e9c4176f1932,2.14,11.23,873a924d-7237-4f65-a026-e9c4176f1932,3.04,4.77,873a924d-7237-4f65-a026-e9c4176f1932,2.06,6.02,873a924d-7237-4f65-a026-e9c4176f1932,2.74,6.67,873a924d-7237-4f65-a026-e9c4176f1932,2.14,11.23,873a924d-7237-4f65-a026-e9c4176f1932,3.04,4.77,873a924d-7237-4f65-a026-e9c4176f1932,2.06,5.8,873a924d-7237-4f65-a026-e9c4176f1932,2.74,6.67,873a924d-7237-4f65-a026-e9c4176f1932,2.14,11.23,873a924d-7237-4f65-a026-e9c4176f1932,3.04,4.77,873a924d-7237-4f65-a026-e9c4176f1932,2.06,4.86,873a924d-7237-4f65-a026-e9c4176f1932,2.74,6.67,873a924d-7237-4f65-a026-e9c4176f1932,2.14,11.23,317c3e0a-b224-4c6e-a102-bc75351b16ba,5.29,8.74,c01c3921-1212-4497-add9-617e93738af3,5.24,8.7,c01c3921-1212-4497-add9-617e93738af3,5.82,9.56,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,10.51,16.3,66682907-6e8d-4b9b-b284-c36c6d482ab2,10.41,14.14,317c3e0a-b224-4c6e-a102-bc75351b16ba,4.22,10.86,dce566ac-e6ac-42fb-b965-e8c70b748862,11.26,15.0,879eab66-b34f-4caa-acca-3141e44bd29e,18.5,19.36,d2e71b9b-79a9-4609-af8c-4d1843d59330,11.13,16.61,f33a7626-2613-47a9-9cfe-c9c54980a6c5,8.69,9.65,ef7032d0-8660-4558-b258-033e06a9295f,10.45,10.71,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,9.93,17.66
1,36061000201,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.6,6.01,87345a14-df30-490c-87af-1fca5bdda60e,4.29,4.78,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.38,7.09,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.76,9.68,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.6,6.01,b9a50000-6b85-469b-a076-5464b4a69f49,2.25,4.02,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.38,5.57,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.76,9.68,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.6,6.92,87345a14-df30-490c-87af-1fca5bdda60e,4.29,4.49,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.38,5.57,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.76,9.68,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.6,7.2,87345a14-df30-490c-87af-1fca5bdda60e,4.29,4.49,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.38,7.09,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.76,9.68,3b98244d-95d0-4112-9589-a971f5d15ee5,4.61,6.31,3b98244d-95d0-4112-9589-a971f5d15ee5,3.7,4.16,9c148d2f-6c8b-4a88-bd28-722a723c96cf,5.9,8.06,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,13.98,14.6,66682907-6e8d-4b9b-b284-c36c6d482ab2,8.38,11.94,87345a14-df30-490c-87af-1fca5bdda60e,3.71,5.0,dce566ac-e6ac-42fb-b965-e8c70b748862,6.26,9.61,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,13.4,15.68,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,14.44,16.15,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,14.52,15.98,ef7032d0-8660-4558-b258-033e06a9295f,12.87,14.52,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,14.44,16.52
2,36061000600,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.93,4.96,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.03,3.94,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.81,6.1,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.35,11.92,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.93,4.96,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.03,3.94,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.81,6.1,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.35,11.92,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.93,5.64,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.03,4.33,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.81,5.47,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.35,11.92,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.93,5.92,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.03,4.33,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.81,6.1,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.35,11.92,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.93,5.04,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.03,4.0,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.81,6.17,59e1983d-fb0a-42cf-99d3-1465f5d89673,13.21,15.57,66682907-6e8d-4b9b-b284-c36c6d482ab2,6.79,10.63,dce566ac-e6ac-42fb-b965-e8c70b748862,3.52,4.32,dce566ac-e6ac-42fb-b965-e8c70b748862,4.36,10.32,879eab66-b34f-4caa-acca-3141e44bd29e,17.73,18.59,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.16,15.24,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.08,14.01,ef7032d0-8660-4558-b258-033e06a9295f,12.47,13.21,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.73,17.21
3,36061001401,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.05,4.53,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.19,3.68,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.84,5.49,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.77,11.08,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.05,4.53,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.19,3.68,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.84,5.49,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.77,11.08,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.05,5.18,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.19,3.4,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.84,4.26,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.77,11.08,9c148d2f-6c8b-4a88-bd28-722a723c96cf,4.05,5.46,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.19,3.4,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.84,5.49,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.77,11.08,3b98244d-95d0-4112-9589-a971f5d15ee5,3.61,4.57,3b98244d-95d0-4112-9589-a971f5d15ee5,2.72,3.07,9c148d2f-6c8b-4a88-bd28-722a723c96cf,3.84,6.16,59e1983d-fb0a-42cf-99d3-1465f5d89673,13.24,15.73,66682907-6e8d-4b9b-b284-c36c6d482ab2,6.91,10.62,87345a14-df30-490c-87af-1fca5bdda60e,2.73,3.74,dce566ac-e6ac-42fb-b965-e8c70b748862,4.33,10.69,879eab66-b34f-4caa-acca-3141e44bd29e,15.6,17.94,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.18,15.27,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.21,14.14,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,13.47,13.64,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.77,17.08
4,36061001402,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.12,5.22,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.15,3.44,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.83,6.32,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.24,9.81,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.12,5.12,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.15,3.44,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.83,4.92,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.24,9.81,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.12,5.53,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.15,3.76,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,2.0,3.91,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.24,9.81,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,3.12,5.65,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.15,3.92,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.83,6.32,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.24,9.81,3b98244d-95d0-4112-9589-a971f5d15ee5,2.41,5.62,3b98244d-95d0-4112-9589-a971f5d15ee5,1.46,3.89,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.89,7.88,59e1983d-fb0a-42cf-99d3-1465f5d89673,11.78,14.4,66682907-6e8d-4b9b-b284-c36c6d482ab2,5.25,9.1,87345a14-df30-490c-87af-1fca5bdda60e,2.88,4.66,bf09bf8d-af3a-4384-b183-f8a33846d5da,4.88,10.51,879eab66-b34f-4caa-acca-3141e44bd29e,13.7,16.68,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.59,15.4,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,11.86,13.22,ef7032d0-8660-4558-b258-033e06a9295f,11.9,12.48,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.04,16.8
5,36061001800,01776d97-82e2-4625-b14d-9014e4fc1782,3.2,3.78,01776d97-82e2-4625-b14d-9014e4fc1782,2.38,2.87,e70e16d0-3e39-461a-9643-43a65eed6b87,3.59,4.29,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.59,10.68,01776d97-82e2-4625-b14d-9014e4fc1782,3.2,3.78,01776d97-82e2-4625-b14d-9014e4fc1782,2.38,2.87,e70e16d0-3e39-461a-9643-43a65eed6b87,3.59,4.29,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.59,10.68,398a722b-2e51-4b2a-910a-b1f2e77738f2,2.96,3.7,398a722b-2e51-4b2a-910a-b1f2e77738f2,2.05,2.76,e70e16d0-3e39-461a-9643-43a65eed6b87,3.59,4.01,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.59,10.68,e70e16d0-3e39-461a-9643-43a65eed6b87,3.79,4.05,e70e16d0-3e39-461a-9643-43a65eed6b87,2.91,3.22,e70e16d0-3e39-461a-9643-43a65eed6b87,3.59,4.29,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.59,10.68,fbacd514-b79b-43d4-a439-626639959398,2.12,3.42,fbacd514-b79b-43d4-a439-626639959398,1.19,2.48,fbacd514-b79b-43d4-a439-626639959398,1.85,3.17,59e1983d-fb0a-42cf-99d3-1465f5d89673,8.74,11.11,66682907-6e8d-4b9b-b284-c36c6d482ab2,3.58,7.19,dce566ac-e6ac-42fb-b965-e8c70b748862,2.7,2.76,dce566ac-e6ac-42fb-b965-e8c70b748862,3.34,7.61,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,15.16,18.12,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,8.25,13.73,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,8.15,10.08,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,8.87,10.58,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,8.27,18.9
6,36061002201,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.37,5.83,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.46,5.37,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.21,6.34,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.57,13.98,15c2f545-885e-46d8-8f8f-45743f91bd88,4.86,5.47,15c2f545-885e-46d8-8f8f-45743f91bd88,4.22,4.75,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.28,3.92,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.57,13.98,398a722b-2e51-4b2a-910a-b1f2e77738f2,4.78,5.1,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.46,5.36,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.28,4.63,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.57,13.98,a5cb0337-2d16-48dd-b5b8-cf6379e0daeb,5.15,6.25,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.46,5.36,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.21,6.57,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,4.57,12.8,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.46,4.24,0cda860a-feae-4cb4-bb5a-a421e09a0145,2.59,3.31,fbacd514-b79b-43d4-a439-626639959398,5.75,6.75,59e1983d-fb0a-42cf-99d3-1465f5d89673,10.04,12.66,66682907-6e8d-4b9b-b284-c36c6d482ab2,3.48,7.33,bf09bf8d-af3a-4384-b183-f8a33846d5da,3.75,4.99,bf09bf8d-af3a-4384-b183-f8a33846d5da,4.61,9.7,668e409f-e764-4514-8b2b-7f6745a1af53,16.39,17.26,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,10.83,13.64,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,10.13,11.49,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,10.93,11.31,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,10.3,15.06
7,36061002601,05aad5be-2987-4935-91b1-86cf9978d362,3.77,5.59,05aad5be-2987-4935-91b1-86cf9978d362,2.84,3.87,05aad5be-2987-4935-91b1-86cf9978d362,3.49,5.48,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.21,13.07,17fd80c7-262b-45b8-96d7-61127e6e9c97,4.15,5.14,17fd80c7-262b-45b8-96d7-61127e6e9c97,3.28,3.74,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.13,4.04,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.21,13.07,398a722b-2e51-4b2a-910a-b1f2e77738f2,5.51,5.83,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.65,4.48,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.13,4.04,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.21,13.07,a5cb0337-2d16-48dd-b5b8-cf6379e0daeb,5.88,6.38,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.65,5.27,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.86,7.27,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,5.21,12.7,0cda860a-feae-4cb4-bb5a-a421e09a0145,3.42,4.45,0cda860a-feae-4cb4-bb5a-a421e09a0145,2.48,2.87,fbacd514-b79b-43d4-a439-626639959398,6.48,7.67,59e1983d-fb0a-42cf-99d3-1465f5d89673,10.07,12.36,66682907-6e8d-4b9b-b284-c36c6d482ab2,3.81,6.54,74e15d61-8005-496d-a8dc-4a3536b58964,3.72,4.89,bf09bf8d-af3a-4384-b183-f8a33846d5da,5.34,9.61,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,14.81,17.63,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,11.56,14.07,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,10.86,11.54,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,11.66,14.21,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,11.04,16.66
8,36061002602,05aad5be-2987-4935-91b1-86cf9978d362,2.62,5.63,05aad5be-2987-4935-91b1-86cf9978d362,1.67,3.49,05aad5be-2987-4935-91b1-86cf9978d362,2.33,6.3,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.38,13.23,17fd80c7-262b-45b8-96d7-61127e6e9c97,3.76,5.4,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.48,3.25,0cda860a-feae-4cb4-bb5a-a421e09a0145,4.3,5.21,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.38,13.23,398a722b-2e51-4b2a-910a-b1f2e77738f2,6.66,6.98,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.48,4.88,0cda860a-feae-4cb4-bb5a-a421e09a0145,4.3,5.21,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.38,13.23,a5cb0337-2d16-48dd-b5b8-cf6379e0daeb,7.03,7.53,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.48,5.0,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.02,8.7,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.38,13.36,0cda860a-feae-4cb4-bb5a-a421e09a0145,4.57,5.6,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,2.48,3.26,fbacd514-b79b-43d4-a439-626639959398,7.65,8.91,59e1983d-fb0a-42cf-99d3-1465f5d89673,9.71,12.51,74e15d61-8005-496d-a8dc-4a3536b58964,3.43,6.42,74e15d61-8005-496d-a8dc-4a3536b58964,2.55,5.28,bf09bf8d-af3a-4384-b183-f8a33846d5da,6.5,10.26,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,14.44,17.51,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.71,14.45,5501c1e1-218e-4a4d-8d2f-0b0e127ca0b3,10.66,11.25,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.83,14.87,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,12.22,16.26
9,36061002800,05aad5be-2987-4935-91b1-86cf9978d362,4.13,7.13,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.1,4.7,05aad5be-2987-4935-91b1-86cf9978d362,3.84,6.8,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.9,12.45,17fd80c7-262b-45b8-96d7-61127e6e9c97,4.37,6.55,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.1,4.1,0cda860a-feae-4cb4-bb5a-a421e09a0145,5.81,6.72,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.9,12.45,398a722b-2e51-4b2a-910a-b1f2e77738f2,8.17,8.48,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.1,6.07,0cda860a-feae-4cb4-bb5a-a421e09a0145,5.81,6.72,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.9,12.45,a5cb0337-2d16-48dd-b5b8-cf6379e0daeb,8.54,9.05,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.1,6.07,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,8.03,8.2,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.9,12.75,0cda860a-feae-4cb4-bb5a-a421e09a0145,6.07,7.1,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,3.1,4.47,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,8.03,8.61,59e1983d-fb0a-42cf-99d3-1465f5d89673,10.03,13.16,74e15d61-8005-496d-a8dc-4a3536b58964,2.81,6.31,74e15d61-8005-496d-a8dc-4a3536b58964,1.98,6.1,bf09bf8d-af3a-4384-b183-f8a33846d5da,8.02,10.64,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,12.52,16.87,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,14.21,14.95,5501c1e1-218e-4a4d-8d2f-0b0e127ca0b3,9.15,11.55,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,14.34,15.24,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,13.73,15.76
