,GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
0,36061000100,7b8743d9-3b87-4d0b-9c54-f3315a03ec37,137.52,144.03,8b577e52-bebc-4b5b-b1c9-390d6a3fb1eb,218.46,224.34,ee7c1113-ef78-4bc6-bf7e-7069e918785e,137.41,159.01,ee7c1113-ef78-4bc6-bf7e-7069e918785e,135.6,155.81,ee7c1113-ef78-4bc6-bf7e-7069e918785e,138.3,155.09,de776347-ce44-41c4-a103-0be040c1ed6c,212.47,221.55,775595ad-bf2c-49bb-b95a-a96ec8a28f97,159.05,160.17,b9358dff-07ce-4acc-9bae-434ac4d9316c,134.2,142.52,62e172cc-aa82-4078-ae95-ca6b7a71e338,137.75,137.93,27188928-d1ee-4427-8733-f4045d10a15d,220.44,226.33,3374cda0-2ed3-4037-928b-486bf17d8f36,145.31,160.04,ee7c1113-ef78-4bc6-bf7e-7069e918785e,135.6,155.81,7b8743d9-3b87-4d0b-9c54-f3315a03ec37,137.52,145.27,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,227.51,229.07,3374cda0-2ed3-4037-928b-486bf17d8f36,145.31,158.65,ee7c1113-ef78-4bc6-bf7e-7069e918785e,135.6,145.0,ee7c1113-ef78-4bc6-bf7e-7069e918785e,138.3,152.86,0f19fe4d-9cd5-4246-adce-52d494d9f608,230.22,232.21,ee7c1113-ef78-4bc6-bf7e-7069e918785e,137.41,139.66,ee7c1113-ef78-4bc6-bf7e-7069e918785e,135.6,158.27,ee7c1113-ef78-4bc6-bf7e-7069e918785e,203.05,208.53,65e28946-eab7-4eed-9e6f-751444258ba0,205.99,206.31,ee7c1113-ef78-4bc6-bf7e-7069e918785e,203.93,218.17,ee7c1113-ef78-4bc6-bf7e-7069e918785e,204.12,239.04,ee7c1113-ef78-4bc6-bf7e-7069e918785e,203.71,226.26,29031879-e170-45f1-8ff3-422879d01cbc,200.47,203.0,ee7c1113-ef78-4bc6-bf7e-7069e918785e,203.71,212.87,ee7c1113-ef78-4bc6-bf7e-7069e918785e,203.84,219.56
1,36061000201,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.42,11.22,87345a14-df30-490c-87af-1fca5bdda60e,8.48,10.17,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.56,13.41,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,12.06,18.03,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.42,11.22,b9a50000-6b85-469b-a076-5464b4a69f49,6.15,8.4,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.56,13.1,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,12.06,18.03,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.42,13.13,87345a14-df30-490c-87af-1fca5bdda60e,8.48,10.36,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,8.98,10.53,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,12.06,18.03,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.42,13.13,87345a14-df30-490c-87af-1fca5bdda60e,8.48,10.36,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.56,13.41,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,12.06,18.03,3b98244d-95d0-4112-9589-a971f5d15ee5,7.42,10.71,3b98244d-95d0-4112-9589-a971f5d15ee5,7.42,8.82,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.56,16.65,59e1983d-fb0a-42cf-99d3-1465f5d89673,21.87,23.35,66682907-6e8d-4b9b-b284-c36c6d482ab2,15.48,19.81,87345a14-df30-490c-87af-1fca5bdda60e,8.48,11.57,dce566ac-e6ac-42fb-b965-e8c70b748862,12.32,17.94,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,28.03,34.85,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.36,27.94,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,26.88,27.28,ef7032d0-8660-4558-b258-033e06a9295f,23.01,26.19,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,24.53,32.7
2,36061000600,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,9.06,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,8.08,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,11.51,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,15.37,18.74,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,9.06,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,7.52,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,11.51,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,15.37,18.74,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,10.24,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,9.34,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,10.66,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,15.37,18.74,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,10.95,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,9.34,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,11.51,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,15.37,18.74,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,9.38,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,8.54,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.12,12.03,59e1983d-fb0a-42cf-99d3-1465f5d89673,17.15,18.63,66682907-6e8d-4b9b-b284-c36c6d482ab2,13.93,17.2,dce566ac-e6ac-42fb-b965-e8c70b748862,8.02,9.74,dce566ac-e6ac-42fb-b965-e8c70b748862,8.02,14.53,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,23.31,31.52,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,19.84,24.42,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,22.17,22.97,ef7032d0-8660-4558-b258-033e06a9295f,18.3,21.65,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,22.03,29.58
3,36061001401,01776d97-82e2-4625-b14d-9014e4fc1782,5.13,7.22,87345a14-df30-490c-87af-1fca5bdda60e,2.37,4.85,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.8,10.53,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.4,17.91,01776d97-82e2-4625-b14d-9014e4fc1782,5.13,7.22,87345a14-df30-490c-87af-1fca5bdda60e,2.37,4.85,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.8,10.53,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.4,17.91,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.8,9.84,87345a14-df30-490c-87af-1fca5bdda60e,2.37,6.53,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,5.43,7.52,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.4,17.91,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.8,9.97,87345a14-df30-490c-87af-1fca5bdda60e,2.37,6.53,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.8,10.53,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.4,17.91,3b98244d-95d0-4112-9589-a971f5d15ee5,5.27,8.32,87345a14-df30-490c-87af-1fca5bdda60e,2.37,5.03,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.8,11.62,59e1983d-fb0a-42cf-99d3-1465f5d89673,18.4,19.87,66682907-6e8d-4b9b-b284-c36c6d482ab2,9.8,14.86,87345a14-df30-490c-87af-1fca5bdda60e,2.37,6.24,bf09bf8d-af3a-4384-b183-f8a33846d5da,7.96,13.49,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,24.55,30.87,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,20.91,24.76,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,23.41,23.85,ef7032d0-8660-4558-b258-033e06a9295f,19.54,22.84,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.64,30.64
4,36061001402,01776d97-82e2-4625-b14d-9014e4fc1782,3.93,6.57,87345a14-df30-490c-87af-1fca5bdda60e,3.44,4.66,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.62,9.32,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.62,14.91,01776d97-82e2-4625-b14d-9014e4fc1782,3.93,6.57,87345a14-df30-490c-87af-1fca5bdda60e,3.44,4.66,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.62,9.32,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.62,14.91,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.62,8.7,87345a14-df30-490c-87af-1fca5bdda60e,3.44,6.89,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,2.56,6.61,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.62,14.91,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.62,8.7,87345a14-df30-490c-87af-1fca5bdda60e,3.44,6.92,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.62,9.32,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,6.62,14.91,3b98244d-95d0-4112-9589-a971f5d15ee5,4.19,7.89,87345a14-df30-490c-87af-1fca5bdda60e,3.44,6.01,fbacd514-b79b-43d4-a439-626639959398,10.38,10.57,59e1983d-fb0a-42cf-99d3-1465f5d89673,15.78,17.25,66682907-6e8d-4b9b-b284-c36c6d482ab2,9.91,14.07,87345a14-df30-490c-87af-1fca5bdda60e,3.44,6.63,bf09bf8d-af3a-4384-b183-f8a33846d5da,4.15,12.48,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,21.9,27.84,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,22.2,25.83,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,20.79,21.42,ef7032d0-8660-4558-b258-033e06a9295f,19.42,20.72,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,22.38,28.84
5,36061001800,01776d97-82e2-4625-b14d-9014e4fc1782,3.86,5.63,01776d97-82e2-4625-b14d-9014e4fc1782,3.86,5.65,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.25,8.47,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,11.81,16.12,01776d97-82e2-4625-b14d-9014e4fc1782,3.86,5.63,01776d97-82e2-4625-b14d-9014e4fc1782,3.86,5.65,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.25,8.47,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,11.81,16.12,398a722b-2e51-4b2a-910a-b1f2e77738f2,5.61,6.21,398a722b-2e51-4b2a-910a-b1f2e77738f2,5.61,6.23,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.25,7.22,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,11.81,16.12,9c148d2f-6c8b-4a88-bd28-722a723c96cf,5.76,7.13,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.25,6.78,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.25,8.47,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,11.81,16.12,fbacd514-b79b-43d4-a439-626639959398,5.36,6.13,fbacd514-b79b-43d4-a439-626639959398,5.36,6.15,fbacd514-b79b-43d4-a439-626639959398,5.36,6.29,59e1983d-fb0a-42cf-99d3-1465f5d89673,15.26,16.56,66682907-6e8d-4b9b-b284-c36c6d482ab2,9.68,13.91,bf09bf8d-af3a-4384-b183-f8a33846d5da,6.02,6.66,bf09bf8d-af3a-4384-b183-f8a33846d5da,6.02,10.92,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,21.79,27.0,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,18.41,21.52,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,18.41,19.25,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,18.41,19.09,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,18.41,25.37
6,36061002201,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,7.95,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,7.79,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,9.53,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,17.33,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,7.85,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,7.79,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,8.38,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,17.33,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,8.04,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,7.86,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,5.45,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,17.33,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,9.36,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,8.29,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,10.97,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,2.54,17.33,3b98244d-95d0-4112-9589-a971f5d15ee5,5.12,7.57,3b98244d-95d0-4112-9589-a971f5d15ee5,5.12,7.35,fbacd514-b79b-43d4-a439-626639959398,13.4,14.59,59e1983d-fb0a-42cf-99d3-1465f5d89673,18.85,21.42,66682907-6e8d-4b9b-b284-c36c6d482ab2,9.66,14.27,bf09bf8d-af3a-4384-b183-f8a33846d5da,6.45,9.68,bf09bf8d-af3a-4384-b183-f8a33846d5da,6.45,16.99,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,27.93,32.61,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,21.46,25.86,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,20.46,23.04,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,22.44,24.6,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,20.44,28.33
7,36061002601,05aad5be-2987-4935-91b1-86cf9978d362,6.08,8.91,05aad5be-2987-4935-91b1-86cf9978d362,6.08,7.25,05aad5be-2987-4935-91b1-86cf9978d362,6.08,10.38,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,8.66,18.91,15c2f545-885e-46d8-8f8f-45743f91bd88,6.74,7.7,15c2f545-885e-46d8-8f8f-45743f91bd88,6.74,7.15,db629eef-a57c-4b0c-a378-2f8490b03455,5.42,10.16,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,8.66,18.91,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,8.66,10.68,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,7.01,9.38,db629eef-a57c-4b0c-a378-2f8490b03455,5.42,8.55,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,8.66,18.91,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,8.66,12.08,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,7.01,9.57,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,8.66,14.26,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,8.66,18.91,0cda860a-feae-4cb4-bb5a-a421e09a0145,5.34,9.52,0cda860a-feae-4cb4-bb5a-a421e09a0145,5.34,7.86,e70e16d0-3e39-461a-9643-43a65eed6b87,16.4,16.87,59e1983d-fb0a-42cf-99d3-1465f5d89673,17.92,21.44,74e15d61-8005-496d-a8dc-4a3536b58964,6.62,11.63,74e15d61-8005-496d-a8dc-4a3536b58964,8.17,11.36,bf09bf8d-af3a-4384-b183-f8a33846d5da,12.03,19.52,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,26.94,30.99,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,22.36,25.62,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,20.81,22.28,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.34,25.9,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,21.34,26.79
8,36061002602,05aad5be-2987-4935-91b1-86cf9978d362,4.03,9.41,05aad5be-2987-4935-91b1-86cf9978d362,4.03,6.85,05aad5be-2987-4935-91b1-86cf9978d362,4.03,9.94,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,11.12,17.55,17fd80c7-262b-45b8-96d7-61127e6e9c97,6.1,8.91,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.41,7.01,db629eef-a57c-4b0c-a378-2f8490b03455,6.1,10.62,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,11.12,17.55,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,11.12,12.5,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.41,10.4,db629eef-a57c-4b0c-a378-2f8490b03455,6.1,10.5,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,11.12,17.55,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,11.12,12.7,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.41,10.4,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,11.12,13.84,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,11.12,17.55,0cda860a-feae-4cb4-bb5a-a421e09a0145,6.56,11.13,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.41,8.77,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,14.66,15.38,59e1983d-fb0a-42cf-99d3-1465f5d89673,15.66,19.68,74e15d61-8005-496d-a8dc-4a3536b58964,5.0,11.47,74e15d61-8005-496d-a8dc-4a3536b58964,5.19,11.31,bf09bf8d-af3a-4384-b183-f8a33846d5da,13.45,19.34,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,23.65,27.7,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,24.14,25.27,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,17.82,20.89,0abbb27b-9ea5-41a4-9f6b-337631d74806,24.79,25.9,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,23.88,25.53
9,36061002800,05aad5be-2987-4935-91b1-86cf9978d362,4.75,9.69,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.3,8.23,05aad5be-2987-4935-91b1-86cf9978d362,5.51,11.09,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.43,17.92,17fd80c7-262b-45b8-96d7-61127e6e9c97,7.24,9.85,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.3,8.2,db629eef-a57c-4b0c-a378-2f8490b03455,6.6,11.45,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.43,17.92,c764ca66-6b22-49a0-ac5c-fa760dbd4523,11.97,13.1,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.3,11.04,db629eef-a57c-4b0c-a378-2f8490b03455,6.6,11.45,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.43,17.92,c764ca66-6b22-49a0-ac5c-fa760dbd4523,11.97,13.21,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.3,10.87,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,13.7,14.01,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.43,17.92,0cda860a-feae-4cb4-bb5a-a421e09a0145,5.88,11.05,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.3,8.84,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,13.7,14.18,59e1983d-fb0a-42cf-99d3-1465f5d89673,14.38,18.4,74e15d61-8005-496d-a8dc-4a3536b58964,3.55,11.05,74e15d61-8005-496d-a8dc-4a3536b58964,3.55,11.7,bf09bf8d-af3a-4384-b183-f8a33846d5da,15.62,20.43,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,22.55,26.6,d2e71b9b-79a9-4609-af8c-4d1843d59330,23.29,25.19,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,16.73,19.79,0abbb27b-9ea5-41a4-9f6b-337631d74806,23.29,25.24,6ad970d4-a5db-4f48-9178-c00fd2b2c51f,25.15,25.43
