,GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
0,36061000100,873a924d-7237-4f65-a026-e9c4176f1932,8.57,13.84,873a924d-7237-4f65-a026-e9c4176f1932,8.57,22.08,873a924d-7237-4f65-a026-e9c4176f1932,8.57,22.08,873a924d-7237-4f65-a026-e9c4176f1932,8.57,44.59,873a924d-7237-4f65-a026-e9c4176f1932,8.57,13.84,873a924d-7237-4f65-a026-e9c4176f1932,8.57,22.08,873a924d-7237-4f65-a026-e9c4176f1932,8.57,22.08,873a924d-7237-4f65-a026-e9c4176f1932,8.57,44.59,873a924d-7237-4f65-a026-e9c4176f1932,8.57,13.84,873a924d-7237-4f65-a026-e9c4176f1932,8.57,22.08,873a924d-7237-4f65-a026-e9c4176f1932,8.57,22.08,873a924d-7237-4f65-a026-e9c4176f1932,8.57,44.59,873a924d-7237-4f65-a026-e9c4176f1932,8.57,13.84,873a924d-7237-4f65-a026-e9c4176f1932,8.57,22.08,873a924d-7237-4f65-a026-e9c4176f1932,8.57,22.08,873a924d-7237-4f65-a026-e9c4176f1932,8.57,44.59,317c3e0a-b224-4c6e-a102-bc75351b16ba,11.11,23.35,c01c3921-1212-4497-add9-617e93738af3,21.85,31.59,c01c3921-1212-4497-add9-617e93738af3,21.85,31.59,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,38.73,53.14,66682907-6e8d-4b9b-b284-c36c6d482ab2,52.94,55.65,317c3e0a-b224-4c6e-a102-bc75351b16ba,11.11,30.95,dce566ac-e6ac-42fb-b965-e8c70b748862,36.87,52.05,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,70.51,92.08,d2e71b9b-79a9-4609-af8c-4d1843d59330,35.83,54.62,d2e71b9b-79a9-4609-af8c-4d1843d59330,35.83,44.23,d2e71b9b-79a9-4609-af8c-4d1843d59330,35.83,45.59,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,38.73,82.88
1,36061000201,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.63,12.34,87345a14-df30-490c-87af-1fca5bdda60e,8.56,10.25,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.63,16.13,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.83,37.79,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.63,12.34,b9a50000-6b85-469b-a076-5464b4a69f49,6.29,8.49,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.63,14.65,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.83,37.79,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.63,15.1,87345a14-df30-490c-87af-1fca5bdda60e,8.56,11.34,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,8.73,11.4,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.83,37.79,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.63,16.13,87345a14-df30-490c-87af-1fca5bdda60e,8.56,11.34,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.63,16.13,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.83,37.79,3b98244d-95d0-4112-9589-a971f5d15ee5,7.65,12.25,3b98244d-95d0-4112-9589-a971f5d15ee5,7.65,8.95,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.63,18.24,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,34.07,43.39,66682907-6e8d-4b9b-b284-c36c6d482ab2,20.76,30.43,87345a14-df30-490c-87af-1fca5bdda60e,8.56,11.66,dce566ac-e6ac-42fb-b965-e8c70b748862,12.42,28.7,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,59.67,79.23,d2e71b9b-79a9-4609-af8c-4d1843d59330,33.1,49.58,d2e71b9b-79a9-4609-af8c-4d1843d59330,33.1,40.06,d2e71b9b-79a9-4609-af8c-4d1843d59330,33.1,41.92,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,34.07,68.76
2,36061000600,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,11.2,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,8.17,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,14.93,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,18.5,36.54,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,11.2,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,8.17,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,14.93,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,18.5,36.54,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,13.98,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,10.96,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,12.34,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,18.5,36.54,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,14.93,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,11.36,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,14.93,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,18.5,36.54,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,12.03,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,8.96,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.14,14.98,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,30.59,40.52,66682907-6e8d-4b9b-b284-c36c6d482ab2,18.42,29.32,dce566ac-e6ac-42fb-b965-e8c70b748862,8.05,10.27,dce566ac-e6ac-42fb-b965-e8c70b748862,8.05,26.16,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,57.11,77.13,d2e71b9b-79a9-4609-af8c-4d1843d59330,28.71,46.58,d2e71b9b-79a9-4609-af8c-4d1843d59330,28.71,36.58,d2e71b9b-79a9-4609-af8c-4d1843d59330,28.71,37.83,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,30.59,67.25
3,36061001401,01776d97-82e2-4625-b14d-9014e4fc1782,5.4,8.41,87345a14-df30-490c-87af-1fca5bdda60e,2.4,4.87,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.83,12.2,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.0,35.01,01776d97-82e2-4625-b14d-9014e4fc1782,5.4,8.41,87345a14-df30-490c-87af-1fca5bdda60e,2.4,4.87,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.83,12.2,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.0,35.01,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.83,11.21,87345a14-df30-490c-87af-1fca5bdda60e,2.4,7.41,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,4.99,8.27,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.0,35.01,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.83,12.2,87345a14-df30-490c-87af-1fca5bdda60e,2.4,7.41,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.83,12.2,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,13.0,35.01,3b98244d-95d0-4112-9589-a971f5d15ee5,6.0,9.32,87345a14-df30-490c-87af-1fca5bdda60e,2.4,5.07,9c148d2f-6c8b-4a88-bd28-722a723c96cf,6.83,12.91,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,27.88,37.31,66682907-6e8d-4b9b-b284-c36c6d482ab2,14.76,24.43,87345a14-df30-490c-87af-1fca5bdda60e,2.4,6.28,bf09bf8d-af3a-4384-b183-f8a33846d5da,8.01,23.36,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,53.65,74.7,d2e71b9b-79a9-4609-af8c-4d1843d59330,27.33,44.06,d2e71b9b-79a9-4609-af8c-4d1843d59330,27.33,34.06,d2e71b9b-79a9-4609-af8c-4d1843d59330,27.33,36.62,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,27.88,63.76
4,36061001402,01776d97-82e2-4625-b14d-9014e4fc1782,3.93,7.98,87345a14-df30-490c-87af-1fca5bdda60e,3.45,5.55,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.28,11.04,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.28,33.8,01776d97-82e2-4625-b14d-9014e4fc1782,3.93,7.98,87345a14-df30-490c-87af-1fca5bdda60e,3.45,5.55,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.28,11.04,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.28,33.8,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.28,10.0,87345a14-df30-490c-87af-1fca5bdda60e,3.45,7.57,3ebbb34c-33a6-4fcc-b73d-ac390d23a96f,2.73,7.58,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.28,33.8,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.28,11.04,87345a14-df30-490c-87af-1fca5bdda60e,3.45,7.82,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.28,11.04,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,9.28,33.8,3b98244d-95d0-4112-9589-a971f5d15ee5,4.21,8.75,87345a14-df30-490c-87af-1fca5bdda60e,3.45,6.13,9c148d2f-6c8b-4a88-bd28-722a723c96cf,10.74,11.72,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,24.3,33.57,66682907-6e8d-4b9b-b284-c36c6d482ab2,10.92,20.59,87345a14-df30-490c-87af-1fca5bdda60e,3.45,6.65,bf09bf8d-af3a-4384-b183-f8a33846d5da,4.16,22.11,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,49.83,73.45,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,24.3,41.03,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,24.3,31.03,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,24.3,35.67,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,24.3,60.01
5,36061001800,01776d97-82e2-4625-b14d-9014e4fc1782,4.26,6.52,01776d97-82e2-4625-b14d-9014e4fc1782,4.26,6.27,e70e16d0-3e39-461a-9643-43a65eed6b87,7.3,10.06,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.88,32.55,01776d97-82e2-4625-b14d-9014e4fc1782,4.26,6.52,01776d97-82e2-4625-b14d-9014e4fc1782,4.26,6.27,e70e16d0-3e39-461a-9643-43a65eed6b87,7.3,10.06,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.88,32.55,398a722b-2e51-4b2a-910a-b1f2e77738f2,4.23,6.51,398a722b-2e51-4b2a-910a-b1f2e77738f2,4.23,6.26,e70e16d0-3e39-461a-9643-43a65eed6b87,7.3,8.01,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.88,32.55,e70e16d0-3e39-461a-9643-43a65eed6b87,7.3,8.06,87345a14-df30-490c-87af-1fca5bdda60e,7.25,7.51,e70e16d0-3e39-461a-9643-43a65eed6b87,7.3,10.06,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.88,32.55,fbacd514-b79b-43d4-a439-626639959398,5.53,6.94,fbacd514-b79b-43d4-a439-626639959398,5.53,6.69,fbacd514-b79b-43d4-a439-626639959398,5.53,6.94,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,18.48,27.92,66682907-6e8d-4b9b-b284-c36c6d482ab2,10.02,20.12,bf09bf8d-af3a-4384-b183-f8a33846d5da,6.12,6.81,bf09bf8d-af3a-4384-b183-f8a33846d5da,6.12,19.15,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,44.27,68.13,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,18.48,35.23,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,18.48,25.24,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,18.48,29.87,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,18.48,54.64
6,36061002201,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,8.06,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,7.89,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,9.08,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,32.79,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,7.91,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,7.74,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,7.44,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,32.79,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,8.28,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,7.29,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,4.77,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,32.79,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,9.95,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,8.47,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,10.88,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,1.75,32.79,3b98244d-95d0-4112-9589-a971f5d15ee5,5.66,8.57,3b98244d-95d0-4112-9589-a971f5d15ee5,5.66,7.58,fbacd514-b79b-43d4-a439-626639959398,14.17,15.02,59e1983d-fb0a-42cf-99d3-1465f5d89673,25.34,34.29,66682907-6e8d-4b9b-b284-c36c6d482ab2,9.53,19.23,bf09bf8d-af3a-4384-b183-f8a33846d5da,7.05,11.0,bf09bf8d-af3a-4384-b183-f8a33846d5da,7.05,24.59,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,48.58,73.23,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,28.95,43.37,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,28.95,34.39,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,28.95,39.02,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,28.95,58.59
7,36061002601,05aad5be-2987-4935-91b1-86cf9978d362,5.96,9.44,05aad5be-2987-4935-91b1-86cf9978d362,5.96,6.88,05aad5be-2987-4935-91b1-86cf9978d362,5.96,11.03,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.64,33.73,15c2f545-885e-46d8-8f8f-45743f91bd88,6.89,7.47,15c2f545-885e-46d8-8f8f-45743f91bd88,6.89,7.2,db629eef-a57c-4b0c-a378-2f8490b03455,4.78,10.64,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.64,33.73,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.64,12.26,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,7.06,9.7,db629eef-a57c-4b0c-a378-2f8490b03455,4.78,8.09,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.64,33.73,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.64,13.96,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,7.06,9.81,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.64,16.39,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,7.64,33.73,0cda860a-feae-4cb4-bb5a-a421e09a0145,6.52,10.81,0cda860a-feae-4cb4-bb5a-a421e09a0145,6.52,8.25,fbacd514-b79b-43d4-a439-626639959398,19.48,19.82,59e1983d-fb0a-42cf-99d3-1465f5d89673,20.47,32.34,74e15d61-8005-496d-a8dc-4a3536b58964,9.34,15.67,74e15d61-8005-496d-a8dc-4a3536b58964,9.34,12.67,bf09bf8d-af3a-4384-b183-f8a33846d5da,12.41,26.53,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,43.55,71.43,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,33.0,44.12,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,33.0,35.66,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,33.0,40.05,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,33.0,56.02
8,36061002602,05aad5be-2987-4935-91b1-86cf9978d362,2.93,10.47,05aad5be-2987-4935-91b1-86cf9978d362,2.93,5.87,05aad5be-2987-4935-91b1-86cf9978d362,2.93,12.06,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.7,33.07,17fd80c7-262b-45b8-96d7-61127e6e9c97,5.13,8.52,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,4.0,6.29,db629eef-a57c-4b0c-a378-2f8490b03455,7.83,13.69,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.7,33.07,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.7,15.32,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,4.0,10.72,db629eef-a57c-4b0c-a378-2f8490b03455,7.83,11.15,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.7,33.07,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.7,17.02,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,4.0,10.83,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.7,18.75,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,10.7,33.07,0cda860a-feae-4cb4-bb5a-a421e09a0145,9.55,13.86,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,4.0,9.26,59e1983d-fb0a-42cf-99d3-1465f5d89673,19.22,21.44,59e1983d-fb0a-42cf-99d3-1465f5d89673,19.22,32.11,74e15d61-8005-496d-a8dc-4a3536b58964,6.28,14.75,74e15d61-8005-496d-a8dc-4a3536b58964,6.28,13.69,bf09bf8d-af3a-4384-b183-f8a33846d5da,15.47,27.73,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,41.04,70.59,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,36.06,45.14,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,35.1,36.8,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,36.06,41.25,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,36.06,55.0
9,36061002800,05aad5be-2987-4935-91b1-86cf9978d362,6.93,13.91,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.87,9.19,05aad5be-2987-4935-91b1-86cf9978d362,6.93,13.56,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.77,32.39,17fd80c7-262b-45b8-96d7-61127e6e9c97,7.74,11.94,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.87,8.98,db629eef-a57c-4b0c-a378-2f8490b03455,11.86,15.2,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.77,32.39,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.77,18.78,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.87,13.21,db629eef-a57c-4b0c-a378-2f8490b03455,11.86,15.2,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.77,32.39,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.77,18.88,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.87,12.64,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.77,17.93,d02b9c13-fa39-4271-82fa-2e0aa1c77a9e,14.77,32.39,0cda860a-feae-4cb4-bb5a-a421e09a0145,13.57,17.3,3e35e761-d891-4b8f-a5b7-8ccf330bf86e,5.87,12.58,7daf1960-76a2-4bf5-9d4a-c9ecff9f7b80,18.98,20.01,59e1983d-fb0a-42cf-99d3-1465f5d89673,21.31,32.93,74e15d61-8005-496d-a8dc-4a3536b58964,4.03,14.79,74e15d61-8005-496d-a8dc-4a3536b58964,4.03,15.66,bf09bf8d-af3a-4384-b183-f8a33846d5da,19.54,29.44,19990277-e3d1-4fc3-9eb2-a5aeb5517ef2,38.0,69.58,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,39.49,46.08,cd5ea9a3-82b8-43d1-94da-63fbb13347f5,32.11,35.59,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,39.49,42.52,88ac5dce-a02f-4eb3-bc2c-acb26fc7223b,39.49,53.43
