,GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
0,36085000300,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,11.46,54.2,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,11.46,16.01,,74.56,85.2,,74.56,74.56,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,18.89,27.82,dba9890f-cb15-498b-ae53-dce4f4ef7642,11.4,18.13,1aebac20-1b0c-44b1-ae1f-cd31fc844459,4.91,16.29,83018ad7-db19-4fbc-a0c8-b237d8aadff1,60.8,65.54,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,11.46,54.55,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,11.46,16.79,d2069db2-2a82-40fb-b08c-87b8e38c1889,46.1,58.88,,74.56,74.56,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,11.46,34.97,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,11.46,18.15,775595ad-bf2c-49bb-b95a-a96ec8a28f97,10.13,46.89,,74.56,95.41,ee7c1113-ef78-4bc6-bf7e-7069e918785e,74.56,77.25,0f19fe4d-9cd5-4246-adce-52d494d9f608,20.37,57.55,0f19fe4d-9cd5-4246-adce-52d494d9f608,20.37,57.76,,74.56,74.56,,23.31,43.91,c028bd09-1238-4c03-b527-822bfa9eb2d3,19.69,25.62,,74.56,76.14,,74.56,74.56,,74.56,74.56,0f19fe4d-9cd5-4246-adce-52d494d9f608,20.37,49.91,0f19fe4d-9cd5-4246-adce-52d494d9f608,20.37,34.05,c55f2efc-31b1-44ea-a89f-9ed598932171,40.88,40.88
1,36085000600,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,35.26,37.1,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,35.26,37.1,,38.02,75.58,,96.24,96.24,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,27.44,29.23,d6c62644-c501-4431-b976-c6d869858290,22.67,24.21,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,23.76,33.79,3f567964-bab8-4c2f-96d6-642d30d22ae6,39.61,58.72,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,35.26,37.1,d6c62644-c501-4431-b976-c6d869858290,22.67,31.98,d2069db2-2a82-40fb-b08c-87b8e38c1889,30.81,49.76,,96.24,96.24,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,27.88,33.72,d6c62644-c501-4431-b976-c6d869858290,22.67,26.09,93e07152-1802-4f6d-b623-381e853babf5,38.02,57.42,,96.24,118.65,93e07152-1802-4f6d-b623-381e853babf5,38.02,56.18,0f19fe4d-9cd5-4246-adce-52d494d9f608,28.63,34.89,0f19fe4d-9cd5-4246-adce-52d494d9f608,28.63,35.23,,96.24,96.24,,27.44,55.54,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,27.44,34.39,,96.24,97.81,,96.24,96.24,,96.24,96.24,0f19fe4d-9cd5-4246-adce-52d494d9f608,28.63,69.17,c55f2efc-31b1-44ea-a89f-9ed598932171,27.8,28.08,c55f2efc-31b1-44ea-a89f-9ed598932171,27.8,27.8
2,36085000700,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,19.3,52.82,8b577e52-bebc-4b5b-b1c9-390d6a3fb1eb,9.27,14.86,,66.65,86.71,,66.65,66.65,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,26.73,35.22,dba9890f-cb15-498b-ae53-dce4f4ef7642,15.85,24.86,775595ad-bf2c-49bb-b95a-a96ec8a28f97,0.94,16.96,ee7c1113-ef78-4bc6-bf7e-7069e918785e,66.65,67.03,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,19.3,52.07,27188928-d1ee-4427-8733-f4045d10a15d,3.98,18.43,3374cda0-2ed3-4037-928b-486bf17d8f36,52.36,57.65,,66.65,66.65,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,19.3,37.56,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,19.3,26.01,775595ad-bf2c-49bb-b95a-a96ec8a28f97,0.94,39.99,,66.65,87.21,ee7c1113-ef78-4bc6-bf7e-7069e918785e,66.65,79.94,0f19fe4d-9cd5-4246-adce-52d494d9f608,28.45,54.99,0f19fe4d-9cd5-4246-adce-52d494d9f608,28.45,54.99,,66.65,66.65,,27.76,45.37,c028bd09-1238-4c03-b527-822bfa9eb2d3,25.97,31.81,,66.65,68.83,,66.65,66.65,,66.65,66.65,0f19fe4d-9cd5-4246-adce-52d494d9f608,28.45,48.76,0f19fe4d-9cd5-4246-adce-52d494d9f608,28.45,41.98,c55f2efc-31b1-44ea-a89f-9ed598932171,48.74,48.74
3,36085000800,93e07152-1802-4f6d-b623-381e853babf5,33.61,35.01,93e07152-1802-4f6d-b623-381e853babf5,33.61,35.01,,33.61,72.55,,95.65,95.65,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,25.04,28.78,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,22.9,23.89,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,22.9,30.67,3f567964-bab8-4c2f-96d6-642d30d22ae6,35.5,55.78,93e07152-1802-4f6d-b623-381e853babf5,33.61,35.01,d6c62644-c501-4431-b976-c6d869858290,24.97,30.79,d2069db2-2a82-40fb-b08c-87b8e38c1889,27.51,47.72,,95.65,95.65,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,30.24,32.55,c55f2efc-31b1-44ea-a89f-9ed598932171,24.28,24.51,93e07152-1802-4f6d-b623-381e853babf5,33.61,57.26,,95.65,117.63,93e07152-1802-4f6d-b623-381e853babf5,33.61,51.93,0f19fe4d-9cd5-4246-adce-52d494d9f608,31.0,32.8,0f19fe4d-9cd5-4246-adce-52d494d9f608,31.0,33.14,,95.65,95.65,,25.04,54.98,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,25.04,34.93,,95.28,95.46,,95.65,95.65,,95.65,95.65,0f19fe4d-9cd5-4246-adce-52d494d9f608,31.0,70.29,c55f2efc-31b1-44ea-a89f-9ed598932171,24.28,26.52,c55f2efc-31b1-44ea-a89f-9ed598932171,24.28,24.28
4,36085000900,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,20.72,54.95,8b577e52-bebc-4b5b-b1c9-390d6a3fb1eb,13.57,16.32,,70.95,87.86,,70.95,70.95,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,28.15,35.93,dba9890f-cb15-498b-ae53-dce4f4ef7642,14.2,25.26,775595ad-bf2c-49bb-b95a-a96ec8a28f97,8.61,20.61,83018ad7-db19-4fbc-a0c8-b237d8aadff1,67.16,68.6,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,20.72,55.3,27188928-d1ee-4427-8733-f4045d10a15d,13.2,22.45,3374cda0-2ed3-4037-928b-486bf17d8f36,52.14,59.15,,70.95,70.95,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,20.72,39.94,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,20.72,27.43,775595ad-bf2c-49bb-b95a-a96ec8a28f97,8.61,43.9,,70.95,91.5,ee7c1113-ef78-4bc6-bf7e-7069e918785e,70.95,82.31,0f19fe4d-9cd5-4246-adce-52d494d9f608,29.87,58.32,0f19fe4d-9cd5-4246-adce-52d494d9f608,29.87,58.32,,70.95,70.95,,25.48,46.21,23220034-c5af-4fd6-b657-c19a3f143791,25.48,31.29,,70.95,72.62,,70.95,70.95,,70.95,70.95,0f19fe4d-9cd5-4246-adce-52d494d9f608,29.87,50.59,0f19fe4d-9cd5-4246-adce-52d494d9f608,29.87,42.88,c55f2efc-31b1-44ea-a89f-9ed598932171,49.38,49.38
5,36085001100,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,12.81,46.35,af5b9025-9b40-4cf4-9e49-60aa3040137b,7.84,12.24,,62.11,77.37,,62.11,62.11,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,20.24,26.0,dba9890f-cb15-498b-ae53-dce4f4ef7642,3.69,16.4,1aebac20-1b0c-44b1-ae1f-cd31fc844459,10.25,19.14,83018ad7-db19-4fbc-a0c8-b237d8aadff1,55.93,58.16,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,12.81,46.7,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,12.81,18.13,d2069db2-2a82-40fb-b08c-87b8e38c1889,43.16,50.51,,62.11,62.11,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,12.81,31.72,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,12.81,19.44,775595ad-bf2c-49bb-b95a-a96ec8a28f97,14.62,41.0,,62.11,84.52,ee7c1113-ef78-4bc6-bf7e-7069e918785e,62.11,72.56,0f19fe4d-9cd5-4246-adce-52d494d9f608,21.95,49.77,0f19fe4d-9cd5-4246-adce-52d494d9f608,21.95,51.34,,62.11,62.11,,13.08,35.57,23220034-c5af-4fd6-b657-c19a3f143791,13.08,19.92,,62.11,63.68,,62.11,62.11,,62.11,62.11,0f19fe4d-9cd5-4246-adce-52d494d9f608,21.95,43.94,0f19fe4d-9cd5-4246-adce-52d494d9f608,21.95,32.77,c55f2efc-31b1-44ea-a89f-9ed598932171,38.17,38.17
6,36085001700,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,15.43,47.66,af5b9025-9b40-4cf4-9e49-60aa3040137b,10.56,16.19,,62.77,74.1,,62.77,62.77,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,15.19,19.14,dba9890f-cb15-498b-ae53-dce4f4ef7642,6.31,13.0,1aebac20-1b0c-44b1-ae1f-cd31fc844459,15.87,20.41,83018ad7-db19-4fbc-a0c8-b237d8aadff1,48.17,53.21,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,15.43,48.02,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,15.43,18.96,d2069db2-2a82-40fb-b08c-87b8e38c1889,35.4,48.39,,62.77,62.77,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,15.19,31.13,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,15.19,16.04,775595ad-bf2c-49bb-b95a-a96ec8a28f97,20.57,43.44,,62.77,85.18,ee7c1113-ef78-4bc6-bf7e-7069e918785e,62.77,67.6,0f19fe4d-9cd5-4246-adce-52d494d9f608,16.97,48.55,0f19fe4d-9cd5-4246-adce-52d494d9f608,16.97,49.33,,62.77,62.77,,10.36,32.29,c028bd09-1238-4c03-b527-822bfa9eb2d3,7.38,13.83,,62.77,64.34,,62.77,62.77,,62.77,62.77,0f19fe4d-9cd5-4246-adce-52d494d9f608,16.97,42.97,0f19fe4d-9cd5-4246-adce-52d494d9f608,16.97,25.93,c55f2efc-31b1-44ea-a89f-9ed598932171,30.41,30.41
7,36085002001,93e07152-1802-4f6d-b623-381e853babf5,25.6,32.68,93e07152-1802-4f6d-b623-381e853babf5,25.6,32.68,,25.6,64.8,,88.13,88.13,93e07152-1802-4f6d-b623-381e853babf5,25.6,26.89,93e07152-1802-4f6d-b623-381e853babf5,25.6,26.17,93e07152-1802-4f6d-b623-381e853babf5,25.6,26.97,3f567964-bab8-4c2f-96d6-642d30d22ae6,27.98,48.27,93e07152-1802-4f6d-b623-381e853babf5,25.6,32.68,93e07152-1802-4f6d-b623-381e853babf5,25.6,28.45,93e07152-1802-4f6d-b623-381e853babf5,25.6,44.16,,88.13,88.13,93e07152-1802-4f6d-b623-381e853babf5,25.6,30.21,93e07152-1802-4f6d-b623-381e853babf5,25.6,26.63,93e07152-1802-4f6d-b623-381e853babf5,25.6,56.26,,88.13,110.11,93e07152-1802-4f6d-b623-381e853babf5,25.6,43.96,93e07152-1802-4f6d-b623-381e853babf5,25.6,30.49,93e07152-1802-4f6d-b623-381e853babf5,25.6,30.83,,88.13,88.13,,29.47,55.43,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,29.47,40.3,,87.76,87.95,,88.13,88.13,,88.13,88.13,0f19fe4d-9cd5-4246-adce-52d494d9f608,40.27,69.46,c55f2efc-31b1-44ea-a89f-9ed598932171,28.71,32.56,c55f2efc-31b1-44ea-a89f-9ed598932171,28.71,28.71
8,36085002100,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,7.21,43.86,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,7.21,22.78,,62.18,77.17,,72.65,72.65,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,2.33,12.18,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,2.33,8.06,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,17.28,21.24,83018ad7-db19-4fbc-a0c8-b237d8aadff1,46.86,55.49,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,7.21,43.86,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,7.21,15.1,d2069db2-2a82-40fb-b08c-87b8e38c1889,30.36,49.8,,72.65,72.65,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,2.33,23.91,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,2.33,5.72,775595ad-bf2c-49bb-b95a-a96ec8a28f97,25.76,48.27,,72.65,95.06,93e07152-1802-4f6d-b623-381e853babf5,62.18,65.67,0f19fe4d-9cd5-4246-adce-52d494d9f608,4.1,42.82,0f19fe4d-9cd5-4246-adce-52d494d9f608,4.1,43.16,,72.65,72.65,,17.77,36.67,c028bd09-1238-4c03-b527-822bfa9eb2d3,8.66,15.34,,72.65,74.22,,72.65,72.65,,72.65,72.65,0f19fe4d-9cd5-4246-adce-52d494d9f608,4.1,45.26,0f19fe4d-9cd5-4246-adce-52d494d9f608,4.1,17.6,c55f2efc-31b1-44ea-a89f-9ed598932171,24.35,24.35
9,36085002700,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,25.86,42.72,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,25.86,38.26,,51.15,73.37,,81.16,81.16,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,8.38,13.73,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,4.69,6.73,0b81b666-54bd-4bd2-ba7a-3c16c0b15474,4.69,26.28,83018ad7-db19-4fbc-a0c8-b237d8aadff1,37.02,51.77,0454f275-4ca2-4d0a-99c0-b936a6bb4efa,25.86,42.72,d6c62644-c501-4431-b976-c6d869858290,13.16,29.39,d2069db2-2a82-40fb-b08c-87b8e38c1889,18.91,45.15,,81.16,81.16,0dad9ef7-f7c3-463c-9e1c-dc8d9c501b4e,18.44,31.82,c55f2efc-31b1-44ea-a89f-9ed598932171,12.89,12.98,775595ad-bf2c-49bb-b95a-a96ec8a28f97,44.41,53.65,,81.16,103.57,93e07152-1802-4f6d-b623-381e853babf5,51.15,61.16,0f19fe4d-9cd5-4246-adce-52d494d9f608,19.32,40.54,0f19fe4d-9cd5-4246-adce-52d494d9f608,19.32,40.88,,81.16,81.16,,8.38,39.17,738444b6-08d4-4cba-9f5f-2b1a9ca9f18a,8.38,19.17,,81.16,82.73,,81.16,81.16,,81.16,81.16,0f19fe4d-9cd5-4246-adce-52d494d9f608,19.32,56.01,c55f2efc-31b1-44ea-a89f-9ed598932171,12.89,15.03,c55f2efc-31b1-44ea-a89f-9ed598932171,12.89,12.89
