GEOID,FP_nearest,FP_tt,FP_tt_3
36061000100,FPC-528,33.97,36.39
36061000201,85193,3.76,5.79
36061000600,FPC-626,4.78,6.63
36061001401,Plentiful-1200,2.01,2.98
36061001402,FPC-625,1.79,2.28
36061001800,84461,2.53,3.77
36061002201,85434,1.2,2.82
36061002601,87046,3.11,4.12
36061002602,80813,2.69,3.6
36061002800,81685,3.72,4.11
36061003100,FPC-622,2.04,8.4
36061003200,85310,2.6,3.43
36061003300,FPC-622,5.55,6.83
36061003400,81685,2.49,3.62
36061003601,87318,1.96,2.32
36061003602,DSNY-BRS-1058,0.72,3.03
36061003700,82998,3.85,7.46
36061003900,85471,5.21,7.83
36061004001,FPC-252,6.05,6.47
36061004002,FPC-252,5.25,5.99
36061004100,FPC-374,5.33,5.79
36061004300,80491,3.22,4.91
36061004500,FPC-622,7.25,7.82
36061005200,DSNY-BRS-1476,2.43,4.27
36061005400,80749,2.49,4.93
36061005501,FPC-529,3.14,6.37
36061005502,FPC-529,3.9,4.85
36061005800,87247,2.14,4.62
36061006300,80520,1.23,3.99
36061006500,FPC-529,5.75,7.15
36061006700,81458,7.24,9.65
36061006800,84055,1.45,5.23
36061006900,82998,10.06,12.13
36061007001,85490,5.85,6.72
36061007002,85544,3.31,5.45
36061007100,80720,3.76,4.23
36061007200,82798,0.9,3.58
36061007300,81917,7.32,8.28
36061007500,81917,10.96,12.99
36061007600,85521,3.25,3.61
36061007700,81917,3.35,5.4
36061007800,FPC-545,5.36,6.96
36061008000,82798,7.24,8.23
36061008100,80720,2.96,3.53
36061008200,85368,4.92,6.47
36061008300,FPC-566,1.45,4.33
36061008400,85368,1.37,3.37
36061008700,80749,5.89,6.46
36061008900,80577,1.16,3.55
36061009100,80493,2.36,5.1
36061009200,FPC-165,5.6,6.76
36061009300,FPC-565,2.17,3.61
36061009400,FPC-165,5.98,6.76
36061009500,80493,3.4,3.54
36061009600,85368,6.26,8.01
36061009700,85547,0.64,2.66
36061009800,81199,5.05,6.05
36061009902,81501,6.61,7.53
36061009903,81501,5.7,7.47
36061010000,81199,1.21,1.89
36061010100,80757,0.99,2.38
36061010200,DSNY-BRS-1463,2.76,3.32
36061010300,81501,2.74,4.04
36061010400,DSNY-BRS-1463,4.58,6.48
36061010801,FPC-168,4.8,5.29
36061010802,FPC-168,3.68,6.21
36061010803,FPC-168,2.38,4.17
36061010900,85523,4.55,4.62
36061011100,80649,2.59,3.83
36061011201,DSNY-BRS-1463,4.57,6.29
36061011202,DSNY-BRS-1463,2.69,3.41
36061011203,FPC-167,2.53,3.61
36061011300,85523,1.38,4.14
36061011402,80518,2.73,4.3
36061011800,85524,4.64,5.62
36061011900,85523,4.31,5.34
36061012000,85530,2.44,5.59
36061012101,80605,1.92,2.02
36061012102,81507,2.56,3.34
36061012200,85530,3.16,5.36
36061012500,DSNY-BRS-1461,3.24,4.94
36061012601,84065,1.75,2.6
36061012602,85524,0.26,3.09
36061012700,81507,2.18,3.23
36061013000,DSNY-BRS-1451,3.02,5.76
36061013100,DSNY-BRS-1461,1.7,5.11
36061013201,80522,1.09,3.86
36061013202,80522,4.18,6.31
36061013300,Plentiful-1458,1.92,4.74
36061013601,FPC-170,9.19,9.94
36061013602,80522,7.07,8.27
36061014801,DSNY-BRS-1104,2.11,3.9
36061014900,85548,3.56,4.4
36061015001,81139,2.08,3.8
36061015002,81139,1.98,4.86
36061015101,85369,5.08,6.0
36061015301,83543,0.44,2.86
36061015302,80517,1.22,2.73
36061015401,81528,1.36,4.53
36061015402,81528,4.09,8.17
36061015403,81528,3.05,6.15
36061015501,81119,4.27,4.54
36061015601,81528,5.88,8.72
36061015602,81528,8.57,9.16
36061015700,84273,2.59,2.97
36061015801,81528,5.58,7.62
36061015802,DSNY-BRS-1521,7.86,8.42
36061016001,81139,7.27,8.65
36061016002,DSNY-BRS-1521,7.73,9.36
36061016100,84273,3.21,5.06
36061016200,83923,2.93,4.99
36061016400,83923,4.87,6.56
36061016500,DSNY-BRS-1070,5.27,6.53
36061016600,DSNY-BRS-1521,3.54,5.65
36061016900,DSNY-BRS-1070,4.93,6.46
36061017000,83923,2.24,3.02
36061017100,DSNY-BRS-1456,2.51,2.78
36061017200,80744,3.89,4.9
36061017300,81546,6.49,6.96
36061017401,80861,1.55,3.64
36061017402,80861,2.75,4.82
36061017500,81659,1.62,1.68
36061017700,81546,5.12,6.65
36061018000,FPC-493,3.22,3.84
36061018100,80850,4.12,5.13
36061018400,FPC-567,2.77,4.1
36061018600,80699,2.63,3.45
36061018700,FPC-482,4.22,6.05
36061019200,FPC-568,2.33,4.91
36061019300,83311,2.5,4.29
36061019400,81641,2.77,3.25
36061019500,Plentiful-431,2.97,4.99
36061019600,DSNY-BRS-1445,1.39,2.16
36061019702,83311,4.33,4.42
36061019900,FPC-584,1.89,2.6
36061020500,80712,3.39,4.37
36061020600,83686,2.9,3.97
36061020701,81123,6.16,6.42
36061020800,83686,1.51,2.31
36061021100,80712,4.54,6.61
36061021303,81727,2.21,2.48
36061021500,82807,3.53,4.24
36061021600,84108,3.65,4.2
36061021703,80519,4.35,7.18
36061021800,84108,0.66,2.19
36061022000,80565,1.01,2.96
36061022102,85088,4.32,5.96
36061022200,80596,1.74,2.8
36061022301,80519,7.52,9.48
36061022400,82807,1.3,1.55
36061022500,Plentiful-1365,5.82,8.34
36061022600,82807,3.29,4.54
36061022800,85088,2.1,3.88
36061023100,FPC-398,2.8,3.04
36061023400,81612,3.31,6.17
36061023502,81612,3.26,4.86
36061024100,FPC-276,3.16,4.94
36061024200,80721,2.46,3.85
36061024301,81071,4.1,6.47
36061024700,85536,8.18,8.5
36061024900,84068,9.32,9.51
36061025100,85536,5.79,7.43
36061025500,85536,3.21,6.36
36061026500,Plentiful-1367,4.54,5.63
36061026700,85458,3.05,6.0
36061026900,85458,1.79,4.74
36061027100,80618,3.19,3.91
36061028100,80618,4.23,8.73
36061029300,84349,1.46,3.23
36061029500,85357,4.81,4.98
36061030900,Plentiful-1361,1.44,5.3
36005000100,85423,25.11,30.99
36005000200,FPC-349,6.26,14.38
36005001600,FPC-349,6.71,8.63
36005001904,FPC-422,23.93,24.47
36005002002,82252,4.65,9.56
36005002300,81061,6.24,7.51
36005002500,80150,4.9,5.77
36005002701,80159,2.0,5.92
36005002702,80159,1.98,5.9
36005003800,82252,1.92,8.75
36005003900,81061,2.33,4.35
36005004001,FPC-670,9.74,10.59
36005004200,82252,5.73,11.74
36005004400,82252,8.69,11.94
36005004600,82252,5.34,10.69
36005004800,85317,4.83,7.7
36005005001,85317,2.12,7.97
36005005002,85317,1.54,5.56
36005005400,85003,2.56,4.88
36005006302,83382,4.67,5.19
36005006400,84225,3.29,5.45
36005006500,DSNY-BRS-1337,3.15,4.55
36005006800,84225,7.53,8.89
36005007000,80162,8.03,10.28
36005007200,80162,5.66,6.45
36005007400,85507,6.03,7.78
36005007600,80162,6.23,7.2
36005007800,85507,9.78,10.06
36005007900,FPC-422,1.46,3.37
36005008300,FPC-422,3.48,4.73
36005008400,81145,8.99,11.49
36005008500,83921,1.51,4.43
36005008600,81145,3.17,7.3
36005008700,83921,5.98,7.24
36005009200,FPC-670,6.67,9.36
36005009600,FPC-580,3.06,7.05
36005011701,84728,2.78,4.0
36005011702,85423,7.27,10.95
36005011900,DSNY-BRS-1354,9.46,9.71
36005012101,85387,4.01,6.12
36005012102,85387,7.54,9.24
36005012500,85318,2.49,3.98
36005012901,82210,2.96,4.48
36005013000,85081,6.9,18.01
36005013100,82293,1.91,2.11
36005013200,85081,10.97,20.4
36005013300,FPC-663,3.08,3.94
36005013500,84268,3.25,3.73
36005014400,85081,5.55,17.14
36005014900,85298,2.89,4.85
36005015100,81064,2.2,4.2
36005015200,85081,8.66,18.93
36005015300,81665,3.03,4.52
36005015800,85081,3.06,16.92
36005016000,85081,12.4,20.33
36005016200,85081,9.55,18.91
36005016300,81665,4.57,7.33
36005016400,85081,15.47,21.0
36005017100,85541,5.23,5.78
36005017500,84129,1.7,3.68
36005017701,83918,3.35,3.57
36005017702,85541,1.84,3.98
36005017901,81113,2.78,3.84
36005017902,83918,2.84,3.45
36005018101,85294,3.37,3.97
36005018102,85435,0.93,2.79
36005018302,85294,2.67,4.58
36005018400,85174,16.39,20.22
36005018900,83382,0.82,4.02
36005019700,84438,1.86,3.12
36005019900,87090,4.18,5.36
36005020200,85174,4.16,5.49
36005020400,85494,5.62,8.27
36005020601,FPC-580,5.41,7.06
36005020900,85239,2.38,5.92
36005021002,FPC-670,5.5,7.26
36005021100,80077,2.29,2.53
36005021301,85239,4.14,6.02
36005021302,DSNY-BRS-1348,4.46,4.86
36005021501,FPC-11,6.1,9.24
36005021502,85239,5.84,8.34
36005021700,85239,6.21,7.34
36005021800,84225,8.61,9.03
36005021900,DSNY-BRS-1348,1.81,3.62
36005022101,DSNY-BRS-1348,3.06,3.17
36005022102,81113,1.84,3.49
36005022300,DSNY-BRS-1348,3.57,5.13
36005022403,80086,1.78,2.16
36005022404,FPC-513,3.18,3.49
36005022500,85541,4.22,6.35
36005022701,81316,5.39,6.15
36005022702,85239,3.8,6.29
36005022703,85292,3.73,6.56
36005022800,FPC-513,3.46,3.63
36005022901,85292,2.28,4.89
36005022902,85292,1.15,4.26
36005023100,85385,2.98,4.07
36005023200,DSNY-BRS-2157,2.84,3.84
36005023301,81316,0.82,4.78
36005023302,81316,4.66,5.47
36005023600,85453,0.38,1.57
36005023704,Plentiful-1342,3.13,3.3
36005023900,85300,2.85,4.06
36005024100,87062,2.63,3.33
36005024300,87062,3.83,5.25
36005024400,DSNY-BRS-2157,8.37,9.69
36005024501,87062,7.92,9.04
36005024502,87062,6.14,7.61
36005024600,FPC-513,7.29,7.48
36005024800,80086,8.43,8.5
36005024900,FPC-675,6.93,7.99
36005025000,FPC-513,12.48,12.57
36005025100,FPC-675,1.35,3.42
36005025200,85494,11.41,11.86
36005025300,80175,2.3,3.45
36005025400,85494,10.89,14.47
36005025500,80175,4.43,5.81
36005026100,DSNY-BRS-1358,5.55,7.54
36005026300,DSNY-BRS-1358,2.79,4.75
36005026400,85503,14.15,17.18
36005026500,81348,6.84,8.03
36005026601,85503,8.66,12.15
36005026602,FPC-666,12.46,14.99
36005026701,DSNY-BRS-1358,10.43,11.21
36005026702,FPC-676,8.28,9.88
36005027300,FPC-676,6.54,7.79
36005027700,FPC-676,1.19,6.32
36005027900,FPC-665,2.99,9.42
36005028100,FPC-665,8.89,13.8
36005028600,85494,9.69,13.18
36005028700,FPC-665,7.15,8.09
36005028800,FPC-661,13.53,15.94
36005028900,FPC-671,3.24,5.41
36005029500,FPC-671,10.5,11.33
36005029600,FPC-661,9.19,12.6
36005030000,FPC-666,4.63,10.41
36005030100,FPC-671,12.81,15.95
36005030201,FPC-666,11.97,19.88
36005030701,FPC-665,18.73,21.96
36005030900,FPC-671,25.79,28.67
36005031000,FPC-666,9.12,10.76
36005031200,FPC-661,2.05,10.14
36005031400,FPC-661,1.55,10.21
36005031600,FPC-661,5.16,11.29
36005031800,FPC-661,8.32,13.09
36005031900,FPC-665,43.4,49.27
36005032300,FPC-665,32.71,38.27
36005032400,80086,11.3,11.63
36005032600,FPC-661,12.72,14.89
36005032800,80086,9.98,10.35
36005033000,80086,9.35,9.73
36005033201,80086,7.15,7.45
36005033202,80086,12.36,12.71
36005033601,83304,12.24,13.25
36005033602,83304,9.14,10.4
36005033801,81671,13.11,14.91
36005033802,81671,8.74,11.84
36005034000,81671,11.82,14.87
36005034200,81671,12.7,14.17
36005034300,FPC-665,37.59,44.47
36005034400,81315,12.11,13.58
36005034800,81315,7.29,9.38
36005035600,85455,11.03,12.35
36005035900,81435,0.63,4.04
36005036000,85455,6.7,7.5
36005036300,85461,3.6,5.78
36005036400,85533,2.91,4.64
36005036501,85461,4.73,5.87
36005036800,85533,8.31,9.82
36005036901,80065,3.3,5.32
36005036902,80065,3.9,6.85
36005037000,81671,7.66,10.2
36005037100,84788,4.76,6.12
36005037200,81671,3.95,7.81
