GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36061000100,85517,36.16,40.63,85517,36.16,47.26,85517,36.16,47.26,85517,36.16,63.52,85517,36.16,40.63,85517,36.16,47.26,85517,36.16,47.26,85517,36.16,63.52,85517,36.16,40.63,85517,36.16,41.35,85517,36.16,47.26,85517,36.16,63.52,85517,36.16,40.63,85517,36.16,44.64,85517,36.16,47.26,85517,36.16,63.52,85345,39.03,49.25,82188,41.2,48.94,85471,46.7,55.88,81458,62.0,72.0,80520,70.9,74.37,85345,39.03,59.88,FPC-374,62.31,70.64,87247,92.93,108.48,82998,58.93,76.56,81698,47.95,56.29,82998,58.93,60.29,81458,62.0,102.48
36061000201,85481,8.11,9.09,Plentiful-1200,7.15,7.95,FPC-626,8.11,11.95,85434,10.56,30.79,85481,8.11,9.09,85193,3.76,6.5,FPC-626,8.11,11.54,85434,10.56,30.79,FPC-626,8.11,11.54,Plentiful-1200,7.15,8.61,FPC-625,7.06,8.58,85434,10.56,30.79,FPC-626,8.11,11.95,Plentiful-1200,7.15,8.61,FPC-626,8.11,11.95,85434,10.56,30.79,84743,6.55,9.72,84743,6.55,7.27,FPC-626,8.11,13.27,87290,27.72,34.98,85291,16.51,25.37,Plentiful-1200,7.15,9.44,FPC-628,10.42,23.3,87247,48.73,57.13,81458,28.48,42.07,81458,28.48,32.71,FPC-608,28.48,29.87,81458,28.48,59.63
36061000600,FPC-626,4.78,8.54,FPC-626,4.78,6.63,FPC-626,4.78,11.03,85434,12.77,30.06,FPC-626,4.78,8.54,FPC-626,4.78,6.63,FPC-626,4.78,11.03,85434,12.77,30.06,FPC-626,4.78,10.96,FPC-626,4.78,8.2,FPC-626,4.78,8.71,85434,12.77,30.06,FPC-626,4.78,11.03,FPC-626,4.78,8.2,FPC-626,4.78,11.03,85434,12.77,30.06,FPC-626,4.78,8.89,FPC-626,4.78,6.95,FPC-626,4.78,11.07,87290,25.69,33.6,85291,16.75,25.49,Plentiful-1200,7.04,8.44,FPC-374,7.29,22.21,87247,48.35,58.56,81458,25.52,39.98,81458,25.52,30.29,81458,25.52,27.86,81458,25.69,59.34
36061001401,85481,3.45,5.63,Plentiful-1200,2.01,3.71,FPC-626,5.65,8.52,85434,7.77,28.01,85481,3.45,5.63,Plentiful-1200,2.01,3.71,FPC-626,5.65,8.52,85434,7.77,28.01,FPC-626,5.65,8.08,Plentiful-1200,2.01,5.15,FPC-625,3.47,5.63,85434,7.77,28.01,FPC-626,5.65,8.52,Plentiful-1200,2.01,5.15,FPC-626,5.65,8.52,85434,7.77,28.01,84743,4.64,6.6,Plentiful-1200,2.01,4.1,FPC-626,5.65,9.09,87290,22.57,30.08,85291,11.68,20.7,Plentiful-1200,2.01,4.97,FPC-628,5.84,18.88,87247,43.73,55.3,81458,23.94,37.49,81458,23.94,28.07,81458,23.94,28.51,81458,23.94,55.26
36061001402,85481,2.86,5.38,Plentiful-1200,2.49,3.37,85434,4.74,7.95,85434,4.74,26.81,85481,2.86,5.63,Plentiful-1200,2.49,3.37,85434,4.74,7.76,85434,4.74,26.81,85434,4.74,7.13,Plentiful-1200,2.49,5.11,FPC-625,1.79,5.02,85434,4.74,26.81,85434,4.74,8.07,Plentiful-1200,2.49,5.25,85434,4.74,7.95,85434,4.74,26.81,84743,3.81,6.88,Plentiful-1200,2.49,4.87,84461,8.3,9.13,87290,19.79,27.82,85291,8.16,17.36,FPC-628,2.49,4.68,FPC-628,2.55,17.33,87247,40.43,53.1,81458,23.24,36.07,81458,23.24,26.91,81458,23.24,29.41,81458,23.24,52.5
36061001800,85481,3.71,5.32,85481,3.71,4.69,80491,5.17,7.49,85434,10.22,26.43,85481,3.71,5.32,85481,3.71,4.69,80491,5.17,7.49,85434,10.22,26.43,87318,5.09,5.78,87318,5.09,5.16,80491,5.17,6.63,85434,10.22,26.43,80491,5.17,6.58,80491,5.17,5.82,80491,5.17,7.49,85434,10.22,26.43,84461,2.53,4.92,84461,2.53,4.3,84461,2.53,4.92,87290,16.16,23.77,85291,7.72,16.3,FPC-628,4.53,5.15,FPC-628,4.53,16.03,87247,37.83,54.08,81458,17.32,31.22,81458,17.32,21.55,81458,17.32,26.13,81458,17.32,50.23
36061002201,85434,1.2,5.99,85434,1.2,5.54,85434,1.2,7.92,85434,1.2,28.64,85434,1.2,5.43,85434,1.2,5.93,85434,1.2,6.58,85434,1.2,28.64,85434,1.2,7.65,85434,1.2,6.46,85434,1.2,3.72,85434,1.2,28.64,85434,1.2,8.96,85434,1.2,6.46,85434,1.2,9.4,85434,1.2,24.6,84743,4.43,7.2,84743,4.43,5.71,84461,11.81,12.94,87290,19.98,28.4,85291,7.69,16.06,FPC-628,5.57,8.74,FPC-628,5.57,19.52,87247,38.95,50.74,81458,26.28,37.68,81458,26.28,29.15,81458,26.28,32.58,81458,26.28,51.26
36061002601,FPC-627,4.14,7.7,80813,4.14,5.35,FPC-627,4.14,8.54,85434,6.67,27.46,DSNY-BRS-1075,5.09,5.94,80813,5.09,5.47,87046,3.11,8.2,85434,6.67,27.46,85434,6.67,9.73,80813,5.24,7.51,87046,3.11,6.75,85434,6.67,27.46,85434,6.67,11.13,80813,5.24,8.14,85434,6.67,13.29,85434,6.67,23.67,85450,3.99,8.86,85450,3.99,6.63,84461,14.18,15.61,87290,17.84,26.5,81685,7.26,13.29,81685,7.75,9.85,FPC-628,9.29,20.76,87247,34.67,48.11,81458,26.99,36.74,82798,26.99,30.49,81458,26.99,32.48,81458,26.99,47.85
36061002602,FPC-627,2.69,8.52,80813,2.69,5.12,FPC-627,2.69,10.81,85434,9.69,27.07,DSNY-BRS-1075,4.63,6.91,80813,2.99,4.68,87046,5.13,11.63,85434,9.69,27.07,85434,9.69,11.78,80813,2.99,8.39,87046,5.13,9.45,85434,9.69,27.07,85434,9.69,13.16,80813,2.99,8.62,85434,9.69,16.66,85434,9.69,23.3,85450,6.17,11.01,80813,2.99,7.62,DSNY-BRS-2114,16.39,18.9,87290,17.66,26.18,81685,5.28,12.82,81685,5.28,10.94,FPC-628,12.09,21.97,87247,32.74,46.8,81458,28.15,36.62,82798,28.15,29.76,81458,28.15,32.56,81458,28.15,46.31
36061002800,FPC-627,4.88,11.49,80813,3.72,7.48,FPC-627,4.88,11.68,85434,13.84,26.69,DSNY-BRS-1075,5.53,9.65,80813,3.72,6.28,87046,8.91,13.02,85434,13.84,26.69,85434,13.84,15.07,80813,3.72,11.29,87046,8.91,13.02,85434,13.84,26.69,85434,13.84,16.64,80813,3.72,11.29,85434,13.84,15.53,85434,13.84,23.0,85450,9.93,14.51,80813,3.72,9.99,DSNY-BRS-2114,16.31,17.7,87290,18.25,28.16,81685,3.73,13.29,81685,3.73,13.13,FPC-628,16.07,23.81,87247,30.4,45.2,81458,30.18,36.74,82798,27.77,31.15,81735,30.18,33.0,81458,30.18,44.36
