GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36061000100,85517,2.44,3.14,85517,2.44,4.86,85517,2.44,4.86,85517,2.44,11.26,85517,2.44,3.14,85517,2.44,4.86,85517,2.44,4.86,85517,2.44,11.26,85517,2.44,3.14,85517,2.44,4.86,85517,2.44,4.86,85517,2.44,11.26,85517,2.44,3.14,85517,2.44,4.86,85517,2.44,4.86,85517,2.44,11.26,85471,3.41,5.27,85471,3.41,6.98,85471,3.41,6.98,81458,8.86,14.07,85291,12.1,13.76,85345,3.59,7.31,FPC-374,8.37,12.57,87247,19.55,23.69,82998,8.73,12.05,82998,8.73,10.3,82998,8.73,10.56,81458,8.86,21.23
36061000201,FPC-626,3.37,3.61,Plentiful-1200,2.7,3.25,FPC-626,3.37,4.61,85434,3.78,10.68,FPC-626,3.37,3.61,85193,1.05,2.37,FPC-626,3.37,4.14,85434,3.78,10.68,FPC-626,3.37,4.44,Plentiful-1200,2.7,3.28,FPC-625,3.22,3.46,85434,3.78,10.45,FPC-626,3.37,4.61,Plentiful-1200,2.7,3.28,FPC-626,3.37,4.61,85434,3.78,10.68,84743,1.94,3.49,84743,1.94,2.67,FPC-626,3.37,5.07,81458,9.99,12.95,85291,6.09,8.82,Plentiful-1200,2.7,3.62,FPC-374,3.83,8.52,85351,17.4,19.0,82998,9.86,13.79,82998,9.86,11.73,82998,9.86,11.15,81458,9.99,18.29
36061000600,FPC-626,1.69,2.95,FPC-626,1.69,2.28,FPC-626,1.69,3.83,85434,4.65,10.44,FPC-626,1.69,2.95,FPC-626,1.69,2.28,FPC-626,1.69,3.83,85434,4.65,10.44,FPC-626,1.69,3.67,FPC-626,1.69,3.0,FPC-626,1.69,3.28,85434,4.65,10.44,FPC-626,1.69,3.83,FPC-626,1.69,3.0,FPC-626,1.69,3.83,85434,4.65,10.44,FPC-626,1.69,2.71,FPC-626,1.69,2.38,FPC-626,1.69,3.49,81458,8.48,11.48,85291,5.13,8.04,FPC-374,2.15,2.85,FPC-374,2.15,7.54,87247,16.72,18.87,82998,8.34,13.07,82998,8.34,10.21,82998,8.34,9.58,81458,8.48,18.37
36061001401,85481,1.61,2.32,Plentiful-1200,0.63,1.4,FPC-626,1.97,3.32,85434,3.39,10.04,85481,1.61,2.32,Plentiful-1200,0.63,1.4,FPC-626,1.97,3.32,85434,3.39,10.04,FPC-626,1.97,3.16,Plentiful-1200,0.63,2.0,FPC-625,1.33,2.23,85434,3.39,9.77,FPC-626,1.97,3.32,Plentiful-1200,0.63,2.0,FPC-626,1.97,3.32,85434,3.39,10.04,84743,1.55,2.2,Plentiful-1200,0.63,1.39,FPC-626,1.97,3.22,81458,7.92,10.93,85291,4.06,6.78,Plentiful-1200,0.63,1.78,FPC-628,2.26,6.67,85351,15.33,17.53,82998,7.79,12.26,82998,7.79,9.66,82998,7.79,9.31,81458,7.92,17.31
36061001402,85481,1.37,2.32,Plentiful-1200,1.02,1.59,85434,2.39,3.13,85434,2.39,9.83,85481,1.37,2.32,Plentiful-1200,1.02,1.59,85434,2.39,3.13,85434,2.39,9.83,85434,2.39,2.96,Plentiful-1200,1.02,2.2,FPC-625,0.82,2.14,85434,2.39,9.47,85434,2.39,3.13,Plentiful-1200,1.02,2.2,85434,2.39,3.13,85434,2.39,9.75,84461,2.28,2.65,Plentiful-1200,1.02,1.92,84461,2.28,3.09,81458,7.47,10.23,85291,3.01,5.81,Plentiful-1200,1.02,1.85,FPC-628,1.21,6.27,85351,14.28,16.56,82998,7.33,11.61,82998,7.33,9.08,82998,7.33,9.3,81458,7.47,16.46
36061001800,85481,1.15,1.86,85481,1.15,1.71,FPC-626,2.17,2.82,85434,4.03,9.27,85481,1.15,1.86,85481,1.15,1.71,FPC-626,2.17,2.82,85434,4.03,9.27,87318,1.76,2.06,87318,1.76,1.91,FPC-626,2.17,2.3,85434,4.03,9.27,FPC-626,2.17,2.39,Plentiful-1200,1.8,2.08,FPC-626,2.17,2.82,85434,4.03,9.27,84461,0.74,1.72,84461,0.74,1.57,84461,0.74,1.72,81458,5.93,8.7,85291,2.99,5.8,FPC-374,1.55,1.67,FPC-374,1.55,5.68,87247,13.82,16.51,82998,5.8,10.52,82998,5.8,7.55,82998,5.8,7.68,81458,5.93,15.75
36061002201,85434,2.86,3.36,85434,2.86,3.22,85434,2.86,3.93,85434,2.86,10.72,85434,2.86,3.06,85434,2.86,3.06,85450,1.77,2.14,85434,2.86,10.72,85434,2.86,3.51,85434,2.86,3.38,85450,1.77,2.14,85434,2.86,10.72,85434,2.86,4.19,85434,2.86,3.48,85434,2.86,4.93,85434,2.86,10.72,85450,1.77,2.52,85450,1.77,2.38,84461,5.26,5.73,87290,7.49,10.71,85291,2.6,5.4,FPC-628,3.11,3.77,FPC-628,3.11,8.0,87247,14.58,16.64,82998,9.91,12.66,82998,9.91,10.67,82998,9.91,11.87,81458,10.05,15.98
36061002601,FPC-627,1.72,3.5,FPC-627,1.72,2.69,FPC-627,1.72,4.07,85434,4.36,10.37,DSNY-BRS-1075,1.71,2.88,DSNY-BRS-1075,1.71,2.09,85450,1.43,2.41,85434,4.36,10.37,87318,4.1,4.3,80813,2.0,3.49,85450,1.43,2.08,85434,4.36,10.37,85434,4.36,4.97,80813,2.0,3.59,85434,4.36,5.72,85434,4.36,10.37,85450,1.43,2.43,85450,1.43,1.62,84461,5.69,6.16,87290,6.72,10.06,81685,2.56,4.52,81685,2.56,3.53,FPC-628,3.54,7.75,87247,12.99,15.72,82998,10.34,12.41,82998,10.34,10.55,82998,10.34,11.63,81458,10.48,15.06
36061002602,FPC-627,0.86,3.79,FPC-627,0.86,2.4,FPC-627,0.86,4.08,85434,5.22,10.08,DSNY-BRS-1075,1.42,3.16,80813,1.14,1.8,85450,2.29,3.27,85434,5.22,10.08,87318,4.97,5.16,80813,1.14,3.77,85450,2.29,2.94,85434,5.22,10.08,85434,5.22,5.71,80813,1.14,3.88,85434,5.22,5.85,85434,5.22,10.08,85450,2.29,3.29,80813,1.14,1.91,DSNY-BRS-2114,6.17,6.25,87290,6.42,9.96,81685,1.7,4.42,81685,1.7,3.81,FPC-628,4.4,8.04,87247,12.13,15.43,82998,11.2,12.7,80720,10.16,10.74,82998,11.2,11.91,81458,11.34,14.77
36061002800,FPC-627,2.01,4.68,80813,1.72,2.92,FPC-627,2.01,4.02,85434,6.37,9.7,DSNY-BRS-1075,2.0,3.88,80813,1.72,2.57,85450,3.44,3.97,85434,6.37,9.7,FPC-559,5.65,6.04,80813,1.72,3.92,85450,3.44,3.97,85434,6.37,9.7,FPC-559,5.65,6.15,80813,1.72,3.92,DSNY-BRS-2114,5.02,5.23,85434,6.37,9.7,85450,3.44,4.18,80813,1.72,2.87,DSNY-BRS-2114,5.02,5.23,87290,6.44,9.72,81685,1.16,4.45,81685,1.16,4.4,FPC-628,5.55,8.42,87247,10.97,15.05,82998,12.35,13.08,80720,9.17,10.31,81735,12.05,12.3,81458,12.49,14.39
36061003100,85345,3.36,4.08,85471,4.05,4.34,85471,4.05,4.34,85517,4.84,9.5,85345,3.36,4.08,85471,4.05,4.34,85471,4.05,4.34,85517,4.84,9.5,85345,3.36,4.08,85471,4.05,4.34,85471,4.05,4.34,85517,4.84,9.5,85345,3.36,4.08,85471,4.05,4.34,85471,4.05,4.34,85517,4.84,9.5,85345,3.36,3.89,85471,4.05,4.15,85471,4.05,4.15,81458,4.27,9.06,85291,8.24,9.72,85345,3.36,4.46,FPC-374,3.9,8.63,87247,15.07,19.17,82998,4.14,9.14,82998,4.14,6.39,82998,4.14,5.69,81458,4.27,16.67
36061003200,FPC-627,3.12,3.29,80813,1.69,2.65,FPC-627,3.12,4.46,85434,6.34,10.55,85310,0.57,1.71,85310,0.57,1.22,85450,3.41,3.92,85434,6.34,10.55,87318,2.91,3.67,80813,1.69,2.58,85450,3.41,3.9,85434,6.34,10.55,DSNY-BRS-1058,3.15,4.47,80813,1.69,3.13,80491,4.94,5.31,85434,6.34,10.55,DSNY-BRS-1058,3.15,3.32,80813,1.69,2.75,84461,4.5,4.72,87290,4.73,8.59,85291,1.37,3.29,81685,2.25,3.42,FPC-628,3.46,6.92,87247,11.76,15.74,82998,9.14,11.86,80720,8.85,9.09,82998,9.14,10.76,81458,9.28,15.15
36061003300,85471,3.07,4.56,82998,3.0,3.83,82998,3.0,3.83,85517,5.41,9.99,85471,3.07,4.56,82998,3.0,3.83,82998,3.0,3.83,85517,5.41,9.99,85471,3.07,4.56,82998,3.0,3.83,82998,3.0,3.83,85517,5.41,9.99,85471,3.07,4.56,82998,3.0,3.83,82998,3.0,3.83,85517,5.41,9.99,85471,3.07,3.8,82998,3.0,3.07,82998,3.0,3.07,81458,3.14,8.38,80520,8.44,9.77,85345,5.19,6.25,FPC-374,6.11,9.43,87247,13.93,19.66,82998,3.0,8.01,82998,3.0,5.26,82998,3.0,5.67,81458,3.14,16.56
36061003400,FPC-627,3.71,4.18,80813,1.71,3.12,FPC-627,3.71,4.08,85434,8.06,10.21,DSNY-BRS-1075,1.99,2.75,80813,1.71,2.0,FPC-559,3.96,4.38,85434,8.06,10.21,FPC-559,3.96,4.48,80813,1.71,3.42,FPC-559,3.96,4.38,85434,8.06,10.21,FPC-559,3.96,5.02,80813,1.71,3.3,FPC-559,3.96,4.38,85434,8.06,10.21,FPC-559,3.96,4.65,80813,1.71,3.42,FPC-559,3.96,4.38,87290,4.76,8.71,81685,1.15,3.32,81685,1.15,4.2,FPC-628,5.18,7.61,87247,10.38,15.28,82998,10.86,12.44,80720,7.48,9.32,82998,10.86,11.45,81458,11.0,14.58
