GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36085000300,85343,3.59,15.8,85343,3.59,5.07,83916,21.67,24.53,83916,21.67,21.67,85437,5.72,8.58,83522,3.64,5.51,85449,2.01,5.02,FPC-710,18.01,19.23,85343,3.59,15.91,85343,3.59,5.09,84802,13.66,17.23,83916,21.67,21.67,85343,3.59,10.33,85343,3.59,5.49,Plentiful-1396,3.0,13.68,83916,21.67,27.51,83916,21.67,22.39,85326,6.19,16.79,85326,6.19,16.83,83916,21.67,21.67,83656,6.99,12.98,81047,6.02,7.76,83916,21.67,22.09,83916,21.67,21.67,83916,21.67,21.67,85326,6.19,14.62,85326,6.19,10.1,Plentiful-1511,12.05,12.05
36085000600,85343,10.04,10.61,85343,10.04,10.61,84301,10.91,21.55,83916,27.28,27.28,85356,7.58,8.2,81039,6.42,6.92,Plentiful-1345,6.78,9.98,FPC-710,12.24,17.25,85343,10.04,10.61,81039,6.42,9.11,84802,9.16,14.29,83916,27.28,27.28,85437,7.87,9.6,81039,6.42,7.39,84301,10.91,16.43,83916,27.28,33.59,FPC-382,10.89,16.09,85326,8.13,9.98,85326,8.13,10.22,83916,27.28,27.28,85356,7.58,15.69,85356,7.58,9.71,83916,27.28,27.59,83916,27.28,27.28,83916,27.28,27.28,85326,8.13,19.61,Plentiful-1511,7.89,7.97,Plentiful-1511,7.89,7.89
36085000700,85343,6.7,15.28,FPC-610,3.32,5.13,83916,18.77,25.3,83916,18.77,18.77,85437,8.82,11.69,83522,6.39,8.5,Plentiful-1396,2.85,6.71,83916,18.77,19.99,85343,6.7,15.13,FPC-31,1.47,6.15,85361,14.79,16.77,83916,18.77,18.77,85343,6.7,11.43,85343,6.7,8.6,Plentiful-1396,2.85,12.14,83916,18.77,24.57,83916,18.77,23.49,85326,9.29,15.91,85326,9.29,15.91,83916,18.77,18.77,83656,9.11,13.76,83656,9.11,10.54,83916,18.77,19.38,83916,18.77,18.77,83916,18.77,18.77,85326,9.29,14.16,85326,9.29,13.2,Plentiful-1511,15.16,15.16
36085000800,FPC-382,9.69,10.23,FPC-382,9.69,10.23,84301,9.71,20.64,83916,26.94,26.94,85356,6.79,8.2,Plentiful-1345,6.43,6.73,Plentiful-1345,6.43,9.06,FPC-710,11.04,16.34,FPC-382,9.69,10.23,81039,7.67,9.02,84802,8.09,13.81,83916,26.94,26.94,85437,9.13,9.51,Plentiful-1511,6.81,7.1,84301,9.71,16.72,83916,26.94,33.21,FPC-382,9.69,14.89,85326,9.39,9.6,85326,9.39,9.84,83916,26.94,26.94,85356,6.79,15.51,85356,6.79,10.14,83328,26.71,26.82,83916,26.94,26.94,83916,26.94,26.94,85326,9.39,20.19,Plentiful-1511,6.81,7.67,Plentiful-1511,6.81,6.81
36085000900,85343,4.82,15.1,Plentiful-1449,3.58,4.43,83916,20.01,24.13,83916,20.01,20.01,85437,6.95,9.61,83522,3.25,6.2,85449,1.91,5.19,FPC-710,18.4,18.94,85343,4.82,15.22,FPC-31,4.04,5.76,85361,14.65,16.47,83916,20.01,20.01,85343,4.82,10.6,85343,4.82,6.73,Plentiful-1396,2.36,12.34,83916,20.01,25.82,83916,20.01,22.66,85326,7.42,16.09,85326,7.42,16.12,83916,20.01,20.01,83656,6.21,12.58,83656,6.21,8.04,83916,20.01,20.43,83916,20.01,20.01,83916,20.01,20.01,85326,7.42,13.91,85326,7.42,11.33,Plentiful-1511,13.29,13.29
36085001100,85343,4.27,13.32,Plentiful-1449,2.36,3.83,83916,17.62,21.93,83916,17.62,17.62,85437,6.4,8.14,83522,1.35,4.97,85449,2.92,5.57,FPC-710,16.16,16.65,85343,4.27,13.44,85343,4.27,5.38,84802,12.51,14.42,83916,17.62,17.62,85343,4.27,9.43,85343,4.27,5.94,Plentiful-1396,4.16,11.64,83916,17.62,23.93,83916,17.62,20.74,85326,6.86,14.31,85326,6.86,14.75,83916,17.62,17.62,83656,3.69,10.4,83656,3.69,5.91,83916,17.62,18.03,83916,17.62,17.62,83916,17.62,17.62,85326,6.86,12.65,85326,6.86,9.77,Plentiful-1511,11.23,11.23
36085001700,85343,4.72,13.54,Plentiful-1449,4.02,5.25,83916,17.72,20.99,83916,17.72,17.72,85437,4.58,6.11,83522,1.8,3.8,85449,5.0,6.27,FPC-710,14.02,15.25,85343,4.72,13.66,85343,4.72,5.53,84802,10.37,13.78,83916,17.72,17.72,85437,4.58,9.01,85437,4.58,4.77,Plentiful-1396,6.3,12.42,83916,17.72,24.03,83916,17.72,19.34,85326,4.85,13.71,85326,4.85,14.0,83916,17.72,17.72,83656,2.92,9.46,81047,2.02,4.22,83916,17.72,18.13,83916,17.72,17.72,83916,17.72,17.72,85326,4.85,12.14,85326,4.85,7.67,Plentiful-1511,9.09,9.09
36085002001,FPC-382,7.56,9.47,FPC-382,7.56,9.47,84301,7.59,18.55,83916,24.86,24.86,FPC-382,7.56,7.73,FPC-382,7.56,7.62,84301,7.59,8.08,FPC-710,8.97,14.27,FPC-382,7.56,9.47,FPC-382,7.56,8.26,84301,7.59,12.59,83916,24.86,24.86,FPC-382,7.56,8.74,FPC-382,7.56,7.74,84301,7.59,16.09,83916,24.86,31.13,FPC-382,7.56,12.78,FPC-382,7.56,8.83,84301,7.59,9.07,83916,24.86,24.86,85356,8.05,15.67,85356,8.05,11.43,83328,24.64,24.75,83916,24.86,24.86,83916,24.86,24.86,85326,11.35,19.57,Plentiful-1511,8.08,9.17,Plentiful-1511,8.08,8.08
36085002100,85343,2.16,12.53,85343,2.16,6.87,84301,17.73,22.41,83916,21.46,21.46,85437,0.69,3.56,85437,0.69,2.19,Plentiful-1345,5.03,6.35,FPC-710,13.84,16.38,85343,2.16,12.53,81039,2.14,4.56,84802,8.63,14.45,83916,21.46,21.46,85437,0.69,6.85,85437,0.69,1.66,Plentiful-1396,7.69,14.14,83916,21.46,27.77,FPC-382,17.71,18.97,85326,1.16,12.2,85326,1.16,12.32,83916,21.46,21.46,85356,5.26,11.04,81047,3.52,5.06,83916,21.46,21.88,83916,21.46,21.46,83916,21.46,21.46,85326,1.16,13.41,85326,1.16,5.07,Plentiful-1511,7.03,7.03
36085002700,85343,7.43,12.25,85343,7.43,10.77,84301,14.67,21.1,83916,23.45,23.45,85356,2.12,3.8,Plentiful-1345,1.32,1.91,Plentiful-1345,1.32,7.74,FPC-710,10.95,15.12,85343,7.43,12.25,81039,3.8,8.59,84802,5.36,13.0,83916,23.45,23.45,85437,5.26,9.11,Plentiful-1511,3.75,3.77,Plentiful-1396,12.85,15.49,83916,23.45,29.76,FPC-382,14.64,17.58,85326,5.52,11.61,85326,5.52,11.77,83916,23.45,23.45,85356,2.12,11.31,85356,2.12,5.5,83916,23.45,23.86,83916,23.45,23.45,83916,23.45,23.45,85326,5.52,16.18,Plentiful-1511,3.75,4.34,Plentiful-1511,3.75,3.75
36085002900,85343,6.96,12.54,85343,6.96,10.0,84301,15.34,20.49,83916,21.88,21.88,85068,1.63,2.93,85356,1.72,2.32,Plentiful-1345,2.42,7.49,FPC-710,10.03,13.98,85343,6.96,12.54,81039,4.28,8.29,84802,4.9,12.54,83916,21.88,21.88,85437,5.44,9.24,Plentiful-1511,3.61,3.83,Plentiful-1396,11.93,14.89,83916,21.88,28.19,FPC-382,15.31,17.51,85326,5.7,12.12,85326,5.7,11.95,83916,21.88,21.88,85356,1.72,10.14,85356,1.72,4.54,83916,21.88,22.29,83916,21.88,21.88,83916,21.88,21.88,85326,5.7,15.2,Plentiful-1511,3.61,4.31,Plentiful-1511,3.61,3.61
36085003300,85343,10.74,14.58,Plentiful-1449,10.11,11.32,84301,16.51,19.44,83916,20.16,20.16,85068,4.96,6.71,85356,5.95,6.43,Plentiful-1345,6.65,9.12,FPC-710,10.36,13.63,85343,10.74,14.58,81039,8.06,11.12,84802,6.71,13.32,83916,20.16,20.16,85437,9.22,12.15,Plentiful-1511,5.42,6.3,Plentiful-1396,14.0,15.75,83916,20.16,26.43,FPC-382,16.48,17.72,85326,9.48,14.16,85326,9.48,13.92,83916,20.16,20.16,85356,5.95,10.68,85356,5.95,6.64,83328,19.94,20.05,83916,20.16,20.16,83916,20.16,20.16,85326,9.48,15.66,Plentiful-1511,5.42,6.78,Plentiful-1511,5.42,5.42
36085003600,FPC-382,8.46,9.59,FPC-382,8.46,9.59,84301,8.49,19.25,83916,25.45,25.45,85356,6.6,7.85,Plentiful-1345,6.25,6.54,Plentiful-1345,6.25,8.1,FPC-710,9.56,14.86,FPC-382,8.46,9.59,81039,8.18,8.38,84802,7.9,12.96,83916,25.45,25.45,FPC-382,8.46,8.86,Plentiful-1511,6.63,7.14,84301,8.49,16.1,83916,25.45,31.73,FPC-382,8.46,13.58,FPC-382,8.46,8.95,84301,8.49,9.19,83916,25.45,25.45,85356,6.6,14.9,85356,6.6,9.98,83328,25.23,25.34,83916,25.45,25.45,83916,25.45,25.45,85326,9.9,19.48,Plentiful-1511,6.63,7.72,Plentiful-1511,6.63,6.63
36085003900,85343,11.52,15.36,Plentiful-1449,10.18,11.6,84301,17.29,19.21,83916,19.42,19.42,85068,5.74,7.49,85356,6.73,7.21,Plentiful-1345,7.44,9.91,FPC-710,11.14,13.9,85343,11.52,15.36,81039,8.84,11.67,84802,7.49,13.67,83916,19.42,19.42,85437,10.0,12.93,Plentiful-1511,6.21,7.09,Plentiful-1396,14.07,15.87,83916,19.42,25.69,FPC-382,17.27,17.99,85326,10.26,14.94,85326,10.26,14.7,83916,19.42,19.42,83656,6.22,10.72,83656,6.22,6.95,83328,19.2,19.31,83916,19.42,19.42,83916,19.42,19.42,85326,10.26,15.51,Plentiful-1511,6.21,7.56,Plentiful-1511,6.21,6.21
