GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36061000100,85517,3.04,4.77,85517,2.06,5.72,85517,2.74,6.48,85517,2.14,10.86,85517,3.04,4.77,85517,2.06,5.59,85517,2.74,6.48,85517,2.14,8.85,85517,3.04,4.77,85517,2.06,5.72,85517,2.74,6.48,85517,2.14,10.52,85517,3.04,4.77,85517,2.06,4.86,85517,2.74,6.48,85517,2.14,10.02,85345,5.29,7.63,85471,5.24,8.39,85471,5.82,9.56,81458,10.51,15.92,85291,10.41,12.08,85345,4.22,8.02,FPC-374,11.26,14.95,85351,18.5,19.36,82998,11.13,15.46,81698,8.69,9.65,FPC-608,10.45,10.71,81458,9.93,17.17
36061000201,85434,5.6,6.01,Plentiful-1200,4.29,4.49,85434,5.38,6.19,85434,4.76,9.66,85434,5.6,6.01,85193,2.25,3.68,85434,5.38,5.41,85434,4.76,9.66,85434,5.6,6.92,Plentiful-1200,4.29,4.49,85434,5.38,5.41,85434,4.76,9.66,85434,5.6,6.79,Plentiful-1200,4.29,4.49,85434,5.38,7.09,85434,4.76,9.66,84743,4.61,5.34,84743,3.7,4.16,FPC-626,5.9,8.06,85521,13.91,14.23,85291,8.38,11.16,Plentiful-1200,3.71,5.0,FPC-374,6.26,9.51,87247,13.4,15.68,81458,14.44,15.35,82798,9.9,12.75,FPC-608,12.87,14.3,81458,14.44,16.26
36061000600,FPC-626,3.93,4.96,FPC-626,3.03,3.94,FPC-626,3.81,6.1,85434,5.35,10.46,FPC-626,3.93,4.96,85193,2.74,3.26,FPC-626,3.81,5.9,85434,5.35,10.46,FPC-626,3.93,5.64,FPC-626,3.03,4.33,FPC-626,3.81,5.47,85434,5.35,10.46,FPC-626,3.93,5.92,FPC-626,3.03,4.33,FPC-626,3.81,6.1,85434,5.35,10.37,FPC-626,3.93,5.04,FPC-626,3.03,4.0,FPC-626,3.81,6.17,87290,13.21,14.11,85291,6.79,10.09,FPC-374,3.52,4.32,FPC-374,4.36,9.19,85351,17.73,18.59,81458,12.16,14.45,82798,11.7,11.99,FPC-608,12.47,13.21,81458,12.73,16.96
36061001401,FPC-626,4.05,4.53,FPC-626,3.19,3.4,FPC-626,3.84,5.49,85434,3.77,9.41,FPC-626,4.05,4.53,85193,2.87,3.12,FPC-626,3.84,5.03,85434,3.77,9.41,FPC-626,4.05,5.18,FPC-626,3.19,3.4,FPC-626,3.84,4.26,85434,3.77,9.41,FPC-626,4.05,5.46,FPC-626,3.19,3.4,FPC-626,3.84,5.49,85434,3.77,8.69,84743,3.61,4.57,84743,2.72,3.07,FPC-626,3.84,6.16,87290,13.24,14.06,85291,6.91,9.72,Plentiful-1200,2.73,3.74,FPC-374,4.33,9.2,85351,15.6,17.77,81458,12.18,14.48,82798,11.83,12.11,81458,13.47,13.64,81458,12.77,16.83
36061001402,85434,3.12,5.22,85434,2.15,3.44,85434,2.83,5.72,85434,2.24,8.4,85434,3.12,5.12,85434,2.15,3.36,85434,2.83,4.31,85434,2.24,8.4,85434,3.12,5.53,85434,2.15,3.76,FPC-625,2.0,3.29,85434,2.24,8.3,85434,3.12,5.65,85434,2.15,3.88,85434,2.83,6.32,85434,2.24,7.39,84743,2.41,4.29,84743,1.46,3.08,FPC-626,6.89,7.88,87290,11.78,12.99,85291,5.25,9.1,Plentiful-1200,2.88,4.66,FPC-628,4.88,9.19,85351,13.7,16.68,81458,12.59,14.6,82798,11.42,11.75,FPC-608,11.9,12.48,81458,12.04,16.55
36061001800,85481,3.2,3.68,85481,2.38,2.8,80491,3.59,4.29,85434,4.59,10.68,85481,3.2,3.68,85481,2.38,2.8,80491,3.59,4.29,85434,4.59,10.68,87318,2.96,3.6,87318,2.05,2.69,80491,3.59,4.01,85434,4.59,10.68,80491,3.79,4.05,80491,2.91,3.12,80491,3.59,4.29,85434,4.59,10.05,84461,2.12,3.32,84461,1.19,2.41,84461,1.85,3.17,87290,8.74,11.11,85291,3.58,7.19,FPC-374,2.7,2.76,FPC-374,3.34,6.12,87247,15.16,17.08,81458,8.25,12.38,81458,8.15,10.08,81458,8.87,10.58,81458,8.27,17.16
36061002201,DSNY-BRS-1058,5.15,5.49,DSNY-BRS-1058,4.3,4.59,85434,5.21,5.75,85434,4.57,10.0,85310,4.86,5.13,85310,4.22,4.33,85450,3.28,3.92,85434,4.57,10.0,87318,4.78,5.1,87318,3.93,4.23,85450,3.28,3.92,85434,4.57,10.0,DSNY-BRS-1058,5.15,5.65,DSNY-BRS-1058,4.3,4.7,85434,5.21,6.57,85434,4.57,9.93,85450,3.46,4.03,85450,2.59,3.16,84461,5.75,6.75,87290,10.04,12.63,85291,3.48,7.33,FPC-628,3.75,4.99,FPC-628,4.61,8.71,81199,16.39,16.86,81458,10.83,12.84,82798,9.69,10.01,81458,10.93,11.31,81458,10.3,14.8
36061002601,FPC-627,3.77,5.25,FPC-627,2.84,3.84,FPC-627,3.49,5.48,85434,5.21,9.89,DSNY-BRS-1075,4.15,5.07,DSNY-BRS-1075,3.28,3.74,85450,3.13,4.04,85434,5.21,9.89,87318,5.51,5.83,80813,3.65,4.45,85450,3.13,4.04,85434,5.21,9.89,DSNY-BRS-1058,5.88,6.38,80813,3.65,4.61,85434,5.86,7.27,85434,5.21,9.89,85450,3.42,4.24,85450,2.48,2.87,84461,6.48,7.48,87290,10.07,12.36,85291,3.81,6.54,81685,3.72,4.89,FPC-628,5.34,9.44,87247,14.81,17.63,81458,11.56,14.07,81458,10.86,11.22,81458,11.66,12.01,81458,11.04,16.42
36061002602,FPC-627,2.62,5.63,FPC-627,1.67,3.45,FPC-627,2.33,5.87,85434,6.38,10.24,DSNY-BRS-1075,3.76,5.34,80813,2.48,3.25,85450,4.3,5.21,85434,6.38,10.24,87318,6.66,6.98,80813,2.48,4.84,85450,4.3,5.21,85434,6.38,10.24,DSNY-BRS-1058,7.03,7.53,80813,2.48,5.0,85434,7.02,8.22,85434,6.38,10.24,85450,4.57,5.39,80813,2.48,3.26,84461,7.65,8.32,87290,9.71,12.51,81685,3.43,6.42,81685,2.55,5.28,FPC-628,6.5,10.26,87247,14.44,16.77,81458,12.71,14.45,82798,10.66,11.25,81458,12.83,12.93,81458,12.22,16.03
36061002800,FPC-627,4.13,6.9,80813,3.1,4.53,FPC-627,3.84,6.63,85434,7.9,10.36,DSNY-BRS-1075,4.37,6.31,80813,3.1,4.1,85450,5.81,6.55,85434,7.9,10.36,FPC-559,8.03,8.25,80813,3.1,5.9,85450,5.81,6.55,85434,7.9,10.36,FPC-559,8.03,8.44,80813,3.1,5.6,DSNY-BRS-2114,8.03,8.14,85434,7.9,10.36,85450,6.07,6.72,80813,3.1,4.47,DSNY-BRS-2114,8.03,8.14,87290,10.03,12.48,81685,2.81,6.31,81685,1.98,6.1,FPC-628,8.02,10.64,87247,12.52,15.12,81458,14.21,14.95,82798,9.15,10.75,FPC-608,13.49,14.1,81458,13.73,15.52
