GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36061000100,85517,0.84,1.59,85517,0.82,2.96,85517,0.84,2.95,85517,0.81,6.12,85517,0.84,1.59,85517,0.82,2.96,85517,0.84,2.95,85517,0.81,6.12,85517,0.84,1.59,85517,0.82,2.96,85517,0.84,2.95,85517,0.81,6.12,85517,0.84,1.59,85517,0.82,2.96,85517,0.84,2.95,85517,0.81,6.12,85345,1.49,3.05,85471,2.63,4.53,85471,2.55,4.54,81458,5.31,8.07,85291,7.65,7.98,85345,1.97,4.87,FPC-374,5.84,7.85,87247,9.89,12.69,82998,4.96,7.33,82998,5.43,5.95,82998,5.45,6.35,81458,5.31,10.95
36061000201,85481,1.93,2.14,Plentiful-1200,1.45,1.84,85434,2.11,2.77,85434,2.07,5.47,85481,1.93,2.14,85193,0.55,1.34,85434,2.11,2.44,85434,2.07,5.47,85434,2.03,2.67,Plentiful-1200,1.45,2.03,FPC-625,1.95,2.22,85434,2.07,5.47,85434,2.03,2.72,Plentiful-1200,1.45,2.03,85434,2.11,2.91,85434,2.07,5.47,84743,1.27,2.11,84743,1.32,1.78,FPC-626,2.64,3.27,81458,6.17,7.27,85291,3.35,5.08,Plentiful-1200,1.45,2.22,FPC-374,2.43,4.8,87247,8.78,9.32,81458,5.76,6.98,81458,6.11,6.35,81458,6.22,6.9,81458,6.17,8.71
36061000600,FPC-626,1.5,1.93,FPC-626,1.56,1.79,FPC-626,1.68,2.68,85434,2.65,5.81,FPC-626,1.5,1.93,85193,1.04,1.49,FPC-626,1.68,2.68,85434,2.65,5.81,FPC-626,1.5,2.38,FPC-626,1.56,2.02,FPC-626,1.68,2.36,85434,2.65,5.81,FPC-626,1.5,2.43,FPC-626,1.56,2.02,FPC-626,1.68,2.68,85434,2.65,5.81,FPC-626,1.5,1.93,FPC-626,1.56,1.77,FPC-626,1.68,2.68,81458,5.6,7.03,85291,3.12,4.98,FPC-374,1.5,2.07,FPC-374,1.68,4.67,87247,9.08,10.02,81458,5.3,7.06,81458,5.5,6.31,81458,5.81,6.5,81458,5.6,9.33
36061001401,FPC-626,1.4,1.57,Plentiful-1200,1.15,1.45,FPC-626,1.48,2.29,85434,1.76,5.66,FPC-626,1.4,1.57,85193,0.94,1.2,FPC-626,1.48,2.22,85434,1.76,5.66,FPC-626,1.4,2.07,Plentiful-1200,1.15,1.47,FPC-626,1.48,1.67,85434,1.76,5.66,FPC-626,1.4,2.12,Plentiful-1200,1.15,1.47,FPC-626,1.48,2.29,85434,1.76,5.62,84743,0.95,1.62,84743,1.02,1.22,FPC-626,1.48,2.59,81458,5.64,7.04,85291,3.01,4.76,Plentiful-1200,1.15,1.79,FPC-374,1.64,4.51,87247,9.03,9.6,81458,5.33,7.01,81458,5.62,6.36,81458,5.77,6.63,81458,5.64,9.2
36061001402,85434,0.92,2.0,85434,0.91,1.51,85434,0.93,2.46,85434,0.91,5.22,85434,0.92,1.94,85434,0.91,1.43,85434,0.93,1.95,85434,0.91,5.22,85434,0.92,2.34,85434,0.91,1.83,FPC-625,0.32,1.24,85434,0.91,5.08,85434,0.92,2.39,85434,0.91,1.84,85434,0.93,2.83,85434,0.91,5.0,84743,0.44,1.71,84743,0.44,1.46,84461,3.34,3.63,81458,6.06,6.85,85291,2.49,4.22,Plentiful-1200,1.53,2.46,FPC-628,2.65,4.87,85351,7.94,9.03,81458,5.74,7.29,81458,5.96,6.6,81458,6.14,7.06,81458,6.06,9.44
36061001800,85481,0.55,1.02,85481,0.68,1.02,80491,1.23,1.63,85434,2.12,5.1,85481,0.55,1.02,85481,0.68,1.02,80491,1.23,1.63,85434,2.12,5.1,87318,0.99,1.17,87318,1.03,1.14,80491,1.23,1.43,85434,2.12,5.1,80491,1.14,1.33,Plentiful-1200,1.17,1.27,80491,1.23,1.63,85434,2.12,5.1,84461,0.38,0.93,84461,0.41,0.93,84461,0.41,1.04,81458,3.42,4.85,85291,1.51,3.22,FPC-374,1.12,1.19,FPC-374,1.11,3.17,87247,6.9,8.87,81458,3.22,5.51,81458,3.39,4.33,81458,3.45,5.08,81458,3.42,8.43
36061002201,FPC-627,1.7,1.89,FPC-627,1.73,1.82,FPC-627,1.73,2.41,85434,2.56,5.51,85310,1.52,1.66,85310,1.61,1.69,85450,1.15,1.64,85434,2.56,5.51,87318,1.67,1.99,87318,1.78,1.84,85450,1.15,1.55,85434,2.56,5.51,DSNY-BRS-1058,1.82,2.32,80813,1.81,2.09,85434,2.63,3.07,85434,2.56,5.51,85450,1.04,1.3,85450,1.12,1.35,84461,2.49,3.02,81458,4.77,5.56,85291,1.18,2.91,FPC-628,1.95,2.27,FPC-628,2.15,4.2,87247,7.08,9.08,81458,4.43,5.98,81458,4.68,5.33,81458,4.83,6.22,81458,4.77,8.16
36061002601,FPC-627,0.89,1.81,FPC-627,0.91,1.54,FPC-627,0.91,2.29,85434,2.74,5.53,DSNY-BRS-1075,1.27,1.66,DSNY-BRS-1075,1.35,1.51,85450,0.77,1.46,85434,2.74,5.53,87318,1.95,2.26,80813,1.49,1.92,85450,0.77,1.4,85434,2.74,5.53,DSNY-BRS-1058,2.09,2.59,80813,1.49,2.15,85434,2.82,3.32,85434,2.74,5.53,85450,0.76,1.21,85450,0.78,1.01,84461,2.76,3.3,87290,4.65,5.49,85291,1.28,2.79,81685,1.69,2.33,FPC-628,2.42,4.26,87247,6.77,9.06,81458,4.7,6.22,81458,4.96,5.54,81458,5.1,6.28,81458,5.05,8.24
36061002602,FPC-627,0.43,1.96,FPC-627,0.43,1.38,FPC-627,0.43,2.45,85434,3.23,5.72,DSNY-BRS-1075,1.11,1.85,80813,1.01,1.4,85450,1.26,1.94,85434,3.23,5.72,87318,2.42,2.73,80813,1.01,2.08,85450,1.26,1.88,85434,3.23,5.72,DSNY-BRS-1058,2.56,3.05,80813,1.01,2.31,85434,3.3,3.64,85434,3.23,5.72,85450,1.23,1.67,80813,1.01,1.18,84461,3.24,3.62,87290,4.51,5.56,81685,1.13,2.75,81685,1.2,2.49,FPC-628,2.91,4.54,87247,6.63,9.01,81458,5.17,6.38,81458,5.45,5.71,81458,5.59,6.56,81458,5.54,8.07
36061002800,FPC-627,1.02,2.55,FPC-627,1.03,1.83,FPC-627,1.03,2.6,85434,3.84,5.81,DSNY-BRS-1075,1.26,2.24,80813,1.18,1.65,85450,1.86,2.37,85434,3.84,5.81,87318,3.01,3.31,80813,1.18,2.54,85450,1.86,2.37,85434,3.84,5.81,DSNY-BRS-1058,3.15,3.58,80813,1.18,2.6,DSNY-BRS-2114,3.39,3.56,85434,3.84,5.81,85450,1.82,2.27,80813,1.18,1.64,DSNY-BRS-2114,3.39,3.54,87290,4.83,5.69,81685,0.97,2.72,81685,1.09,2.85,FPC-628,3.51,4.76,87247,6.08,8.83,81458,5.76,6.58,82798,5.53,5.83,81458,6.19,6.78,81458,6.15,7.87
