GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36061000100,85343,159.99,169.18,FPC-610,218.46,224.34,85517,172.06,176.46,83916,135.6,155.81,85437,161.16,164.83,83522,224.72,234.08,Plentiful-1396,159.05,164.16,FPC-24,134.2,142.52,85343,159.99,168.29,FPC-31,220.44,229.21,85517,172.06,174.53,83916,135.6,155.81,85343,159.99,164.92,85343,227.51,232.97,Plentiful-1396,159.05,168.05,83916,135.6,145.0,85498,164.02,170.92,85326,230.22,233.32,85326,165.19,168.62,83916,135.6,158.27,83916,203.05,215.78,83656,222.36,225.94,83916,203.93,218.17,83916,204.12,239.04,83916,203.71,226.26,FPC-27,200.47,205.08,83916,203.71,212.87,83916,203.84,219.56
36061000201,FPC-626,10.42,11.22,Plentiful-1200,8.48,10.17,FPC-626,10.56,13.41,85434,12.06,18.03,FPC-626,10.42,11.22,85193,6.15,8.4,FPC-626,10.56,13.1,85434,12.06,18.03,FPC-626,10.42,13.13,Plentiful-1200,8.48,10.36,FPC-625,8.98,10.53,85434,12.06,18.03,FPC-626,10.42,13.13,Plentiful-1200,8.48,10.36,FPC-626,10.56,13.41,85434,12.06,18.03,84743,7.42,10.71,84743,7.42,8.82,FPC-626,10.56,16.65,87290,21.87,23.35,85291,15.48,19.81,Plentiful-1200,8.48,11.57,FPC-374,12.32,17.94,87247,28.03,34.85,81458,23.36,27.94,80720,26.88,27.28,FPC-608,23.01,26.19,81458,24.53,32.7
36061000600,FPC-626,6.12,9.06,FPC-626,6.12,8.08,FPC-626,6.12,11.51,85434,15.37,18.74,FPC-626,6.12,9.06,FPC-626,6.12,7.52,FPC-626,6.12,11.51,85434,15.37,18.74,FPC-626,6.12,10.24,FPC-626,6.12,9.34,FPC-626,6.12,10.66,85434,15.37,18.74,FPC-626,6.12,10.95,FPC-626,6.12,9.34,FPC-626,6.12,11.51,85434,15.37,18.74,FPC-626,6.12,9.38,FPC-626,6.12,8.54,FPC-626,6.12,12.03,87290,17.15,18.63,85291,13.93,17.2,FPC-374,8.02,9.74,FPC-374,8.02,14.53,87247,23.31,31.52,81458,19.84,24.42,80720,22.17,22.97,FPC-608,18.3,21.65,81458,22.03,29.58
36061001401,85481,5.13,7.22,Plentiful-1200,2.37,4.85,FPC-626,6.8,10.53,85434,10.4,17.91,85481,5.13,7.22,Plentiful-1200,2.37,4.85,FPC-626,6.8,10.53,85434,10.4,17.91,FPC-626,6.8,9.84,Plentiful-1200,2.37,6.53,FPC-625,5.43,7.52,85434,10.4,17.91,FPC-626,6.8,9.97,Plentiful-1200,2.37,6.53,FPC-626,6.8,10.53,85434,10.4,17.91,84743,5.27,8.32,Plentiful-1200,2.37,5.03,FPC-626,6.8,11.62,87290,18.4,19.87,85291,9.8,14.86,Plentiful-1200,2.37,6.24,FPC-628,7.96,13.49,87247,24.55,30.87,81458,20.91,24.76,80720,23.41,23.85,FPC-608,19.54,22.84,81458,23.64,30.64
36061001402,85481,3.93,6.57,Plentiful-1200,3.44,4.66,85434,6.62,9.32,85434,6.62,14.91,85481,3.93,6.57,Plentiful-1200,3.44,4.66,85434,6.62,9.32,85434,6.62,14.91,85434,6.62,8.7,Plentiful-1200,3.44,6.89,FPC-625,2.56,6.61,85434,6.62,14.91,85434,6.62,8.7,Plentiful-1200,3.44,6.92,85434,6.62,9.32,85434,6.62,14.91,84743,4.19,7.89,Plentiful-1200,3.44,6.01,84461,10.38,10.57,87290,15.78,17.25,85291,9.91,14.07,Plentiful-1200,3.44,6.63,FPC-628,4.15,12.48,87247,21.9,27.84,81458,22.2,25.83,80720,20.79,21.42,FPC-608,19.42,20.72,81458,22.38,28.84
36061001800,85481,3.86,5.63,85481,3.86,5.65,FPC-626,6.25,8.47,85434,11.81,16.12,85481,3.86,5.63,85481,3.86,5.65,FPC-626,6.25,8.47,85434,11.81,16.12,87318,5.61,6.21,87318,5.61,6.23,FPC-626,6.25,7.22,85434,11.81,16.12,FPC-626,5.76,7.13,FPC-626,6.25,6.78,FPC-626,6.25,8.47,85434,11.81,16.12,84461,5.36,6.13,84461,5.36,6.15,84461,5.36,6.29,87290,15.26,16.56,85291,9.68,13.91,FPC-628,6.02,6.66,FPC-628,6.02,10.92,87247,21.79,27.0,81458,18.41,21.52,81458,18.41,19.25,81458,18.41,19.09,81458,18.41,25.37
36061002201,85434,2.54,7.95,85434,2.54,7.79,85434,2.54,9.53,85434,2.54,17.33,85434,2.54,7.85,85434,2.54,7.79,85434,2.54,8.38,85434,2.54,17.33,85434,2.54,8.04,85434,2.54,7.86,85434,2.54,5.45,85434,2.54,17.33,85434,2.54,9.36,85434,2.54,8.29,85434,2.54,10.97,85434,2.54,17.33,84743,5.12,7.57,84743,5.12,7.35,84461,13.4,14.59,87290,18.85,21.42,85291,9.66,14.27,FPC-628,6.45,9.68,FPC-628,6.45,16.99,87247,27.93,32.61,81458,21.46,25.86,81458,20.46,23.04,81458,22.44,24.6,81458,20.44,28.33
36061002601,FPC-627,6.08,8.91,FPC-627,6.08,7.25,FPC-627,6.08,10.38,85434,8.66,18.91,85310,6.74,7.7,85310,6.74,7.15,87046,5.42,10.16,85434,8.66,18.91,85434,8.66,10.68,80813,7.01,9.38,87046,5.42,8.55,85434,8.66,18.91,85434,8.66,12.08,80813,7.01,9.57,85434,8.66,14.26,85434,8.66,18.91,85450,5.34,9.52,85450,5.34,7.86,80491,16.4,16.87,87290,17.92,21.44,81685,6.62,11.63,81685,8.17,11.36,FPC-628,12.03,19.52,87247,26.94,30.99,81458,22.36,25.62,80720,20.81,22.28,81458,23.34,25.9,81458,21.34,26.79
36061002602,FPC-627,4.03,9.41,FPC-627,4.03,6.85,FPC-627,4.03,9.94,85434,11.12,17.55,DSNY-BRS-1075,6.1,8.91,80813,5.41,7.01,87046,6.1,10.62,85434,11.12,17.55,85434,11.12,12.5,80813,5.41,10.4,87046,6.1,10.5,85434,11.12,17.55,85434,11.12,12.7,80813,5.41,10.4,85434,11.12,13.84,85434,11.12,17.55,85450,6.56,11.13,80813,5.41,8.77,DSNY-BRS-2114,14.66,15.38,87290,15.66,19.68,81685,5.0,11.47,81685,5.19,11.31,FPC-628,13.45,19.34,87247,23.65,27.7,81458,24.14,25.27,80720,17.82,20.89,81735,24.79,25.9,81458,23.88,25.53
36061002800,FPC-627,4.75,9.69,80813,5.3,8.23,FPC-627,5.51,11.09,85434,13.43,17.92,DSNY-BRS-1075,7.24,9.85,80813,5.3,8.2,87046,6.6,11.45,85434,13.43,17.92,FPC-559,11.97,13.1,80813,5.3,11.04,87046,6.6,11.45,85434,13.43,17.92,FPC-559,11.97,13.21,80813,5.3,10.87,DSNY-BRS-2114,13.7,14.01,85434,13.43,17.92,85450,5.88,11.05,80813,5.3,8.84,DSNY-BRS-2114,13.7,14.18,87290,14.38,18.4,81685,3.55,11.05,81685,3.55,11.7,FPC-628,15.62,20.43,87247,22.55,26.6,82998,23.29,25.19,80720,16.73,19.79,81735,23.29,25.24,80518,25.15,25.43
