GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36061000100,85517,8.57,13.84,85517,8.57,22.08,85517,8.57,22.08,85517,8.57,44.59,85517,8.57,13.84,85517,8.57,22.08,85517,8.57,22.08,85517,8.57,44.59,85517,8.57,13.84,85517,8.57,22.08,85517,8.57,22.08,85517,8.57,44.59,85517,8.57,13.84,85517,8.57,22.08,85517,8.57,22.08,85517,8.57,44.59,85345,11.11,23.35,85471,21.85,31.59,85471,21.85,31.59,81458,38.73,53.14,85291,52.94,55.65,85345,11.11,30.95,FPC-374,36.87,52.05,87247,70.51,92.08,82998,35.83,54.62,82998,35.83,44.23,82998,35.83,45.59,81458,38.73,82.88
36061000201,FPC-626,10.63,12.34,Plentiful-1200,8.56,10.25,FPC-626,10.63,16.13,85434,14.83,37.79,FPC-626,10.63,12.34,85193,6.29,8.49,FPC-626,10.63,14.65,85434,14.83,37.79,FPC-626,10.63,15.1,Plentiful-1200,8.56,11.34,FPC-625,8.73,11.4,85434,14.83,37.79,FPC-626,10.63,16.13,Plentiful-1200,8.56,11.34,FPC-626,10.63,16.13,85434,14.83,37.79,84743,7.65,12.25,84743,7.65,8.95,FPC-626,10.63,18.24,81458,34.07,43.39,85291,20.76,30.43,Plentiful-1200,8.56,11.66,FPC-374,12.42,28.7,87247,59.67,79.23,82998,33.1,49.58,82998,33.1,40.06,82998,33.1,41.92,81458,34.07,68.76
36061000600,FPC-626,6.14,11.2,FPC-626,6.14,8.17,FPC-626,6.14,14.93,85434,18.5,36.54,FPC-626,6.14,11.2,FPC-626,6.14,8.17,FPC-626,6.14,14.93,85434,18.5,36.54,FPC-626,6.14,13.98,FPC-626,6.14,10.96,FPC-626,6.14,12.34,85434,18.5,36.54,FPC-626,6.14,14.93,FPC-626,6.14,11.36,FPC-626,6.14,14.93,85434,18.5,36.54,FPC-626,6.14,12.03,FPC-626,6.14,8.96,FPC-626,6.14,14.98,81458,30.59,40.52,85291,18.42,29.32,FPC-374,8.05,10.27,FPC-374,8.05,26.16,87247,57.11,77.13,82998,28.71,46.58,82998,28.71,36.58,82998,28.71,37.83,81458,30.59,67.25
36061001401,85481,5.4,8.41,Plentiful-1200,2.4,4.87,FPC-626,6.83,12.2,85434,13.0,35.01,85481,5.4,8.41,Plentiful-1200,2.4,4.87,FPC-626,6.83,12.2,85434,13.0,35.01,FPC-626,6.83,11.21,Plentiful-1200,2.4,7.41,FPC-625,4.99,8.27,85434,13.0,35.01,FPC-626,6.83,12.2,Plentiful-1200,2.4,7.41,FPC-626,6.83,12.2,85434,13.0,35.01,84743,6.0,9.32,Plentiful-1200,2.4,5.07,FPC-626,6.83,12.91,81458,27.88,37.31,85291,14.76,24.43,Plentiful-1200,2.4,6.28,FPC-628,8.01,23.36,87247,53.65,74.7,82998,27.33,44.06,82998,27.33,34.06,82998,27.33,36.62,81458,27.88,63.76
36061001402,85481,3.93,7.98,Plentiful-1200,3.45,5.55,85434,9.28,11.04,85434,9.28,33.8,85481,3.93,7.98,Plentiful-1200,3.45,5.55,85434,9.28,11.04,85434,9.28,33.8,85434,9.28,10.0,Plentiful-1200,3.45,7.57,FPC-625,2.73,7.58,85434,9.28,33.8,85434,9.28,11.04,Plentiful-1200,3.45,7.82,85434,9.28,11.04,85434,9.28,33.8,84743,4.21,8.75,Plentiful-1200,3.45,6.13,FPC-626,10.74,11.72,81458,24.3,33.57,85291,10.92,20.59,Plentiful-1200,3.45,6.65,FPC-628,4.16,22.11,87247,49.83,73.45,81458,24.3,41.03,81458,24.3,31.03,81458,24.3,35.67,81458,24.3,60.01
36061001800,85481,4.26,6.52,85481,4.26,6.27,80491,7.3,10.06,85434,14.88,32.55,85481,4.26,6.52,85481,4.26,6.27,80491,7.3,10.06,85434,14.88,32.55,87318,4.23,6.51,87318,4.23,6.26,80491,7.3,8.01,85434,14.88,32.55,80491,7.3,8.06,Plentiful-1200,7.25,7.51,80491,7.3,10.06,85434,14.88,32.55,84461,5.53,6.94,84461,5.53,6.69,84461,5.53,6.94,81458,18.48,27.92,85291,10.02,20.12,FPC-628,6.12,6.81,FPC-628,6.12,19.15,87247,44.27,68.13,81458,18.48,35.23,81458,18.48,25.24,81458,18.48,29.87,81458,18.48,54.64
36061002201,85434,1.75,8.06,85434,1.75,7.89,85434,1.75,9.08,85434,1.75,32.79,85434,1.75,7.91,85434,1.75,7.74,85434,1.75,7.44,85434,1.75,32.79,85434,1.75,8.28,85434,1.75,7.29,85434,1.75,4.77,85434,1.75,32.79,85434,1.75,9.95,85434,1.75,8.47,85434,1.75,10.88,85434,1.75,32.79,84743,5.66,8.57,84743,5.66,7.58,84461,14.17,15.02,87290,25.34,34.29,85291,9.53,19.23,FPC-628,7.05,11.0,FPC-628,7.05,24.59,87247,48.58,73.23,81458,28.95,43.37,81458,28.95,34.39,81458,28.95,39.02,81458,28.95,58.59
36061002601,FPC-627,5.96,9.44,FPC-627,5.96,6.88,FPC-627,5.96,11.03,85434,7.64,33.73,85310,6.89,7.47,85310,6.89,7.2,87046,4.78,10.64,85434,7.64,33.73,85434,7.64,12.26,80813,7.06,9.7,87046,4.78,8.09,85434,7.64,33.73,85434,7.64,13.96,80813,7.06,9.81,85434,7.64,16.39,85434,7.64,33.73,85450,6.52,10.81,85450,6.52,8.25,84461,19.48,19.82,87290,20.47,32.34,81685,9.34,15.67,81685,9.34,12.67,FPC-628,12.41,26.53,87247,43.55,71.43,81458,33.0,44.12,81458,33.0,35.66,81458,33.0,40.05,81458,33.0,56.02
36061002602,FPC-627,2.93,10.47,FPC-627,2.93,5.87,FPC-627,2.93,12.06,85434,10.7,33.07,DSNY-BRS-1075,5.13,8.52,80813,4.0,6.29,87046,7.83,13.69,85434,10.7,33.07,85434,10.7,15.32,80813,4.0,10.72,87046,7.83,11.15,85434,10.7,33.07,85434,10.7,17.02,80813,4.0,10.83,85434,10.7,18.75,85434,10.7,33.07,85450,9.55,13.86,80813,4.0,9.26,87290,19.22,21.44,87290,19.22,32.11,81685,6.28,14.75,81685,6.28,13.69,FPC-628,15.47,27.73,87247,41.04,70.59,81458,36.06,45.14,80720,35.1,36.8,81458,36.06,41.25,81458,36.06,55.0
36061002800,FPC-627,6.93,13.91,80813,5.87,9.19,FPC-627,6.93,13.56,85434,14.77,32.39,DSNY-BRS-1075,7.74,11.94,80813,5.87,8.98,87046,11.86,15.2,85434,14.77,32.39,85434,14.77,18.78,80813,5.87,13.21,87046,11.86,15.2,85434,14.77,32.39,85434,14.77,18.88,80813,5.87,12.64,85434,14.77,17.93,85434,14.77,32.39,85450,13.57,17.3,80813,5.87,12.58,DSNY-BRS-2114,18.98,20.01,87290,21.31,32.93,81685,4.03,14.79,81685,4.03,15.66,FPC-628,19.54,29.44,87247,38.0,69.58,81458,39.49,46.08,80720,32.11,35.59,81458,39.49,42.52,81458,39.49,53.43
