GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36085000300,85343,11.46,54.2,85343,11.46,16.01,83916,74.56,85.2,83916,74.56,74.56,85437,18.89,27.82,83522,11.4,18.13,85449,4.91,16.29,81559,60.8,65.54,85343,11.46,54.55,85343,11.46,16.79,84802,46.1,58.88,83916,74.56,74.56,85343,11.46,34.97,85343,11.46,18.15,Plentiful-1396,10.13,46.89,83916,74.56,95.41,83916,74.56,77.25,85326,20.37,57.55,85326,20.37,57.76,83916,74.56,74.56,83656,23.31,43.91,81047,19.69,25.62,83916,74.56,76.14,83916,74.56,74.56,83916,74.56,74.56,85326,20.37,49.91,85326,20.37,34.05,Plentiful-1511,40.88,40.88
36085000600,85343,35.26,37.1,85343,35.26,37.1,84301,38.02,75.58,83916,96.24,96.24,85356,27.44,29.23,81039,22.67,24.21,Plentiful-1345,23.76,33.79,FPC-710,39.61,58.72,85343,35.26,37.1,81039,22.67,31.98,84802,30.81,49.76,83916,96.24,96.24,85437,27.88,33.72,81039,22.67,26.09,84301,38.02,57.42,83916,96.24,118.65,84301,38.02,56.18,85326,28.63,34.89,85326,28.63,35.23,83916,96.24,96.24,85356,27.44,55.54,85356,27.44,34.39,83916,96.24,97.81,83916,96.24,96.24,83916,96.24,96.24,85326,28.63,69.17,Plentiful-1511,27.8,28.08,Plentiful-1511,27.8,27.8
36085000700,85343,19.3,52.82,FPC-610,9.27,14.86,83916,66.65,86.71,83916,66.65,66.65,85437,26.73,35.22,83522,15.85,24.86,Plentiful-1396,0.94,16.96,83916,66.65,67.03,85343,19.3,52.07,FPC-31,3.98,18.43,85361,52.36,57.65,83916,66.65,66.65,85343,19.3,37.56,85343,19.3,26.01,Plentiful-1396,0.94,39.99,83916,66.65,87.21,83916,66.65,79.94,85326,28.45,54.99,85326,28.45,54.99,83916,66.65,66.65,83656,27.76,45.37,81047,25.97,31.81,83916,66.65,68.83,83916,66.65,66.65,83916,66.65,66.65,85326,28.45,48.76,85326,28.45,41.98,Plentiful-1511,48.74,48.74
36085000800,84301,33.61,35.01,84301,33.61,35.01,84301,33.61,72.55,83916,95.65,95.65,85356,25.04,28.78,Plentiful-1345,22.9,23.89,Plentiful-1345,22.9,30.67,FPC-710,35.5,55.78,84301,33.61,35.01,81039,24.97,30.79,84802,27.51,47.72,83916,95.65,95.65,85437,30.24,32.55,Plentiful-1511,24.28,24.51,84301,33.61,57.26,83916,95.65,117.63,84301,33.61,51.93,85326,31.0,32.8,85326,31.0,33.14,83916,95.65,95.65,85356,25.04,54.98,85356,25.04,34.93,83328,95.28,95.46,83916,95.65,95.65,83916,95.65,95.65,85326,31.0,70.29,Plentiful-1511,24.28,26.52,Plentiful-1511,24.28,24.28
36085000900,85343,20.72,54.95,FPC-610,13.57,16.32,83916,70.95,87.86,83916,70.95,70.95,85437,28.15,35.93,83522,14.2,25.26,Plentiful-1396,8.61,20.61,81559,67.16,68.6,85343,20.72,55.3,FPC-31,13.2,22.45,85361,52.14,59.15,83916,70.95,70.95,85343,20.72,39.94,85343,20.72,27.43,Plentiful-1396,8.61,43.9,83916,70.95,91.5,83916,70.95,82.31,85326,29.87,58.32,85326,29.87,58.32,83916,70.95,70.95,83656,25.48,46.21,83656,25.48,31.29,83916,70.95,72.62,83916,70.95,70.95,83916,70.95,70.95,85326,29.87,50.59,85326,29.87,42.88,Plentiful-1511,49.38,49.38
36085001100,85343,12.81,46.35,Plentiful-1449,7.84,12.24,83916,62.11,77.37,83916,62.11,62.11,85437,20.24,26.0,83522,3.69,16.4,85449,10.25,19.14,81559,55.93,58.16,85343,12.81,46.7,85343,12.81,18.13,84802,43.16,50.51,83916,62.11,62.11,85343,12.81,31.72,85343,12.81,19.44,Plentiful-1396,14.62,41.0,83916,62.11,84.52,83916,62.11,72.56,85326,21.95,49.77,85326,21.95,51.34,83916,62.11,62.11,83656,13.08,35.57,83656,13.08,19.92,83916,62.11,63.68,83916,62.11,62.11,83916,62.11,62.11,85326,21.95,43.94,85326,21.95,32.77,Plentiful-1511,38.17,38.17
36085001700,85343,15.43,47.66,Plentiful-1449,10.56,16.19,83916,62.77,74.1,83916,62.77,62.77,85437,15.19,19.14,83522,6.31,13.0,85449,15.87,20.41,81559,48.17,53.21,85343,15.43,48.02,85343,15.43,18.96,84802,35.4,48.39,83916,62.77,62.77,85437,15.19,31.13,85437,15.19,16.04,Plentiful-1396,20.57,43.44,83916,62.77,85.18,83916,62.77,67.6,85326,16.97,48.55,85326,16.97,49.33,83916,62.77,62.77,83656,10.36,32.29,81047,7.38,13.83,83916,62.77,64.34,83916,62.77,62.77,83916,62.77,62.77,85326,16.97,42.97,85326,16.97,25.93,Plentiful-1511,30.41,30.41
36085002001,84301,25.6,32.68,84301,25.6,32.68,84301,25.6,64.8,83916,88.13,88.13,84301,25.6,26.89,84301,25.6,26.17,84301,25.6,26.97,FPC-710,27.98,48.27,84301,25.6,32.68,84301,25.6,28.45,84301,25.6,44.16,83916,88.13,88.13,84301,25.6,30.21,84301,25.6,26.63,84301,25.6,56.26,83916,88.13,110.11,84301,25.6,43.96,84301,25.6,30.49,84301,25.6,30.83,83916,88.13,88.13,85356,29.47,55.43,85356,29.47,40.3,83328,87.76,87.95,83916,88.13,88.13,83916,88.13,88.13,85326,40.27,69.46,Plentiful-1511,28.71,32.56,Plentiful-1511,28.71,28.71
36085002100,85343,7.21,43.86,85343,7.21,22.78,84301,62.18,77.17,83916,72.65,72.65,85437,2.33,12.18,85437,2.33,8.06,Plentiful-1345,17.28,21.24,81559,46.86,55.49,85343,7.21,43.86,85343,7.21,15.1,84802,30.36,49.8,83916,72.65,72.65,85437,2.33,23.91,85437,2.33,5.72,Plentiful-1396,25.76,48.27,83916,72.65,95.06,84301,62.18,65.67,85326,4.1,42.82,85326,4.1,43.16,83916,72.65,72.65,85356,17.77,36.67,81047,8.66,15.34,83916,72.65,74.22,83916,72.65,72.65,83916,72.65,72.65,85326,4.1,45.26,85326,4.1,17.6,Plentiful-1511,24.35,24.35
36085002700,85343,25.86,42.72,85343,25.86,38.26,84301,51.15,73.37,83916,81.16,81.16,85356,8.38,13.73,Plentiful-1345,4.69,6.73,Plentiful-1345,4.69,26.28,81559,37.02,51.77,85343,25.86,42.72,81039,13.16,29.39,84802,18.91,45.15,83916,81.16,81.16,85437,18.44,31.82,Plentiful-1511,12.89,12.98,Plentiful-1396,44.41,53.65,83916,81.16,103.57,84301,51.15,61.16,85326,19.32,40.54,85326,19.32,40.88,83916,81.16,81.16,85356,8.38,39.17,85356,8.38,19.17,83916,81.16,82.73,83916,81.16,81.16,83916,81.16,81.16,85326,19.32,56.01,Plentiful-1511,12.89,15.03,Plentiful-1511,12.89,12.89
