GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),174.791,85345,180.452,85471,182.101,81458,186.316,FPC-626,190.314,80491,191.824,84461,190.705,DSNY-BRS-1058,183.315,80720,188.801,84743,185.85,FPC-559,164.017,85498,191.751,85450,184.077,80493,184.78,87247,187.275,84055,180.036,Plentiful-1388,176.723,85521,180.871,85523,179.929,87369,181.985,85368,182.232,DSNY-BRS-1461,189.659,85203,173.958,81586,196.609,81324,187.597,81199
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),7.425,84743,10.424,FPC-626,18.959,84461,14.278,85450,20.18,80491,16.899,DSNY-BRS-1058,23.567,81458,24.617,FPC-559,22.586,85345,23.575,85471,20.461,84055,24.303,80720,24.615,87247,25.026,80493,27.358,Plentiful-1388,23.427,85521,26.263,85368,30.294,80421,35.01,81324,29.359,85523,29.954,87369,28.267,81199,32.662,DSNY-BRS-1461,29.891,FPC-167,32.539,FPC-659
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,9.834,84743,15.295,84461,15.464,80491,12.183,DSNY-BRS-1058,14.745,85450,18.851,81458,20.873,FPC-559,17.82,85345,18.809,85471,19.587,80720,21.736,84055,20.758,87247,20.465,80493,22.642,Plentiful-1388,18.711,85521,21.547,85368,24.643,85523,30.294,81324,26.292,80421,25.238,87369,28.729,81199,28.224,DSNY-BRS-1461,30.353,FPC-167,30.061,FPC-659
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),5.266,84743,6.804,FPC-626,12.908,84461,15.012,80491,13.351,DSNY-BRS-1058,12.879,85450,20.019,81458,21.361,FPC-559,20.956,84055,19.884,85471,18.895,85345,20.755,80720,21.926,87247,21.633,80493,23.81,Plentiful-1388,19.879,85521,22.715,85368,25.811,85523,26.406,87369,24.243,80421,29.59,81324,28.762,81199,28.549,DSNY-BRS-1461,30.386,FPC-167,26.569,FPC-659
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),4.189,84743,10.57,84461,9.165,FPC-626,10.307,DSNY-BRS-1058,11.164,85450,11.507,80491,18.997,FPC-559,16.975,81458,22.193,84055,17.711,80720,20.153,85471,16.78,85345,18.882,87247,18.589,80493,20.766,Plentiful-1388,16.835,85521,19.671,85368,22.767,85523,23.362,87369,20.844,80421,26.853,81199,26.348,DSNY-BRS-1461,25.801,81324,28.477,FPC-167,22.78,FPC-659
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),5.363,84461,7.268,80491,5.762,FPC-626,8.362,DSNY-BRS-1058,8.083,84743,13.89,85450,16.537,81458,17.692,FPC-559,17.273,80720,20.619,85471,22.111,84055,17.246,85345,18.444,87247,18.151,80493,19.974,Plentiful-1388,16.043,85521,18.879,85368,21.975,85523,22.924,87369,23.933,DSNY-BRS-1461,25.548,81199,27.172,FPC-167,18.531,80421,24.371,81324,30.338,80517
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),5.122,84743,6.508,85450,11.089,DSNY-BRS-1058,13.401,84461,15.236,FPC-626,14.449,80491,19.679,FPC-559,23.348,84055,21.39,81458,23.015,80720,24.502,87247,24.209,80493,26.651,85471,26.386,Plentiful-1388,22.455,85521,23.278,85345,25.291,85368,28.387,85523,27.403,80421,28.982,87369,29.777,81199,32.299,81324,31.401,FPC-167,30.992,DSNY-BRS-1461,29.278,FPC-659
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),5.336,85450,11.237,84743,11.988,DSNY-BRS-1058,16.382,84461,15.591,80491,15.68,FPC-626,15.77,FPC-559,19.597,84055,22.289,81458,19.106,80720,23.756,87247,24.162,80493,26.538,Plentiful-1388,23.354,85521,26.19,85368,28.258,85471,26.62,85523,25.634,85345,26.435,81199,29.083,87369,28.059,FPC-167,26.265,80421,30.955,DSNY-BRS-1461,33.663,81324,34.27,84540
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),6.557,85450,13.774,84743,13.912,DSNY-BRS-1058,18.306,84461,17.515,80491,13.068,FPC-559,16.895,84055,17.239,FPC-626,21.054,87247,16.404,80720,23.816,81458,21.46,80493,23.836,Plentiful-1388,21.26,85521,24.236,85368,23.918,85523,26.625,85471,23.733,81199,26.381,87369,25.357,FPC-167,22.932,85345,28.253,DSNY-BRS-1461,23.563,80421,30.961,81324,31.568,84540
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),5.885,85450,15.448,84743,15.575,DSNY-BRS-1058,16.837,84055,11.971,FPC-559,18.146,84461,17.938,80491,18.859,FPC-626,20.996,87247,21.309,80493,15.307,80720,20.163,85521,22.797,Plentiful-1388,22.719,81458,23.139,85368,22.821,85523,22.636,81199,24.26,FPC-167,25.284,87369,27.156,DSNY-BRS-1461,25.528,85471,22.466,80421,21.835,85345,29.864,81324,30.471,84540
