GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),178.833,85471,180.446,82998,178.999,81458,185.687,FPC-626,166.562,FPC-500,186.773,80491,189.618,84461,174.116,FPC-656,183.52,87290,184.074,80720
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),10.556,FPC-626,19.607,84461,19.782,80491,22.577,87290,23.849,81458,26.547,FPC-559,26.006,82998,26.003,85471,26.396,DSNY-BRS-2114,29.689,84055
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,14.891,84461,15.066,80491,17.861,87290,19.133,81458,22.446,82998,21.831,FPC-559,22.575,85471,20.189,80720,25.301,84055
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),6.804,FPC-626,13.596,84461,14.459,80491,19.102,87290,20.374,81458,23.072,FPC-559,23.687,82998,25.976,84055,20.243,DSNY-BRS-2114,23.343,85471
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),10.376,84461,10.672,FPC-626,10.67,80491,16.027,87290,19.997,FPC-559,17.299,81458,20.612,82998,24.457,84055,20.107,DSNY-BRS-2114,21.415,85490
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),5.363,84461,7.268,80491,6.249,FPC-626,15.589,87290,16.861,81458,19.559,FPC-559,19.566,82998,17.917,80720,20.048,85471,21.914,84055
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),13.401,84461,15.92,FPC-626,14.449,80491,21.021,87290,23.498,FPC-559,20.247,DSNY-BRS-2114,21.555,85490,25.003,84055,23.03,81458,26.343,82998
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),16.483,84461,16.403,80491,18.365,87290,17.905,FPC-626,17.729,DSNY-BRS-2114,18.82,85490,18.802,FPC-559,20.307,84055,23.929,81458,22.138,80720
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),14.659,DSNY-BRS-2114,15.75,85490,18.551,84461,18.471,80491,16.505,87290,15.732,FPC-559,17.237,84055,19.466,FPC-626,24.196,87247,19.068,80720
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),13.699,DSNY-BRS-2114,14.79,85490,16.277,84055,14.824,87290,14.051,FPC-559,20.903,84461,20.823,80491,21.818,FPC-626,23.236,87247,23.788,80493
36061003100,Manhattan,MN0102,-74.00381559584184,40.71531057200895,POINT (-74.00381569131154 40.71531053046602),POINT (-74.00381559584184 40.71531057200895),11.456,85471,14.241,82998,12.058,81458,13.769,FPC-626,16.871,84461,15.361,80491,15.607,87290,14.105,FPC-559,18.611,80720,21.825,84055
36061003200,Manhattan,MN0303,-73.98370701917263,40.72555328579269,POINT (-73.98370702842817 40.72555327845573),POINT (-73.98370701917263 40.72555328579269),13.476,87290,14.362,84461,14.531,80491,15.054,FPC-559,19.378,84055,15.337,FPC-626,15.459,DSNY-BRS-2114,16.767,85490,18.39,80720,21.512,81458
36061003300,Manhattan,MN0102,-74.00614634416432,40.71886214043471,POINT (-74.00614634471161 40.718862096530124),POINT (-74.00614634416432 40.71886214043471),6.807,82998,9.025,85471,8.138,81458,18.542,80491,20.708,84461,19.541,FPC-626,15.289,87290,10.943,80720,18.95,FPC-559,17.133,80493
36061003400,Manhattan,MN0303,-73.98145767697616,40.72900590859083,POINT (-73.98145767533329 40.729005907658376),POINT (-73.98145767697616 40.72900590859083),11.399,DSNY-BRS-2114,12.707,85490,15.967,84055,9.696,FPC-559,12.99,87290,17.509,80491,17.34,84461,19.726,87247,18.315,FPC-626,13.032,80720
