GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29,tt_30,fp_30,tt_31,fp_31,tt_32,fp_32,tt_33,fp_33,tt_34,fp_34,tt_35,fp_35,tt_36,fp_36,tt_37,fp_37,tt_38,fp_38,tt_39,fp_39,tt_40,fp_40,tt_41,fp_41,tt_42,fp_42,tt_43,fp_43,tt_44,fp_44,tt_45,fp_45,tt_46,fp_46,tt_47,fp_47,tt_48,fp_48,tt_49,fp_49
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),178.833,85471,180.446,82998,178.999,81458,185.687,FPC-626,166.562,FPC-500,186.773,80491,189.618,84461,174.116,FPC-656,183.52,87290,184.074,80720,182.423,FPC-559,189.688,80493,189.981,87247,188.673,84055,165.188,85326,190.769,85521,188.766,81735,186.649,DSNY-BRS-2114,187.957,85490,186.863,85523,190.724,87369,190.52,85368,186.328,FPC-488,194.663,81507,187.807,FPC-640,190.204,DSNY-BRS-1461,171.589,81586,197.014,85250,192.732,81199,195.623,85386,199.815,80421,189.064,81157,195.477,FPC-632,196.896,85468,195.477,Plentiful-1480,196.896,FPC-631,193.521,84761,197.442,FPC-190,191.558,DSNY-BRS-1459,168.037,84301,194.406,85530,167.532,FPC-619,140.788,84770,140.788,85424,137.409,83916,203.047,FPC-659,188.768,84146,198.65,FPC-444,200.249,FPC-639,202.951,85215
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),10.556,FPC-626,19.607,84461,19.782,80491,22.577,87290,23.849,81458,26.547,FPC-559,26.006,82998,26.003,85471,26.396,DSNY-BRS-2114,29.689,84055,27.704,85490,24.905,80720,26.076,87247,25.783,80493,30.242,FPC-488,27.614,85521,25.611,81735,27.365,85368,32.332,80421,30.461,85523,38.341,85250,32.16,87369,34.993,81199,36.099,81507,33.456,DSNY-BRS-1461,38.042,FPC-190,32.498,FPC-659,36.612,81157,40.71,84761,37.199,85530,33.913,85215,33.662,FPC-656,45.036,85483,44.829,85386,30.401,FPC-500,38.867,FPC-640,36.316,84146,36.914,DSNY-BRS-1459,36.685,FPC-186,41.367,81139,36.462,85363,37.148,85271,37.148,83956,37.148,85271,37.148,83956,46.198,FPC-444,47.797,FPC-639,48.616,83913,41.544,80324,44.735,FPC-632
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,14.891,84461,15.066,80491,17.861,87290,19.133,81458,22.446,82998,21.831,FPC-559,22.575,85471,20.189,80720,25.301,84055,21.941,DSNY-BRS-2114,23.249,85490,21.36,87247,21.067,80493,25.526,FPC-488,22.898,85521,20.895,81735,22.649,85368,25.745,85523,27.686,80421,27.444,87369,33.625,85250,31.383,81507,30.277,81199,28.74,DSNY-BRS-1461,35.166,FPC-190,29.622,FPC-659,31.896,81157,32.483,85530,35.994,84761,38.524,FPC-656,35.263,FPC-500,31.037,85215,40.113,85386,40.32,85483,34.174,DSNY-BRS-1459,34.151,FPC-640,31.6,84146,33.809,FPC-186,37.864,81139,41.482,FPC-444,32.432,85271,32.432,83956,32.432,85271,32.432,83956,33.586,85363,43.081,FPC-639,40.039,FPC-632,40.039,Plentiful-1480,43.9,83913
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),6.804,FPC-626,13.596,84461,14.459,80491,19.102,87290,20.374,81458,23.072,FPC-559,23.687,82998,25.976,84055,20.243,DSNY-BRS-2114,23.343,85471,21.551,85490,21.43,80720,22.601,87247,22.308,80493,24.139,85521,22.136,81735,26.767,FPC-488,23.89,85368,26.986,85523,28.685,87369,26.227,80421,31.518,81199,32.624,81507,29.656,DSNY-BRS-1461,34.866,85250,32.072,FPC-190,33.724,85530,26.528,FPC-659,33.137,81157,37.235,84761,41.561,85483,35.415,DSNY-BRS-1459,27.943,85215,39.064,FPC-656,41.354,85386,36.503,FPC-500,32.841,84146,35.392,FPC-640,37.979,81139,30.715,FPC-186,30.492,85363,33.673,85271,33.673,83956,33.673,85271,33.673,83956,42.723,FPC-444,44.322,FPC-639,45.141,83913,35.574,80324,46.022,84911
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),10.376,84461,10.672,FPC-626,10.67,80491,16.027,87290,19.997,FPC-559,17.299,81458,20.612,82998,24.457,84055,20.107,DSNY-BRS-2114,21.415,85490,18.355,80720,19.554,85471,19.526,87247,19.233,80493,21.064,85521,19.061,81735,20.815,85368,23.911,85523,26.65,FPC-488,25.61,87369,22.636,80421,28.443,81199,29.549,81507,26.906,DSNY-BRS-1461,31.897,85250,28.283,FPC-190,30.649,85530,22.739,FPC-659,38.486,85483,32.34,DSNY-BRS-1459,33.02,81157,37.118,84761,24.154,85215,36.609,FPC-656,34.19,81139,38.374,85386,32.724,84146,33.348,FPC-500,35.275,FPC-640,26.926,FPC-186,26.703,85363,33.556,83956,33.556,85271,33.556,83956,33.556,85271,42.606,FPC-444,44.205,FPC-639,31.785,80324,42.554,83913,42.233,84911
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),5.363,84461,7.268,80491,6.249,FPC-626,15.589,87290,16.861,81458,19.559,FPC-559,19.566,82998,17.917,80720,20.048,85471,21.914,84055,16.489,DSNY-BRS-2114,17.797,85490,19.088,87247,18.795,80493,20.059,85521,18.056,81735,19.81,85368,22.906,85523,25.172,87369,29.111,81507,24.984,FPC-488,24.864,DSNY-BRS-1461,27.508,81199,20.322,80421,29.583,85250,29.714,85530,29.001,FPC-190,31.004,DSNY-BRS-1459,23.361,FPC-659,38.048,85483,32.582,81157,36.68,84761,34.272,FPC-656,24.776,85215,34.684,81139,33.842,FPC-500,38.259,85386,34.837,FPC-640,32.286,84146,27.548,FPC-186,27.325,85363,33.118,83956,33.118,83956,33.118,85271,33.118,85271,42.168,FPC-444,43.767,FPC-639,36.327,83311,32.407,80324,41.083,80861
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),13.401,84461,15.92,FPC-626,14.449,80491,21.021,87290,23.498,FPC-559,20.247,DSNY-BRS-2114,21.555,85490,25.003,84055,23.03,81458,26.343,82998,24.086,80720,25.257,87247,24.964,80493,26.052,85471,26.795,85521,24.792,81735,26.546,85368,29.642,85523,32.672,FPC-488,29.195,80421,31.341,87369,33.424,81199,32.637,DSNY-BRS-1461,35.28,81507,38.456,85250,34.781,FPC-190,35.63,85530,29.237,FPC-659,44.217,85483,38.071,DSNY-BRS-1459,30.652,85215,39.042,81157,43.14,84761,40.688,81139,44.872,85386,38.746,84146,33.424,FPC-186,43.107,FPC-656,41.297,FPC-640,33.201,85363,39.578,85271,39.578,85271,39.578,83956,39.578,83956,39.846,FPC-500,38.283,80324,48.628,FPC-444,49.052,83913,50.227,FPC-639,48.731,84911
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),16.483,84461,16.403,80491,18.365,87290,17.905,FPC-626,17.729,DSNY-BRS-2114,18.82,85490,18.802,FPC-559,20.307,84055,23.929,81458,22.138,80720,26.156,87247,27.242,82998,25.863,80493,27.694,85521,25.691,81735,27.445,85368,30.567,85471,29.792,85523,31.585,81199,32.24,87369,35.293,FPC-488,30.435,80421,33.536,DSNY-BRS-1461,36.179,81507,33.811,85530,40.69,85250,39.296,FPC-190,45.116,85483,33.752,FPC-659,37.059,DSNY-BRS-1459,35.167,85215,36.45,81139,41.663,81157,45.761,84761,37.939,FPC-186,41.367,84146,49.387,85386,37.716,85363,42.221,FPC-656,42.199,85271,42.199,83956,42.199,83956,42.199,85271,43.918,FPC-640,39.698,80324,46.252,80861,45.011,83311,38.96,FPC-500,45.169,FPC-493,48.146,85379
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),14.659,DSNY-BRS-2114,15.75,85490,18.551,84461,18.471,80491,16.505,87290,15.732,FPC-559,17.237,84055,19.466,FPC-626,24.196,87247,19.068,80720,25.997,81458,24.899,80493,26.396,85521,29.31,82998,25.146,81735,25.737,85368,26.722,85523,30.627,85471,28.515,81199,30.618,87369,30.557,DSNY-BRS-1461,27.365,80421,34.557,81507,33.544,FPC-488,30.741,85530,42.23,85250,42.18,85483,40.857,FPC-190,35.313,FPC-659,33.989,DSNY-BRS-1459,33.38,81139,36.728,85215,43.209,81157,47.322,84761,39.5,FPC-186,42.913,84146,48.99,85386,39.277,85363,43.76,85271,43.76,85271,43.76,83956,43.76,83956,43.182,80861,45.548,83311,36.628,80324,42.099,FPC-493,39.151,FPC-656,45.076,85379,45.479,FPC-640,48.339,80801
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),13.699,DSNY-BRS-2114,14.79,85490,16.277,84055,14.824,87290,14.051,FPC-559,20.903,84461,20.823,80491,21.818,FPC-626,23.236,87247,23.788,80493,17.387,80720,25.436,85521,23.465,81735,25.057,81458,24.777,85368,27.962,82998,25.041,85523,27.555,81199,28.937,87369,28.876,DSNY-BRS-1461,28.946,85471,32.876,81507,25.684,80421,31.863,FPC-488,29.781,85530,40.499,85483,40.549,85250,40.429,FPC-190,32.308,DSNY-BRS-1459,37.665,FPC-659,31.699,81139,38.352,85215,42.249,81157,46.706,84761,40.197,FPC-186,41.953,84146,42.222,80861,40.211,85363,43.867,83311,41.139,FPC-493,44.116,85379,47.309,85386,43.896,85271,43.896,85271,43.896,83956,43.896,83956,34.947,80324,46.658,80801,43.625,FPC-567,38.191,FPC-656
