GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),172.057,85517,178.833,85471,180.446,82998,185.687,FPC-626,178.478,85340,186.773,80491,187.433,FPC-529,184.074,80720,182.423,FPC-559,195.456,85434
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),10.556,FPC-626,12.063,85434,19.782,80491,20.319,FPC-627,22.415,FPC-529,18.064,85340,26.547,FPC-559,26.006,82998,26.003,85471,26.396,DSNY-BRS-2114
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,15.494,85434,15.066,80491,21.162,FPC-627,17.699,FPC-529,13.348,85340,22.446,82998,21.831,FPC-559,22.575,85471,22.479,85517
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),6.804,FPC-626,10.314,85434,14.459,80491,18.901,FPC-627,18.94,FPC-529,23.072,FPC-559,23.687,82998,14.589,85340,25.976,84055,20.243,DSNY-BRS-2114
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),6.619,85434,10.672,FPC-626,10.67,80491,16.163,FPC-627,15.865,FPC-529,19.997,FPC-559,20.612,82998,24.457,84055,20.107,DSNY-BRS-2114,21.415,85490
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),7.268,80491,6.249,FPC-626,11.894,85434,15.427,FPC-529,18.537,FPC-627,19.559,FPC-559,19.566,82998,17.917,80720,20.048,85471,21.914,84055
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,11.614,FPC-627,15.92,FPC-626,14.449,80491,21.178,FPC-529,23.498,FPC-559,20.247,DSNY-BRS-2114,21.555,85490,25.003,84055,26.343,82998
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),6.084,FPC-627,8.656,85434,16.403,80491,17.905,FPC-626,17.729,DSNY-BRS-2114,18.82,85490,19.938,FPC-529,18.802,FPC-559,20.307,84055,27.027,85544
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),4.034,FPC-627,11.116,85434,14.659,DSNY-BRS-2114,15.75,85490,18.471,80491,15.732,FPC-559,17.237,84055,20.424,FPC-529,19.466,FPC-626,23.957,85544
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),5.509,FPC-627,14.268,85434,13.699,DSNY-BRS-2114,14.79,85490,16.277,84055,14.051,FPC-559,20.823,80491,22.997,85544,18.743,FPC-529,21.818,FPC-626
