GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29,tt_30,fp_30,tt_31,fp_31,tt_32,fp_32,tt_33,fp_33,tt_34,fp_34,tt_35,fp_35,tt_36,fp_36,tt_37,fp_37,tt_38,fp_38,tt_39,fp_39,tt_40,fp_40,tt_41,fp_41,tt_42,fp_42,tt_43,fp_43,tt_44,fp_44,tt_45,fp_45,tt_46,fp_46,tt_47,fp_47,tt_48,fp_48,tt_49,fp_49
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),246.768,80520,250.967,85291,240.255,80204,241.701,80749,240.317,FPC-634,224.927,85289,254.095,81685,245.82,87247,247.401,Plentiful-1388,248.564,85069,219.344,83656,253.964,87369,232.184,85356,253.149,DSNY-BRS-1461,255.117,85322,260.12,82022,256.031,81199,260.444,85351,261.353,83444,256.914,80296,256.914,85506,258.707,83543,254.6,FPC-75,261.991,84946,203.054,83916,263.248,FPC-659,203.182,83328,257.951,83993,262.024,80338,264.123,85257,257.409,DSNY-BRS-1104,267.337,85483,260.863,80321,261.184,FPC-485,265.161,83907,257.993,FPC-717,268.294,83311,284.209,85350,264.237,85346,266.698,85148,272.671,DSNY-BRS-2115,267.398,FPC-493,267.228,85379,269.192,81721,275.597,FPC-681,278.803,FPC-683,278.885,FPC-499,266.628,FPC-714,268.682,85491,264.846,85156
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),15.485,85291,20.221,81685,28.554,80520,28.473,80204,23.728,80749,28.081,87247,32.145,85069,29.662,Plentiful-1388,34.198,FPC-634,38.924,85351,36.286,87369,36.76,81199,35.844,DSNY-BRS-1461,35.172,FPC-659,42.218,82022,37.415,80338,40.875,83543,34.98,83993,45.041,85483,37.337,FPC-75,49.583,84946,45.086,85506,45.086,80296,37.958,DSNY-BRS-1104,52.133,83444,44.272,85322,48.445,80321,48.076,83907,59.999,85350,36.335,85289,41.266,85346,51.715,85257,51.292,85148,49.29,FPC-683,49.757,FPC-499,49.475,FPC-681,50.764,83311,47.947,FPC-493,47.777,85379,52.458,85491,61.422,DSNY-BRS-2115,57.853,FPC-717,57.442,FPC-485,47.018,85156,47.692,FPC-714,50.868,FPC-432,66.065,81721,50.723,85237,54.564,80745,52.511,83697
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),13.926,85291,18.662,81685,24.973,80520,19.012,80749,23.757,80204,23.365,87247,24.946,Plentiful-1388,27.429,85069,29.482,FPC-634,31.57,87369,35.936,85351,33.725,81199,31.128,DSNY-BRS-1461,37.502,82022,32.184,FPC-659,36.452,83543,35.547,80338,34.525,FPC-75,30.264,83993,40.325,85483,44.867,84946,40.37,85506,40.37,80296,35.146,DSNY-BRS-1104,39.556,85322,47.417,83444,43.729,80321,32.501,85289,43.36,83907,55.283,85350,46.999,85257,36.55,85346,46.576,85148,46.048,83311,47.422,FPC-683,47.889,FPC-499,47.635,FPC-681,45.135,FPC-493,44.965,85379,56.706,DSNY-BRS-2115,47.742,85491,53.137,FPC-717,52.726,FPC-485,44.206,85156,43.861,FPC-714,46.152,FPC-432,61.349,81721,46.007,85237,51.722,80745,47.795,83697
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),9.8,85291,14.536,81685,22.869,80520,20.253,80749,24.998,80204,24.606,87247,26.187,Plentiful-1388,28.67,85069,32.811,87369,30.723,FPC-634,33.239,85351,32.469,81199,31.387,DSNY-BRS-1461,37.511,82022,29.487,FPC-659,35.153,83543,36.277,FPC-75,41.566,85483,31.445,80338,31.505,83993,46.108,84946,34.46,DSNY-BRS-1104,41.611,85506,41.611,80296,48.658,83444,40.797,85322,56.524,85350,44.97,80321,42.209,83907,33.576,85289,37.791,85346,48.24,85257,47.289,83311,46.709,85148,44.449,FPC-493,42.04,85379,43.32,FPC-683,43.787,FPC-499,43.79,FPC-681,43.52,85156,46.618,85491,57.947,DSNY-BRS-2115,41.97,FPC-714,54.378,FPC-717,53.967,FPC-485,47.393,FPC-432,49.831,80745,62.59,81721,47.248,85237,47.859,81061
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),9.909,85291,14.645,81685,22.978,80520,17.663,80749,22.016,87247,23.597,Plentiful-1388,24.881,80204,28.553,85069,30.221,87369,32.362,81199,29.779,DSNY-BRS-1461,29.885,85351,30.606,FPC-634,36.153,82022,35.103,83543,26.133,FPC-659,34.944,FPC-75,38.976,85483,27.656,80338,31.388,83993,34.569,DSNY-BRS-1104,44.155,84946,41.494,85506,41.494,80296,53.934,85350,47.1,83444,40.68,85322,44.853,80321,38.42,83907,35.944,85346,44.699,83311,32.842,85289,44.558,FPC-493,43.411,85379,48.123,85257,39.531,FPC-683,39.998,FPC-499,42.92,85148,41.584,FPC-681,43.629,85156,42.512,FPC-714,42.829,85491,57.83,DSNY-BRS-2115,52.105,FPC-717,53.85,FPC-485,50.373,80745,44.71,FPC-432,47.968,81061,46.446,83697,46.756,85237
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),9.685,85291,14.512,81685,22.363,80520,17.545,80749,21.898,87247,22.636,Plentiful-1388,24.763,80204,28.957,87369,28.435,85069,26.595,DSNY-BRS-1461,28.207,81199,30.488,FPC-634,32.719,82022,27.635,85351,30.361,83543,32.806,FPC-75,23.883,FPC-659,38.858,85483,34.367,DSNY-BRS-1104,28.528,80338,31.27,83993,41.905,84946,39.672,85506,39.672,80296,53.816,85350,47.295,83444,40.562,85322,44.735,80321,39.292,83907,43.285,83311,32.907,85289,41.551,FPC-493,38.754,85379,36.816,85346,46.7,85257,40.428,FPC-683,40.895,FPC-499,43.792,85148,39.334,FPC-681,41.613,85156,37.178,FPC-714,43.701,85491,55.976,DSNY-BRS-2115,52.3,FPC-717,52.834,FPC-485,45.039,80745,47.332,81061,45.582,FPC-432,46.328,83697,62.355,81721
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),9.659,85291,10.545,81685,23.051,80520,22.614,80749,27.303,87247,29.282,Plentiful-1388,30.903,80204,34.575,85069,35.712,87369,31.22,81199,33.69,DSNY-BRS-1461,36.444,85351,36.628,FPC-634,39.814,82022,32.692,FPC-659,37.456,83543,44.399,85483,38.045,FPC-75,34.154,80338,37.41,83993,34.409,DSNY-BRS-1104,50.714,84946,59.956,85350,47.516,85506,47.516,80296,44.918,83907,50.875,80321,53.598,83444,46.702,85322,42.442,85346,48.835,83311,44.398,FPC-493,42.831,85379,46.029,FPC-683,46.496,FPC-499,43.489,FPC-681,49.418,85148,54.145,85257,37.964,85289,43.469,85156,44.273,FPC-714,49.327,85491,63.852,DSNY-BRS-2115,58.603,FPC-717,52.007,80745,59.872,FPC-485,51.208,FPC-432,47.808,81061,52.468,83697,53.153,85237
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),6.617,81685,9.586,85291,19.123,80520,18.686,80749,23.375,87247,25.354,Plentiful-1388,33.496,80204,27.292,81199,31.784,87369,31.53,DSNY-BRS-1461,37.168,85069,35.392,85351,36.62,82022,35.896,83543,39.221,FPC-634,40.471,85483,34.614,FPC-659,34.117,FPC-75,30.481,DSNY-BRS-1104,38.548,80338,40.003,83993,59.92,85350,52.636,84946,50.109,85506,50.109,80296,49.312,83907,44.907,83311,53.468,80321,40.47,FPC-493,38.903,85379,55.91,83444,42.821,85346,49.295,85322,42.767,FPC-683,42.849,FPC-499,39.561,FPC-681,50.905,85148,56.738,85257,39.541,85156,43.371,FPC-714,38.863,85289,46.666,85491,48.079,80745,63.681,DSNY-BRS-2115,43.88,81061,60.915,FPC-717,50.465,83697,53.065,FPC-432,62.465,FPC-485,50.586,85237
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),5.005,81685,12.336,85291,17.511,80520,17.074,80749,21.763,87247,23.742,Plentiful-1388,25.68,81199,30.172,87369,34.889,80204,29.918,DSNY-BRS-1461,38.58,85069,33.78,85351,35.008,82022,34.284,83543,38.859,85483,32.505,FPC-75,35.186,FPC-659,40.633,FPC-634,28.869,DSNY-BRS-1104,39.96,80338,41.415,83993,58.308,85350,54.048,84946,43.295,83311,50.811,85506,38.858,FPC-493,50.811,80296,37.291,85379,47.911,83907,54.764,80321,41.209,85346,54.298,83444,41.155,FPC-683,41.237,FPC-499,37.949,FPC-681,50.707,85322,49.293,85148,37.929,85156,57.44,85257,41.759,FPC-714,39.673,85289,45.054,85491,46.467,80745,42.268,81061,62.069,DSNY-BRS-2115,48.853,83697,51.453,FPC-432,59.303,FPC-717,48.974,85237,61.919,FPC-485
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),3.553,81685,13.616,85291,16.414,80520,15.977,80749,20.595,87247,22.645,Plentiful-1388,24.512,81199,29.004,87369,28.75,DSNY-BRS-1461,33.792,80204,40.087,85069,32.683,85351,33.911,82022,33.116,83543,37.762,85483,31.408,FPC-75,34.089,FPC-659,27.772,DSNY-BRS-1104,42.14,FPC-634,39.372,80338,57.211,85350,42.922,83993,54.211,84946,42.127,83311,37.761,FPC-493,36.123,85379,46.814,83907,49.714,85506,49.714,80296,53.667,80321,40.058,FPC-683,40.14,FPC-499,40.112,85346,36.852,FPC-681,53.201,83444,36.832,85156,52.214,85322,48.196,85148,40.662,FPC-714,56.343,85257,45.299,80745,38.576,85289,43.957,85491,41.171,81061,47.756,83697,60.972,DSNY-BRS-2115,50.356,FPC-432,44.228,85358,43.085,85353,43.377,85355
