GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),238.863,85345,252.526,FPC-374,244.414,FPC-656,255.728,Plentiful-1200,258.989,FPC-718,256.032,FPC-628,244.904,80236,233.04,84722,248.575,80204,260.361,80577
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),8.475,Plentiful-1200,13.911,FPC-628,12.32,FPC-374,24.94,FPC-718,22.395,81685,28.985,80204,23.71,85345,24.2,80749,28.553,87247,36.678,80236
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),9.187,Plentiful-1200,8.025,FPC-374,12.002,FPC-628,20.224,FPC-718,21.218,81685,19.72,85345,19.484,80749,24.269,80204,23.837,87247,31.962,80236
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),2.37,Plentiful-1200,7.958,FPC-628,8.392,FPC-374,16.443,81685,21.465,FPC-718,20.725,80749,20.382,85345,25.51,80204,25.078,87247,28.836,82798
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),4.152,FPC-628,3.441,Plentiful-1200,12.29,FPC-374,15.953,81685,21.348,FPC-718,17.608,80749,16.593,85345,21.961,87247,25.047,82798,28.107,80577
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),6.02,FPC-628,7.227,Plentiful-1200,6.739,FPC-374,15.82,81685,17.49,80749,21.23,FPC-718,17.087,85345,21.843,87247,27.989,80577,22.267,82798
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),6.452,FPC-628,10.166,Plentiful-1200,12.411,81685,17.508,FPC-374,27.37,FPC-718,23.63,80749,28.331,82798,27.983,87247,29.867,Plentiful-1388,27.018,81735
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),8.171,81685,11.721,FPC-628,14.197,Plentiful-1200,18.935,FPC-374,20.516,80749,25.997,82798,29.488,FPC-718,27.481,87247,30.135,Plentiful-1388,27.802,81735
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),5.189,81685,13.13,FPC-628,15.606,Plentiful-1200,20.344,FPC-374,23.015,82798,17.534,80749,24.499,87247,30.897,FPC-718,27.153,Plentiful-1388,24.82,81735
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),3.553,81685,15.291,FPC-628,17.767,Plentiful-1200,21.734,82798,22.505,FPC-374,16.253,80749,23.218,87247,23.539,81735,25.872,Plentiful-1388,33.058,FPC-718
