GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),254.801,87247,258.199,81199,263.981,85351,204.124,83916,266.85,84949,264.342,FPC-482,278.583,83630,265.126,FPC-624,276.108,FPC-432,282.769,FPC-605,285.493,85357,293.286,85251
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),28.026,87247,39.52,85351,37.009,81199,50.288,84949,43.385,FPC-482,48.6,83630,43.936,FPC-624,50.136,FPC-432,54.011,FPC-605,65.319,85251,64.536,85357,65.892,83916
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),23.31,87247,37.997,85351,33.261,81199,45.572,84949,40.565,FPC-482,47.855,83630,41.116,FPC-624,45.42,FPC-432,49.295,FPC-605,60.603,85251,61.438,83916,61.716,85357
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),24.551,87247,33.55,85351,34.502,81199,46.813,84949,42.339,FPC-482,42.63,83630,44.389,FPC-624,46.661,FPC-432,50.536,FPC-605,60.019,85251,63.49,85357,62.513,83916
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),21.905,87247,31.856,81199,29.761,85351,46.696,84949,41.701,FPC-482,38.841,83630,40.866,FPC-624,44.26,FPC-432,47.89,FPC-605,56.23,85251,61.125,85357,62.022,83916
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),21.787,87247,27.593,81199,31.629,85351,40.548,FPC-482,46.578,84949,40.709,83630,39.769,FPC-624,46.128,FPC-432,47.772,FPC-605,60.377,85357,58.098,85251,62.516,83916
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),27.927,87247,33.63,81199,36.259,85351,52.718,84949,46.905,FPC-482,43.953,83630,42.365,FPC-624,50.758,FPC-432,53.912,FPC-605,62.728,85251,67.147,85357,68.52,83916
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),26.943,87247,29.837,81199,36.195,85351,42.972,FPC-482,55.344,84949,40.02,83630,38.432,FPC-624,54.24,FPC-432,55.466,FPC-605,64.123,85357,66.774,85251,70.219,83916
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),23.65,87247,26.544,81199,32.902,85351,39.679,FPC-482,56.755,84949,36.727,83630,35.139,FPC-624,50.947,FPC-432,52.947,FPC-605,60.83,85357,64.305,85251,70.941,83916
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),22.553,87247,25.447,81199,31.805,85351,38.582,FPC-482,56.508,84949,35.63,83630,34.042,FPC-624,49.85,FPC-432,51.85,FPC-605,59.733,85357,63.469,85251,69.844,83916
36061003100,Manhattan,MN0102,-74.00381559584184,40.71531057200895,POINT (-74.00381569131154 40.71531053046602),POINT (-74.00381559584184 40.71531057200895),22.203,87247,24.655,81199,37.026,85351,45.325,84949,33.21,FPC-482,45.039,83630,31.582,FPC-624,45.737,FPC-432,49.39,FPC-605,51.864,83916,54.361,85357,61.761,85251
36061003200,Manhattan,MN0303,-73.98370701917263,40.72555328579269,POINT (-73.98370702842817 40.72555327845573),POINT (-73.98370701917263 40.72555328579269),23.951,87247,27.362,81199,33.203,85351,39.98,FPC-482,52.194,84949,37.028,83630,36.083,FPC-624,51.248,FPC-432,52.239,FPC-605,61.131,85357,63.547,85251,68.929,83916
36061003300,Manhattan,MN0102,-74.00614634416432,40.71886214043471,POINT (-74.00614634471161 40.718862096530124),POINT (-74.00614634416432 40.71886214043471),18.766,87247,28.902,81199,38.737,85351,29.998,FPC-482,45.583,84949,37.435,FPC-624,46.257,83630,43.92,FPC-432,46.668,FPC-605,54.414,83916,51.134,85357,57.976,85251
