GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),234.393,81698,245.685,82998,244.754,81458,250.846,80720,248.01,83348,226.543,85326,252.934,81735,257.307,82798,259.074,87369,258.39,DSNY-BRS-1461,260.761,85172,259.845,81199,211.803,FPC-620,260.862,84151,260.032,80730,260.032,81119,260.149,84273,202.977,83916,269.521,84949,200.474,FPC-27,261.561,83993,250.431,81564,270.855,81987,276.853,85338,276.89,DSNY-BRS-1309
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),27.858,81458,28.736,82998,26.882,80720,32.545,83348,32.914,82798,33.226,81698,27.088,81735,36.67,87369,38.372,81199,35.816,DSNY-BRS-1461,44.088,85172,43.235,84151,34.604,83993,42.083,84273,41.966,80730,41.966,81119,51.894,84949,53.399,81987,49.603,83630,49.798,83311,49.761,FPC-493,58.687,85338,58.073,DSNY-BRS-1309,48.107,FPC-714,54.279,FPC-397
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),24.362,81458,25.624,82998,22.166,80720,28.51,81698,28.198,82798,27.829,83348,22.372,81735,31.954,87369,33.656,81199,31.1,DSNY-BRS-1461,39.372,85172,38.519,84151,29.888,83993,38.148,84273,38.031,80730,38.031,81119,47.178,84949,48.683,81987,45.082,83311,48.84,83630,47.113,FPC-493,53.971,85338,53.357,DSNY-BRS-1309,43.833,FPC-714,54.94,85326
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),24.54,81458,26.323,82998,23.407,80720,29.439,82798,23.613,81735,29.751,81698,29.07,83348,33.195,87369,34.761,81199,31.387,DSNY-BRS-1461,40.613,85172,39.76,84151,39.389,84273,39.272,80730,39.272,81119,31.129,83993,48.419,84949,49.924,81987,46.323,83311,43.608,FPC-493,43.633,83630,55.212,85338,54.598,DSNY-BRS-1309,41.97,FPC-714,49.2,FPC-397
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),22.466,81458,22.534,82998,20.79,80720,26.269,82798,20.996,81735,28.952,83348,29.633,81698,30.578,87369,31.727,81199,29.724,DSNY-BRS-1461,36.772,84273,36.655,80730,36.655,81119,39.81,85172,39.642,84151,31.011,83993,48.301,84949,49.806,81987,43.706,83311,45.152,FPC-493,39.844,83630,42.457,FPC-714,55.094,85338,54.48,DSNY-BRS-1309,48.187,FPC-397
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),18.406,81458,19.566,82998,20.672,80720,22.502,82798,19.787,81735,29.515,81698,29.369,87369,28.834,83348,26.595,DSNY-BRS-1461,27.96,81199,34.61,80730,34.61,81119,34.727,84273,40.304,85172,39.524,84151,30.893,83993,48.183,84949,43.588,83311,40.322,FPC-493,49.688,81987,41.712,83630,37.178,FPC-714,54.976,85338,54.362,DSNY-BRS-1309,44.408,FPC-397
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),20.463,81458,23.953,82998,24.711,80720,25.94,82798,25.882,81735,34.974,83348,35.464,87369,31.398,81199,32.69,DSNY-BRS-1461,35.655,81698,40.822,84273,40.705,80730,40.705,81119,46.308,85172,45.664,84151,37.033,83993,54.323,84949,49.383,83311,55.828,81987,44.248,FPC-493,44.603,83630,43.273,FPC-714,61.116,85338,60.502,DSNY-BRS-1309,50.503,FPC-397
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),24.664,82798,21.362,81458,20.808,80720,24.852,82998,26.143,81735,30.122,81199,34.662,87369,33.589,DSNY-BRS-1461,37.343,83348,38.024,81698,38.182,84273,38.065,81119,38.065,80730,39.402,83993,48.886,85172,48.033,84151,47.992,83311,56.692,84949,42.121,FPC-493,58.197,81987,40.7,83630,44.172,FPC-714,63.485,85338,62.871,DSNY-BRS-1309,51.402,FPC-397
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),21.681,82798,17.825,80720,23.779,81458,27.269,82998,23.16,81735,27.139,81199,31.679,87369,31.268,DSNY-BRS-1461,38.754,83348,39.435,81698,35.199,84273,35.082,81119,35.082,80730,40.813,83993,47.858,85172,49.444,84151,45.009,83311,39.138,FPC-493,58.103,84949,37.717,83630,58.193,81987,43.26,FPC-714,63.477,85338,64.106,DSNY-BRS-1309,48.99,FPC-397
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),20.584,82798,16.728,80720,22.063,81735,25.944,81458,26.744,82998,26.042,81199,30.582,87369,30.171,DSNY-BRS-1461,38.409,83348,34.102,84273,41.6,81698,33.985,80730,33.985,81119,42.978,83993,46.761,85172,49.476,84151,43.912,83311,39.163,FPC-493,57.821,84949,36.62,83630,57.096,81987,42.163,FPC-714,47.893,FPC-397,62.38,85338,63.009,DSNY-BRS-1309
