GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),259.859,82998,258.735,81458,259.863,FPC-608,257.804,80289,229.236,85326,266.834,81735,272.997,87369,228.203,Plentiful-1511,228.203,FPC-609,271.399,DSNY-BRS-1461
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),23.014,FPC-608,28.466,81458,29.396,82998,31.606,80289,27.088,81735,36.457,87369,38.137,81199,35.816,DSNY-BRS-1461,36.926,80518,54.17,FPC-444
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),24.283,81458,24.863,82998,18.298,FPC-608,26.89,80289,22.372,81735,31.741,87369,33.421,81199,31.1,DSNY-BRS-1461,32.921,80518,49.454,FPC-444
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),25.376,81458,25.534,82998,19.539,FPC-608,28.131,80289,23.613,81735,32.982,87369,34.505,81199,31.387,DSNY-BRS-1461,33.682,80518,50.695,FPC-444
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),22.02,81458,21.745,82998,19.421,FPC-608,20.996,81735,28.013,80289,30.365,87369,30.716,81199,29.724,DSNY-BRS-1461,29.893,80518,50.577,FPC-444
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),18.406,81458,19.566,82998,19.303,FPC-608,19.787,81735,27.895,80289,29.156,87369,26.595,DSNY-BRS-1461,27.725,81199,28.99,80518,50.459,FPC-444
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),22.437,81458,25.927,82998,25.443,FPC-608,26.647,81735,34.035,80289,36.016,87369,32.737,81199,34.664,DSNY-BRS-1461,34.002,80518,56.599,FPC-444
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),23.336,81458,26.826,82998,27.546,81735,27.95,FPC-608,31.927,81199,35.63,87369,36.542,80289,35.359,DSNY-BRS-1461,30.62,80518,49.118,83311
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),25.852,81458,29.342,82998,24.787,81735,28.367,81199,29.322,FPC-608,32.07,87369,31.799,DSNY-BRS-1461,37.914,80289,27.06,80518,45.558,83311
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),23.29,81735,28.022,81458,28.544,82998,26.87,81199,30.573,87369,30.302,DSNY-BRS-1461,25.563,80518,31.492,FPC-608,38.736,80289,44.061,83311
36061003100,Manhattan,MN0102,-74.00381559584184,40.71531057200895,POINT (-74.00381569131154 40.71531053046602),POINT (-74.00381559584184 40.71531057200895),12.492,82998,11.93,81458,21.992,FPC-608,19.394,81735,26.839,80289,26.898,87369,25.701,DSNY-BRS-1461,25.177,81199,21.898,80518,37.063,FPC-632
36061003200,Manhattan,MN0303,-73.98370701917263,40.72555328579269,POINT (-73.98370702842817 40.72555327845573),POINT (-73.98370701917263 40.72555328579269),22.314,81458,25.804,82998,24.632,81735,31.915,87369,27.534,81199,24.927,FPC-608,31.644,DSNY-BRS-1461,27.604,80518,33.519,80289,45.403,83311
36061003300,Manhattan,MN0102,-74.00614634416432,40.71886214043471,POINT (-74.00614634471161 40.718862096530124),POINT (-74.00614634416432 40.71886214043471),7.194,82998,7.815,81458,22.088,FPC-608,17.579,81735,21.87,87369,26.969,80289,17.952,DSNY-BRS-1461,28.902,81199,28.626,80518,35.858,83311
36061003400,Manhattan,MN0303,-73.98145767697616,40.72900590859083,POINT (-73.98145767533329 40.729005907658376),POINT (-73.98145767697616 40.72900590859083),19.532,81735,24.341,81458,24.786,82998,26.815,87369,23.804,81199,26.544,DSNY-BRS-1461,22.497,80518,27.905,FPC-608,34.978,80289,40.303,83311
36061003601,Manhattan,MN0302,-73.9911271645957,40.72231932780311,POINT (-73.99112716050642 40.72231932551375),POINT (-73.9911271645957 40.72231932780311),17.439,81458,20.929,82998,18.957,81735,20.382,FPC-608,28.326,87369,27.685,DSNY-BRS-1461,28.974,80289,26.189,81199,27.454,80518,41.667,83311
36061003602,Manhattan,MN0303,-73.99020046176119,40.724560375260566,POINT (-73.99020044930231 40.7245603764933),POINT (-73.99020046176119 40.72456037526057),16.171,81458,19.661,82998,19.393,81735,28.762,87369,20.818,FPC-608,27.529,DSNY-BRS-1461,22.986,81199,29.41,80289,24.251,80518,42.103,83311
36061003700,Manhattan,MN0201,-74.0074867941145,40.726278564944955,POINT (-74.0074867844917 40.726278558965056),POINT (-74.0074867941145 40.72627856494496),4.267,82998,4.315,81458,17.279,81735,21.788,87369,26.081,FPC-608,18.893,DSNY-BRS-1461,26.89,81199,29.962,80289,25.583,80518,35.276,83311
36061003900,Manhattan,MN0102,-74.0107807590449,40.72079553570638,POINT (-74.0107807731053 40.72079547237539),POINT (-74.01078075904491 40.72079553570638),10.008,82998,11.725,81458,25.643,FPC-608,21.134,81735,25.425,87369,22.98,DSNY-BRS-1461,30.524,80289,32.457,81199,33.02,80518,39.413,83311
36061004001,Manhattan,MN0303,-73.9849021192912,40.730264485255454,POINT (-73.98490213004057 40.730264478967435),POINT (-73.98490211929121 40.73026448525545),22.867,81458,21.067,81735,25.405,82998,28.35,87369,28.079,DSNY-BRS-1461,24.044,81199,22.737,80518,29.029,FPC-608,36.513,80289,41.838,83311
36061004002,Manhattan,MN0303,-73.98720895456378,40.73124230289812,POINT (-73.98720896594332 40.73124229637703),POINT (-73.98720895456378 40.73124230289812),21.989,81458,18.151,81735,24.147,82998,26.176,87369,25.608,DSNY-BRS-1461,21.196,81199,19.889,80518,26.176,FPC-608,33.597,80289,39.664,83311
36061004100,Manhattan,MN0201,-73.99669598277335,40.7191636873842,POINT (-73.99669600087324 40.71916366692359),POINT (-73.99669598277335 40.7191636873842),14.738,81458,14.143,82998,27.385,FPC-608,18.151,81735,27.52,87369,26.282,80289,24.959,DSNY-BRS-1461,24.174,81199,25.439,80518,42.183,83311
36061004300,Manhattan,MN0201,-73.99546720645795,40.723324400824275,POINT (-73.99546719978427 40.723324396693656),POINT (-73.99546720645795 40.72332440082427),11.47,81458,14.819,82998,16.663,81735,23.096,FPC-608,26.032,87369,23.058,DSNY-BRS-1461,21.388,81199,28.995,80289,22.653,80518,40.695,83311
36061004500,Manhattan,MN0201,-73.99939082189476,40.72057033019494,POINT (-73.99939084546835 40.72057031667378),POINT (-73.99939082189476 40.72057033019494),11.361,81458,10.458,82998,25.61,FPC-608,16.418,81735,25.445,87369,23.863,80289,23.875,DSNY-BRS-1461,22.535,81199,23.8,80518,41.179,83311
36061005200,Manhattan,MN0501,-73.99045862330036,40.73743473648013,POINT (-73.99045864282371 40.73743472095588),POINT (-73.99045862330036 40.73743473648013),11.682,81735,20.892,81458,21.301,82998,20.709,87369,19.139,DSNY-BRS-1461,19.183,81199,17.876,80518,27.042,FPC-608,27.128,80289,38.037,83311
36061005400,Manhattan,MN0501,-73.99367779133667,40.73881207743306,POINT (-73.99367780718457 40.738812069516676),POINT (-73.99367779133667 40.73881207743306),11.65,81735,18.129,81458,16.02,82998,20.494,87369,15.778,DSNY-BRS-1461,23.003,81199,23.233,80518,27.568,FPC-608,32.657,80289,36.426,83311
36061005501,Manhattan,MN0202,-73.99708180830041,40.727672610534896,POINT (-73.99708181650152 40.72767260351943),POINT (-73.99708180830041 40.7276726105349),11.357,81458,14.75,82998,18.022,81735,26.158,87369,24.83,DSNY-BRS-1461,24.455,FPC-608,21.627,81199,22.892,80518,31.099,80289,39.146,83311
36061005502,Manhattan,MN0202,-73.99387212712992,40.726223496692796,POINT (-73.99387212794875 40.72622349092178),POINT (-73.99387212712992 40.7262234966928),13.37,81458,16.418,82998,16.313,81735,25.682,87369,22.746,FPC-608,23.121,DSNY-BRS-1461,18.454,81199,19.719,80518,27.926,80289,40.345,83311
36061005800,Manhattan,MN0501,-73.99051618494464,40.74315158928294,POINT (-73.99051620582514 40.74315157654082),POINT (-73.99051618494464 40.74315158928294),9.592,81735,20.536,87369,17.056,DSNY-BRS-1461,21.441,81458,19.332,82998,19.512,81199,21.801,80518,28.468,FPC-608,36.088,80289,35.558,83311
36061006300,Manhattan,MN0202,-73.99686078482694,40.734421701854465,POINT (-73.99686080680512 40.734421687788746),POINT (-73.99686078482694 40.73442170185447),13.878,81458,12.608,82998,14.017,81735,20.852,87369,17.366,DSNY-BRS-1461,21.768,81199,23.033,80518,26.07,FPC-608,31.451,80289,33.84,83311
36061006500,Manhattan,MN0202,-73.99957850679242,40.72996721995922,POINT (-73.99957852694195 40.729967207054514),POINT (-73.99957850679242 40.72996721995922),8.753,81458,12.243,82998,15.501,81735,20.653,87369,20.327,DSNY-BRS-1461,26.048,81199,25.871,FPC-608,27.313,80518,31.252,80289,33.641,83311
36061006700,Manhattan,MN0203,-74.00412224839053,40.73045257093796,POINT (-74.0041222640263 40.730452565666816),POINT (-74.00412224839053 40.73045257093796),8.072,81458,6.816,82998,16.266,81735,21.418,87369,18.117,DSNY-BRS-1461,26.636,FPC-608,27.45,81199,28.724,80518,31.725,80289,34.406,83311
36061006800,Manhattan,MN0602,-73.98407917312461,40.740437329601995,POINT (-73.98407919747356 40.740437312260795),POINT (-73.98407917312461 40.740437329602),14.683,81735,24.322,87369,21.007,DSNY-BRS-1461,16.192,81199,21.401,81458,23.249,82998,17.457,80518,30.823,FPC-608,35.164,80289,39.153,83311
36061006900,Manhattan,MN0203,-74.00999837601391,40.73037892172992,POINT (-74.0099984141012 40.73037892288804),POINT (-74.00999837601391 40.73037892172992),11.876,82998,12.915,81458,22.779,81735,26.884,87369,23.279,DSNY-BRS-1461,33.149,FPC-608,31.986,81199,30.679,80518,37.869,80289,40.372,83311
36061007001,Manhattan,MN0603,-73.97582432610801,40.74270836386233,POINT (-73.97582433797677 40.742708355759014),POINT (-73.97582432610801 40.74270836386233),4294967.295,81735,4294967.295,81199,4294967.295,DSNY-BRS-1461,4294967.295,80518,4294967.295,87369,4294967.295,81458,4294967.295,82998,4294967.295,FPC-608,4294967.295,80289,4294967.295,83311
36061007002,Manhattan,MN0603,-73.97813139634542,40.74367558303793,POINT (-73.97813140696958 40.74367557672451),POINT (-73.97813139634542 40.74367558303793),13.933,81735,15.529,81199,21.123,DSNY-BRS-1461,22.364,87369,16.794,80518,24.738,81458,27.907,82998,34.16,FPC-608,39.341,83311,38.501,80289
36061007100,Manhattan,MN0203,-73.99991361124717,40.73544661959126,POINT (-73.99991364404127 40.735446590951895),POINT (-73.99991361124717 40.73544661959126),12.314,81458,10.194,82998,14.103,81735,18.964,87369,15.748,DSNY-BRS-1461,25.393,81199,24.165,80518,26.009,FPC-608,31.39,80289,32.306,83311
