GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),244.637,81458,227.417,FPC-609,227.417,Plentiful-1511,260.394,81199,257.38,80518,203.841,83916
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),24.532,81458,38.294,81199,35.28,80518,44.996,FPC-624,52.556,FPC-609,52.556,Plentiful-1511
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),22.029,81458,33.921,81199,32.777,80518,42.493,FPC-624,48.432,FPC-609,48.432,Plentiful-1511
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),23.635,81458,33.67,81199,34.617,80518,45.133,FPC-624,49.507,FPC-609,49.507,Plentiful-1511
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),22.384,81458,32.141,81199,32.0,80518,41.879,FPC-624,47.879,FPC-609,47.879,Plentiful-1511
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),18.406,81458,28.225,81199,29.49,80518,41.628,FPC-624,48.374,FPC-609,48.374,Plentiful-1511
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),20.437,81458,31.637,81199,32.902,80518,42.625,FPC-624,54.377,FPC-609,54.377,Plentiful-1511
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),21.336,81458,29.811,81199,29.226,80518,38.942,FPC-624,55.3,FPC-609,55.3,Plentiful-1511
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),23.879,81458,26.651,81199,26.066,80518,35.782,FPC-624,56.577,FPC-609,56.577,Plentiful-1511
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),25.394,81458,25.737,81199,25.152,80518,34.868,FPC-624,56.793,FPC-609,56.793,Plentiful-1511
36061003100,Manhattan,MN0102,-74.00381559584184,40.71531057200895,POINT (-74.00381569131154 40.71531053046602),POINT (-74.00381559584184 40.71531057200895),11.0,81458,26.257,81199,23.243,80518,32.959,FPC-624,37.894,FPC-609,37.894,Plentiful-1511
