GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),173.6,85517,174.791,85345,180.452,85471,175.053,FPC-215,189.172,85119,181.662,80373,186.316,FPC-626,190.314,80491,190.705,DSNY-BRS-1058,183.315,80720,185.85,FPC-559,191.565,85434,180.588,FPC-205,184.077,80493,159.991,85343,184.78,87247,187.275,84055,177.584,80649,161.162,85437,176.723,85521,186.078,85544,180.871,85523,179.929,87369,181.985,85368,198.736,FPC-713
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),10.424,FPC-626,12.063,85434,20.18,80491,16.899,DSNY-BRS-1058,24.85,85119,19.433,80373,24.617,FPC-559,22.226,FPC-713,22.586,85345,23.575,85471,20.461,84055,23.697,FPC-205,24.303,80720,25.458,85517,27.531,80419,24.323,85544,24.615,87247,25.026,80493,23.427,85521,33.218,FPC-215,26.263,85368,30.294,80421,33.811,81646,29.359,85523,32.08,80649
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,14.559,85434,15.464,80491,12.183,DSNY-BRS-1058,20.134,85119,14.717,80373,20.873,FPC-559,17.82,85345,18.809,85471,20.692,85517,19.587,80720,21.736,84055,18.981,FPC-205,18.224,FPC-713,20.758,87247,20.465,80493,25.598,85544,23.529,80419,18.711,85521,28.502,FPC-215,21.547,85368,24.643,85523,27.364,80649,26.292,80421,29.095,81646
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),6.804,FPC-626,9.741,85434,15.012,80491,13.351,DSNY-BRS-1058,21.375,85119,21.361,FPC-559,15.958,80373,20.956,84055,19.884,85471,18.895,85345,20.755,80720,16.175,FPC-713,21.767,85517,21.926,87247,24.818,85544,21.633,80493,20.222,FPC-205,21.48,80419,19.879,85521,22.715,85368,25.811,85523,28.532,80649,29.743,FPC-215,26.406,87369,24.243,80421
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),6.619,85434,9.165,FPC-626,10.307,DSNY-BRS-1058,11.507,80491,18.997,FPC-559,21.272,85119,22.193,84055,17.711,80720,15.855,80373,20.153,85471,12.776,FPC-713,23.992,85544,16.78,85345,18.882,87247,18.589,80493,20.328,85517,16.835,85521,18.081,80419,20.119,FPC-205,19.671,85368,22.767,85523,25.488,80649,23.362,87369,24.914,FPC-165,24.914,FPC-165
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),7.268,80491,5.762,FPC-626,8.362,DSNY-BRS-1058,11.894,85434,17.692,FPC-559,17.273,80720,20.619,85471,22.111,84055,20.834,85119,17.246,85345,18.444,87247,18.151,80493,15.417,80373,20.794,85517,22.687,85544,16.043,85521,10.463,FPC-713,18.879,85368,19.681,FPC-205,21.975,85523,25.05,80649,15.768,80419,22.924,87369,23.609,FPC-165,23.609,FPC-165
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,11.089,DSNY-BRS-1058,15.236,FPC-626,14.449,80491,19.679,FPC-559,23.348,84055,19.335,FPC-713,26.415,85544,27.294,85119,23.015,80720,24.502,87247,21.877,80373,24.209,80493,24.64,80419,26.651,85471,22.455,85521,23.278,85345,25.291,85368,26.141,FPC-205,26.826,85517,28.387,85523,27.838,FPC-165,27.838,FPC-165,27.838,80739,27.838,80739
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),8.656,85434,11.988,DSNY-BRS-1058,15.591,80491,15.68,FPC-626,15.77,FPC-559,19.597,84055,22.506,85544,20.693,FPC-713,19.106,80720,23.756,87247,24.162,80493,23.354,85521,29.323,85119,25.998,80419,26.19,85368,23.906,80373,28.258,85471,26.62,85523,25.634,85345,24.496,FPC-165,24.496,FPC-165,24.496,80739,24.496,80739,31.209,80649,26.435,81199
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),11.116,85434,13.912,DSNY-BRS-1058,17.515,80491,13.068,FPC-559,16.895,84055,17.239,FPC-626,19.804,85544,21.214,FPC-713,21.054,87247,16.404,80720,21.46,80493,21.26,85521,24.236,85368,27.557,80419,30.882,85119,23.918,85523,21.794,FPC-165,21.794,FPC-165,21.794,80739,21.794,80739,25.465,80373,26.625,85471,23.733,81199,28.507,80649,26.381,87369
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),12.346,85434,15.575,DSNY-BRS-1058,16.837,84055,11.971,FPC-559,17.938,80491,18.707,85544,18.859,FPC-626,20.996,87247,20.117,FPC-713,21.309,80493,15.307,80720,20.163,85521,23.139,85368,27.931,80419,20.697,FPC-165,20.697,FPC-165,20.697,80739,20.697,80739,22.821,85523,22.636,81199,24.26,FPC-167,31.637,85119,25.284,87369,27.41,80649,27.156,DSNY-BRS-1461
