GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29,tt_30,fp_30,tt_31,fp_31,tt_32,fp_32,tt_33,fp_33,tt_34,fp_34,tt_35,fp_35,tt_36,fp_36,tt_37,fp_37,tt_38,fp_38,tt_39,fp_39,tt_40,fp_40,tt_41,fp_41,tt_42,fp_42,tt_43,fp_43,tt_44,fp_44,tt_45,fp_45,tt_46,fp_46,tt_47,fp_47,tt_48,fp_48,tt_49,fp_49
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),244.318,85517,252.038,85471,242.702,FPC-215,252.989,82998,257.504,85119,260.779,FPC-626,251.895,85340,260.069,80491,244.298,80413,245.223,FPC-656,262.948,Plentiful-1200,261.932,DSNY-BRS-1058,257.625,80720,245.697,80236,255.758,FPC-559,267.737,85434,248.708,FPC-205,265.892,85547,261.126,FPC-252,267.334,80813,263.815,80493,227.514,85343,264.524,87247,261.028,84055,228.685,85437,262.768,85521,231.024,81039,263.85,81735,265.188,DSNY-BRS-2114,263.756,85544,266.496,85490,261.659,82798,265.17,85528,261.319,85523,265.526,87369,265.743,85368,257.924,FPC-488,258.293,81352,266.057,81204,269.15,FPC-713,261.22,82119,262.614,80403,232.24,FPC-609,232.24,Plentiful-1511,270.155,80419,263.247,DSNY-BRS-1461,263.641,80336,265.471,85172,242.073,81586,276.846,85369
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),8.475,Plentiful-1200,10.556,FPC-626,12.063,85434,20.712,80491,17.431,DSNY-BRS-1058,24.327,80813,29.336,85119,18.138,85340,26.988,FPC-252,26.474,FPC-559,28.741,82998,22.421,FPC-713,27.931,85471,26.298,DSNY-BRS-2114,29.241,84055,27.606,85490,26.9,FPC-205,25.835,80720,29.829,85517,36.353,85528,28.212,80419,31.969,85544,27.006,87247,30.52,80236,29.872,82798,26.713,80493,29.959,FPC-488,30.328,81352,25.459,85521,26.541,81735,33.996,85547,34.861,FPC-215,28.295,85368,31.488,80421,35.124,81646,31.391,85523,38.27,80403,36.116,82119,33.63,87369,32.891,FPC-165,32.891,FPC-165,32.891,80739,32.891,80739,38.055,83344,34.161,81204,34.83,81199,34.611,DSNY-BRS-1461,33.413,81308,34.722,85182,37.152,FPC-190
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,9.187,Plentiful-1200,15.166,85434,15.996,80491,12.715,DSNY-BRS-1058,24.62,85119,22.564,80813,13.422,85340,24.025,82998,21.758,FPC-559,23.459,FPC-252,23.012,85471,25.063,85517,21.119,80720,24.525,84055,22.769,DSNY-BRS-2114,24.077,85490,22.184,FPC-205,18.705,FPC-713,22.29,87247,31.637,85528,21.997,80493,27.253,85544,25.804,80236,25.156,82798,24.496,80419,25.243,FPC-488,25.612,81352,20.743,85521,21.825,81735,29.28,85547,30.145,FPC-215,23.579,85368,26.675,85523,27.772,80421,30.408,81646,28.914,87369,29.445,81204,28.175,FPC-165,28.175,FPC-165,33.554,80403,28.175,80739,28.175,80739,31.4,82119,30.114,81199,29.895,DSNY-BRS-1461,34.233,83344,28.697,81308,30.006,85182,34.629,FPC-190
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),2.37,Plentiful-1200,6.804,FPC-626,10.404,85434,15.609,80491,13.956,DSNY-BRS-1058,18.3,80813,25.861,85119,20.835,FPC-252,22.999,FPC-559,25.266,82998,14.663,85340,25.766,84055,20.145,DSNY-BRS-2114,24.132,85471,21.453,85490,22.36,80720,16.316,FPC-713,24.43,85517,23.531,87247,28.494,85544,23.238,80493,26.397,82798,23.425,FPC-205,22.107,80419,32.878,85528,21.984,85521,23.066,81735,30.521,85547,27.045,80236,26.484,FPC-488,24.82,85368,26.853,81352,27.916,85523,31.386,FPC-215,30.155,87369,25.383,80421,29.416,FPC-165,29.416,FPC-165,29.416,80739,29.416,80739,30.686,81204,30.374,81646,31.355,81199,30.387,DSNY-BRS-1461,34.795,80403,32.641,82119,32.085,83344,29.938,81308,31.247,85182,31.182,FPC-190
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),3.441,Plentiful-1200,6.619,85434,10.709,FPC-626,10.839,DSNY-BRS-1058,11.82,80491,14.561,80813,21.397,FPC-252,19.882,FPC-559,22.149,82998,25.743,85119,22.649,84055,20.707,DSNY-BRS-2114,22.015,85490,19.243,80720,14.545,85340,20.343,85471,12.725,FPC-713,25.377,85544,20.414,87247,23.28,82798,20.121,80493,20.641,85517,18.867,85521,18.516,80419,19.949,81735,23.307,FPC-205,32.135,85528,27.404,85547,21.703,85368,24.799,85523,26.366,FPC-488,26.735,81352,26.927,80236,27.038,87369,26.299,FPC-165,26.299,FPC-165,26.299,80739,26.299,80739,27.569,81204,21.792,80421,28.238,81199,28.019,DSNY-BRS-1461,31.268,FPC-215,26.783,81646,28.296,83344,34.677,80403,32.523,82119,31.931,85367,29.866,85548,38.584,85369
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),7.268,80491,6.835,Plentiful-1200,6.249,FPC-626,8.762,DSNY-BRS-1058,11.894,85434,16.18,80813,18.109,FPC-559,19.566,82998,17.065,FPC-252,18.805,80720,20.837,85471,20.876,84055,25.305,85119,16.375,DSNY-BRS-2114,17.683,85490,19.976,87247,19.683,80493,21.135,85517,14.107,85340,23.604,85544,21.507,82798,17.705,85521,26.966,85547,18.787,81735,10.413,FPC-713,20.541,85368,22.869,FPC-205,23.637,85523,16.204,80419,29.823,85528,26.6,87369,27.131,81204,26.489,80236,24.526,FPC-165,24.526,FPC-165,24.526,80739,24.526,80739,24.306,FPC-488,24.675,81352,25.595,DSNY-BRS-1461,26.465,81199,30.83,FPC-215,19.48,80421,24.471,81646,26.956,85548,35.674,85369,34.239,80403,31.71,85367,32.085,82119,28.58,83344
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,10.166,Plentiful-1200,13.121,80813,12.162,DSNY-BRS-1058,15.92,FPC-626,14.449,80491,21.601,FPC-252,23.587,FPC-559,20.911,DSNY-BRS-2114,22.219,85490,25.207,84055,19.284,FPC-713,28.171,82998,30.442,85544,31.765,85119,25.265,80720,28.345,82798,26.436,87247,20.567,85340,26.143,80493,25.075,80419,26.841,85471,24.889,85521,25.971,81735,38.694,85528,27.725,85368,29.329,FPC-205,33.426,85547,27.139,85517,30.821,85523,32.388,FPC-488,32.757,81352,31.364,FPC-165,31.364,FPC-165,31.364,80739,31.364,80739,28.351,80421,33.06,87369,32.949,80236,33.303,81199,33.591,81204,33.342,81646,34.041,DSNY-BRS-1461,38.429,85367,34.794,83344,37.29,FPC-215,40.699,80403,35.888,85548,38.545,82119,33.891,FPC-190
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),7.006,80813,8.656,85434,15.96,Plentiful-1200,13.061,DSNY-BRS-1058,18.372,FPC-252,17.375,80491,18.615,FPC-626,17.854,DSNY-BRS-2114,18.945,85490,18.892,FPC-559,20.512,84055,28.202,85544,26.773,82798,22.228,FPC-713,22.228,80720,27.993,87247,29.728,82998,27.7,80493,26.446,85521,27.528,81735,35.096,85119,28.019,80419,29.282,85368,23.898,85340,34.657,85547,32.066,85471,30.222,85523,41.638,85528,29.792,FPC-165,29.792,FPC-165,29.792,80739,29.792,80739,31.731,81199,32.66,FPC-205,34.291,87369,32.364,85517,34.822,81204,35.719,FPC-488,29.984,80421,36.088,81352,34.453,DSNY-BRS-1461,36.286,81646,41.442,85367,36.28,80236,37.445,85548,34.437,85530,40.019,83344,45.205,85369,39.612,84065,45.387,87007
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),5.411,80813,11.116,85434,15.691,DSNY-BRS-1058,15.177,FPC-252,17.689,Plentiful-1200,14.659,DSNY-BRS-2114,15.75,85490,20.005,80491,15.697,FPC-559,17.317,84055,20.344,FPC-626,25.007,85544,23.578,82798,23.957,FPC-713,26.084,87247,19.033,80720,25.799,80493,24.369,85521,30.622,82998,25.451,81735,27.847,85368,29.748,80419,36.825,85119,31.462,85547,27.027,85523,25.627,85340,26.597,FPC-165,26.597,FPC-165,26.597,80739,26.597,80739,32.007,85471,28.536,81199,40.638,85528,31.096,87369,31.627,81204,31.258,DSNY-BRS-1461,26.789,80421,34.389,FPC-205,31.611,85517,33.392,FPC-488,33.761,81352,38.247,85367,33.557,81646,34.996,85548,31.242,85530,38.009,80236,36.417,84065,42.01,85369,40.986,83344,43.952,87007
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),5.297,80813,14.147,85434,13.811,DSNY-BRS-2114,13.496,FPC-252,14.902,85490,18.169,DSNY-BRS-1058,16.469,84055,19.655,Plentiful-1200,14.016,FPC-559,22.548,80491,23.994,85544,21.897,82798,22.915,FPC-626,24.403,87247,23.275,FPC-713,24.118,80493,17.352,80720,22.688,85521,23.77,81735,26.166,85368,28.941,82998,31.451,80419,24.916,FPC-165,24.916,FPC-165,24.916,80739,24.916,80739,25.346,85523,29.781,85547,26.855,81199,39.193,85119,29.415,87369,29.946,81204,29.577,DSNY-BRS-1461,27.995,85340,30.326,85471,38.957,85528,25.108,80421,36.566,85367,31.711,FPC-488,35.702,FPC-205,32.08,81352,29.93,85517,29.561,85530,33.315,85548,31.876,81646,35.569,84065,40.329,85369,42.271,87007,40.675,83628,40.765,85483
