GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),171.468,85517,160.368,FPC-457,193.048,85434,190.396,87247,187.825,85521,186.073,85523,182.932,FPC-488,180.068,82785,197.306,85083,191.434,81199,135.603,83916,186.277,80343,201.407,84354,139.034,85380,199.315,FPC-223,200.072,84611,198.097,FPC-624,212.768,85298,220.794,87064,219.833,80904
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),12.063,85434,17.654,85517,25.916,87247,28.513,FPC-488,35.257,85083,24.369,85521,30.301,85523,34.382,81199,26.933,FPC-457,36.418,84354,36.884,82785,40.198,FPC-223,40.955,84611,42.112,FPC-624,53.695,80343,56.599,85298,64.625,87064,46.414,83916,65.201,80904,49.086,85380
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),15.368,85434,21.278,85517,21.2,87247,23.797,FPC-488,19.653,85521,30.845,85083,25.585,85523,29.666,81199,31.795,FPC-457,32.168,82785,33.382,84354,35.482,FPC-223,36.239,84611,39.582,FPC-624,48.979,80343,54.069,85298,51.276,83916,62.095,87064,60.485,80904,53.948,85380
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),10.399,85434,23.392,85517,22.441,87247,20.894,85521,29.402,85083,25.038,FPC-488,26.826,85523,30.907,81199,33.035,FPC-457,30.448,84354,33.409,82785,34.87,FPC-223,36.963,84611,40.474,FPC-624,50.22,80343,55.04,85298,63.066,87064,52.516,83916,61.726,80904,55.188,85380
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),6.619,85434,19.823,87247,20.595,85517,18.276,85521,25.955,85083,24.208,85523,24.931,FPC-488,28.289,81199,26.659,84354,32.392,FPC-457,33.32,82785,31.081,FPC-223,38.813,FPC-624,33.174,84611,50.131,80343,53.3,85298,61.326,87064,52.4,83916,59.108,80904,53.467,85380
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),11.811,85434,19.302,87247,21.09,85517,17.246,85521,23.178,85523,23.559,85083,22.535,FPC-488,27.019,81199,32.887,FPC-457,26.166,84354,32.799,82785,37.726,FPC-624,30.588,FPC-223,32.681,84611,49.61,80343,52.292,85298,60.296,87064,52.19,83916,58.587,80904,53.962,85380
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,25.5,87247,32.514,85083,23.953,85521,27.093,85517,29.885,85523,30.971,FPC-488,31.345,81199,33.157,84354,37.318,FPC-457,39.342,82785,37.579,FPC-223,39.733,FPC-624,39.672,84611,56.153,80343,54.299,85298,62.325,87064,56.799,83916,64.785,80904,59.471,85380
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),8.656,85434,25.885,87247,28.743,85083,24.037,85521,26.695,85523,28.311,81199,24.042,85517,33.286,FPC-488,36.917,84354,33.845,FPC-457,41.809,82785,35.378,FPC-624,40.118,FPC-223,41.328,84611,58.62,80343,49.944,85298,57.97,87064,52.618,83916,63.642,80904,55.998,85380
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),11.116,85434,22.614,87247,25.472,85083,20.766,85521,23.424,85523,25.04,81199,20.771,85517,30.15,FPC-488,37.75,84354,30.574,FPC-457,43.088,82785,32.107,FPC-624,36.847,FPC-223,38.057,84611,46.673,85298,59.203,80343,54.699,87064,49.347,83916,60.371,80904,52.727,85380
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),13.434,85434,24.191,85083,21.333,87247,19.485,85521,22.143,85523,23.759,81199,28.869,FPC-488,20.838,85517,36.469,84354,30.826,FPC-624,30.641,FPC-457,44.952,82785,35.566,FPC-223,36.776,84611,45.392,85298,59.27,80343,53.418,87064,59.09,80904,49.414,83916,52.794,85380
36061003100,Manhattan,MN0102,-74.00381559584184,40.71531057200895,POINT (-74.00381569131154 40.71531053046602),POINT (-74.00381559584184 40.71531057200895),12.585,85517,22.817,85434,22.767,87247,17.946,85521,20.604,85523,33.181,85083,27.701,FPC-488,23.412,81199,24.096,FPC-457,41.19,82785,33.786,84354,30.075,FPC-624,38.208,FPC-223,39.267,84611,55.19,80343,44.104,83916,44.562,85298,52.588,87064,45.171,85380,55.147,80904
36061003200,Manhattan,MN0303,-73.98370701917263,40.72555328579269,POINT (-73.98370702842817 40.72555327845573),POINT (-73.98370701917263 40.72555328579269),15.342,85434,23.124,87247,21.276,85521,25.982,85083,23.934,85523,26.743,85517,26.04,81199,29.496,FPC-488,33.127,84354,36.749,FPC-457,38.4,82785,33.107,FPC-624,37.357,FPC-223,38.567,84611,55.211,80343,47.673,85298,55.699,87064,55.522,83916,61.371,80904,58.902,85380
36061003300,Manhattan,MN0102,-74.00614634416432,40.71886214043471,POINT (-74.00614634471161 40.718862096530124),POINT (-74.00614634416432 40.71886214043471),9.064,85517,26.654,85434,18.742,87247,17.529,85521,15.849,85523,35.728,85083,24.936,81199,26.808,FPC-488,25.899,FPC-457,40.297,82785,37.623,84354,36.186,FPC-624,37.617,FPC-223,38.374,84611,54.874,80343,45.018,83916,47.458,85298,54.984,87064,46.974,85380,53.888,80904
36061003400,Manhattan,MN0303,-73.98145767697616,40.72900590859083,POINT (-73.98145767533329 40.729005907658376),POINT (-73.98145767697616 40.72900590859083),18.054,85434,19.286,87247,17.438,85521,22.144,85083,20.096,85523,21.904,81199,22.607,85517,26.822,FPC-488,34.422,84354,28.971,FPC-624,33.771,FPC-457,41.128,82785,33.519,FPC-223,34.729,84611,43.537,85298,57.939,80343,51.563,87064,52.544,83916,57.235,80904,55.924,85380
36061003601,Manhattan,MN0302,-73.9911271645957,40.72231932780311,POINT (-73.99112716050642 40.72231932551375),POINT (-73.9911271645957 40.72231932780311),13.78,85434,17.784,87247,22.478,85517,16.237,85521,22.169,85523,28.643,85083,25.571,81199,26.429,FPC-488,34.275,FPC-457,31.25,84354,34.8,82785,36.003,FPC-624,35.672,FPC-223,37.765,84611,51.611,80343,50.569,85298,58.595,87064,54.283,83916,57.069,80904,55.35,85380
36061003602,Manhattan,MN0303,-73.99020046176119,40.724560375260566,POINT (-73.99020044930231 40.7245603764933),POINT (-73.99020046176119 40.72456037526057),15.196,85434,18.22,87247,16.673,85521,21.858,85517,22.605,85523,28.621,85083,22.368,81199,26.865,FPC-488,34.619,FPC-457,32.781,84354,35.236,82785,33.075,FPC-624,37.203,FPC-223,39.296,84611,52.047,80343,47.641,85298,55.645,87064,54.627,83916,57.505,80904,55.694,85380
36061003700,Manhattan,MN0201,-74.0074867941145,40.726278564944955,POINT (-74.0074867844917 40.726278558965056),POINT (-74.0074867941145 40.72627856494496),15.075,85517,19.259,87247,25.343,85434,17.522,85521,16.366,85523,24.929,81199,30.659,85083,30.743,FPC-488,31.91,FPC-457,44.232,82785,42.937,84354,34.783,FPC-624,42.034,FPC-223,43.244,84611,60.487,80343,48.479,85298,50.631,83916,56.005,87064,52.985,85380,53.881,80904
36061003900,Manhattan,MN0102,-74.0107807590449,40.72079553570638,POINT (-74.0107807731053 40.72079547237539),POINT (-74.01078075904491 40.72079553570638),14.092,85517,30.884,85434,23.655,87247,21.084,85521,20.877,85523,28.491,81199,38.783,85083,30.363,FPC-488,30.927,FPC-457,43.852,82785,41.853,84354,41.713,FPC-624,41.172,FPC-223,41.929,84611,55.279,80343,45.423,83916,52.486,85298,60.012,87064,51.688,85380,57.443,80904
36061004001,Manhattan,MN0303,-73.9849021192912,40.730264485255454,POINT (-73.98490213004057 40.730264478967435),POINT (-73.98490211929121 40.73026448525545),20.885,85434,20.684,87247,18.716,85521,21.374,85523,23.679,85083,22.934,81199,21.765,85517,28.357,FPC-488,35.957,84354,30.001,FPC-624,31.568,FPC-457,43.468,82785,35.054,FPC-223,36.264,84611,44.567,85298,60.197,80343,52.593,87064,50.341,83916,57.807,80904,53.721,85380
36061004002,Manhattan,MN0303,-73.98720895456378,40.73124230289812,POINT (-73.98720896594332 40.73124229637703),POINT (-73.98720895456378 40.73124230289812),18.646,87247,20.024,85434,15.868,85521,18.526,85523,20.086,81199,23.504,85083,20.789,85517,28.182,FPC-488,35.782,84354,27.153,FPC-624,33.55,FPC-457,40.615,82785,34.879,FPC-223,36.089,84611,41.719,85298,57.426,80343,49.745,87064,53.558,83916,54.739,80904,54.625,85380
36061004100,Manhattan,MN0201,-73.99669598277335,40.7191636873842,POINT (-73.99669600087324 40.71916366692359),POINT (-73.99669598277335 40.7191636873842),19.62,85434,17.836,85517,21.705,87247,15.61,85521,20.047,85523,32.026,85083,31.002,FPC-488,23.468,81199,30.057,FPC-457,41.266,82785,31.13,84354,33.98,FPC-624,35.552,FPC-223,37.645,84611,52.591,80343,48.546,85298,50.065,83916,56.572,87064,51.132,85380,57.056,80904
36061004300,Manhattan,MN0201,-73.99546720645795,40.723324400824275,POINT (-73.99546719978427 40.723324396693656),POINT (-73.99546720645795 40.72332440082427),18.659,85434,17.462,87247,17.559,85517,13.774,85521,19.056,85523,30.928,85083,20.77,81199,29.112,FPC-488,29.78,FPC-457,32.444,84354,37.483,82785,31.304,FPC-624,36.866,FPC-223,38.959,84611,54.294,80343,45.87,85298,53.896,87064,49.788,83916,50.855,85380,55.22,80904
