GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),171.468,85517,160.368,FPC-457,193.048,85434,190.396,87247,187.825,85521,186.073,85523,182.932,FPC-488,188.449,85322,185.012,85495,191.434,81199,192.438,84758,157.751,81559,157.751,81559,157.751,FPC-710,157.751,FPC-710,135.603,83916,134.201,FPC-24,172.713,84948,198.774,82186,198.097,FPC-624,202.26,83514,202.711,84801,211.73,85024,210.409,81612,216.124,FPC-599,220.794,87064,225.98,83351
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),12.063,85434,17.654,85517,25.916,87247,28.513,FPC-488,24.369,85521,30.301,85523,37.428,84758,34.382,81199,37.087,85495,26.933,FPC-457,42.108,85322,49.442,82186,42.112,FPC-624,50.66,85024,44.34,84801,52.779,83514,51.568,81612,57.027,FPC-599,43.581,84948,36.809,FPC-710,36.809,FPC-710,36.809,81559,36.809,81559,64.625,87064,46.414,83916,48.026,FPC-24,66.863,83351
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),15.368,85434,21.278,85517,21.2,87247,23.797,FPC-488,19.653,85521,25.585,85523,29.666,81199,32.712,84758,32.371,85495,31.795,FPC-457,37.392,85322,44.726,82186,39.582,FPC-624,46.732,85024,39.624,84801,48.063,83514,46.852,81612,48.155,84948,52.311,FPC-599,41.671,FPC-710,41.671,FPC-710,41.671,81559,41.671,81559,51.276,83916,52.888,FPC-24,62.095,87064,62.147,83351
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),10.399,85434,23.392,85517,22.441,87247,20.894,85521,25.038,FPC-488,26.826,85523,30.907,81199,32.532,84758,33.612,85495,33.035,FPC-457,38.633,85322,45.967,82186,40.474,FPC-624,50.609,85024,40.865,84801,49.107,83514,48.093,81612,53.552,FPC-599,49.683,84948,42.911,FPC-710,42.911,FPC-710,42.911,81559,42.911,81559,63.066,87064,52.516,83916,54.128,FPC-24,63.388,83351
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),6.619,85434,19.823,87247,20.595,85517,18.276,85521,24.208,85523,24.931,FPC-488,28.289,81199,29.085,84758,33.523,85495,32.392,FPC-457,38.544,85322,45.878,82186,38.813,FPC-624,47.589,85024,40.776,84801,45.318,83514,45.475,81612,50.934,FPC-599,49.859,84948,42.374,FPC-710,42.374,FPC-710,42.374,81559,42.374,81559,61.326,87064,52.4,83916,52.635,FPC-24,63.299,83351
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),11.811,85434,19.302,87247,21.09,85517,17.246,85521,23.178,85523,22.535,FPC-488,27.019,81199,26.689,84758,33.002,85495,32.887,FPC-457,38.023,85322,37.726,FPC-624,45.357,82186,45.193,85024,40.255,84801,44.825,83514,43.64,81612,50.413,FPC-599,48.482,84948,42.869,FPC-710,42.869,FPC-710,42.869,81559,42.869,81559,60.296,87064,52.19,83916,53.13,FPC-24,62.778,83351
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,25.5,87247,23.953,85521,27.093,85517,29.885,85523,30.971,FPC-488,31.345,81199,35.644,84758,39.545,85495,37.318,FPC-457,44.566,85322,51.9,82186,39.733,FPC-624,54.133,85024,46.798,84801,51.816,83514,50.387,81612,56.611,FPC-599,53.265,84948,62.325,87064,47.194,FPC-710,47.194,FPC-710,47.194,81559,47.194,81559,56.799,83916,58.411,FPC-24,69.321,83351
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),8.656,85434,25.885,87247,24.037,85521,26.695,85523,28.311,81199,24.042,85517,33.286,FPC-488,37.44,84758,42.012,85495,47.033,85322,33.845,FPC-457,35.378,FPC-624,50.071,82186,49.778,85024,49.265,84801,50.05,83514,50.758,81612,54.283,FPC-599,48.91,84948,57.97,87064,43.777,FPC-710,43.777,FPC-710,43.777,81559,43.777,81559,52.618,83916,54.23,FPC-24,71.788,83351
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),11.116,85434,22.614,87247,20.766,85521,23.424,85523,25.04,81199,20.771,85517,30.15,FPC-488,35.797,84758,41.433,85495,48.312,85322,30.574,FPC-457,32.107,FPC-624,46.8,82186,46.507,85024,47.526,84801,47.487,81612,46.779,83514,51.012,FPC-599,45.639,84948,54.699,87064,40.506,FPC-710,40.506,FPC-710,40.506,81559,40.506,81559,49.347,83916,50.959,FPC-24,73.067,83351
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),13.434,85434,21.333,87247,19.485,85521,22.143,85523,23.759,81199,28.869,FPC-488,20.838,85517,34.516,84758,41.5,85495,30.826,FPC-624,50.176,85322,30.641,FPC-457,45.519,82186,45.226,85024,46.206,81612,46.245,84801,45.498,83514,49.731,FPC-599,53.418,87064,45.706,84948,40.573,FPC-710,40.573,FPC-710,40.573,81559,40.573,81559,49.414,83916,72.64,83351,51.026,FPC-24
