GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29,tt_30,fp_30,tt_31,fp_31,tt_32,fp_32,tt_33,fp_33,tt_34,fp_34,tt_35,fp_35,tt_36,fp_36,tt_37,fp_37,tt_38,fp_38,tt_39,fp_39,tt_40,fp_40,tt_41,fp_41,tt_42,fp_42,tt_43,fp_43,tt_44,fp_44,tt_45,fp_45,tt_46,fp_46,tt_47,fp_47,tt_48,fp_48,tt_49,fp_49
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),173.6,85517,174.791,85345,180.452,85471,186.316,FPC-626,190.314,80491,190.705,DSNY-BRS-1058,190.946,87318,183.315,80720,185.85,FPC-559,191.565,85434,171.283,80341,184.077,80493,159.991,85343,184.78,87247,187.275,84055,176.723,85521,186.078,85544,180.871,85523,179.929,87369,181.985,85368,201.976,80419,182.232,DSNY-BRS-1461,200.875,Plentiful-1562,173.958,81586,200.582,85065,196.609,81324,187.597,81199,201.2,81207,193.358,80292,197.725,85351,202.746,80421,190.238,80517,186.856,DSNY-BRS-1459,198.902,80347,169.723,84301,170.469,FPC-382,138.303,83916,206.103,FPC-659,137.75,82751,137.75,Plentiful-553,204.905,81345,192.917,DSNY-BRS-1070,187.808,84206,190.788,80846,207.115,81626,194.862,84540,195.737,FPC-531,198.452,85483,202.843,83956,202.843,83956
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),10.424,FPC-626,12.063,85434,17.14,87318,20.18,80491,16.899,DSNY-BRS-1058,24.617,FPC-559,22.586,85345,23.575,85471,20.461,84055,24.303,80720,25.458,85517,27.531,80419,24.323,85544,25.517,Plentiful-1562,24.615,87247,25.026,80493,26.008,85065,23.427,85521,26.263,85368,30.294,80421,35.01,81324,29.359,85523,35.979,85351,29.954,87369,33.705,81207,28.267,81199,32.662,DSNY-BRS-1461,35.401,80292,32.539,FPC-659,36.47,81345,35.713,81626,39.324,80517,41.516,85483,37.802,84540,37.227,DSNY-BRS-1459,33.106,FPC-531,42.696,DSNY-BRS-1070,36.111,85271,36.111,85271,36.111,83956,36.111,83956,40.567,80846,45.011,80347,38.051,81578,44.323,80438,45.921,80341,42.816,83923,44.272,83311,41.831,FPC-493,44.697,85379
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,14.559,85434,12.424,87318,15.464,80491,12.183,DSNY-BRS-1058,20.873,FPC-559,17.82,85345,18.809,85471,20.692,85517,19.587,80720,21.736,84055,20.758,87247,20.465,80493,25.598,85544,23.529,80419,21.515,Plentiful-1562,18.711,85521,22.006,85065,21.547,85368,24.643,85523,30.294,81324,26.292,80421,25.238,87369,31.41,85351,28.729,81199,28.224,DSNY-BRS-1461,28.989,81207,30.685,80292,30.061,FPC-659,31.754,81345,33.235,81626,34.608,80517,34.208,84540,39.218,85483,32.461,DSNY-BRS-1459,33.568,FPC-531,37.98,DSNY-BRS-1070,35.851,80846,31.395,83956,31.395,85271,31.395,85271,31.395,83956,40.295,80347,35.573,81578,39.607,80438,41.155,80341,40.953,83923,39.556,83311,42.293,FPC-493,41.737,85379
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),6.804,FPC-626,9.741,85434,12.964,87318,15.012,80491,13.351,DSNY-BRS-1058,21.361,FPC-559,20.956,84055,19.884,85471,18.895,85345,20.755,80720,21.767,85517,21.926,87247,24.818,85544,21.633,80493,21.48,80419,19.466,Plentiful-1562,19.879,85521,19.957,85065,22.715,85368,25.811,85523,26.406,87369,24.243,80421,29.59,81324,30.009,85351,28.762,81199,28.549,DSNY-BRS-1461,30.23,81207,31.926,80292,26.569,FPC-659,34.954,80517,32.995,81345,35.376,84540,29.743,81626,40.386,85483,33.536,DSNY-BRS-1459,33.601,FPC-531,38.661,DSNY-BRS-1070,37.019,80846,32.636,85271,32.636,83956,32.636,85271,32.636,83956,32.081,81578,41.378,80347,40.848,80438,42.121,83923,39.902,83311,42.326,FPC-493,42.905,85379,42.23,80341
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),6.619,85434,10.548,87318,9.165,FPC-626,10.307,DSNY-BRS-1058,11.507,80491,18.997,FPC-559,22.193,84055,17.711,80720,20.153,85471,23.992,85544,16.78,85345,18.882,87247,18.589,80493,20.328,85517,16.835,85521,18.081,80419,16.067,Plentiful-1562,16.558,85065,19.671,85368,22.767,85523,23.362,87369,20.844,80421,26.853,81199,26.348,DSNY-BRS-1461,25.801,81324,26.22,85351,30.127,81207,31.823,80292,22.78,FPC-659,32.732,80517,32.332,84540,37.342,85483,31.281,DSNY-BRS-1459,32.309,81345,25.954,81626,31.692,FPC-531,36.104,DSNY-BRS-1070,33.975,80846,32.533,85271,32.533,83956,32.533,85271,32.533,83956,28.292,81578,39.077,83923,39.192,80438,41.433,80347,37.68,83311,40.417,FPC-493,39.861,85379,42.153,80627
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),5.606,87318,7.268,80491,5.762,FPC-626,8.362,DSNY-BRS-1058,11.894,85434,17.692,FPC-559,17.273,80720,20.619,85471,22.111,84055,17.246,85345,18.444,87247,18.151,80493,20.794,85517,22.687,85544,16.043,85521,18.879,85368,21.975,85523,15.768,80419,13.754,Plentiful-1562,22.924,87369,14.245,85065,23.933,DSNY-BRS-1461,25.548,81199,18.531,80421,24.371,81324,25.485,85351,27.867,81207,30.338,80517,31.385,80292,30.707,DSNY-BRS-1459,31.894,84540,23.529,FPC-659,36.904,85483,30.387,FPC-531,34.045,DSNY-BRS-1070,32.454,81345,26.703,81626,33.401,80846,32.095,83956,32.095,85271,32.095,83956,32.095,85271,35.286,83311,38.639,83923,29.041,81578,39.112,FPC-493,36.762,80347,39.423,85379,39.941,80438,42.476,80341
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,10.503,87318,11.089,DSNY-BRS-1058,15.236,FPC-626,14.449,80491,19.679,FPC-559,23.348,84055,26.415,85544,23.015,80720,24.502,87247,24.209,80493,24.64,80419,22.626,Plentiful-1562,26.651,85471,22.455,85521,23.117,85065,23.278,85345,25.291,85368,26.826,85517,28.387,85523,27.403,80421,28.982,87369,29.777,81199,32.299,81324,30.992,DSNY-BRS-1461,32.718,85351,36.149,81207,37.845,80292,29.278,FPC-659,37.376,80517,42.393,85483,36.634,84540,38.807,81345,32.452,81626,36.901,DSNY-BRS-1459,34.616,FPC-531,41.083,DSNY-BRS-1070,39.595,80846,38.555,85271,38.555,85271,38.555,83956,38.555,83956,34.79,81578,43.079,83923,45.69,80438,42.324,83311,43.304,FPC-493,44.23,85379,47.455,80347,45.878,80627
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),8.656,85434,11.402,87318,11.988,DSNY-BRS-1058,15.591,80491,15.68,FPC-626,15.77,FPC-559,19.597,84055,22.506,85544,19.106,80720,23.756,87247,24.162,80493,23.354,85521,25.998,80419,23.984,Plentiful-1562,26.19,85368,24.475,85065,28.258,85471,26.62,85523,25.634,85345,26.435,81199,29.083,87369,28.808,85517,26.265,80421,30.955,DSNY-BRS-1461,33.663,81324,34.779,85351,38.097,81207,34.27,84540,38.275,80517,38.484,85483,33.108,FPC-659,39.874,80292,31.274,FPC-531,34.25,DSNY-BRS-1459,36.282,81626,40.943,81345,40.77,DSNY-BRS-1070,39.593,80846,40.584,85271,40.584,85271,40.584,83956,40.584,83956,39.17,83923,43.223,83311,39.395,FPC-493,40.321,85379,38.602,81578,47.775,80438,41.969,80627,40.353,84245
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),11.116,85434,13.326,87318,13.912,DSNY-BRS-1058,17.515,80491,13.068,FPC-559,16.895,84055,17.239,FPC-626,19.804,85544,21.054,87247,16.404,80720,21.46,80493,21.26,85521,24.236,85368,25.103,Plentiful-1562,27.557,80419,22.83,85065,23.918,85523,26.625,85471,23.733,81199,26.381,87369,22.932,85345,28.253,DSNY-BRS-1461,23.563,80421,26.106,85517,30.961,81324,32.077,85351,31.568,84540,35.782,85483,36.054,80517,39.656,81207,34.667,FPC-659,28.572,FPC-531,31.548,DSNY-BRS-1459,41.433,80292,37.841,81626,42.502,81345,38.068,DSNY-BRS-1070,36.891,80846,36.468,83923,42.143,85271,42.143,85271,42.143,83956,42.143,83956,42.791,83311,36.693,FPC-493,37.619,85379,35.9,81578,39.267,80627,45.073,80438,37.651,84245
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),12.346,85434,14.993,87318,15.575,DSNY-BRS-1058,16.837,84055,11.971,FPC-559,17.938,80491,18.707,85544,18.859,FPC-626,20.996,87247,21.309,80493,15.307,80720,20.163,85521,23.139,85368,24.006,Plentiful-1562,21.733,85065,27.931,80419,22.821,85523,22.636,81199,25.284,87369,27.156,DSNY-BRS-1461,25.528,85471,22.466,80421,21.835,85345,25.009,85517,29.864,81324,30.98,85351,30.471,84540,34.685,85483,34.957,80517,27.475,FPC-531,38.918,81207,30.451,DSNY-BRS-1459,33.588,FPC-659,42.188,80292,36.971,DSNY-BRS-1070,38.215,81626,43.085,81345,35.794,80846,35.371,83923,41.694,83311,35.596,FPC-493,36.522,85379,42.286,85271,42.286,85271,42.286,83956,42.286,83956,38.17,80627,34.803,81578,36.554,84245,43.976,80438
