GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),171.468,85517,160.368,FPC-457,193.048,85434,190.396,87247,187.825,85521,186.073,85523,182.932,FPC-488,191.434,81199,190.092,85351,135.603,83916,195.891,83913,186.277,80343,192.848,85540,200.072,84611,198.097,FPC-624,205.677,85227,202.488,85328,198.966,FPC-630,206.615,82750,220.885,80936,213.035,FPC-601,212.998,85357,217.326,85251,220.794,87064,222.055,85108,231.274,FPC-690,236.15,85307,236.304,85071,231.517,85221,246.356,85314
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),12.063,85434,17.654,85517,25.916,87247,28.513,FPC-488,24.369,85521,30.301,85523,35.673,85351,34.382,81199,26.933,FPC-457,45.006,83913,40.955,84611,52.938,85540,42.112,FPC-624,42.32,85227,47.488,85328,39.849,FPC-630,53.695,80343,61.788,80936,50.446,82750,53.938,FPC-601,58.209,85251,53.87,85357,64.625,87064,46.414,83916,65.712,85108,72.291,FPC-690,80.165,85307,78.728,85071,77.194,85221,88.558,85314
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),15.368,85434,21.278,85517,21.2,87247,23.797,FPC-488,19.653,85521,25.585,85523,30.957,85351,29.666,81199,31.795,FPC-457,40.29,83913,36.239,84611,48.222,85540,39.582,FPC-624,39.284,85227,42.772,85328,48.979,80343,35.133,FPC-630,57.072,80936,47.916,82750,49.222,FPC-601,53.493,85251,51.276,83916,49.154,85357,62.095,87064,60.996,85108,67.575,FPC-690,77.635,85307,74.012,85071,73.057,85221,84.369,85314
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),10.399,85434,23.392,85517,22.441,87247,20.894,85521,25.038,FPC-488,26.826,85523,30.205,85351,30.907,81199,33.035,FPC-457,41.531,83913,36.963,84611,40.474,FPC-624,49.463,85540,36.35,85227,44.013,85328,36.374,FPC-630,50.22,80343,58.313,80936,48.887,82750,50.463,FPC-601,54.734,85251,50.395,85357,63.066,87064,52.516,83916,62.237,85108,67.248,FPC-690,78.527,85307,75.253,85071,74.132,85221,82.588,85314
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),6.619,85434,19.823,87247,20.595,85517,18.276,85521,24.208,85523,24.931,FPC-488,28.289,81199,26.758,85351,32.392,FPC-457,40.488,83913,38.813,FPC-624,33.174,84611,49.374,85540,32.561,85227,43.924,85328,36.285,FPC-630,55.695,80936,47.147,82750,50.131,80343,47.845,FPC-601,52.772,85251,47.777,85357,61.326,87064,59.619,85108,52.4,83916,63.459,FPC-690,76.866,85307,72.635,85071,75.157,85221,78.799,85314
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),11.811,85434,19.302,87247,21.09,85517,17.246,85521,23.178,85523,22.535,FPC-488,27.019,81199,24.362,85351,32.887,FPC-457,39.995,83913,37.726,FPC-624,32.681,84611,48.256,85540,32.068,85227,46.139,82750,43.403,85328,55.174,80936,35.764,FPC-630,49.61,80343,47.324,FPC-601,47.256,85357,60.296,87064,52.279,85251,52.19,83916,57.648,85108,62.966,FPC-690,75.779,85307,72.114,85071,74.523,85221,78.306,85314
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,25.5,87247,23.953,85521,27.093,85517,29.885,85523,30.971,FPC-488,31.345,81199,33.317,85351,46.986,83913,37.318,FPC-457,39.733,FPC-624,39.672,84611,39.059,85227,55.396,85540,49.946,85328,61.372,80936,42.307,FPC-630,48.146,82750,53.522,FPC-601,56.153,80343,59.27,85251,53.454,85357,62.325,87064,63.691,85108,56.799,83916,69.957,FPC-690,77.786,85307,78.312,85071,81.547,85221,85.297,85314
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),8.656,85434,25.885,87247,24.037,85521,26.695,85523,28.311,81199,24.042,85517,33.286,FPC-488,33.988,85351,49.931,83913,33.845,FPC-457,35.378,FPC-624,41.328,84611,42.819,85227,57.863,85540,59.044,80936,43.791,82750,52.413,85328,44.774,FPC-630,51.194,FPC-601,58.62,80343,53.06,85357,57.97,87064,63.03,85251,59.336,85108,52.618,83916,70.25,FPC-690,73.431,85307,77.308,85071,81.47,85221,87.044,85314
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),11.116,85434,22.614,87247,20.766,85521,23.424,85523,25.04,81199,20.771,85517,30.15,FPC-488,30.717,85351,47.498,83913,30.574,FPC-457,32.107,FPC-624,38.057,84611,44.098,85227,57.87,85540,40.52,82750,55.773,80936,49.478,85328,46.053,FPC-630,47.923,FPC-601,59.203,80343,49.789,85357,54.699,87064,62.72,85251,56.065,85108,49.347,83916,66.979,FPC-690,70.16,85307,74.037,85071,79.215,85221,83.773,85314
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),13.434,85434,21.333,87247,19.485,85521,22.143,85523,23.759,81199,28.869,FPC-488,20.838,85517,29.436,85351,46.217,83913,30.826,FPC-624,30.641,FPC-457,36.776,84611,42.826,85227,39.239,82750,54.492,80936,57.937,85540,48.197,85328,46.059,FPC-630,46.642,FPC-601,59.27,80343,48.508,85357,53.418,87064,61.439,85251,54.784,85108,49.414,83916,65.698,FPC-690,68.879,85307,72.756,85071,77.934,85221,82.492,85314
