GEOID,TCoL_2021,TCoL_2023,TCoL_mapping
36061000201,130802,151723,S_Manhattan
36061000600,130802,151723,S_Manhattan
36061001401,130802,151723,S_Manhattan
36061001402,130802,151723,S_Manhattan
36061001800,130802,151723,S_Manhattan
36061002201,130802,151723,S_Manhattan
36061002601,130802,151723,S_Manhattan
36061002602,130802,151723,S_Manhattan
36061002800,130802,151723,S_Manhattan
36061003100,130802,151723,S_Manhattan
36061003200,130802,151723,S_Manhattan
36061003300,130802,151723,S_Manhattan
36061003400,130802,151723,S_Manhattan
36061003601,130802,151723,S_Manhattan
36061003602,130802,151723,S_Manhattan
36061003700,130802,151723,S_Manhattan
36061003900,130802,151723,S_Manhattan
36061004001,130802,151723,S_Manhattan
36061004002,130802,151723,S_Manhattan
36061004100,130802,151723,S_Manhattan
36061004300,130802,151723,S_Manhattan
36061004500,130802,151723,S_Manhattan
36061005200,130802,151723,S_Manhattan
36061005400,130802,151723,S_Manhattan
36061005501,130802,151723,S_Manhattan
36061005502,130802,151723,S_Manhattan
36061005800,130802,151723,S_Manhattan
36061006300,130802,151723,S_Manhattan
36061006500,130802,151723,S_Manhattan
36061006700,130802,151723,S_Manhattan
36061006800,130802,151723,S_Manhattan
36061006900,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007001,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007002,130802,151723,S_Manhattan
36061007100,130802,151723,S_Manhattan
36061007200,130802,151723,S_Manhattan
36061007300,130802,151723,S_Manhattan
36061007500,130802,151723,S_Manhattan
36061007600,130802,151723,S_Manhattan
36061007700,130802,151723,S_Manhattan
36061007800,130802,151723,S_Manhattan
36061008000,130802,151723,S_Manhattan
36061008100,130802,151723,S_Manhattan
36061008200,130802,151723,S_Manhattan
36061008300,130802,151723,S_Manhattan
36061008400,130802,151723,S_Manhattan
36061008700,130802,151723,S_Manhattan
36061008900,130802,151723,S_Manhattan
